Date,KILITCH
2015-01-01,38.8
2015-01-02,46.15
2015-01-05,49.65
2015-01-06,50.65
2015-01-07,52.65
2015-01-08,51.95
2015-01-09,49.75
2015-01-12,50.15
2015-01-13,48.75
2015-01-14,48.2
2015-01-15,47.45
2015-01-16,46.3
2015-01-19,49.3
2015-01-20,49.7
2015-01-21,48.3
2015-01-22,48.15
2015-01-23,46.8
2015-01-27,46.3
2015-01-28,45.0
2015-01-29,45.1
2015-01-30,43.2
2015-02-02,44.25
2015-02-03,44.15
2015-02-04,43.75
2015-02-05,42.4
2015-02-06,42.6
2015-02-09,41.8
2015-02-10,41.5
2015-02-11,41.4
2015-02-12,41.6
2015-02-13,37.0
2015-02-16,35.75
2015-02-18,35.05
2015-02-19,37.45
2015-02-20,36.8
2015-02-23,36.85
2015-02-24,35.7
2015-02-25,34.8
2015-02-26,35.7
2015-02-27,35.1
2015-02-28,34.95
2015-03-02,34.6
2015-03-03,34.25
2015-03-04,35.6
2015-03-05,34.9
2015-03-09,36.35
2015-03-10,36.35
2015-03-11,35.15
2015-03-12,35.6
2015-03-13,35.0
2015-03-16,33.7
2015-03-17,33.9
2015-03-18,34.05
2015-03-19,33.45
2015-03-20,32.0
2015-03-23,30.15
2015-03-24,29.25
2015-03-25,27.05
2015-03-26,26.75
2015-03-27,27.25
2015-03-30,27.95
2015-03-31,27.2
2015-04-01,28.85
2015-04-06,34.6
2015-04-07,38.55
2015-04-08,37.25
2015-04-09,36.65
2015-04-10,37.45
2015-04-13,37.0
2015-04-15,35.05
2015-04-16,33.95
2015-04-17,31.3
2015-04-20,30.4
2015-04-21,30.6
2015-04-22,33.25
2015-04-23,33.15
2015-04-24,33.0
2015-04-27,30.95
2015-04-28,30.2
2015-04-29,29.8
2015-04-30,30.2
2015-05-04,29.85
2015-05-05,35.8
2015-05-06,31.55
2015-05-07,30.3
2015-05-08,32.2
2015-05-11,31.7
2015-05-12,30.2
2015-05-13,30.55
2015-05-14,31.0
2015-05-15,30.8
2015-05-18,30.5
2015-05-19,30.65
2015-05-20,30.6
2015-05-21,30.2
2015-05-22,30.55
2015-05-25,30.75
2015-05-26,30.25
2015-05-27,30.2
2015-05-28,30.15
2015-05-29,28.75
2015-06-01,28.95
2015-06-02,28.7
2015-06-03,26.95
2015-06-04,27.7
2015-06-05,27.3
2015-06-08,26.75
2015-06-09,27.35
2015-06-10,27.0
2015-06-11,26.25
2015-06-12,25.8
2015-06-15,26.05
2015-06-16,26.85
2015-06-17,28.9
2015-06-18,28.8
2015-06-19,28.35
2015-06-22,28.6
2015-06-23,28.7
2015-06-24,28.95
2015-06-25,28.65
2015-06-26,27.7
2015-06-29,27.55
2015-06-30,27.75
2015-07-01,27.75
2015-07-02,29.35
2015-07-03,30.15
2015-07-06,30.25
2015-07-07,31.3
2015-07-08,31.0
2015-07-09,33.9
2015-07-10,35.6
2015-07-13,37.55
2015-07-14,37.75
2015-07-15,36.8
2015-07-16,37.7
2015-07-17,37.15
2015-07-20,36.0
2015-07-21,33.85
2015-07-22,34.1
2015-07-23,33.75
2015-07-24,33.35
2015-07-27,32.6
2015-07-28,33.55
2015-07-29,40.2
2015-07-30,40.3
2015-07-31,44.6
2015-08-03,43.8
2015-08-04,42.25
2015-08-05,41.85
2015-08-06,41.5
2015-08-07,41.35
2015-08-10,41.4
2015-08-11,39.8
2015-08-12,38.0
2015-08-13,37.65
2015-08-14,37.6
2015-08-17,34.35
2015-08-18,37.65
2015-08-19,40.7
2015-08-20,37.2
2015-08-21,37.1
2015-08-24,32.25
2015-08-25,33.15
2015-08-26,33.7
2015-08-27,36.45
2015-08-28,35.8
2015-08-31,33.95
2015-09-01,32.6
2015-09-02,33.35
2015-09-03,33.65
2015-09-04,32.35
2015-09-07,30.85
2015-09-08,32.35
2015-09-09,31.95
2015-09-10,31.8
2015-09-11,31.7
2015-09-14,32.25
2015-09-15,32.4
2015-09-16,33.75
2015-09-18,34.25
2015-09-21,33.2
2015-09-22,32.9
2015-09-23,33.05
2015-09-24,34.9
2015-09-28,34.15
2015-09-29,34.75
2015-09-30,34.35
2015-10-01,34.7
2015-10-05,35.95
2015-10-06,35.1
2015-10-07,34.35
2015-10-08,32.15
2015-10-09,32.25
2015-10-12,32.05
2015-10-13,32.0
2015-10-14,32.35
2015-10-15,32.05
2015-10-16,31.7
2015-10-19,38.0
2015-10-20,45.6
2015-10-21,50.15
2015-10-23,45.15
2015-10-26,42.15
2015-10-27,42.0
2015-10-28,40.8
2015-10-29,40.0
2015-10-30,42.0
2015-11-02,40.0
2015-11-03,38.6
2015-11-04,37.8
2015-11-05,37.35
2015-11-06,36.9
2015-11-09,38.3
2015-11-10,38.95
2015-11-11,39.7
2015-11-13,37.85
2015-11-16,37.9
2015-11-17,37.3
2015-11-18,37.65
2015-11-19,37.95
2015-11-20,38.5
2015-11-23,40.4
2015-11-24,42.4
2015-11-26,40.55
2015-11-27,41.25
2015-11-30,41.8
2015-12-01,41.7
2015-12-02,43.75
2015-12-03,45.9
2015-12-04,46.6
2015-12-07,43.0
2015-12-08,44.05
2015-12-09,42.05
2015-12-10,42.15
2015-12-11,41.85
2015-12-14,43.1
2015-12-15,44.65
2015-12-16,44.7
2015-12-17,44.4
2015-12-18,45.0
2015-12-21,47.75
2015-12-22,47.6
2015-12-23,46.75
2015-12-24,46.0
2015-12-28,45.6
2015-12-29,46.8
2015-12-30,44.45
2015-12-31,45.3
