Date,NOIDATOLL
2015-01-01,34.95
2015-01-02,34.75
2015-01-05,33.55
2015-01-06,33.6
2015-01-07,33.8
2015-01-08,33.75
2015-01-09,33.85
2015-01-12,33.65
2015-01-13,34.1
2015-01-14,34.05
2015-01-15,34.25
2015-01-16,35.0
2015-01-19,35.0
2015-01-20,35.2
2015-01-21,35.2
2015-01-22,35.0
2015-01-23,35.6
2015-01-27,35.3
2015-01-28,36.1
2015-01-29,35.55
2015-01-30,35.0
2015-02-02,34.55
2015-02-03,34.5
2015-02-04,34.3
2015-02-05,34.05
2015-02-06,33.9
2015-02-09,34.4
2015-02-10,34.55
2015-02-11,34.5
2015-02-12,34.0
2015-02-13,33.75
2015-02-16,33.55
2015-02-18,33.7
2015-02-19,33.65
2015-02-20,33.5
2015-02-23,33.65
2015-02-24,33.6
2015-02-25,33.7
2015-02-26,34.45
2015-02-27,34.5
2015-02-28,33.9
2015-03-02,34.3
2015-03-03,34.45
2015-03-04,34.65
2015-03-05,34.5
2015-03-09,34.5
2015-03-10,34.25
2015-03-11,34.65
2015-03-12,34.8
2015-03-13,35.55
2015-03-16,35.2
2015-03-17,35.0
2015-03-18,35.2
2015-03-19,33.85
2015-03-20,33.85
2015-03-23,33.2
2015-03-24,33.35
2015-03-25,32.95
2015-03-26,32.65
2015-03-27,32.9
2015-03-30,33.45
2015-03-31,33.45
2015-04-01,33.65
2015-04-06,33.6
2015-04-07,33.9
2015-04-08,33.5
2015-04-09,33.7
2015-04-10,33.7
2015-04-13,32.8
2015-04-15,32.5
2015-04-16,32.4
2015-04-17,32.5
2015-04-20,32.35
2015-04-21,32.85
2015-04-22,32.75
2015-04-23,33.0
2015-04-24,33.4
2015-04-27,32.55
2015-04-28,32.9
2015-04-29,33.15
2015-04-30,33.5
2015-05-04,34.9
2015-05-05,34.45
2015-05-06,33.75
2015-05-07,33.55
2015-05-08,34.0
2015-05-11,33.8
2015-05-12,33.7
2015-05-13,33.4
2015-05-14,33.45
2015-05-15,33.4
2015-05-18,33.5
2015-05-19,33.75
2015-05-20,33.95
2015-05-21,33.75
2015-05-22,33.7
2015-05-25,33.6
2015-05-26,33.85
2015-05-27,33.45
2015-05-28,33.95
2015-05-29,33.75
2015-06-01,33.65
2015-06-02,33.5
2015-06-03,33.15
2015-06-04,33.7
2015-06-05,33.0
2015-06-08,32.25
2015-06-09,32.05
2015-06-10,31.95
2015-06-11,31.8
2015-06-12,31.75
2015-06-15,32.0
2015-06-16,31.95
2015-06-17,32.8
2015-06-18,32.9
2015-06-19,32.5
2015-06-22,32.5
2015-06-23,32.4
2015-06-24,32.5
2015-06-25,32.5
2015-06-26,32.55
2015-06-29,32.0
2015-06-30,31.95
2015-07-01,31.95
2015-07-02,32.1
2015-07-03,32.0
2015-07-06,32.4
2015-07-07,33.2
2015-07-08,32.85
2015-07-09,31.9
2015-07-10,27.4
2015-07-13,28.0
2015-07-14,28.3
2015-07-15,27.75
2015-07-16,27.5
2015-07-17,27.65
2015-07-20,27.3
2015-07-21,27.3
2015-07-22,27.15
2015-07-23,26.95
2015-07-24,26.25
2015-07-27,25.75
2015-07-28,25.5
2015-07-29,25.0
2015-07-30,24.9
2015-07-31,24.95
2015-08-03,25.2
2015-08-04,26.0
2015-08-05,26.0
2015-08-06,25.9
2015-08-07,25.6
2015-08-10,25.15
2015-08-11,24.8
2015-08-12,24.65
2015-08-13,24.75
2015-08-14,24.85
2015-08-17,24.85
2015-08-18,24.95
2015-08-19,25.1
2015-08-20,24.85
2015-08-21,24.8
2015-08-24,23.45
2015-08-25,23.6
2015-08-26,23.7
2015-08-27,24.35
2015-08-28,24.05
2015-08-31,24.05
2015-09-01,23.8
2015-09-02,24.45
2015-09-03,24.25
2015-09-04,23.95
2015-09-07,23.6
2015-09-08,24.65
2015-09-09,24.95
2015-09-10,25.05
2015-09-11,24.95
2015-09-14,25.4
2015-09-15,25.0
2015-09-16,25.25
2015-09-18,25.5
2015-09-21,24.55
2015-09-22,24.3
2015-09-23,24.35
2015-09-24,24.4
2015-09-28,24.4
2015-09-29,24.5
2015-09-30,24.65
2015-10-01,24.85
2015-10-05,24.5
2015-10-06,24.65
2015-10-07,24.8
2015-10-08,24.5
2015-10-09,24.5
2015-10-12,24.8
2015-10-13,24.8
2015-10-14,24.75
2015-10-15,25.0
2015-10-16,24.9
2015-10-19,25.15
2015-10-20,26.85
2015-10-21,24.85
2015-10-23,25.15
2015-10-26,25.15
2015-10-27,25.0
2015-10-28,24.9
2015-10-29,24.9
2015-10-30,24.85
2015-11-02,24.9
2015-11-03,25.0
2015-11-04,24.95
2015-11-05,24.9
2015-11-06,24.85
2015-11-09,24.6
2015-11-10,24.55
2015-11-11,24.7
2015-11-13,24.7
2015-11-16,24.65
2015-11-17,24.85
2015-11-18,24.8
2015-11-19,24.7
2015-11-20,24.8
2015-11-23,24.9
2015-11-24,24.9
2015-11-26,25.45
2015-11-27,25.0
2015-11-30,25.05
2015-12-01,25.1
2015-12-02,25.2
2015-12-03,25.45
2015-12-04,24.9
2015-12-07,24.65
2015-12-08,24.5
2015-12-09,24.25
2015-12-10,24.25
2015-12-11,24.1
2015-12-14,24.15
2015-12-15,24.1
2015-12-16,24.1
2015-12-17,24.4
2015-12-18,23.9
2015-12-21,24.15
2015-12-22,24.9
2015-12-23,24.65
2015-12-24,25.0
2015-12-28,25.1
2015-12-29,24.75
2015-12-30,24.65
2015-12-31,24.85
