Date,EMAMIINFRA
2015-01-01,31.55
2015-01-02,31.9
2015-01-05,33.1
2015-01-06,32.4
2015-01-07,33.15
2015-01-08,34.7
2015-01-09,35.05
2015-01-12,35.45
2015-01-13,35.1
2015-01-14,35.15
2015-01-15,36.5
2015-01-16,36.25
2015-01-19,36.7
2015-01-20,39.05
2015-01-21,38.55
2015-01-22,38.65
2015-01-23,38.0
2015-01-27,37.25
2015-01-28,38.0
2015-01-29,37.0
2015-01-30,36.6
2015-02-02,39.8
2015-02-03,41.15
2015-02-04,49.25
2015-02-05,51.9
2015-02-06,51.35
2015-02-09,49.9
2015-02-10,49.5
2015-02-11,49.85
2015-02-12,49.0
2015-02-13,49.35
2015-02-16,49.55
2015-02-18,49.0
2015-02-19,47.75
2015-02-20,49.85
2015-02-23,49.55
2015-02-24,48.5
2015-02-25,48.55
2015-02-26,46.0
2015-02-27,46.45
2015-02-28,46.05
2015-03-02,44.1
2015-03-03,43.2
2015-03-04,43.8
2015-03-05,44.0
2015-03-09,43.95
2015-03-10,44.5
2015-03-11,43.1
2015-03-12,43.0
2015-03-13,40.75
2015-03-16,40.9
2015-03-17,38.8
2015-03-18,38.85
2015-03-19,39.6
2015-03-20,37.0
2015-03-23,36.95
2015-03-24,35.8
2015-03-25,33.55
2015-03-26,33.45
2015-03-27,32.85
2015-03-30,34.25
2015-03-31,38.85
2015-04-01,40.05
2015-04-06,39.7
2015-04-07,40.05
2015-04-08,41.7
2015-04-09,41.6
2015-04-10,43.25
2015-04-13,44.45
2015-04-15,43.25
2015-04-16,42.75
2015-04-17,41.6
2015-04-20,39.85
2015-04-21,39.0
2015-04-22,38.15
2015-04-23,40.3
2015-04-24,39.2
2015-04-27,38.15
2015-04-28,38.1
2015-04-29,37.8
2015-04-30,38.5
2015-05-04,40.7
2015-05-05,41.45
2015-05-06,38.75
2015-05-07,36.95
2015-05-08,36.55
2015-05-11,36.55
2015-05-12,36.15
2015-05-13,36.7
2015-05-14,37.25
2015-05-15,37.65
2015-05-18,36.7
2015-05-19,37.55
2015-05-20,36.9
2015-05-21,36.9
2015-05-22,36.9
2015-05-25,36.0
2015-05-26,35.7
2015-05-27,35.0
2015-05-28,34.15
2015-05-29,35.0
2015-06-01,35.0
2015-06-02,34.65
2015-06-03,34.3
2015-06-04,33.05
2015-06-05,33.6
2015-06-08,32.6
2015-06-09,33.3
2015-06-10,34.0
2015-06-11,33.95
2015-06-12,33.8
2015-06-15,33.1
2015-06-16,33.35
2015-06-17,35.0
2015-06-18,36.05
2015-06-19,34.95
2015-06-22,35.0
2015-06-23,34.95
2015-06-24,33.55
2015-06-25,33.35
2015-06-26,33.5
2015-06-29,32.8
2015-06-30,32.6
2015-07-01,33.55
2015-07-02,34.25
2015-07-03,34.45
2015-07-06,35.15
2015-07-07,34.1
2015-07-08,33.6
2015-07-09,34.35
2015-07-10,34.45
2015-07-13,34.3
2015-07-14,34.9
2015-07-15,35.9
2015-07-16,36.65
2015-07-17,36.45
2015-07-20,35.8
2015-07-21,35.8
2015-07-22,39.75
2015-07-23,39.7
2015-07-24,39.6
2015-07-27,38.0
2015-07-28,36.95
2015-07-29,38.25
2015-07-30,37.35
2015-07-31,39.9
2015-08-03,40.6
2015-08-04,39.5
2015-08-05,39.1
2015-08-06,40.95
2015-08-07,39.9
2015-08-10,39.8
2015-08-11,41.25
2015-08-12,36.35
2015-08-13,36.7
2015-08-14,38.7
2015-08-17,39.1
2015-08-18,40.25
2015-08-19,42.15
2015-08-20,39.75
2015-08-21,42.1
2015-08-24,42.8
2015-08-25,41.15
2015-08-26,39.7
2015-08-27,42.75
2015-08-28,42.55
2015-08-31,44.45
2015-09-01,46.45
2015-09-02,50.15
2015-09-03,50.2
2015-09-04,46.1
2015-09-07,44.35
2015-09-08,46.25
2015-09-09,45.15
2015-09-10,44.2
2015-09-11,45.35
2015-09-14,45.75
2015-09-15,46.05
2015-09-16,45.65
2015-09-18,45.0
2015-09-21,44.15
2015-09-22,42.8
2015-09-23,43.1
2015-09-24,42.95
2015-09-28,42.3
2015-09-29,42.9
2015-09-30,42.75
2015-10-01,41.7
2015-10-05,43.1
2015-10-06,43.2
2015-10-07,43.3
2015-10-08,41.7
2015-10-09,41.85
2015-10-12,41.3
2015-10-13,40.45
2015-10-14,41.05
2015-10-15,40.55
2015-10-16,40.45
2015-10-19,40.6
2015-10-20,39.9
2015-10-21,40.65
2015-10-23,39.2
2015-10-26,40.75
2015-10-27,41.1
2015-10-28,40.65
2015-10-29,42.2
2015-10-30,40.95
2015-11-02,40.35
2015-11-03,39.65
2015-11-04,39.55
2015-11-05,38.55
2015-11-06,38.65
2015-11-09,38.55
2015-11-10,38.35
2015-11-11,38.85
2015-11-13,38.15
2015-11-16,38.95
2015-11-17,40.45
2015-11-18,40.0
2015-11-19,39.7
2015-11-20,39.35
2015-11-23,38.75
2015-11-24,38.0
2015-11-26,39.55
2015-11-27,39.9
2015-11-30,39.35
2015-12-01,40.25
2015-12-02,39.7
2015-12-03,42.4
2015-12-04,40.5
2015-12-07,40.25
2015-12-08,39.85
2015-12-09,38.95
2015-12-10,39.25
2015-12-11,38.6
2015-12-14,38.7
2015-12-15,39.5
2015-12-16,39.3
2015-12-17,39.1
2015-12-18,39.9
2015-12-21,40.0
2015-12-22,40.15
2015-12-23,40.6
2015-12-24,40.75
2015-12-28,41.3
2015-12-29,40.45
2015-12-30,41.25
2015-12-31,41.1
