Date,BIRLAMONEY
2015-01-01,32.3
2015-01-02,33.5
2015-01-05,33.5
2015-01-06,32.65
2015-01-07,32.0
2015-01-08,32.65
2015-01-09,33.1
2015-01-12,33.45
2015-01-13,33.35
2015-01-14,33.1
2015-01-15,32.5
2015-01-16,32.0
2015-01-19,32.15
2015-01-20,32.5
2015-01-21,31.9
2015-01-22,31.35
2015-01-23,31.6
2015-01-27,30.7
2015-01-28,30.6
2015-01-29,29.6
2015-01-30,29.35
2015-02-02,29.45
2015-02-03,31.6
2015-02-04,30.5
2015-02-05,29.6
2015-02-06,28.2
2015-02-09,27.6
2015-02-10,29.0
2015-02-11,28.5
2015-02-12,28.1
2015-02-13,29.1
2015-02-16,28.75
2015-02-18,27.85
2015-02-19,27.55
2015-02-20,27.45
2015-02-23,27.8
2015-02-24,27.05
2015-02-25,28.2
2015-02-26,28.45
2015-02-27,27.85
2015-02-28,27.6
2015-03-02,27.0
2015-03-03,27.15
2015-03-04,26.65
2015-03-05,27.1
2015-03-09,27.65
2015-03-10,27.0
2015-03-11,26.85
2015-03-12,26.1
2015-03-13,26.7
2015-03-16,27.35
2015-03-17,26.8
2015-03-18,26.85
2015-03-19,26.7
2015-03-20,25.25
2015-03-23,25.1
2015-03-24,25.7
2015-03-25,24.95
2015-03-26,23.4
2015-03-27,23.25
2015-03-30,24.05
2015-03-31,24.05
2015-04-01,28.65
2015-04-06,28.2
2015-04-07,28.95
2015-04-08,28.7
2015-04-09,28.3
2015-04-10,28.45
2015-04-13,32.4
2015-04-15,30.95
2015-04-16,30.5
2015-04-17,30.5
2015-04-20,29.05
2015-04-21,29.05
2015-04-22,29.9
2015-04-23,29.35
2015-04-24,27.4
2015-04-27,26.55
2015-04-28,27.9
2015-04-29,28.0
2015-04-30,29.0
2015-05-04,30.45
2015-05-05,29.05
2015-05-06,26.9
2015-05-07,26.5
2015-05-08,27.25
2015-05-11,27.7
2015-05-12,27.3
2015-05-13,26.75
2015-05-14,26.85
2015-05-15,26.65
2015-05-18,26.95
2015-05-19,26.75
2015-05-20,26.25
2015-05-21,25.95
2015-05-22,26.1
2015-05-25,26.65
2015-05-26,25.95
2015-05-27,25.35
2015-05-28,26.0
2015-05-29,26.0
2015-06-01,25.4
2015-06-02,25.45
2015-06-03,24.35
2015-06-04,24.55
2015-06-05,24.8
2015-06-08,24.1
2015-06-09,24.0
2015-06-10,26.4
2015-06-11,24.25
2015-06-12,24.2
2015-06-15,24.55
2015-06-16,24.3
2015-06-17,25.4
2015-06-18,24.6
2015-06-19,24.25
2015-06-22,24.4
2015-06-23,25.85
2015-06-24,25.8
2015-06-25,24.9
2015-06-26,25.75
2015-06-29,23.45
2015-06-30,24.4
2015-07-01,24.55
2015-07-02,25.35
2015-07-03,24.9
2015-07-06,24.2
2015-07-07,24.65
2015-07-08,24.2
2015-07-09,24.35
2015-07-10,27.0
2015-07-13,26.05
2015-07-14,25.35
2015-07-15,27.2
2015-07-16,26.6
2015-07-17,26.7
2015-07-20,27.45
2015-07-21,26.7
2015-07-22,27.1
2015-07-23,25.0
2015-07-24,24.95
2015-07-27,24.4
2015-07-28,24.1
2015-07-29,23.9
2015-07-30,24.1
2015-07-31,24.3
2015-08-03,25.45
2015-08-04,24.55
2015-08-05,24.9
2015-08-06,24.65
2015-08-07,24.4
2015-08-10,24.6
2015-08-11,24.15
2015-08-12,23.9
2015-08-13,23.6
2015-08-14,23.9
2015-08-17,24.0
2015-08-18,24.6
2015-08-19,23.35
2015-08-20,23.65
2015-08-21,24.0
2015-08-24,21.65
2015-08-25,20.5
2015-08-26,21.7
2015-08-27,22.2
2015-08-28,21.75
2015-08-31,21.55
2015-09-01,21.15
2015-09-02,21.15
2015-09-03,20.25
2015-09-04,19.95
2015-09-07,19.55
2015-09-08,19.75
2015-09-09,20.65
2015-09-10,20.6
2015-09-11,21.35
2015-09-14,21.35
2015-09-15,21.2
2015-09-16,21.4
2015-09-18,21.75
2015-09-21,21.7
2015-09-22,21.05
2015-09-23,21.0
2015-09-24,21.35
2015-09-28,23.05
2015-09-29,23.0
2015-09-30,23.25
2015-10-01,22.8
2015-10-05,23.2
2015-10-06,22.5
2015-10-07,22.6
2015-10-08,22.85
2015-10-09,24.85
2015-10-12,25.6
2015-10-13,26.2
2015-10-14,25.9
2015-10-15,25.9
2015-10-16,26.25
2015-10-19,28.45
2015-10-20,27.05
2015-10-21,26.9
2015-10-23,26.3
2015-10-26,25.9
2015-10-27,25.95
2015-10-28,25.8
2015-10-29,25.2
2015-10-30,24.4
2015-11-02,24.6
2015-11-03,25.95
2015-11-04,25.55
2015-11-05,25.45
2015-11-06,25.1
2015-11-09,24.15
2015-11-10,24.2
2015-11-11,25.8
2015-11-13,24.95
2015-11-16,25.25
2015-11-17,24.9
2015-11-18,24.9
2015-11-19,25.05
2015-11-20,24.7
2015-11-23,24.7
2015-11-24,25.15
2015-11-26,24.55
2015-11-27,24.55
2015-11-30,24.95
2015-12-01,25.0
2015-12-02,25.05
2015-12-03,24.85
2015-12-04,25.85
2015-12-07,25.45
2015-12-08,25.0
2015-12-09,24.3
2015-12-10,24.45
2015-12-11,24.1
2015-12-14,24.3
2015-12-15,24.4
2015-12-16,24.4
2015-12-17,24.95
2015-12-18,25.1
2015-12-21,24.85
2015-12-22,24.6
2015-12-23,25.0
2015-12-24,24.8
2015-12-28,29.75
2015-12-29,32.6
2015-12-30,33.25
2015-12-31,31.65
