Date,PSB
2015-01-01,63.35
2015-01-02,63.75
2015-01-05,62.95
2015-01-06,60.85
2015-01-07,60.8
2015-01-08,61.65
2015-01-09,60.65
2015-01-12,61.55
2015-01-13,61.15
2015-01-14,60.5
2015-01-15,62.5
2015-01-16,61.55
2015-01-19,64.7
2015-01-20,65.5
2015-01-21,64.65
2015-01-22,63.65
2015-01-23,62.7
2015-01-27,61.45
2015-01-28,60.9
2015-01-29,60.45
2015-01-30,60.15
2015-02-02,60.8
2015-02-03,59.4
2015-02-04,59.0
2015-02-05,58.4
2015-02-06,57.6
2015-02-09,55.85
2015-02-10,54.45
2015-02-11,53.85
2015-02-12,53.7
2015-02-13,55.5
2015-02-16,55.15
2015-02-18,54.85
2015-02-19,54.75
2015-02-20,55.75
2015-02-23,54.75
2015-02-24,54.3
2015-02-25,54.25
2015-02-26,53.65
2015-02-27,54.7
2015-02-28,54.9
2015-03-02,54.6
2015-03-03,55.25
2015-03-04,55.0
2015-03-05,53.95
2015-03-09,52.6
2015-03-10,52.5
2015-03-11,52.25
2015-03-12,52.45
2015-03-13,51.4
2015-03-16,51.05
2015-03-17,50.9
2015-03-18,50.3
2015-03-19,50.05
2015-03-20,48.85
2015-03-23,46.75
2015-03-24,45.3
2015-03-25,44.5
2015-03-26,45.25
2015-03-27,44.6
2015-03-30,45.55
2015-03-31,45.65
2015-04-01,47.15
2015-04-06,47.75
2015-04-07,47.35
2015-04-08,48.1
2015-04-09,49.1
2015-04-10,53.95
2015-04-13,55.05
2015-04-15,54.3
2015-04-16,52.9
2015-04-17,52.7
2015-04-20,51.0
2015-04-21,50.35
2015-04-22,50.55
2015-04-23,50.1
2015-04-24,49.15
2015-04-27,47.85
2015-04-28,48.2
2015-04-29,48.85
2015-04-30,49.1
2015-05-04,50.25
2015-05-05,49.95
2015-05-06,48.8
2015-05-07,47.7
2015-05-08,48.15
2015-05-11,49.55
2015-05-12,48.95
2015-05-13,47.15
2015-05-14,47.35
2015-05-15,47.7
2015-05-18,47.55
2015-05-19,47.2
2015-05-20,46.9
2015-05-21,46.65
2015-05-22,46.55
2015-05-25,45.65
2015-05-26,45.3
2015-05-27,45.8
2015-05-28,45.85
2015-05-29,46.1
2015-06-01,46.9
2015-06-02,45.45
2015-06-03,44.4
2015-06-04,43.6
2015-06-05,43.4
2015-06-08,42.75
2015-06-09,42.5
2015-06-10,43.0
2015-06-11,42.2
2015-06-12,41.75
2015-06-15,41.65
2015-06-16,41.7
2015-06-17,42.05
2015-06-18,42.3
2015-06-19,41.75
2015-06-22,42.6
2015-06-23,43.05
2015-06-24,42.3
2015-06-25,42.4
2015-06-26,42.0
2015-06-29,41.25
2015-06-30,41.4
2015-07-01,42.1
2015-07-02,42.4
2015-07-03,42.3
2015-07-06,42.6
2015-07-07,42.9
2015-07-08,41.75
2015-07-09,42.0
2015-07-10,42.1
2015-07-13,42.3
2015-07-14,42.3
2015-07-15,41.95
2015-07-16,42.2
2015-07-17,42.45
2015-07-20,42.25
2015-07-21,41.65
2015-07-22,41.95
2015-07-23,41.75
2015-07-24,41.4
2015-07-27,40.65
2015-07-28,40.35
2015-07-29,40.35
2015-07-30,41.45
2015-07-31,43.3
2015-08-03,43.75
2015-08-04,43.15
2015-08-05,43.45
2015-08-06,43.25
2015-08-07,42.7
2015-08-10,44.8
2015-08-11,44.75
2015-08-12,43.05
2015-08-13,42.1
2015-08-14,44.3
2015-08-17,46.15
2015-08-18,46.2
2015-08-19,44.6
2015-08-20,43.0
2015-08-21,42.2
2015-08-24,39.05
2015-08-25,38.7
2015-08-26,38.1
2015-08-27,38.5
2015-08-28,38.4
2015-08-31,38.4
2015-09-01,36.5
2015-09-02,35.4
2015-09-03,35.5
2015-09-04,35.15
2015-09-07,34.8
2015-09-08,35.1
2015-09-09,35.65
2015-09-10,35.05
2015-09-11,35.65
2015-09-14,35.85
2015-09-15,35.9
2015-09-16,35.45
2015-09-18,36.2
2015-09-21,37.05
2015-09-22,36.3
2015-09-23,36.75
2015-09-24,37.2
2015-09-28,37.25
2015-09-29,37.4
2015-09-30,37.2
2015-10-01,37.1
2015-10-05,39.75
2015-10-06,41.25
2015-10-07,40.8
2015-10-08,40.35
2015-10-09,39.6
2015-10-12,39.25
2015-10-13,39.25
2015-10-14,38.95
2015-10-15,38.85
2015-10-16,38.8
2015-10-19,38.55
2015-10-20,38.45
2015-10-21,38.2
2015-10-23,38.05
2015-10-26,37.75
2015-10-27,37.6
2015-10-28,37.1
2015-10-29,36.95
2015-10-30,36.9
2015-11-02,36.25
2015-11-03,36.2
2015-11-04,38.6
2015-11-05,38.55
2015-11-06,37.75
2015-11-09,38.65
2015-11-10,38.4
2015-11-11,38.7
2015-11-13,38.0
2015-11-16,38.2
2015-11-17,38.45
2015-11-18,37.7
2015-11-19,37.8
2015-11-20,37.85
2015-11-23,37.8
2015-11-24,38.45
2015-11-26,39.5
2015-11-27,40.15
2015-11-30,39.9
2015-12-01,40.15
2015-12-02,39.65
2015-12-03,39.55
2015-12-04,39.4
2015-12-07,39.1
2015-12-08,38.5
2015-12-09,37.9
2015-12-10,37.35
2015-12-11,37.3
2015-12-14,37.05
2015-12-15,37.25
2015-12-16,37.7
2015-12-17,37.85
2015-12-18,38.45
2015-12-21,39.2
2015-12-22,39.0
2015-12-23,39.4
2015-12-24,40.2
2015-12-28,39.6
2015-12-29,39.1
2015-12-30,39.1
2015-12-31,38.85
