Date,BFUTILITIE
2015-01-01,673.1
2015-01-02,667.75
2015-01-05,662.0
2015-01-06,618.05
2015-01-07,610.8
2015-01-08,623.95
2015-01-09,612.8
2015-01-12,615.1
2015-01-13,611.15
2015-01-14,597.85
2015-01-15,600.8
2015-01-16,605.7
2015-01-19,608.1
2015-01-20,613.95
2015-01-21,607.55
2015-01-22,609.0
2015-01-23,599.25
2015-01-27,599.15
2015-01-28,591.4
2015-01-29,592.05
2015-01-30,585.4
2015-02-02,610.0
2015-02-03,589.15
2015-02-04,572.9
2015-02-05,554.75
2015-02-06,542.05
2015-02-09,522.0
2015-02-10,517.7
2015-02-11,533.25
2015-02-12,592.6
2015-02-13,574.3
2015-02-16,585.5
2015-02-18,585.5
2015-02-19,626.1
2015-02-20,622.15
2015-02-23,601.15
2015-02-24,617.85
2015-02-25,614.2
2015-02-26,605.7
2015-02-27,618.9
2015-02-28,609.85
2015-03-02,617.4
2015-03-03,626.2
2015-03-04,674.85
2015-03-05,686.35
2015-03-09,783.6
2015-03-10,815.5
2015-03-11,810.75
2015-03-12,800.25
2015-03-13,767.85
2015-03-16,762.6
2015-03-17,776.55
2015-03-18,765.25
2015-03-19,756.95
2015-03-20,714.0
2015-03-23,681.05
2015-03-24,692.2
2015-03-25,684.45
2015-03-26,665.4
2015-03-27,674.8
2015-03-30,697.65
2015-03-31,707.6
2015-04-01,736.05
2015-04-06,794.2
2015-04-07,804.5
2015-04-08,795.6
2015-04-09,779.8
2015-04-10,834.7
2015-04-13,842.85
2015-04-15,813.65
2015-04-16,792.25
2015-04-17,795.0
2015-04-20,740.5
2015-04-21,710.6
2015-04-22,730.7
2015-04-23,718.35
2015-04-24,663.3
2015-04-27,618.75
2015-04-28,667.15
2015-04-29,669.0
2015-04-30,665.3
2015-05-04,699.6
2015-05-05,702.45
2015-05-06,651.9
2015-05-07,630.0
2015-05-08,641.7
2015-05-11,655.4
2015-05-12,627.45
2015-05-13,646.7
2015-05-14,649.95
2015-05-15,650.05
2015-05-18,647.25
2015-05-19,653.65
2015-05-20,664.65
2015-05-21,659.6
2015-05-22,653.35
2015-05-25,642.75
2015-05-26,639.5
2015-05-27,632.3
2015-05-28,632.1
2015-05-29,635.55
2015-06-01,633.45
2015-06-02,609.6
2015-06-03,556.35
2015-06-04,557.75
2015-06-05,556.3
2015-06-08,537.4
2015-06-09,524.05
2015-06-10,537.5
2015-06-11,514.95
2015-06-12,508.85
2015-06-15,524.5
2015-06-16,521.95
2015-06-17,530.4
2015-06-18,549.5
2015-06-19,557.8
2015-06-22,567.95
2015-06-23,564.5
2015-06-24,551.75
2015-06-25,548.75
2015-06-26,590.1
2015-06-29,560.8
2015-06-30,566.95
2015-07-01,572.8
2015-07-02,570.5
2015-07-03,562.6
2015-07-06,567.25
2015-07-07,571.9
2015-07-08,556.3
2015-07-09,561.35
2015-07-10,560.85
2015-07-13,565.55
2015-07-14,586.35
2015-07-15,582.2
2015-07-16,575.35
2015-07-17,573.55
2015-07-20,565.2
2015-07-21,549.9
2015-07-22,557.45
2015-07-23,558.7
2015-07-24,549.7
2015-07-27,531.5
2015-07-28,528.15
2015-07-29,534.7
2015-07-30,544.3
2015-07-31,553.2
2015-08-03,566.0
2015-08-04,554.1
2015-08-05,559.65
2015-08-06,614.9
2015-08-07,593.4
2015-08-10,592.55
2015-08-11,571.5
2015-08-12,545.2
2015-08-13,549.8
2015-08-14,561.65
2015-08-17,558.9
2015-08-18,578.1
2015-08-19,627.4
2015-08-20,609.55
2015-08-21,592.6
2015-08-24,474.1
2015-08-25,489.4
2015-08-26,489.4
2015-08-27,520.5
2015-08-28,513.35
2015-08-31,509.75
2015-09-01,491.45
2015-09-02,495.9
2015-09-03,507.05
2015-09-04,483.55
2015-09-07,464.3
2015-09-08,474.55
2015-09-09,482.3
2015-09-10,471.85
2015-09-11,477.95
2015-09-14,483.4
2015-09-15,475.75
2015-09-16,472.15
2015-09-18,477.05
2015-09-21,487.6
2015-09-22,484.15
2015-09-23,487.0
2015-09-24,489.15
2015-09-28,489.65
2015-09-29,457.8
2015-09-30,467.85
2015-10-01,470.25
2015-10-05,477.05
2015-10-06,476.6
2015-10-07,492.05
2015-10-08,501.15
2015-10-09,510.6
2015-10-12,501.35
2015-10-13,505.8
2015-10-14,502.5
2015-10-15,502.4
2015-10-16,499.7
2015-10-19,507.95
2015-10-20,510.1
2015-10-21,508.6
2015-10-23,504.2
2015-10-26,492.45
2015-10-27,588.35
2015-10-28,605.4
2015-10-29,603.4
2015-10-30,575.0
2015-11-02,585.05
2015-11-03,597.0
2015-11-04,599.55
2015-11-05,576.65
2015-11-06,567.1
2015-11-09,576.5
2015-11-10,577.8
2015-11-11,584.05
2015-11-13,569.0
2015-11-16,586.5
2015-11-17,587.5
2015-11-18,569.85
2015-11-19,580.95
2015-11-20,574.95
2015-11-23,578.85
2015-11-24,574.4
2015-11-26,575.95
2015-11-27,574.75
2015-11-30,602.1
2015-12-01,609.85
2015-12-02,607.15
2015-12-03,636.95
2015-12-04,612.05
2015-12-07,609.45
2015-12-08,599.1
2015-12-09,578.15
2015-12-10,602.45
2015-12-11,604.85
2015-12-14,603.75
2015-12-15,603.5
2015-12-16,600.2
2015-12-17,630.7
2015-12-18,625.45
2015-12-21,618.85
2015-12-22,636.7
2015-12-23,633.8
2015-12-24,669.35
2015-12-28,679.65
2015-12-29,673.9
2015-12-30,653.65
2015-12-31,661.05
