Date,PARABDRUGS
2015-01-01,9.25
2015-01-02,9.95
2015-01-05,9.85
2015-01-06,9.3
2015-01-07,9.05
2015-01-08,9.4
2015-01-09,9.2
2015-01-12,9.85
2015-01-13,9.05
2015-01-14,9.05
2015-01-15,9.15
2015-01-16,9.05
2015-01-19,9.15
2015-01-20,9.1
2015-01-21,9.05
2015-01-22,9.1
2015-01-23,9.0
2015-01-27,9.05
2015-01-28,8.8
2015-01-29,8.8
2015-01-30,8.95
2015-02-02,9.3
2015-02-03,9.75
2015-02-04,9.25
2015-02-05,9.0
2015-02-06,8.9
2015-02-09,8.95
2015-02-10,9.0
2015-02-11,9.55
2015-02-12,9.75
2015-02-13,9.15
2015-02-16,8.45
2015-02-18,8.3
2015-02-19,8.25
2015-02-20,8.35
2015-02-23,8.45
2015-02-24,8.4
2015-02-25,8.35
2015-02-26,8.45
2015-02-27,8.4
2015-02-28,8.65
2015-03-02,8.85
2015-03-03,8.7
2015-03-04,8.6
2015-03-05,8.35
2015-03-09,8.35
2015-03-10,8.15
2015-03-11,8.15
2015-03-12,8.0
2015-03-13,8.0
2015-03-16,7.3
2015-03-17,7.65
2015-03-18,7.5
2015-03-19,7.45
2015-03-20,8.05
2015-03-23,8.0
2015-03-24,8.05
2015-03-25,7.9
2015-03-26,8.0
2015-03-27,7.7
2015-03-30,7.65
2015-03-31,8.75
2015-04-01,10.5
2015-04-06,11.9
2015-04-07,11.15
2015-04-08,10.8
2015-04-09,10.15
2015-04-10,11.15
2015-04-13,11.55
2015-04-15,12.5
2015-04-16,13.75
2015-04-17,14.05
2015-04-20,13.35
2015-04-21,13.75
2015-04-22,14.3
2015-04-23,15.0
2015-04-24,14.25
2015-04-27,13.55
2015-04-28,12.9
2015-04-29,12.3
2015-04-30,12.85
2015-05-04,12.95
2015-05-05,12.3
2015-05-06,12.05
2015-05-07,12.1
2015-05-08,12.6
2015-05-11,11.75
2015-05-12,11.2
2015-05-13,10.75
2015-05-14,10.4
2015-05-15,10.35
2015-05-18,10.5
2015-05-19,9.45
2015-05-20,8.55
2015-05-21,8.15
2015-05-22,7.75
2015-05-25,7.95
2015-05-26,7.85
2015-05-27,7.95
2015-05-28,8.3
2015-05-29,8.7
2015-06-01,9.1
2015-06-02,9.55
2015-06-03,9.1
2015-06-04,8.65
2015-06-05,9.05
2015-06-08,9.45
2015-06-09,9.0
2015-06-10,8.55
2015-06-11,8.45
2015-06-12,8.1
2015-06-15,7.95
2015-06-16,7.95
2015-06-17,8.15
2015-06-18,8.05
2015-06-19,8.2
2015-06-22,8.05
2015-06-23,8.0
2015-06-24,8.05
2015-06-25,8.0
2015-06-26,7.7
2015-06-29,7.75
2015-06-30,8.1
2015-07-01,8.3
2015-07-02,8.25
2015-07-03,8.25
2015-07-06,8.4
2015-07-07,9.2
2015-07-08,9.9
2015-07-09,9.85
2015-07-10,9.55
2015-07-13,9.4
2015-07-14,9.35
2015-07-15,10.15
2015-07-16,10.7
2015-07-17,10.05
2015-07-20,9.95
2015-07-21,10.2
2015-07-22,10.45
2015-07-23,10.4
2015-07-24,10.1
2015-07-27,9.85
2015-07-28,10.05
2015-07-29,9.75
2015-07-30,9.9
2015-07-31,9.5
2015-08-03,9.35
2015-08-04,9.15
2015-08-05,9.15
2015-08-06,10.05
2015-08-07,10.3
2015-08-10,10.05
2015-08-11,9.8
2015-08-12,9.3
2015-08-13,9.25
2015-08-14,9.35
2015-08-17,9.15
2015-08-18,9.65
2015-08-19,10.35
2015-08-20,9.6
2015-08-21,9.5
2015-08-24,8.15
2015-08-25,8.35
2015-08-26,8.05
2015-08-27,8.35
2015-08-28,8.5
2015-08-31,8.2
2015-09-01,7.9
2015-09-02,8.2
2015-09-03,7.9
2015-09-04,7.45
2015-09-07,7.05
2015-09-08,7.7
2015-09-09,8.0
2015-09-10,8.0
2015-09-11,7.95
2015-09-14,8.05
2015-09-15,7.8
2015-09-16,7.95
2015-09-18,8.0
2015-09-21,7.75
2015-09-22,7.95
2015-09-23,7.95
2015-09-24,7.8
2015-09-28,9.35
2015-09-29,9.85
2015-09-30,9.05
2015-10-01,9.6
2015-10-05,9.45
2015-10-06,8.95
2015-10-07,9.3
2015-10-08,9.35
2015-10-09,9.2
2015-10-12,9.2
2015-10-13,9.05
2015-10-14,9.2
2015-10-15,9.15
2015-10-16,9.1
2015-10-19,9.1
2015-10-20,9.35
2015-10-21,9.65
2015-10-23,9.25
2015-10-26,9.2
2015-10-27,9.3
2015-10-28,9.05
2015-10-29,9.0
2015-10-30,8.75
2015-11-02,8.55
2015-11-03,8.6
2015-11-04,8.25
2015-11-05,8.05
2015-11-06,8.15
2015-11-09,8.25
2015-11-10,7.75
2015-11-11,7.85
2015-11-13,7.7
2015-11-16,7.85
2015-11-17,7.75
2015-11-18,7.3
2015-11-19,7.3
2015-11-20,7.25
2015-11-23,8.7
2015-11-24,9.9
2015-11-26,10.4
2015-11-27,10.0
2015-11-30,9.55
2015-12-01,9.1
2015-12-02,10.0
2015-12-03,9.8
2015-12-04,9.45
2015-12-07,9.25
2015-12-08,9.25
2015-12-09,8.75
2015-12-10,9.0
2015-12-11,8.8
2015-12-14,8.95
2015-12-15,9.1
2015-12-16,9.05
2015-12-17,9.25
2015-12-18,9.3
2015-12-21,9.25
2015-12-22,9.55
2015-12-23,10.2
2015-12-24,10.05
2015-12-28,9.5
2015-12-29,9.4
2015-12-30,9.3
2015-12-31,9.2
