Date,ANSALHSG
2015-01-01,29.2
2015-01-02,30.35
2015-01-05,31.95
2015-01-06,30.6
2015-01-07,30.05
2015-01-08,31.55
2015-01-09,30.65
2015-01-12,31.0
2015-01-13,30.3
2015-01-14,30.95
2015-01-15,32.6
2015-01-16,32.0
2015-01-19,31.7
2015-01-20,35.3
2015-01-21,35.4
2015-01-22,33.8
2015-01-23,33.5
2015-01-27,33.6
2015-01-28,32.65
2015-01-29,32.3
2015-01-30,32.15
2015-02-02,32.9
2015-02-03,32.45
2015-02-04,32.85
2015-02-05,32.65
2015-02-06,32.25
2015-02-09,30.45
2015-02-10,29.9
2015-02-11,30.6
2015-02-12,30.65
2015-02-13,30.7
2015-02-16,30.15
2015-02-18,31.1
2015-02-19,30.7
2015-02-20,30.05
2015-02-23,31.75
2015-02-24,30.6
2015-02-25,30.85
2015-02-26,30.65
2015-02-27,31.75
2015-02-28,31.0
2015-03-02,35.6
2015-03-03,35.85
2015-03-04,33.6
2015-03-05,33.1
2015-03-09,32.3
2015-03-10,31.35
2015-03-11,31.4
2015-03-12,31.3
2015-03-13,30.5
2015-03-16,30.45
2015-03-17,30.3
2015-03-18,30.4
2015-03-19,29.6
2015-03-20,29.2
2015-03-23,28.25
2015-03-24,28.15
2015-03-25,28.6
2015-03-26,28.55
2015-03-27,27.9
2015-03-30,29.15
2015-03-31,28.8
2015-04-01,29.65
2015-04-06,30.4
2015-04-07,30.05
2015-04-08,31.2
2015-04-09,30.75
2015-04-10,31.45
2015-04-13,32.1
2015-04-15,31.7
2015-04-16,30.95
2015-04-17,30.95
2015-04-20,30.65
2015-04-21,30.6
2015-04-22,30.3
2015-04-23,30.1
2015-04-24,29.15
2015-04-27,28.05
2015-04-28,28.25
2015-04-29,28.9
2015-04-30,28.45
2015-05-04,29.45
2015-05-05,29.15
2015-05-06,27.7
2015-05-07,27.35
2015-05-08,28.1
2015-05-11,27.7
2015-05-12,27.3
2015-05-13,27.9
2015-05-14,27.45
2015-05-15,27.3
2015-05-18,27.1
2015-05-19,27.3
2015-05-20,27.75
2015-05-21,27.5
2015-05-22,27.3
2015-05-25,26.75
2015-05-26,25.5
2015-05-27,26.0
2015-05-28,25.55
2015-05-29,25.85
2015-06-01,26.5
2015-06-02,25.55
2015-06-03,23.75
2015-06-04,23.75
2015-06-05,24.1
2015-06-08,24.0
2015-06-09,23.5
2015-06-10,24.05
2015-06-11,23.55
2015-06-12,23.65
2015-06-15,23.55
2015-06-16,24.05
2015-06-17,23.9
2015-06-18,23.85
2015-06-19,23.9
2015-06-22,24.7
2015-06-23,25.2
2015-06-24,24.25
2015-06-25,24.8
2015-06-26,24.75
2015-06-29,23.9
2015-06-30,24.2
2015-07-01,24.2
2015-07-02,24.1
2015-07-03,24.15
2015-07-06,24.05
2015-07-07,25.2
2015-07-08,24.85
2015-07-09,24.95
2015-07-10,25.55
2015-07-13,25.75
2015-07-14,25.75
2015-07-15,26.05
2015-07-16,26.15
2015-07-17,26.0
2015-07-20,25.85
2015-07-21,25.45
2015-07-22,26.1
2015-07-23,25.65
2015-07-24,25.95
2015-07-27,24.85
2015-07-28,25.25
2015-07-29,25.2
2015-07-30,25.3
2015-07-31,25.5
2015-08-03,26.15
2015-08-04,25.4
2015-08-05,25.8
2015-08-06,25.55
2015-08-07,25.3
2015-08-10,25.05
2015-08-11,24.55
2015-08-12,24.3
2015-08-13,24.1
2015-08-14,24.45
2015-08-17,24.3
2015-08-18,24.45
2015-08-19,25.1
2015-08-20,22.95
2015-08-21,22.8
2015-08-24,22.35
2015-08-25,20.0
2015-08-26,19.8
2015-08-27,20.6
2015-08-28,20.1
2015-08-31,20.35
2015-09-01,19.95
2015-09-02,19.65
2015-09-03,19.85
2015-09-04,19.4
2015-09-07,20.9
2015-09-08,20.4
2015-09-09,20.7
2015-09-10,20.85
2015-09-11,21.2
2015-09-14,21.45
2015-09-15,21.55
2015-09-16,21.55
2015-09-18,22.0
2015-09-21,22.5
2015-09-22,22.5
2015-09-23,22.35
2015-09-24,22.3
2015-09-28,22.35
2015-09-29,24.0
2015-09-30,23.45
2015-10-01,22.95
2015-10-05,23.15
2015-10-06,23.45
2015-10-07,23.75
2015-10-08,23.6
2015-10-09,23.25
2015-10-12,22.85
2015-10-13,22.6
2015-10-14,23.8
2015-10-15,23.8
2015-10-16,23.6
2015-10-19,26.2
2015-10-20,28.6
2015-10-21,29.65
2015-10-23,29.05
2015-10-26,27.5
2015-10-27,27.1
2015-10-28,26.25
2015-10-29,25.65
2015-10-30,24.8
2015-11-02,24.2
2015-11-03,24.6
2015-11-04,24.9
2015-11-05,24.5
2015-11-06,24.0
2015-11-09,23.9
2015-11-10,23.15
2015-11-11,23.5
2015-11-13,22.45
2015-11-16,25.35
2015-11-17,27.35
2015-11-18,25.2
2015-11-19,26.35
2015-11-20,26.6
2015-11-23,25.2
2015-11-24,25.3
2015-11-26,26.1
2015-11-27,25.55
2015-11-30,25.5
2015-12-01,25.15
2015-12-02,24.75
2015-12-03,25.35
2015-12-04,25.45
2015-12-07,25.65
2015-12-08,26.35
2015-12-09,25.15
2015-12-10,25.85
2015-12-11,24.8
2015-12-14,24.65
2015-12-15,25.05
2015-12-16,24.95
2015-12-17,25.25
2015-12-18,24.95
2015-12-21,26.35
2015-12-22,26.5
2015-12-23,26.3
2015-12-24,26.9
2015-12-28,28.5
2015-12-29,28.6
2015-12-30,28.95
2015-12-31,28.2
