Date,ASIANPAINT
2015-01-01,749.15
2015-01-02,775.05
2015-01-05,775.0
2015-01-06,756.5
2015-01-07,771.7
2015-01-08,820.35
2015-01-09,812.5
2015-01-12,807.75
2015-01-13,833.85
2015-01-14,842.65
2015-01-15,839.35
2015-01-16,843.45
2015-01-19,831.9
2015-01-20,839.2
2015-01-21,851.3
2015-01-22,867.15
2015-01-23,862.1
2015-01-27,890.5
2015-01-28,910.25
2015-01-29,881.3
2015-01-30,857.75
2015-02-02,808.1
2015-02-03,814.7
2015-02-04,803.85
2015-02-05,810.85
2015-02-06,797.65
2015-02-09,803.65
2015-02-10,822.2
2015-02-11,840.75
2015-02-12,823.75
2015-02-13,826.75
2015-02-16,834.15
2015-02-18,821.05
2015-02-19,834.1
2015-02-20,825.7
2015-02-23,809.6
2015-02-24,799.55
2015-02-25,813.85
2015-02-26,791.9
2015-02-27,807.15
2015-02-28,818.6
2015-03-02,825.6
2015-03-03,838.3
2015-03-04,836.8
2015-03-05,833.9
2015-03-09,812.65
2015-03-10,807.95
2015-03-11,809.0
2015-03-12,808.1
2015-03-13,808.4
2015-03-16,831.85
2015-03-17,831.4
2015-03-18,814.2
2015-03-19,834.8
2015-03-20,809.95
2015-03-23,811.6
2015-03-24,813.3
2015-03-25,808.5
2015-03-26,793.1
2015-03-27,778.15
2015-03-30,807.45
2015-03-31,811.3
2015-04-01,821.7
2015-04-06,824.5
2015-04-07,835.2
2015-04-08,846.85
2015-04-09,853.15
2015-04-10,859.45
2015-04-13,862.05
2015-04-15,839.05
2015-04-16,822.25
2015-04-17,816.8
2015-04-20,808.95
2015-04-21,796.5
2015-04-22,785.45
2015-04-23,786.4
2015-04-24,771.35
2015-04-27,744.8
2015-04-28,765.45
2015-04-29,754.4
2015-04-30,762.45
2015-05-04,779.4
2015-05-05,781.4
2015-05-06,760.85
2015-05-07,765.75
2015-05-08,759.4
2015-05-11,771.65
2015-05-12,758.35
2015-05-13,762.5
2015-05-14,796.45
2015-05-15,790.3
2015-05-18,766.75
2015-05-19,774.75
2015-05-20,771.2
2015-05-21,777.2
2015-05-22,775.4
2015-05-25,761.9
2015-05-26,763.5
2015-05-27,759.25
2015-05-28,767.35
2015-05-29,787.05
2015-06-01,789.75
2015-06-02,759.2
2015-06-03,762.7
2015-06-04,759.6
2015-06-05,758.8
2015-06-08,748.0
2015-06-09,735.7
2015-06-10,739.15
2015-06-11,708.4
2015-06-12,705.65
2015-06-15,698.55
2015-06-16,704.95
2015-06-17,710.65
2015-06-18,728.95
2015-06-19,740.0
2015-06-22,747.7
2015-06-23,756.5
2015-06-24,753.65
2015-06-25,750.2
2015-06-26,750.25
2015-06-29,736.7
2015-06-30,755.35
2015-07-01,760.8
2015-07-02,762.9
2015-07-03,772.7
2015-07-06,783.55
2015-07-07,824.6
2015-07-08,802.25
2015-07-09,796.95
2015-07-10,795.3
2015-07-13,817.65
2015-07-14,822.7
2015-07-15,837.85
2015-07-16,848.05
2015-07-17,825.4
2015-07-20,852.3
2015-07-21,816.05
2015-07-22,843.3
2015-07-23,846.5
2015-07-24,849.0
2015-07-27,853.15
2015-07-28,835.15
2015-07-29,846.85
2015-07-30,857.55
2015-07-31,882.8
2015-08-03,877.5
2015-08-04,905.7
2015-08-05,923.3
2015-08-06,916.1
2015-08-07,898.65
2015-08-10,902.15
2015-08-11,883.4
2015-08-12,871.35
2015-08-13,874.35
2015-08-14,895.25
2015-08-17,900.05
2015-08-18,901.35
2015-08-19,899.75
2015-08-20,883.2
2015-08-21,886.75
2015-08-24,837.5
2015-08-25,852.15
2015-08-26,851.9
2015-08-27,855.0
2015-08-28,858.25
2015-08-31,848.6
2015-09-01,819.1
2015-09-02,806.0
2015-09-03,826.6
2015-09-04,812.85
2015-09-07,788.0
2015-09-08,791.5
2015-09-09,821.15
2015-09-10,807.95
2015-09-11,816.15
2015-09-14,840.25
2015-09-15,831.1
2015-09-16,823.95
2015-09-18,841.05
2015-09-21,829.7
2015-09-22,804.7
2015-09-23,794.1
2015-09-24,806.35
2015-09-28,794.45
2015-09-29,804.8
2015-09-30,841.6
2015-10-01,839.65
2015-10-05,855.4
2015-10-06,853.7
2015-10-07,865.05
2015-10-08,874.15
2015-10-09,853.8
2015-10-12,859.25
2015-10-13,865.35
2015-10-14,862.25
2015-10-15,870.05
2015-10-16,882.5
2015-10-19,879.25
2015-10-20,875.45
2015-10-21,856.25
2015-10-23,858.6
2015-10-26,817.7
2015-10-27,827.1
2015-10-28,828.35
2015-10-29,829.35
2015-10-30,830.65
2015-11-02,830.1
2015-11-03,814.2
2015-11-04,802.2
2015-11-05,805.85
2015-11-06,801.2
2015-11-09,816.4
2015-11-10,797.8
2015-11-11,804.45
2015-11-13,800.4
2015-11-16,800.95
2015-11-17,807.65
2015-11-18,821.75
2015-11-19,823.7
2015-11-20,829.2
2015-11-23,850.3
2015-11-24,856.6
2015-11-26,861.85
2015-11-27,859.1
2015-11-30,838.5
2015-12-01,844.6
2015-12-02,848.55
2015-12-03,842.4
2015-12-04,834.7
2015-12-07,871.45
2015-12-08,860.75
2015-12-09,840.0
2015-12-10,859.2
2015-12-11,858.4
2015-12-14,875.45
2015-12-15,878.55
2015-12-16,866.5
2015-12-17,876.1
2015-12-18,879.45
2015-12-21,873.5
2015-12-22,880.95
2015-12-23,878.95
2015-12-24,881.8
2015-12-28,881.05
2015-12-29,880.1
2015-12-30,878.15
2015-12-31,883.55
