Date,ZYLOG
2015-01-01,6.7
2015-01-02,6.9
2015-01-05,7.0
2015-01-06,6.7
2015-01-07,6.75
2015-01-08,6.75
2015-01-09,6.8
2015-01-12,6.8
2015-01-13,6.65
2015-01-14,6.65
2015-01-15,6.8
2015-01-16,6.8
2015-01-19,6.7
2015-01-20,6.5
2015-01-21,6.55
2015-01-22,6.45
2015-01-23,6.35
2015-01-27,6.45
2015-01-28,6.3
2015-01-29,6.3
2015-01-30,6.15
2015-02-02,6.35
2015-02-03,6.3
2015-02-04,6.25
2015-02-05,6.1
2015-02-06,6.0
2015-02-09,5.8
2015-02-10,5.9
2015-02-11,5.75
2015-02-12,5.75
2015-02-13,5.75
2015-02-16,5.5
2015-02-18,5.6
2015-02-19,5.95
2015-02-20,6.3
2015-02-23,6.0
2015-02-24,5.9
2015-02-25,5.8
2015-02-26,5.6
2015-02-27,5.75
2015-02-28,5.8
2015-03-02,5.65
2015-03-03,5.55
2015-03-04,5.5
2015-03-05,5.4
2015-03-09,5.4
2015-03-10,5.25
2015-03-11,5.25
2015-03-12,5.15
2015-03-13,5.0
2015-03-16,4.8
2015-03-17,4.55
2015-03-18,4.2
2015-03-19,3.95
2015-03-20,3.55
2015-03-23,3.9
2015-03-24,4.25
2015-03-25,4.65
2015-03-26,4.85
2015-03-27,4.65
2015-03-30,4.45
2015-03-31,4.25
2015-04-01,4.45
2015-04-06,4.65
2015-04-07,4.6
2015-04-08,4.6
2015-04-09,4.8
2015-04-10,5.0
2015-04-13,5.25
2015-04-15,5.5
2015-04-16,5.75
2015-04-17,6.0
2015-04-20,5.75
2015-04-21,5.6
2015-04-22,5.35
2015-04-23,5.2
2015-04-24,5.15
2015-04-27,4.9
2015-04-28,4.75
2015-04-29,4.55
2015-04-30,4.5
2015-05-04,4.7
2015-05-05,4.65
2015-05-06,4.55
2015-05-07,4.35
2015-05-08,4.3
2015-05-11,4.35
2015-05-12,4.45
2015-05-13,4.35
2015-05-14,4.35
2015-05-15,4.25
2015-05-18,4.4
2015-05-19,4.55
2015-05-20,4.4
2015-05-21,4.35
2015-05-22,4.2
2015-05-25,4.1
2015-05-26,4.0
2015-05-27,4.0
2015-05-28,4.0
2015-05-29,4.05
2015-06-01,3.95
2015-06-02,3.8
2015-06-03,3.75
2015-06-04,3.9
2015-06-05,3.75
2015-06-08,3.85
2015-06-09,3.8
2015-06-10,3.75
2015-06-11,3.65
2015-06-12,3.75
2015-06-15,4.1
2015-06-16,3.95
2015-06-17,4.05
2015-06-18,3.9
2015-06-19,3.85
2015-06-22,4.0
2015-06-23,3.9
2015-06-24,3.9
2015-06-25,3.9
2015-06-26,3.75
2015-06-29,3.75
2015-06-30,3.8
2015-07-01,4.0
2015-07-02,3.9
2015-07-03,4.65
2015-07-06,4.85
2015-07-07,4.65
2015-07-08,4.5
2015-07-09,4.55
2015-07-10,4.7
2015-07-13,4.65
2015-07-14,4.7
2015-07-15,4.85
2015-07-16,4.85
2015-07-17,4.75
2015-07-20,4.75
2015-07-21,4.55
2015-07-22,4.6
2015-07-23,4.5
2015-07-24,4.5
2015-07-27,4.4
2015-07-28,4.4
2015-07-29,4.6
2015-07-30,4.95
2015-07-31,5.9
2015-08-03,7.05
2015-08-04,6.55
2015-08-05,7.1
2015-08-06,6.8
2015-08-07,6.75
2015-08-10,6.85
2015-08-11,6.4
2015-08-12,5.8
2015-08-13,5.3
2015-08-14,5.4
2015-08-17,5.15
2015-08-18,4.95
2015-08-19,5.05
2015-08-20,5.0
2015-08-21,5.1
2015-08-24,4.85
2015-08-25,4.65
2015-08-26,4.45
2015-08-27,4.3
2015-08-28,4.1
2015-08-31,4.2
2015-09-01,4.1
2015-09-02,4.05
2015-09-03,4.0
2015-09-04,3.85
2015-09-07,3.9
2015-09-08,3.85
2015-09-09,4.0
2015-09-10,4.2
2015-09-11,4.25
2015-09-14,4.3
2015-09-15,4.15
2015-09-16,4.05
2015-09-18,3.85
2015-09-21,3.85
2015-09-22,3.7
2015-09-23,3.55
2015-09-24,3.55
2015-09-28,3.45
2015-09-29,3.4
2015-09-30,3.55
2015-10-01,3.65
2015-10-05,4.0
2015-10-06,4.0
2015-10-07,4.0
2015-10-08,3.7
2015-10-09,3.6
2015-10-12,3.75
2015-10-13,3.7
2015-10-14,3.7
2015-10-15,3.4
2015-10-16,3.25
2015-10-19,3.55
2015-10-20,3.45
2015-10-21,3.5
2015-10-23,3.25
2015-10-26,3.3
2015-10-27,3.4
2015-10-28,3.35
2015-10-29,3.4
2015-10-30,3.25
2015-11-02,3.25
2015-11-03,3.35
2015-11-04,3.35
2015-11-05,3.25
2015-11-06,3.25
2015-11-09,3.15
2015-11-10,3.15
2015-11-11,3.05
2015-11-13,3.0
2015-11-16,2.95
2015-11-17,2.85
2015-11-18,2.85
2015-11-19,2.65
2015-11-20,2.7
2015-11-23,2.65
2015-11-24,2.8
2015-11-26,2.9
2015-11-27,3.0
2015-11-30,3.45
2015-12-01,3.8
2015-12-02,3.5
2015-12-03,3.2
2015-12-04,3.2
2015-12-07,3.1
2015-12-08,3.0
2015-12-09,2.9
2015-12-10,2.85
2015-12-11,2.9
2015-12-14,2.95
2015-12-15,3.05
2015-12-16,3.05
2015-12-17,3.05
2015-12-18,3.15
2015-12-21,3.15
2015-12-22,3.3
2015-12-23,3.45
2015-12-24,3.6
2015-12-28,3.75
2015-12-29,3.9
2015-12-30,4.05
2015-12-31,4.25
