Date,GKWLIMITED
2015-01-01,546.5
2015-01-02,576.35
2015-01-05,691.6
2015-01-06,760.6
2015-01-07,836.65
2015-01-08,920.3
2015-01-09,905.75
2015-01-12,869.3
2015-01-13,902.0
2015-01-14,946.2
2015-01-15,977.95
2015-01-16,1026.8
2015-01-19,1078.1
2015-01-20,1132.0
2015-01-21,1140.65
2015-01-22,1193.8
2015-01-23,1173.5
2015-01-27,1117.7
2015-01-28,1061.85
2015-01-29,1008.8
2015-01-30,958.4
2015-02-02,910.5
2015-02-03,871.1
2015-02-04,828.25
2015-02-05,811.75
2015-02-06,771.35
2015-02-09,732.8
2015-02-10,700.1
2015-02-11,735.0
2015-02-12,771.75
2015-02-13,808.3
2015-02-16,827.75
2015-02-18,829.3
2015-02-19,789.5
2015-02-20,774.35
2015-02-23,750.0
2015-02-24,745.9
2015-02-25,711.55
2015-02-26,697.25
2015-02-27,681.85
2015-02-28,660.0
2015-03-02,679.0
2015-03-03,697.3
2015-03-04,663.0
2015-03-05,665.0
2015-03-09,664.25
2015-03-10,643.55
2015-03-11,632.45
2015-03-12,641.2
2015-03-13,613.95
2015-03-16,596.05
2015-03-17,575.85
2015-03-18,556.15
2015-03-19,565.0
2015-03-20,521.6
2015-03-23,518.0
2015-03-24,496.9
2015-03-25,493.75
2015-03-26,496.0
2015-03-27,490.65
2015-03-30,502.5
2015-03-31,510.65
2015-04-01,561.0
2015-04-06,552.95
2015-04-07,533.9
2015-04-08,585.5
2015-04-09,640.7
2015-04-10,650.9
2015-04-13,627.6
2015-04-15,632.8
2015-04-16,629.3
2015-04-17,609.8
2015-04-20,581.65
2015-04-21,581.9
2015-04-22,593.0
2015-04-23,627.85
2015-04-24,600.0
2015-04-27,576.7
2015-04-28,573.0
2015-04-29,570.0
2015-05-04,599.7
2015-05-05,600.1
2015-05-06,570.0
2015-05-07,560.0
2015-05-08,531.05
2015-05-11,590.0
2015-05-12,599.95
2015-05-13,547.05
2015-05-14,532.0
2015-05-15,520.0
2015-05-18,550.0
2015-05-19,540.1
2015-05-20,524.25
2015-05-21,523.8
2015-05-22,528.5
2015-05-25,511.1
2015-05-26,530.95
2015-05-27,520.75
2015-05-28,511.0
2015-06-01,567.65
2015-06-02,514.05
2015-06-03,477.5
2015-06-04,517.2
2015-06-05,520.0
2015-06-08,490.15
2015-06-09,499.0
2015-06-10,508.65
2015-06-11,487.75
2015-06-12,482.5
2015-06-15,510.0
2015-06-16,511.75
2015-06-17,515.0
2015-06-18,492.0
2015-06-19,490.85
2015-06-22,482.05
2015-06-23,485.0
2015-06-24,520.0
2015-06-25,510.0
2015-06-26,511.35
2015-06-30,490.35
2015-07-01,491.15
2015-07-02,500.0
2015-07-03,513.55
2015-07-06,502.0
2015-07-07,508.7
2015-07-09,500.0
2015-07-10,485.5
2015-07-13,482.55
2015-07-14,481.0
2015-07-15,471.05
2015-07-16,565.25
2015-07-17,678.3
2015-07-20,813.95
2015-07-21,768.55
2015-07-22,806.35
2015-07-23,833.2
2015-07-24,800.95
2015-07-27,788.65
2015-07-28,743.55
2015-07-29,672.45
2015-07-30,690.5
2015-07-31,668.4
2015-08-03,660.1
2015-08-04,647.8
2015-08-05,635.1
2015-08-06,639.05
2015-08-07,635.45
2015-08-10,613.15
2015-08-11,612.25
2015-08-12,599.9
2015-08-13,580.0
2015-08-14,577.8
2015-08-17,615.05
2015-08-18,600.05
2015-08-19,606.6
2015-08-20,590.0
2015-08-21,575.75
2015-08-24,565.85
2015-08-25,566.45
2015-08-27,550.0
2015-08-28,550.0
2015-08-31,560.0
2015-09-01,536.8
2015-09-02,555.0
2015-09-03,545.0
2015-09-04,506.85
2015-09-07,500.8
2015-09-08,505.95
2015-09-09,516.35
2015-09-10,531.75
2015-09-11,505.3
2015-09-14,505.0
2015-09-15,490.15
2015-09-16,512.95
2015-09-18,499.15
2015-09-21,510.95
2015-09-22,497.15
2015-09-23,485.75
2015-09-24,486.3
2015-09-28,492.35
2015-09-29,476.7
2015-09-30,472.55
2015-10-01,475.15
2015-10-05,486.45
2015-10-06,478.8
2015-10-07,474.9
2015-10-08,507.0
2015-10-09,503.8
2015-10-12,504.0
2015-10-13,488.8
2015-10-14,513.3
2015-10-15,504.0
2015-10-16,498.3
2015-10-19,597.95
2015-10-20,609.75
2015-10-21,596.85
2015-10-23,582.55
2015-10-26,547.65
2015-10-27,543.75
2015-10-28,569.5
2015-10-29,648.0
2015-10-30,626.4
2015-11-02,642.45
2015-11-03,641.1
2015-11-04,600.55
2015-11-05,590.0
2015-11-06,564.85
2015-11-09,555.1
2015-11-10,560.0
2015-11-13,587.65
2015-11-16,589.0
2015-11-17,557.1
2015-11-18,555.1
2015-11-19,584.0
2015-11-20,562.85
2015-11-23,566.6
2015-11-24,605.0
2015-11-26,592.3
2015-11-27,601.0
2015-11-30,600.0
2015-12-01,600.0
2015-12-02,638.4
2015-12-03,612.7
2015-12-04,572.0
2015-12-07,575.0
2015-12-08,585.0
2015-12-09,600.0
2015-12-10,600.0
2015-12-11,580.0
2015-12-14,579.1
2015-12-15,573.95
2015-12-16,564.95
2015-12-17,562.55
2015-12-18,607.35
2015-12-21,598.45
2015-12-22,602.6
2015-12-23,579.2
2015-12-24,580.35
2015-12-28,574.35
2015-12-29,566.7
2015-12-30,563.2
2015-12-31,563.2
