Date,GMRINFRA
2015-01-01,18.0
2015-01-02,18.05
2015-01-05,17.95
2015-01-06,17.35
2015-01-07,16.95
2015-01-08,17.1
2015-01-09,17.2
2015-01-12,17.25
2015-01-13,16.85
2015-01-14,16.5
2015-01-15,17.4
2015-01-16,17.05
2015-01-19,16.9
2015-01-20,16.9
2015-01-21,16.75
2015-01-22,16.95
2015-01-23,16.8
2015-01-27,16.65
2015-01-28,16.85
2015-01-29,17.3
2015-01-30,19.3
2015-02-02,20.0
2015-02-03,19.15
2015-02-04,19.5
2015-02-05,18.1
2015-02-06,17.65
2015-02-09,16.95
2015-02-10,16.7
2015-02-11,18.0
2015-02-12,18.4
2015-02-13,18.4
2015-02-16,18.3
2015-02-18,18.6
2015-02-19,18.45
2015-02-20,18.5
2015-02-23,18.25
2015-02-24,18.0
2015-02-25,17.95
2015-02-26,18.0
2015-02-27,19.6
2015-02-28,18.75
2015-03-02,17.7
2015-03-03,17.45
2015-03-04,17.2
2015-03-05,17.65
2015-03-09,17.35
2015-03-10,16.8
2015-03-11,16.55
2015-03-12,16.85
2015-03-13,16.4
2015-03-16,16.3
2015-03-17,16.0
2015-03-18,15.65
2015-03-19,15.0
2015-03-20,14.85
2015-03-23,15.25
2015-03-24,15.35
2015-03-25,15.3
2015-03-26,15.25
2015-03-27,15.55
2015-03-30,15.75
2015-03-31,16.6
2015-04-01,16.85
2015-04-06,16.9
2015-04-07,17.7
2015-04-08,17.35
2015-04-09,17.3
2015-04-10,18.8
2015-04-13,18.6
2015-04-15,17.95
2015-04-16,17.7
2015-04-17,17.2
2015-04-20,16.5
2015-04-21,16.1
2015-04-22,16.1
2015-04-23,15.75
2015-04-24,15.25
2015-04-27,14.9
2015-04-28,15.05
2015-04-29,15.1
2015-04-30,14.75
2015-05-04,15.95
2015-05-05,15.5
2015-05-06,14.8
2015-05-07,14.7
2015-05-08,15.0
2015-05-11,15.2
2015-05-12,14.95
2015-05-13,15.15
2015-05-14,15.1
2015-05-15,14.95
2015-05-18,15.1
2015-05-19,15.0
2015-05-20,14.9
2015-05-21,14.55
2015-05-22,14.3
2015-05-25,14.5
2015-05-26,14.5
2015-05-27,14.3
2015-05-28,14.45
2015-05-29,14.15
2015-06-01,14.25
2015-06-02,13.6
2015-06-03,12.95
2015-06-04,13.05
2015-06-05,13.05
2015-06-08,12.9
2015-06-09,12.9
2015-06-10,13.0
2015-06-11,12.5
2015-06-12,12.55
2015-06-15,12.8
2015-06-16,12.95
2015-06-17,12.85
2015-06-18,12.95
2015-06-19,13.3
2015-06-22,14.5
2015-06-23,14.25
2015-06-24,14.0
2015-06-25,15.25
2015-06-26,14.55
2015-06-29,14.0
2015-06-30,14.0
2015-07-01,14.7
2015-07-02,14.6
2015-07-03,14.35
2015-07-06,14.5
2015-07-07,14.5
2015-07-08,14.2
2015-07-09,14.25
2015-07-10,14.2
2015-07-13,14.75
2015-07-14,14.85
2015-07-15,14.9
2015-07-16,15.05
2015-07-17,15.1
2015-07-20,15.0
2015-07-21,14.3
2015-07-22,14.45
2015-07-23,15.2
2015-07-24,14.6
2015-07-27,14.0
2015-07-28,13.75
2015-07-29,13.4
2015-07-30,14.3
2015-07-31,14.0
2015-08-03,14.25
2015-08-04,14.0
2015-08-05,14.1
2015-08-06,14.05
2015-08-07,13.95
2015-08-10,13.75
2015-08-11,13.55
2015-08-12,13.3
2015-08-13,12.9
2015-08-14,13.2
2015-08-17,12.9
2015-08-18,12.95
2015-08-19,12.95
2015-08-20,12.65
2015-08-21,12.55
2015-08-24,10.8
2015-08-25,11.3
2015-08-26,11.95
2015-08-27,12.25
2015-08-28,11.65
2015-08-31,11.65
2015-09-01,11.3
2015-09-02,11.2
2015-09-03,11.2
2015-09-04,11.15
2015-09-07,11.0
2015-09-08,11.45
2015-09-09,12.1
2015-09-10,12.05
2015-09-11,12.1
2015-09-14,12.45
2015-09-15,12.35
2015-09-16,12.25
2015-09-18,12.5
2015-09-21,13.05
2015-09-22,12.75
2015-09-23,13.45
2015-09-24,13.1
2015-09-28,13.15
2015-09-29,13.3
2015-09-30,13.55
2015-10-01,13.2
2015-10-05,13.65
2015-10-06,13.55
2015-10-07,14.0
2015-10-08,13.95
2015-10-09,13.7
2015-10-12,13.75
2015-10-13,13.55
2015-10-14,13.55
2015-10-15,13.75
2015-10-16,13.8
2015-10-19,13.8
2015-10-20,14.0
2015-10-21,13.55
2015-10-23,13.3
2015-10-26,13.2
2015-10-27,13.55
2015-10-28,13.25
2015-10-29,13.2
2015-10-30,13.1
2015-11-02,12.75
2015-11-03,12.7
2015-11-04,12.6
2015-11-05,12.05
2015-11-06,11.8
2015-11-09,11.95
2015-11-10,11.65
2015-11-11,11.9
2015-11-13,11.9
2015-11-16,13.4
2015-11-17,13.3
2015-11-18,14.25
2015-11-19,14.4
2015-11-20,14.1
2015-11-23,14.15
2015-11-24,14.85
2015-11-26,15.75
2015-11-27,15.8
2015-11-30,16.55
2015-12-01,16.45
2015-12-02,17.65
2015-12-03,18.1
2015-12-04,15.45
2015-12-07,16.2
2015-12-08,15.35
2015-12-09,14.95
2015-12-10,15.8
2015-12-11,15.15
2015-12-14,15.15
2015-12-15,15.0
2015-12-16,15.0
2015-12-17,15.5
2015-12-18,15.2
2015-12-21,15.3
2015-12-22,15.55
2015-12-23,15.55
2015-12-24,16.05
2015-12-28,16.1
2015-12-29,16.15
2015-12-30,16.0
2015-12-31,16.4
