Date,JBFIND
2015-01-01,260.6
2015-01-02,254.1
2015-01-05,249.9
2015-01-06,234.45
2015-01-07,251.9
2015-01-08,253.4
2015-01-09,247.35
2015-01-12,244.3
2015-01-13,248.2
2015-01-14,244.05
2015-01-15,245.7
2015-01-16,241.9
2015-01-19,243.3
2015-01-20,243.55
2015-01-21,255.95
2015-01-22,252.0
2015-01-23,246.85
2015-01-27,250.0
2015-01-28,244.8
2015-01-29,251.45
2015-01-30,256.4
2015-02-02,259.9
2015-02-03,258.3
2015-02-04,253.4
2015-02-05,253.5
2015-02-06,247.45
2015-02-09,245.05
2015-02-10,240.15
2015-02-11,249.9
2015-02-12,244.7
2015-02-13,241.6
2015-02-16,240.05
2015-02-18,237.9
2015-02-19,233.15
2015-02-20,230.5
2015-02-23,226.3
2015-02-24,217.0
2015-02-25,222.65
2015-02-26,215.5
2015-02-27,219.95
2015-02-28,219.9
2015-03-02,229.4
2015-03-03,229.95
2015-03-04,225.4
2015-03-05,229.25
2015-03-09,220.95
2015-03-10,221.25
2015-03-11,218.4
2015-03-12,219.1
2015-03-13,223.35
2015-03-16,222.05
2015-03-17,220.85
2015-03-18,220.05
2015-03-19,216.45
2015-03-20,206.45
2015-03-23,194.75
2015-03-24,191.1
2015-03-25,203.35
2015-03-26,206.7
2015-03-27,209.5
2015-03-30,211.85
2015-03-31,211.15
2015-04-01,224.8
2015-04-06,231.85
2015-04-07,234.45
2015-04-08,238.2
2015-04-09,236.2
2015-04-10,233.3
2015-04-13,235.35
2015-04-15,228.6
2015-04-16,229.45
2015-04-17,225.35
2015-04-20,221.1
2015-04-21,225.3
2015-04-22,227.05
2015-04-23,226.95
2015-04-24,224.05
2015-04-27,215.7
2015-04-28,222.7
2015-04-29,234.4
2015-04-30,231.95
2015-05-04,234.1
2015-05-05,234.25
2015-05-06,224.35
2015-05-07,223.7
2015-05-08,237.65
2015-05-11,233.1
2015-05-12,227.0
2015-05-13,231.35
2015-05-14,232.7
2015-05-15,230.55
2015-05-18,232.85
2015-05-19,250.05
2015-05-20,248.5
2015-05-21,240.15
2015-05-22,236.5
2015-05-25,241.1
2015-05-26,241.55
2015-05-27,237.35
2015-05-28,218.75
2015-05-29,213.65
2015-06-01,218.3
2015-06-02,217.65
2015-06-03,209.45
2015-06-04,207.7
2015-06-05,209.55
2015-06-08,204.05
2015-06-09,197.25
2015-06-10,199.8
2015-06-11,193.6
2015-06-12,202.05
2015-06-15,209.25
2015-06-16,200.65
2015-06-17,201.55
2015-06-18,198.5
2015-06-19,197.95
2015-06-22,201.25
2015-06-23,195.35
2015-06-24,195.75
2015-06-25,229.2
2015-06-26,234.0
2015-06-29,248.6
2015-06-30,255.65
2015-07-01,253.6
2015-07-02,240.95
2015-07-03,240.2
2015-07-06,253.5
2015-07-07,254.0
2015-07-08,247.55
2015-07-09,241.4
2015-07-10,263.05
2015-07-13,269.1
2015-07-14,280.4
2015-07-15,271.7
2015-07-16,272.75
2015-07-17,273.65
2015-07-20,275.45
2015-07-21,259.7
2015-07-22,284.55
2015-07-23,283.0
2015-07-24,288.6
2015-07-27,287.65
2015-07-28,296.5
2015-07-29,295.45
2015-07-30,306.65
2015-07-31,301.0
2015-08-03,304.5
2015-08-04,303.2
2015-08-05,307.25
2015-08-06,299.8
2015-08-07,297.65
2015-08-10,288.85
2015-08-11,293.55
2015-08-12,278.45
2015-08-13,253.65
2015-08-14,269.1
2015-08-17,277.7
2015-08-18,272.1
2015-08-19,270.75
2015-08-20,254.8
2015-08-21,257.5
2015-08-24,216.45
2015-08-25,188.95
2015-08-26,195.75
2015-08-27,215.3
2015-08-28,224.9
2015-08-31,233.25
2015-09-01,224.7
2015-09-02,224.35
2015-09-03,222.9
2015-09-04,209.95
2015-09-07,214.9
2015-09-08,215.45
2015-09-09,224.65
2015-09-10,219.3
2015-09-11,220.75
2015-09-14,212.9
2015-09-15,215.65
2015-09-16,217.8
2015-09-18,211.15
2015-09-21,215.55
2015-09-22,213.95
2015-09-23,215.65
2015-09-24,217.35
2015-09-28,219.55
2015-09-29,218.95
2015-09-30,223.45
2015-10-01,221.9
2015-10-05,235.9
2015-10-06,232.75
2015-10-07,246.95
2015-10-08,243.35
2015-10-09,238.1
2015-10-12,232.5
2015-10-13,233.8
2015-10-14,233.55
2015-10-15,236.85
2015-10-16,231.3
2015-10-19,233.1
2015-10-20,229.5
2015-10-21,232.05
2015-10-23,227.8
2015-10-26,223.5
2015-10-27,221.2
2015-10-28,217.4
2015-10-29,222.5
2015-10-30,217.85
2015-11-02,214.9
2015-11-03,213.55
2015-11-04,211.75
2015-11-05,206.75
2015-11-06,212.35
2015-11-09,217.15
2015-11-10,211.0
2015-11-11,216.65
2015-11-13,212.3
2015-11-16,213.2
2015-11-17,211.15
2015-11-18,199.65
2015-11-19,205.4
2015-11-20,204.6
2015-11-23,205.15
2015-11-24,205.45
2015-11-26,220.1
2015-11-27,234.65
2015-11-30,226.8
2015-12-01,224.4
2015-12-02,218.95
2015-12-03,218.85
2015-12-04,216.15
2015-12-07,220.95
2015-12-08,216.65
2015-12-09,212.9
2015-12-10,222.95
2015-12-11,212.15
2015-12-14,207.8
2015-12-15,216.4
2015-12-16,211.85
2015-12-17,218.65
2015-12-18,222.3
2015-12-21,224.35
2015-12-22,241.45
2015-12-23,243.4
2015-12-24,245.8
2015-12-28,248.45
2015-12-29,237.45
2015-12-30,237.55
2015-12-31,236.2
