Date,IFBAGRO
2015-01-01,435.35
2015-01-02,420.05
2015-01-05,412.75
2015-01-06,396.95
2015-01-07,383.45
2015-01-08,389.45
2015-01-09,386.35
2015-01-12,389.2
2015-01-13,389.25
2015-01-14,376.8
2015-01-15,377.8
2015-01-16,377.65
2015-01-19,388.4
2015-01-20,395.45
2015-01-21,385.85
2015-01-22,336.1
2015-01-23,333.55
2015-01-27,323.65
2015-01-28,314.9
2015-01-29,292.2
2015-01-30,279.85
2015-02-02,267.6
2015-02-03,312.75
2015-02-04,300.95
2015-02-05,287.35
2015-02-06,285.65
2015-02-09,272.75
2015-02-10,269.75
2015-02-11,272.65
2015-02-12,274.1
2015-02-13,282.25
2015-02-16,290.1
2015-02-18,287.55
2015-02-19,288.35
2015-02-20,280.85
2015-02-23,268.0
2015-02-24,270.2
2015-02-25,266.1
2015-02-26,259.3
2015-02-27,274.05
2015-02-28,274.35
2015-03-02,263.25
2015-03-03,267.2
2015-03-04,267.1
2015-03-05,277.6
2015-03-09,266.1
2015-03-10,265.25
2015-03-11,311.65
2015-03-12,300.3
2015-03-13,279.85
2015-03-16,286.6
2015-03-17,288.35
2015-03-18,286.6
2015-03-19,281.65
2015-03-20,262.45
2015-03-23,259.85
2015-03-24,247.0
2015-03-25,243.65
2015-03-26,236.0
2015-03-27,238.8
2015-03-30,248.15
2015-03-31,250.55
2015-04-01,262.3
2015-04-06,273.4
2015-04-07,283.85
2015-04-08,294.05
2015-04-09,288.8
2015-04-10,292.65
2015-04-13,282.05
2015-04-15,273.85
2015-04-16,271.45
2015-04-17,274.5
2015-04-20,269.9
2015-04-21,269.65
2015-04-22,267.95
2015-04-23,265.3
2015-04-24,254.85
2015-04-27,252.15
2015-04-28,254.3
2015-04-29,262.2
2015-04-30,255.25
2015-05-04,266.7
2015-05-05,263.85
2015-05-06,251.55
2015-05-07,248.8
2015-05-08,252.0
2015-05-11,257.1
2015-05-12,249.0
2015-05-13,253.9
2015-05-14,249.45
2015-05-15,257.1
2015-05-18,255.1
2015-05-19,253.25
2015-05-20,287.85
2015-05-21,271.15
2015-05-22,261.75
2015-05-25,259.25
2015-05-26,268.9
2015-05-27,259.9
2015-05-28,257.75
2015-05-29,262.35
2015-06-01,271.25
2015-06-02,259.5
2015-06-03,245.15
2015-06-04,241.85
2015-06-05,241.95
2015-06-08,244.6
2015-06-09,240.55
2015-06-10,246.9
2015-06-11,244.7
2015-06-12,245.85
2015-06-15,247.5
2015-06-16,246.55
2015-06-17,253.55
2015-06-18,251.5
2015-06-19,255.15
2015-06-22,263.65
2015-06-23,281.8
2015-06-24,281.15
2015-06-25,270.5
2015-06-26,269.4
2015-06-29,262.75
2015-06-30,268.9
2015-07-01,280.1
2015-07-02,288.5
2015-07-03,285.0
2015-07-06,291.1
2015-07-07,307.8
2015-07-08,345.1
2015-07-09,339.35
2015-07-10,335.35
2015-07-13,344.55
2015-07-14,352.1
2015-07-15,344.2
2015-07-16,349.8
2015-07-17,354.3
2015-07-20,375.3
2015-07-21,386.25
2015-07-22,378.0
2015-07-23,389.65
2015-07-24,390.6
2015-07-27,397.8
2015-07-28,407.95
2015-07-29,422.85
2015-07-30,403.9
2015-07-31,404.4
2015-08-03,402.0
2015-08-04,418.05
2015-08-05,412.65
2015-08-06,409.85
2015-08-07,399.35
2015-08-10,406.1
2015-08-11,394.7
2015-08-12,380.9
2015-08-13,373.2
2015-08-14,361.9
2015-08-17,358.1
2015-08-18,358.0
2015-08-19,355.25
2015-08-20,350.2
2015-08-21,339.6
2015-08-24,298.25
2015-08-25,289.6
2015-08-26,279.75
2015-08-27,312.05
2015-08-28,309.85
2015-08-31,296.75
2015-09-01,282.5
2015-09-02,286.7
2015-09-03,290.85
2015-09-04,277.0
2015-09-07,264.55
2015-09-08,270.5
2015-09-09,279.7
2015-09-10,277.95
2015-09-11,287.15
2015-09-14,333.4
2015-09-15,321.45
2015-09-16,319.25
2015-09-18,322.25
2015-09-21,322.5
2015-09-22,317.3
2015-09-23,318.15
2015-09-24,318.8
2015-09-28,374.25
2015-09-29,383.7
2015-09-30,385.7
2015-10-01,395.95
2015-10-05,397.3
2015-10-06,384.25
2015-10-07,382.15
2015-10-08,380.75
2015-10-09,389.1
2015-10-12,400.0
2015-10-13,395.95
2015-10-14,409.8
2015-10-15,416.35
2015-10-16,411.75
2015-10-19,408.0
2015-10-20,410.25
2015-10-21,418.3
2015-10-23,409.75
2015-10-26,417.8
2015-10-27,442.3
2015-10-28,444.1
2015-10-29,431.6
2015-10-30,431.15
2015-11-02,388.9
2015-11-03,394.9
2015-11-04,376.8
2015-11-05,364.15
2015-11-06,364.85
2015-11-09,370.75
2015-11-10,373.0
2015-11-11,388.15
2015-11-13,386.2
2015-11-16,385.25
2015-11-17,393.9
2015-11-18,389.15
2015-11-19,389.15
2015-11-20,396.75
2015-11-23,404.0
2015-11-24,410.2
2015-11-26,434.75
2015-11-27,440.45
2015-11-30,433.2
2015-12-01,428.75
2015-12-02,429.25
2015-12-03,411.2
2015-12-04,423.6
2015-12-07,461.95
2015-12-08,445.15
2015-12-09,422.55
2015-12-10,424.25
2015-12-11,411.4
2015-12-14,415.55
2015-12-15,416.85
2015-12-16,415.75
2015-12-17,416.3
2015-12-18,424.5
2015-12-21,458.95
2015-12-22,455.45
2015-12-23,455.35
2015-12-24,458.45
2015-12-28,449.4
2015-12-29,458.65
2015-12-30,470.1
2015-12-31,465.8
