Date,VIPIND
2015-01-01,115.6
2015-01-02,116.35
2015-01-05,115.25
2015-01-06,111.2
2015-01-07,109.75
2015-01-08,113.95
2015-01-09,112.1
2015-01-12,113.75
2015-01-13,114.85
2015-01-14,116.15
2015-01-15,115.2
2015-01-16,113.7
2015-01-19,117.25
2015-01-20,117.1
2015-01-21,118.75
2015-01-22,118.35
2015-01-23,118.0
2015-01-27,117.2
2015-01-28,125.7
2015-01-29,115.1
2015-01-30,104.85
2015-02-02,104.95
2015-02-03,104.8
2015-02-04,105.0
2015-02-05,102.6
2015-02-06,100.1
2015-02-09,99.15
2015-02-10,99.8
2015-02-11,100.2
2015-02-12,100.3
2015-02-13,100.2
2015-02-16,100.45
2015-02-18,100.65
2015-02-19,103.95
2015-02-20,106.35
2015-02-23,107.7
2015-02-24,107.1
2015-02-25,103.8
2015-02-26,100.2
2015-02-27,100.55
2015-02-28,102.55
2015-03-02,105.3
2015-03-03,107.45
2015-03-04,104.7
2015-03-05,103.45
2015-03-09,100.3
2015-03-10,99.85
2015-03-11,99.1
2015-03-12,99.1
2015-03-13,98.15
2015-03-16,96.7
2015-03-17,96.95
2015-03-18,96.3
2015-03-19,97.85
2015-03-20,95.15
2015-03-23,93.7
2015-03-24,94.3
2015-03-25,93.05
2015-03-26,89.5
2015-03-27,90.2
2015-03-30,92.2
2015-03-31,93.1
2015-04-01,95.2
2015-04-06,95.15
2015-04-07,96.85
2015-04-08,99.55
2015-04-09,101.6
2015-04-10,103.15
2015-04-13,106.45
2015-04-15,107.55
2015-04-16,108.45
2015-04-17,107.3
2015-04-20,106.9
2015-04-21,102.5
2015-04-22,102.1
2015-04-23,103.2
2015-04-24,99.0
2015-04-27,94.15
2015-04-28,98.3
2015-04-29,98.4
2015-04-30,97.35
2015-05-04,100.0
2015-05-05,103.9
2015-05-06,99.7
2015-05-07,93.8
2015-05-08,96.5
2015-05-11,97.1
2015-05-12,95.2
2015-05-13,96.6
2015-05-14,95.75
2015-05-15,96.75
2015-05-18,96.75
2015-05-19,96.75
2015-05-20,96.8
2015-05-21,96.15
2015-05-22,96.35
2015-05-25,95.85
2015-05-26,95.25
2015-05-27,95.65
2015-05-28,97.35
2015-05-29,98.15
2015-06-01,98.2
2015-06-02,97.45
2015-06-03,96.6
2015-06-04,94.95
2015-06-05,96.2
2015-06-08,95.7
2015-06-09,95.0
2015-06-10,94.85
2015-06-11,94.6
2015-06-12,96.5
2015-06-15,94.9
2015-06-16,95.35
2015-06-17,95.45
2015-06-18,96.6
2015-06-19,95.45
2015-06-22,96.15
2015-06-23,96.1
2015-06-24,97.95
2015-06-25,97.2
2015-06-26,96.65
2015-06-29,94.7
2015-06-30,94.85
2015-07-01,94.9
2015-07-02,94.6
2015-07-03,94.1
2015-07-06,97.55
2015-07-07,97.6
2015-07-08,95.65
2015-07-09,95.55
2015-07-10,94.65
2015-07-13,95.55
2015-07-14,95.5
2015-07-15,95.35
2015-07-16,95.95
2015-07-17,95.65
2015-07-20,96.1
2015-07-21,95.0
2015-07-22,96.0
2015-07-23,100.95
2015-07-24,97.55
2015-07-27,94.35
2015-07-28,96.0
2015-07-29,96.6
2015-07-30,96.7
2015-07-31,96.2
2015-08-03,94.45
2015-08-04,96.5
2015-08-05,95.25
2015-08-06,94.7
2015-08-07,94.85
2015-08-10,94.3
2015-08-11,93.2
2015-08-12,88.25
2015-08-13,84.0
2015-08-14,87.25
2015-08-17,88.1
2015-08-18,89.6
2015-08-19,90.15
2015-08-20,88.65
2015-08-21,88.45
2015-08-24,84.6
2015-08-25,80.3
2015-08-26,80.9
2015-08-27,81.85
2015-08-28,81.7
2015-08-31,80.3
2015-09-01,76.95
2015-09-02,76.85
2015-09-03,76.75
2015-09-04,75.65
2015-09-07,72.6
2015-09-08,72.3
2015-09-09,72.8
2015-09-10,72.8
2015-09-11,73.7
2015-09-14,78.95
2015-09-15,78.3
2015-09-16,79.05
2015-09-18,79.45
2015-09-21,79.15
2015-09-22,77.15
2015-09-23,78.9
2015-09-24,77.8
2015-09-28,80.1
2015-09-29,78.05
2015-09-30,80.7
2015-10-01,81.25
2015-10-05,83.1
2015-10-06,85.55
2015-10-07,84.85
2015-10-08,85.05
2015-10-09,85.5
2015-10-12,84.65
2015-10-13,84.9
2015-10-14,84.7
2015-10-15,84.1
2015-10-16,84.2
2015-10-19,87.1
2015-10-20,86.35
2015-10-21,85.85
2015-10-23,102.35
2015-10-26,98.2
2015-10-27,99.7
2015-10-28,99.05
2015-10-29,101.4
2015-10-30,98.1
2015-11-02,95.3
2015-11-03,94.55
2015-11-04,97.1
2015-11-05,92.35
2015-11-06,90.75
2015-11-09,92.55
2015-11-10,90.45
2015-11-11,92.15
2015-11-13,91.3
2015-11-16,93.45
2015-11-17,93.3
2015-11-18,92.05
2015-11-19,92.5
2015-11-20,94.75
2015-11-23,95.0
2015-11-24,96.95
2015-11-26,95.1
2015-11-27,94.15
2015-11-30,95.35
2015-12-01,94.8
2015-12-02,96.05
2015-12-03,94.4
2015-12-04,94.3
2015-12-07,93.9
2015-12-08,91.9
2015-12-09,91.1
2015-12-10,91.4
2015-12-11,90.05
2015-12-14,90.4
2015-12-15,90.2
2015-12-16,91.1
2015-12-17,93.1
2015-12-18,94.55
2015-12-21,97.1
2015-12-22,99.7
2015-12-23,102.95
2015-12-24,102.6
2015-12-28,104.55
2015-12-29,101.5
2015-12-30,104.05
2015-12-31,104.8
