Date,SUPERHOUSE
2015-01-01,221.15
2015-01-02,220.65
2015-01-05,228.0
2015-01-06,217.75
2015-01-07,216.15
2015-01-08,253.65
2015-01-09,254.95
2015-01-12,265.9
2015-01-13,257.4
2015-01-14,248.55
2015-01-15,244.6
2015-01-16,256.1
2015-01-19,263.8
2015-01-20,262.75
2015-01-21,256.3
2015-01-22,256.65
2015-01-23,258.1
2015-01-27,257.6
2015-01-28,246.35
2015-01-29,243.15
2015-01-30,239.3
2015-02-02,240.6
2015-02-03,236.4
2015-02-04,233.75
2015-02-05,232.2
2015-02-06,220.0
2015-02-09,216.55
2015-02-10,220.4
2015-02-11,220.95
2015-02-12,231.1
2015-02-13,230.1
2015-02-16,218.7
2015-02-18,218.0
2015-02-19,220.8
2015-02-20,232.4
2015-02-23,227.65
2015-02-24,226.4
2015-02-25,221.4
2015-02-26,222.5
2015-02-27,232.75
2015-02-28,236.5
2015-03-02,252.95
2015-03-03,248.95
2015-03-04,250.5
2015-03-05,245.3
2015-03-09,241.1
2015-03-10,241.0
2015-03-11,236.75
2015-03-12,236.5
2015-03-13,233.05
2015-03-16,227.8
2015-03-17,224.9
2015-03-18,221.95
2015-03-19,221.35
2015-03-20,215.3
2015-03-23,213.7
2015-03-24,213.9
2015-03-25,210.7
2015-03-26,200.7
2015-03-27,206.1
2015-03-30,212.3
2015-03-31,209.25
2015-04-01,215.5
2015-04-06,218.95
2015-04-07,218.2
2015-04-08,222.2
2015-04-09,234.6
2015-04-10,234.6
2015-04-13,231.2
2015-04-15,231.6
2015-04-16,225.4
2015-04-17,225.15
2015-04-20,217.0
2015-04-21,217.0
2015-04-22,208.85
2015-04-23,211.5
2015-04-24,212.4
2015-04-27,200.55
2015-04-28,204.05
2015-04-29,201.65
2015-04-30,204.45
2015-05-04,205.55
2015-05-05,207.9
2015-05-06,200.9
2015-05-07,198.45
2015-05-08,199.35
2015-05-11,199.6
2015-05-12,194.05
2015-05-13,193.4
2015-05-14,201.15
2015-05-15,200.45
2015-05-18,200.15
2015-05-19,201.05
2015-05-20,202.45
2015-05-21,203.4
2015-05-22,201.55
2015-05-25,200.5
2015-05-26,196.85
2015-05-27,197.35
2015-05-28,197.0
2015-05-29,197.05
2015-06-01,174.55
2015-06-02,171.2
2015-06-03,167.25
2015-06-04,168.55
2015-06-05,166.85
2015-06-08,162.45
2015-06-09,159.6
2015-06-10,159.65
2015-06-11,155.0
2015-06-12,150.55
2015-06-15,148.5
2015-06-16,147.25
2015-06-17,152.15
2015-06-18,149.05
2015-06-19,163.75
2015-06-22,166.8
2015-06-23,166.0
2015-06-24,165.0
2015-06-25,165.9
2015-06-26,163.95
2015-06-29,156.95
2015-06-30,160.75
2015-07-01,165.7
2015-07-02,164.7
2015-07-03,165.35
2015-07-06,173.25
2015-07-07,174.0
2015-07-08,175.65
2015-07-09,177.1
2015-07-10,179.0
2015-07-13,191.15
2015-07-14,195.95
2015-07-15,211.15
2015-07-16,207.05
2015-07-17,206.2
2015-07-20,204.05
2015-07-21,189.75
2015-07-22,199.65
2015-07-23,200.6
2015-07-24,222.3
2015-07-27,223.25
2015-07-28,219.9
2015-07-29,215.5
2015-07-30,208.0
2015-07-31,211.95
2015-08-03,246.25
2015-08-04,243.25
2015-08-05,235.35
2015-08-06,229.65
2015-08-07,228.85
2015-08-10,220.2
2015-08-11,217.95
2015-08-12,209.95
2015-08-13,210.85
2015-08-14,196.95
2015-08-17,179.75
2015-08-18,180.75
2015-08-19,184.4
2015-08-20,171.4
2015-08-21,169.95
2015-08-24,152.4
2015-08-25,153.6
2015-08-26,149.4
2015-08-27,153.6
2015-08-28,159.25
2015-08-31,161.0
2015-09-01,155.4
2015-09-02,156.4
2015-09-03,156.45
2015-09-04,150.6
2015-09-07,142.35
2015-09-08,141.95
2015-09-09,145.25
2015-09-10,144.1
2015-09-11,149.35
2015-09-14,153.05
2015-09-15,152.35
2015-09-16,148.85
2015-09-18,151.9
2015-09-21,151.15
2015-09-22,150.25
2015-09-23,156.45
2015-09-24,155.85
2015-09-28,157.05
2015-09-29,156.65
2015-09-30,154.65
2015-10-01,154.2
2015-10-05,159.75
2015-10-06,162.75
2015-10-07,158.25
2015-10-08,166.7
2015-10-09,164.0
2015-10-12,166.75
2015-10-13,164.85
2015-10-14,161.35
2015-10-15,164.45
2015-10-16,164.0
2015-10-19,169.45
2015-10-20,170.4
2015-10-21,167.75
2015-10-23,164.5
2015-10-26,166.35
2015-10-27,166.45
2015-10-28,163.85
2015-10-29,164.0
2015-10-30,158.8
2015-11-02,158.9
2015-11-03,158.5
2015-11-04,161.4
2015-11-05,157.05
2015-11-06,157.55
2015-11-09,155.15
2015-11-10,158.25
2015-11-11,163.85
2015-11-13,165.35
2015-11-16,159.85
2015-11-17,158.55
2015-11-18,157.3
2015-11-19,156.7
2015-11-20,159.15
2015-11-23,162.45
2015-11-24,162.1
2015-11-26,166.4
2015-11-27,163.65
2015-11-30,175.85
2015-12-01,179.6
2015-12-02,174.1
2015-12-03,172.3
2015-12-04,169.9
2015-12-07,165.75
2015-12-08,160.8
2015-12-09,156.3
2015-12-10,157.0
2015-12-11,157.4
2015-12-14,156.2
2015-12-15,155.65
2015-12-16,159.55
2015-12-17,164.85
2015-12-18,164.35
2015-12-21,167.3
2015-12-22,168.15
2015-12-23,173.35
2015-12-24,177.35
2015-12-28,180.55
2015-12-29,182.7
2015-12-30,183.55
2015-12-31,180.95
