Date,VEDL
2015-01-01,219.25
2015-01-02,222.3
2015-01-05,219.8
2015-01-06,209.05
2015-01-07,209.0
2015-01-08,210.5
2015-01-09,207.8
2015-01-12,206.25
2015-01-13,204.6
2015-01-14,188.1
2015-01-15,189.7
2015-01-16,193.25
2015-01-19,193.15
2015-01-20,204.15
2015-01-21,199.65
2015-01-22,201.1
2015-01-23,205.4
2015-01-27,207.3
2015-01-28,201.15
2015-01-29,201.45
2015-01-30,201.95
2015-02-02,198.2
2015-02-03,210.7
2015-02-04,216.6
2015-02-05,207.8
2015-02-06,210.6
2015-02-09,200.8
2015-02-10,206.35
2015-02-11,208.25
2015-02-12,212.65
2015-02-13,212.2
2015-02-16,211.55
2015-02-18,205.2
2015-02-19,219.05
2015-02-20,217.3
2015-02-23,219.55
2015-02-24,211.35
2015-02-25,210.75
2015-02-26,208.25
2015-02-27,217.2
2015-02-28,217.6
2015-03-02,218.2
2015-03-03,222.05
2015-03-04,212.4
2015-03-05,210.15
2015-03-09,199.1
2015-03-10,197.6
2015-03-11,192.7
2015-03-12,200.6
2015-03-13,195.9
2015-03-16,185.5
2015-03-17,192.9
2015-03-18,193.95
2015-03-19,191.5
2015-03-20,187.85
2015-03-23,190.95
2015-03-24,193.85
2015-03-25,196.8
2015-03-26,188.3
2015-03-27,188.4
2015-03-30,189.15
2015-03-31,189.5
2015-04-01,190.15
2015-04-06,191.5
2015-04-07,197.75
2015-04-08,193.6
2015-04-09,194.65
2015-04-10,202.35
2015-04-13,200.55
2015-04-15,206.25
2015-04-16,204.1
2015-04-17,211.25
2015-04-20,207.9
2015-04-21,211.1
2015-04-22,211.0
2015-04-23,211.5
2015-04-24,204.9
2015-04-27,210.0
2015-04-28,211.9
2015-04-29,207.05
2015-04-30,209.85
2015-05-04,212.4
2015-05-05,226.7
2015-05-06,220.15
2015-05-07,218.15
2015-05-08,217.95
2015-05-11,230.3
2015-05-12,218.25
2015-05-13,218.15
2015-05-14,214.75
2015-05-15,210.35
2015-05-18,211.15
2015-05-19,215.05
2015-05-20,216.05
2015-05-21,209.0
2015-05-22,206.2
2015-05-25,199.4
2015-05-26,195.1
2015-05-27,191.6
2015-05-28,196.75
2015-05-29,196.45
2015-06-01,197.7
2015-06-02,194.75
2015-06-03,188.3
2015-06-04,184.2
2015-06-05,182.8
2015-06-08,177.05
2015-06-09,182.55
2015-06-10,185.0
2015-06-11,188.0
2015-06-12,183.8
2015-06-15,181.35
2015-06-16,178.5
2015-06-17,172.65
2015-06-18,173.2
2015-06-19,174.85
2015-06-22,176.55
2015-06-23,176.45
2015-06-24,176.1
2015-06-25,179.6
2015-06-26,174.85
2015-06-29,172.7
2015-06-30,174.15
2015-07-01,176.0
2015-07-02,173.55
2015-07-03,170.55
2015-07-06,163.4
2015-07-07,158.55
2015-07-08,145.7
2015-07-09,138.9
2015-07-10,146.2
2015-07-13,147.55
2015-07-14,145.25
2015-07-15,145.5
2015-07-16,143.65
2015-07-17,145.55
2015-07-20,143.2
2015-07-21,136.35
2015-07-22,136.1
2015-07-23,135.5
2015-07-24,132.45
2015-07-27,128.5
2015-07-28,128.65
2015-07-29,130.4
2015-07-30,129.85
2015-07-31,130.25
2015-08-03,126.95
2015-08-04,127.45
2015-08-05,127.7
2015-08-06,126.6
2015-08-07,129.3
2015-08-10,127.8
2015-08-11,123.55
2015-08-12,113.85
2015-08-13,103.4
2015-08-14,107.1
2015-08-17,105.0
2015-08-18,102.85
2015-08-19,102.5
2015-08-20,98.6
2015-08-21,94.6
2015-08-24,81.1
2015-08-25,86.4
2015-08-26,85.55
2015-08-27,91.15
2015-08-28,96.55
2015-08-31,98.65
2015-09-01,94.75
2015-09-02,94.1
2015-09-03,98.25
2015-09-04,93.25
2015-09-07,89.85
2015-09-08,93.5
2015-09-09,99.9
2015-09-10,99.75
2015-09-11,97.0
2015-09-14,101.3
2015-09-15,96.7
2015-09-16,98.9
2015-09-18,98.95
2015-09-21,98.4
2015-09-22,92.35
2015-09-23,95.05
2015-09-24,95.6
2015-09-28,91.2
2015-09-29,86.2
2015-09-30,84.7
2015-10-01,83.4
2015-10-05,84.55
2015-10-06,85.7
2015-10-07,90.75
2015-10-08,92.9
2015-10-09,103.6
2015-10-12,110.9
2015-10-13,107.75
2015-10-14,107.9
2015-10-15,109.25
2015-10-16,108.6
2015-10-19,108.15
2015-10-20,101.25
2015-10-21,105.1
2015-10-23,102.15
2015-10-26,104.85
2015-10-27,104.8
2015-10-28,105.05
2015-10-29,107.1
2015-10-30,99.95
2015-11-02,96.95
2015-11-03,98.4
2015-11-04,98.7
2015-11-05,94.05
2015-11-06,92.2
2015-11-09,93.65
2015-11-10,90.05
2015-11-11,91.0
2015-11-13,87.25
2015-11-16,89.55
2015-11-17,92.05
2015-11-18,89.15
2015-11-19,91.65
2015-11-20,93.15
2015-11-23,90.45
2015-11-24,90.2
2015-11-26,90.25
2015-11-27,91.9
2015-11-30,89.95
2015-12-01,94.15
2015-12-02,94.25
2015-12-03,92.1
2015-12-04,91.5
2015-12-07,91.25
2015-12-08,87.15
2015-12-09,82.25
2015-12-10,83.1
2015-12-11,83.45
2015-12-14,84.3
2015-12-15,83.8
2015-12-16,84.05
2015-12-17,87.15
2015-12-18,84.3
2015-12-21,86.55
2015-12-22,86.05
2015-12-23,89.3
2015-12-24,91.95
2015-12-28,91.9
2015-12-29,91.95
2015-12-30,91.95
2015-12-31,90.4
