Date,JUNIORBEES
2015-01-01,189.03
2015-01-02,190.47
2015-01-05,191.22
2015-01-06,186.46
2015-01-07,183.98
2015-01-08,186.25
2015-01-09,185.0
2015-01-12,186.8
2015-01-13,187.96
2015-01-14,186.89
2015-01-15,191.61
2015-01-16,191.26
2015-01-19,190.99
2015-01-20,191.86
2015-01-21,192.03
2015-01-22,192.14
2015-01-23,194.65
2015-01-27,194.39
2015-01-28,197.07
2015-01-29,196.56
2015-01-30,196.68
2015-02-02,196.42
2015-02-03,196.03
2015-02-04,194.74
2015-02-05,193.57
2015-02-06,193.02
2015-02-09,189.51
2015-02-10,193.89
2015-02-11,193.81
2015-02-12,194.59
2015-02-13,196.34
2015-02-16,196.94
2015-02-18,196.0
2015-02-19,195.43
2015-02-20,196.58
2015-02-23,196.78
2015-02-24,194.49
2015-02-25,195.93
2015-02-26,194.03
2015-02-27,197.8
2015-02-28,197.28
2015-03-02,199.14
2015-03-03,200.52
2015-03-04,199.65
2015-03-05,200.02
2015-03-09,198.19
2015-03-10,198.94
2015-03-11,197.43
2015-03-12,199.98
2015-03-13,199.16
2015-03-16,196.22
2015-03-17,199.18
2015-03-18,202.48
2015-03-19,199.71
2015-03-20,198.55
2015-03-23,195.52
2015-03-24,195.0
2015-03-25,193.93
2015-03-26,194.95
2015-03-27,192.12
2015-03-30,194.19
2015-03-31,194.01
2015-04-01,196.03
2015-04-06,198.85
2015-04-07,202.65
2015-04-08,201.08
2015-04-09,207.44
2015-04-10,204.81
2015-04-13,207.24
2015-04-15,206.28
2015-04-16,203.06
2015-04-17,198.14
2015-04-20,196.56
2015-04-21,195.14
2015-04-22,197.25
2015-04-23,198.56
2015-04-24,194.17
2015-04-27,190.66
2015-04-28,192.25
2015-04-29,191.59
2015-04-30,192.8
2015-05-04,194.97
2015-05-05,195.46
2015-05-06,192.63
2015-05-07,186.19
2015-05-08,188.33
2015-05-11,193.05
2015-05-12,191.22
2015-05-13,195.51
2015-05-14,195.7
2015-05-15,196.67
2015-05-18,198.68
2015-05-19,198.91
2015-05-20,199.51
2015-05-21,199.58
2015-05-22,199.93
2015-05-25,199.92
2015-05-26,197.86
2015-05-27,198.88
2015-05-28,196.35
2015-05-29,198.3
2015-06-01,198.48
2015-06-02,195.45
2015-06-03,192.25
2015-06-04,193.31
2015-06-05,193.44
2015-06-08,189.99
2015-06-09,191.48
2015-06-10,192.52
2015-06-11,191.07
2015-06-12,190.64
2015-06-15,190.04
2015-06-16,190.48
2015-06-17,192.68
2015-06-18,194.26
2015-06-19,195.6
2015-06-22,197.18
2015-06-23,197.58
2015-06-24,197.91
2015-06-25,199.2
2015-06-26,197.78
2015-06-29,196.53
2015-06-30,196.93
2015-07-01,201.76
2015-07-02,203.62
2015-07-03,201.15
2015-07-06,203.49
2015-07-07,204.2
2015-07-08,202.68
2015-07-09,202.94
2015-07-10,203.13
2015-07-13,204.36
2015-07-14,204.84
2015-07-15,204.55
2015-07-16,207.0
2015-07-17,208.65
2015-07-20,209.0
2015-07-21,206.33
2015-07-22,207.17
2015-07-23,207.95
2015-07-24,207.27
2015-07-27,204.17
2015-07-28,205.0
2015-07-29,205.5
2015-07-30,207.3
2015-07-31,209.57
2015-08-03,210.78
2015-08-04,212.96
2015-08-05,216.68
2015-08-06,216.65
2015-08-07,215.97
2015-08-10,216.53
2015-08-11,213.53
2015-08-12,210.09
2015-08-13,210.55
2015-08-14,212.52
2015-08-17,213.94
2015-08-18,215.01
2015-08-19,215.18
2015-08-20,213.7
2015-08-21,210.64
2015-08-24,194.81
2015-08-25,199.14
2015-08-26,197.76
2015-08-27,201.8
2015-08-28,203.55
2015-08-31,202.42
2015-09-01,199.61
2015-09-02,200.34
2015-09-03,199.54
2015-09-04,197.95
2015-09-07,192.47
2015-09-08,191.65
2015-09-09,195.12
2015-09-10,195.28
2015-09-11,195.64
2015-09-14,198.96
2015-09-15,197.5
2015-09-16,197.69
2015-09-18,199.91
2015-09-21,198.59
2015-09-22,195.93
2015-09-23,196.97
2015-09-24,197.43
2015-09-28,194.23
2015-09-29,194.37
2015-09-30,197.61
2015-10-01,198.13
2015-10-05,202.1
2015-10-06,203.99
2015-10-07,203.87
2015-10-08,201.35
2015-10-09,201.29
2015-10-12,201.3
2015-10-13,200.69
2015-10-14,199.72
2015-10-15,201.05
2015-10-16,202.39
2015-10-19,202.92
2015-10-20,202.88
2015-10-21,202.12
2015-10-23,200.97
2015-10-26,200.85
2015-10-27,200.03
2015-10-28,198.7
2015-10-29,198.34
2015-10-30,199.0
2015-11-02,199.25
2015-11-03,199.48
2015-11-04,199.83
2015-11-05,198.76
2015-11-06,197.38
2015-11-09,198.75
2015-11-10,195.73
2015-11-11,200.02
2015-11-13,194.34
2015-11-16,193.79
2015-11-17,193.68
2015-11-18,193.81
2015-11-19,195.73
2015-11-20,197.12
2015-11-23,199.11
2015-11-24,198.1
2015-11-26,198.75
2015-11-27,198.7
2015-11-30,198.56
2015-12-01,199.27
2015-12-02,199.9
2015-12-03,198.06
2015-12-04,196.81
2015-12-07,197.09
2015-12-08,195.56
2015-12-09,192.51
2015-12-10,193.84
2015-12-11,192.41
2015-12-14,192.1
2015-12-15,193.11
2015-12-16,194.88
2015-12-17,196.09
2015-12-18,196.57
2015-12-21,198.05
2015-12-22,197.67
2015-12-23,198.34
2015-12-24,198.6
2015-12-28,199.93
2015-12-29,199.92
2015-12-30,200.15
2015-12-31,201.17
