Date,BERGEPAINT
2015-01-01,405.35
2015-01-02,452.5
2015-01-05,437.6
2015-01-06,423.35
2015-01-07,435.75
2015-01-08,239.9
2015-01-09,244.6
2015-01-12,230.55
2015-01-13,234.6
2015-01-14,228.3
2015-01-15,220.55
2015-01-16,226.65
2015-01-19,225.7
2015-01-20,228.65
2015-01-21,228.65
2015-01-22,228.1
2015-01-23,224.7
2015-01-27,226.25
2015-01-28,233.1
2015-01-29,232.1
2015-01-30,228.95
2015-02-02,222.95
2015-02-03,215.5
2015-02-04,217.55
2015-02-05,218.3
2015-02-06,210.45
2015-02-09,201.55
2015-02-10,209.55
2015-02-11,218.3
2015-02-12,210.9
2015-02-13,213.6
2015-02-16,214.75
2015-02-18,217.35
2015-02-19,220.65
2015-02-20,214.8
2015-02-23,220.9
2015-02-24,222.3
2015-02-25,222.45
2015-02-26,217.4
2015-02-27,226.15
2015-02-28,223.95
2015-03-02,223.6
2015-03-03,224.25
2015-03-04,216.3
2015-03-05,212.2
2015-03-09,209.05
2015-03-10,206.75
2015-03-11,210.2
2015-03-12,214.1
2015-03-13,211.4
2015-03-16,217.8
2015-03-17,219.6
2015-03-18,216.55
2015-03-19,219.45
2015-03-20,216.7
2015-03-23,215.1
2015-03-24,213.85
2015-03-25,211.65
2015-03-26,206.25
2015-03-27,205.1
2015-03-30,209.5
2015-03-31,208.65
2015-04-01,215.15
2015-04-06,215.5
2015-04-07,218.7
2015-04-08,225.05
2015-04-09,226.3
2015-04-10,228.75
2015-04-13,224.0
2015-04-15,216.35
2015-04-16,213.3
2015-04-17,207.35
2015-04-20,204.95
2015-04-21,204.95
2015-04-22,203.0
2015-04-23,207.9
2015-04-24,206.05
2015-04-27,205.1
2015-04-28,208.9
2015-04-29,212.35
2015-04-30,210.65
2015-05-04,212.0
2015-05-05,217.2
2015-05-06,214.1
2015-05-07,209.2
2015-05-08,208.7
2015-05-11,208.85
2015-05-12,207.15
2015-05-13,207.0
2015-05-14,210.15
2015-05-15,210.15
2015-05-18,211.85
2015-05-19,209.35
2015-05-20,207.8
2015-05-21,205.05
2015-05-22,204.5
2015-05-25,204.25
2015-05-26,211.2
2015-05-27,212.35
2015-05-28,210.1
2015-05-29,212.65
2015-06-01,209.45
2015-06-02,204.1
2015-06-03,200.35
2015-06-04,202.9
2015-06-05,202.05
2015-06-08,197.35
2015-06-09,195.3
2015-06-10,194.1
2015-06-11,189.65
2015-06-12,180.7
2015-06-15,176.3
2015-06-16,173.15
2015-06-17,181.35
2015-06-18,183.95
2015-06-19,183.85
2015-06-22,192.05
2015-06-23,195.4
2015-06-24,194.05
2015-06-25,194.65
2015-06-26,195.65
2015-06-29,193.5
2015-06-30,195.35
2015-07-01,198.85
2015-07-02,203.25
2015-07-03,200.75
2015-07-06,207.05
2015-07-07,215.75
2015-07-08,212.15
2015-07-09,207.9
2015-07-10,210.45
2015-07-13,211.75
2015-07-14,211.0
2015-07-15,213.35
2015-07-16,214.15
2015-07-17,214.5
2015-07-20,221.7
2015-07-21,215.15
2015-07-22,215.9
2015-07-23,215.9
2015-07-24,217.15
2015-07-27,209.95
2015-07-28,212.2
2015-07-29,219.6
2015-07-30,217.45
2015-07-31,217.9
2015-08-03,222.1
2015-08-04,227.35
2015-08-05,230.35
2015-08-06,225.4
2015-08-07,221.75
2015-08-10,228.4
2015-08-11,230.3
2015-08-12,224.25
2015-08-13,222.9
2015-08-14,229.95
2015-08-17,226.8
2015-08-18,226.85
2015-08-19,226.35
2015-08-20,218.65
2015-08-21,217.0
2015-08-24,199.9
2015-08-25,205.15
2015-08-26,206.55
2015-08-27,209.45
2015-08-28,207.55
2015-08-31,212.5
2015-09-01,213.5
2015-09-02,210.95
2015-09-03,213.5
2015-09-04,212.45
2015-09-07,212.05
2015-09-08,212.0
2015-09-09,214.65
2015-09-10,212.45
2015-09-11,212.95
2015-09-14,222.3
2015-09-15,218.75
2015-09-16,216.4
2015-09-18,223.25
2015-09-21,220.0
2015-09-22,221.05
2015-09-23,220.55
2015-09-24,225.05
2015-09-28,219.15
2015-09-29,220.9
2015-09-30,219.65
2015-10-01,217.8
2015-10-05,224.75
2015-10-06,222.45
2015-10-07,222.65
2015-10-08,219.75
2015-10-09,221.55
2015-10-12,224.45
2015-10-13,228.55
2015-10-14,227.3
2015-10-15,226.65
2015-10-16,224.8
2015-10-19,223.6
2015-10-20,224.2
2015-10-21,222.3
2015-10-23,220.85
2015-10-26,220.7
2015-10-27,221.0
2015-10-28,220.05
2015-10-29,220.05
2015-10-30,221.7
2015-11-02,218.6
2015-11-03,224.85
2015-11-04,230.2
2015-11-05,223.95
2015-11-06,225.05
2015-11-09,223.1
2015-11-10,221.8
2015-11-11,220.8
2015-11-13,219.65
2015-11-16,220.35
2015-11-17,219.25
2015-11-18,218.75
2015-11-19,219.95
2015-11-20,222.0
2015-11-23,222.95
2015-11-24,221.45
2015-11-26,219.7
2015-11-27,219.75
2015-11-30,220.1
2015-12-01,220.0
2015-12-02,222.75
2015-12-03,230.3
2015-12-04,234.0
2015-12-07,238.15
2015-12-08,234.05
2015-12-09,223.15
2015-12-10,222.3
2015-12-11,219.85
2015-12-14,215.85
2015-12-15,222.95
2015-12-16,222.1
2015-12-17,228.7
2015-12-18,240.25
2015-12-21,237.65
2015-12-22,251.85
2015-12-23,254.35
2015-12-24,251.85
2015-12-28,257.25
2015-12-29,261.6
2015-12-30,266.6
2015-12-31,268.85
