Date,SOLARINDS
2015-01-01,2696.85
2015-01-02,2712.3
2015-01-05,2772.85
2015-01-06,2718.65
2015-01-07,2766.0
2015-01-08,2875.05
2015-01-09,2924.15
2015-01-12,2977.95
2015-01-13,3004.5
2015-01-14,2995.85
2015-01-15,2963.5
2015-01-16,3006.0
2015-01-19,3082.15
2015-01-20,3083.25
2015-01-21,3092.55
2015-01-22,3053.8
2015-01-23,3090.5
2015-01-27,3082.85
2015-01-28,3089.8
2015-01-29,3097.15
2015-01-30,3100.55
2015-02-02,3092.9
2015-02-03,3096.95
2015-02-04,3086.75
2015-02-05,3071.0
2015-02-06,3075.65
2015-02-09,3069.35
2015-02-10,3055.6
2015-02-11,3039.9
2015-02-12,3055.8
2015-02-13,3049.25
2015-02-16,3086.65
2015-02-18,3082.7
2015-02-19,3236.35
2015-02-20,3424.55
2015-02-23,3352.35
2015-02-24,3329.8
2015-02-25,3226.35
2015-02-26,3247.85
2015-02-27,3314.15
2015-02-28,3286.6
2015-03-02,3224.35
2015-03-03,3228.95
2015-03-04,3214.15
2015-03-05,3259.05
2015-03-09,3279.95
2015-03-10,3277.65
2015-03-11,3346.65
2015-03-12,3390.4
2015-03-13,3362.85
2015-03-16,3489.45
2015-03-17,3467.85
2015-03-18,3428.9
2015-03-19,3344.9
2015-03-20,3231.95
2015-03-23,3269.75
2015-03-24,3221.9
2015-03-25,3305.2
2015-03-26,3265.0
2015-03-27,3245.0
2015-03-30,3369.7
2015-03-31,3402.55
2015-04-01,3403.9
2015-04-06,3447.75
2015-04-07,3497.15
2015-04-08,3542.8
2015-04-09,3648.1
2015-04-10,3692.15
2015-04-13,3799.35
2015-04-15,3810.3
2015-04-16,3750.8
2015-04-17,3738.9
2015-04-20,3560.6
2015-04-21,3494.55
2015-04-22,3514.75
2015-04-23,3505.35
2015-04-24,3404.2
2015-04-27,3386.15
2015-04-28,3389.1
2015-04-29,3378.2
2015-04-30,3387.15
2015-05-04,3482.6
2015-05-05,3580.1
2015-05-06,3424.15
2015-05-07,3410.55
2015-05-08,3332.1
2015-05-11,3352.45
2015-05-12,3388.15
2015-05-13,3399.85
2015-05-14,3414.1
2015-05-15,3376.7
2015-05-18,3385.0
2015-05-19,3399.9
2015-05-20,3436.55
2015-05-21,3426.15
2015-05-22,3478.45
2015-05-25,3542.05
2015-05-26,3451.15
2015-05-27,3462.5
2015-05-28,3491.5
2015-05-29,3464.2
2015-06-01,3497.5
2015-06-02,3450.1
2015-06-03,3388.65
2015-06-04,3419.8
2015-06-05,3501.85
2015-06-08,3497.4
2015-06-09,3464.1
2015-06-10,3506.95
2015-06-11,3514.45
2015-06-12,3542.75
2015-06-15,3559.15
2015-06-16,3510.25
2015-06-17,3624.85
2015-06-18,3689.75
2015-06-19,3698.4
2015-06-22,3746.9
2015-06-23,3763.15
2015-06-24,3743.35
2015-06-25,3680.4
2015-06-26,3684.2
2015-06-29,3638.7
2015-06-30,3712.75
2015-07-01,3669.7
2015-07-02,3773.9
