Date,TANTIACONS
2015-01-01,20.25
2015-01-02,20.1
2015-01-05,19.85
2015-01-06,19.9
2015-01-07,19.7
2015-01-08,19.8
2015-01-09,19.4
2015-01-12,19.35
2015-01-13,19.45
2015-01-14,19.05
2015-01-15,20.15
2015-01-16,20.3
2015-01-19,20.05
2015-01-20,21.3
2015-01-21,21.0
2015-01-22,21.0
2015-01-23,20.1
2015-01-27,19.95
2015-01-28,20.0
2015-01-29,23.35
2015-01-30,22.85
2015-02-02,22.25
2015-02-03,22.5
2015-02-04,23.25
2015-02-05,23.2
2015-02-06,23.15
2015-02-09,22.75
2015-02-10,21.85
2015-02-11,22.25
2015-02-12,23.5
2015-02-13,22.15
2015-02-16,19.95
2015-02-18,20.6
2015-02-19,20.0
2015-02-20,20.35
2015-02-23,21.3
2015-02-24,21.45
2015-02-25,20.65
2015-02-26,21.2
2015-02-27,20.95
2015-02-28,20.65
2015-03-02,21.3
2015-03-03,21.05
2015-03-04,20.5
2015-03-05,20.05
2015-03-09,19.65
2015-03-10,18.95
2015-03-11,19.3
2015-03-12,18.9
2015-03-13,19.75
2015-03-16,19.15
2015-03-17,18.75
2015-03-18,18.5
2015-03-19,18.05
2015-03-20,17.55
2015-03-23,16.8
2015-03-24,16.45
2015-03-25,16.6
2015-03-26,16.3
2015-03-27,16.65
2015-03-30,16.6
2015-03-31,16.95
2015-04-01,19.25
2015-04-06,19.35
2015-04-07,18.9
2015-04-08,18.95
2015-04-09,22.7
2015-04-10,26.2
2015-04-13,28.8
2015-04-15,28.35
2015-04-16,26.1
2015-04-17,27.1
2015-04-20,25.65
2015-04-21,25.35
2015-04-22,24.0
2015-04-23,23.25
2015-04-24,21.1
2015-04-27,21.3
2015-04-28,21.35
2015-04-29,21.9
2015-04-30,21.05
2015-05-04,22.1
2015-05-05,21.1
2015-05-06,21.2
2015-05-07,20.9
2015-05-08,21.05
2015-05-11,21.7
2015-05-12,20.9
2015-05-13,20.55
2015-05-14,21.2
2015-05-15,20.95
2015-05-18,21.0
2015-05-19,20.7
2015-05-20,20.05
2015-05-21,19.8
2015-05-22,20.5
2015-05-25,21.25
2015-05-26,20.4
2015-05-27,20.75
2015-05-28,19.95
2015-05-29,19.9
2015-06-01,20.05
2015-06-02,19.8
2015-06-03,18.85
2015-06-04,18.0
2015-06-05,19.0
2015-06-08,17.95
2015-06-09,18.75
2015-06-10,18.55
2015-06-11,17.0
2015-06-12,17.15
2015-06-15,17.75
2015-06-16,17.15
2015-06-17,17.35
2015-06-18,17.9
2015-06-19,18.3
2015-06-22,18.5
2015-06-23,18.2
2015-06-24,17.7
2015-06-25,18.2
2015-06-26,18.0
2015-06-29,18.65
2015-06-30,18.1
2015-07-01,19.15
2015-07-02,19.0
2015-07-03,19.0
2015-07-06,19.0
2015-07-07,19.4
2015-07-08,20.0
2015-07-09,19.6
2015-07-10,20.2
2015-07-13,21.45
2015-07-14,21.55
2015-07-15,21.3
2015-07-16,20.55
2015-07-17,21.35
2015-07-20,21.0
2015-07-21,20.25
2015-07-22,18.5
2015-07-23,19.2
2015-07-24,18.85
2015-07-27,18.65
2015-07-28,18.35
2015-07-29,18.45
2015-07-30,18.35
2015-07-31,19.2
2015-08-03,19.0
2015-08-04,18.65
2015-08-05,21.3
2015-08-06,22.95
2015-08-07,23.75
2015-08-10,24.6
2015-08-11,26.95
2015-08-12,24.9
2015-08-13,22.65
2015-08-14,24.9
2015-08-17,24.65
2015-08-18,22.2
2015-08-19,22.55
2015-08-20,21.7
2015-08-21,22.2
2015-08-24,20.85
2015-08-25,19.5
2015-08-26,19.8
2015-08-27,21.25
2015-08-28,19.75
2015-08-31,19.65
2015-09-01,19.05
2015-09-02,18.6
2015-09-03,19.3
2015-09-04,18.8
2015-09-07,17.8
2015-09-08,18.0
2015-09-09,19.5
2015-09-10,18.35
2015-09-11,19.35
2015-09-14,19.4
2015-09-15,18.75
2015-09-16,18.7
2015-09-18,19.2
2015-09-21,19.6
2015-09-22,18.75
2015-09-23,18.75
2015-09-24,18.35
2015-09-28,18.8
2015-09-29,18.2
2015-09-30,18.4
2015-10-01,19.0
2015-10-05,19.35
2015-10-06,19.9
2015-10-07,21.05
2015-10-08,21.5
2015-10-09,23.35
2015-10-12,22.25
2015-10-13,21.15
2015-10-14,20.35
2015-10-15,20.5
2015-10-16,20.7
2015-10-19,21.2
2015-10-20,22.5
2015-10-21,22.0
2015-10-23,21.9
2015-10-27,21.25
2015-10-28,20.65
2015-10-29,20.25
2015-10-30,20.0
2015-11-02,20.0
2015-11-03,20.7
2015-11-04,20.1
2015-11-05,20.35
2015-11-06,20.7
2015-11-09,20.2
2015-11-10,20.25
2015-11-11,21.55
2015-11-13,20.6
2015-11-16,18.9
2015-11-17,18.65
2015-11-18,18.65
2015-11-19,18.9
2015-11-20,19.35
2015-11-23,19.2
2015-11-24,19.05
2015-11-26,19.05
2015-11-27,19.25
2015-11-30,19.6
2015-12-01,19.75
2015-12-02,21.7
2015-12-03,22.8
2015-12-04,26.05
2015-12-07,28.0
2015-12-08,25.3
2015-12-09,24.25
2015-12-10,24.9
2015-12-11,26.05
2015-12-14,25.85
2015-12-15,25.85
2015-12-16,25.95
2015-12-17,25.85
2015-12-18,26.45
2015-12-21,26.75
2015-12-22,26.05
2015-12-23,26.4
2015-12-24,28.45
2015-12-28,28.2
2015-12-29,26.95
2015-12-30,26.8
2015-12-31,27.95
