Date,NDTV
2015-01-01,120.45
2015-01-02,119.05
2015-01-05,117.1
2015-01-06,112.0
2015-01-07,111.15
2015-01-08,113.1
2015-01-09,112.15
2015-01-12,113.15
2015-01-13,111.95
2015-01-14,112.2
2015-01-15,111.85
2015-01-16,112.9
2015-01-19,111.75
2015-01-20,112.65
2015-01-21,114.45
2015-01-22,113.25
2015-01-23,111.9
2015-01-27,111.95
2015-01-28,110.85
2015-01-29,111.1
2015-01-30,111.5
2015-02-02,112.75
2015-02-03,111.05
2015-02-04,110.1
2015-02-05,102.55
2015-02-06,94.95
2015-02-09,90.75
2015-02-10,94.7
2015-02-11,94.3
2015-02-12,113.15
2015-02-13,105.85
2015-02-16,106.85
2015-02-18,113.15
2015-02-19,112.75
2015-02-20,110.6
2015-02-23,112.85
2015-02-24,117.1
2015-02-25,112.8
2015-02-26,117.9
2015-02-27,121.45
2015-02-28,116.0
2015-03-02,117.35
2015-03-03,121.85
2015-03-04,118.55
2015-03-05,118.45
2015-03-09,117.25
2015-03-10,116.1
2015-03-11,113.85
2015-03-12,116.7
2015-03-13,110.3
2015-03-16,112.2
2015-03-17,108.7
2015-03-18,106.5
2015-03-19,117.05
2015-03-20,120.0
2015-03-23,110.75
2015-03-24,111.1
2015-03-25,111.35
2015-03-26,106.4
2015-03-27,106.35
2015-03-30,111.95
2015-03-31,113.85
2015-04-01,115.25
2015-04-06,114.7
2015-04-07,121.85
2015-04-08,129.25
2015-04-09,138.55
2015-04-10,141.15
2015-04-13,137.4
2015-04-15,139.2
2015-04-16,136.55
2015-04-17,140.7
2015-04-20,139.8
2015-04-21,138.15
2015-04-22,134.05
2015-04-23,135.0
2015-04-24,125.9
2015-04-27,122.5
2015-04-28,123.7
2015-04-29,138.1
2015-04-30,143.25
2015-05-04,129.3
2015-05-05,127.7
2015-05-06,115.25
2015-05-07,114.8
2015-05-08,117.15
2015-05-11,119.45
2015-05-12,114.55
2015-05-13,114.6
2015-05-14,125.75
2015-05-15,124.45
2015-05-18,121.2
2015-05-19,119.65
2015-05-20,120.15
2015-05-21,115.2
2015-05-22,116.7
2015-05-25,117.65
2015-05-26,115.15
2015-05-27,116.45
2015-05-28,116.0
2015-05-29,115.7
2015-06-01,115.9
2015-06-02,112.9
2015-06-03,106.15
2015-06-04,105.6
2015-06-05,105.45
2015-06-08,101.8
2015-06-09,100.95
2015-06-10,104.15
2015-06-11,100.55
2015-06-12,99.75
2015-06-15,98.5
2015-06-16,102.5
2015-06-17,105.7
2015-06-18,103.65
2015-06-19,103.7
2015-06-22,107.4
2015-06-23,107.15
2015-06-24,104.6
2015-06-25,105.0
2015-06-26,109.85
2015-06-29,104.85
2015-06-30,108.5
2015-07-01,106.65
2015-07-02,106.7
2015-07-03,107.45
2015-07-06,108.8
2015-07-07,108.4
2015-07-08,105.1
2015-07-09,104.55
2015-07-10,105.7
2015-07-13,106.4
2015-07-14,114.5
2015-07-15,114.65
2015-07-16,110.35
2015-07-17,116.05
2015-07-20,118.4
2015-07-21,114.4
2015-07-22,115.75
2015-07-23,115.3
2015-07-24,112.25
2015-07-27,110.8
2015-07-28,106.75
2015-07-29,108.75
2015-07-30,113.7
2015-07-31,114.2
2015-08-03,111.8
2015-08-04,124.6
2015-08-05,127.65
2015-08-06,119.35
2015-08-07,116.3
2015-08-10,112.5
2015-08-11,108.7
2015-08-12,104.35
2015-08-13,102.9
2015-08-14,109.65
2015-08-17,107.45
2015-08-18,110.4
2015-08-19,112.55
2015-08-20,107.9
2015-08-21,106.1
2015-08-24,87.95
2015-08-25,88.7
2015-08-26,90.25
2015-08-27,93.4
2015-08-28,93.0
2015-08-31,92.1
2015-09-01,89.9
2015-09-02,90.0
2015-09-03,91.1
2015-09-04,86.0
2015-09-07,85.25
2015-09-08,86.4
2015-09-09,88.7
2015-09-10,87.2
2015-09-11,89.8
2015-09-14,91.2
2015-09-15,91.15
2015-09-16,91.35
2015-09-18,90.95
2015-09-21,91.15
2015-09-22,87.9
2015-09-23,89.05
2015-09-24,88.4
2015-09-28,87.2
2015-09-29,87.6
2015-09-30,92.25
2015-10-01,91.1
2015-10-05,92.45
2015-10-06,91.9
2015-10-07,90.65
2015-10-08,106.25
2015-10-09,103.9
2015-10-12,99.9
2015-10-13,99.95
2015-10-14,99.7
2015-10-15,106.65
2015-10-16,104.5
2015-10-19,106.25
2015-10-20,102.95
2015-10-21,103.45
2015-10-23,100.2
2015-10-26,99.1
2015-10-27,98.35
2015-10-28,98.6
2015-10-29,97.35
2015-10-30,93.15
2015-11-02,94.1
2015-11-03,95.15
2015-11-04,95.1
2015-11-05,92.35
2015-11-06,88.9
2015-11-09,88.8
2015-11-10,89.6
2015-11-11,93.15
2015-11-13,89.35
2015-11-16,88.65
2015-11-17,88.45
2015-11-18,87.0
2015-11-19,88.2
2015-11-20,85.65
2015-11-23,85.6
2015-11-24,86.6
2015-11-26,85.85
2015-11-27,86.05
2015-11-30,86.25
2015-12-01,88.5
2015-12-02,87.5
2015-12-03,85.9
2015-12-04,89.3
2015-12-07,87.8
2015-12-08,84.25
2015-12-09,81.0
2015-12-10,82.25
2015-12-11,79.4
2015-12-14,79.55
2015-12-15,80.2
2015-12-16,79.65
2015-12-17,81.3
2015-12-18,81.2
2015-12-21,84.35
2015-12-22,84.65
2015-12-23,83.05
2015-12-24,83.45
2015-12-28,84.55
2015-12-29,86.0
2015-12-30,84.4
2015-12-31,85.35
