Date,RUSHIL
2015-01-01,54.05
2015-01-02,55.65
2015-01-05,56.55
2015-01-06,52.7
2015-01-07,52.1
2015-01-08,53.0
2015-01-09,52.5
2015-01-12,52.65
2015-01-13,52.05
2015-01-14,50.2
2015-01-15,60.2
2015-01-16,57.55
2015-01-19,57.25
2015-01-20,56.3
2015-01-21,54.9
2015-01-22,53.45
2015-01-23,54.2
2015-01-27,54.2
2015-01-28,65.0
2015-01-29,69.95
2015-01-30,69.1
2015-02-02,69.15
2015-02-03,69.2
2015-02-04,67.3
2015-02-05,64.3
2015-02-06,62.7
2015-02-09,62.7
2015-02-10,61.2
2015-02-11,62.05
2015-02-12,62.5
2015-02-13,61.95
2015-02-16,61.55
2015-02-18,61.5
2015-02-19,61.65
2015-02-20,60.3
2015-02-23,60.4
2015-02-24,58.7
2015-02-25,58.7
2015-02-26,59.3
2015-02-27,60.4
2015-02-28,61.05
2015-03-02,59.0
2015-03-03,58.85
2015-03-04,56.4
2015-03-05,57.1
2015-03-09,56.95
2015-03-10,55.5
2015-03-11,60.35
2015-03-12,58.2
2015-03-13,57.8
2015-03-16,69.35
2015-03-17,73.15
2015-03-18,73.75
2015-03-19,70.0
2015-03-20,67.65
2015-03-23,63.1
2015-03-24,64.65
2015-03-25,74.75
2015-03-26,76.25
2015-03-27,70.65
2015-03-30,71.8
2015-03-31,68.25
2015-04-01,70.95
2015-04-06,72.95
2015-04-07,71.75
2015-04-08,71.9
2015-04-09,72.1
2015-04-10,73.65
2015-04-13,73.25
2015-04-15,73.0
2015-04-16,70.8
2015-04-17,68.8
2015-04-20,65.9
2015-04-21,67.75
2015-04-22,70.55
2015-04-23,70.7
2015-04-24,67.8
2015-04-27,63.05
2015-04-28,62.9
2015-04-29,63.65
2015-04-30,61.05
2015-05-04,62.2
2015-05-05,59.45
2015-05-06,55.7
2015-05-07,51.85
2015-05-08,58.85
2015-05-11,58.15
2015-05-12,54.9
2015-05-13,55.65
2015-05-14,54.1
2015-05-15,55.1
2015-05-18,55.2
2015-05-19,53.7
2015-05-20,57.45
2015-05-21,58.8
2015-05-22,56.2
2015-05-25,60.55
2015-05-26,64.9
2015-05-27,63.6
2015-05-28,62.1
2015-05-29,63.05
2015-06-01,62.15
2015-06-02,59.5
2015-06-03,54.0
2015-06-04,57.15
2015-06-05,58.8
2015-06-08,61.05
2015-06-09,67.95
2015-06-10,69.55
2015-06-11,68.9
2015-06-12,67.75
2015-06-15,68.9
2015-06-16,66.7
2015-06-17,67.55
2015-06-18,67.25
2015-06-19,65.5
2015-06-22,68.95
2015-06-23,67.8
2015-06-24,66.35
2015-06-25,65.8
2015-06-26,66.85
2015-06-29,67.3
2015-06-30,67.3
2015-07-01,67.3
2015-07-02,66.55
2015-07-03,67.85
2015-07-06,68.45
2015-07-07,67.6
2015-07-08,67.35
2015-07-09,66.35
2015-07-10,70.55
2015-07-13,71.0
2015-07-14,69.0
2015-07-15,69.15
2015-07-16,68.15
2015-07-17,68.05
2015-07-20,71.95
2015-07-21,70.0
2015-07-22,70.8
2015-07-23,74.65
2015-07-24,75.95
2015-07-27,75.75
2015-07-28,81.6
2015-07-29,85.85
2015-07-30,90.35
2015-07-31,96.3
2015-08-03,101.35
2015-08-04,109.25
2015-08-05,108.6
2015-08-06,130.3
2015-08-07,143.3
2015-08-10,157.6
2015-08-11,154.2
2015-08-12,149.35
2015-08-13,136.35
2015-08-14,140.45
2015-08-17,144.25
2015-08-18,144.25
2015-08-19,144.7
2015-08-20,145.95
2015-08-21,148.5
2015-08-24,133.65
2015-08-25,120.65
2015-08-26,118.8
2015-08-27,128.25
2015-08-28,131.2
2015-08-31,130.9
2015-09-01,131.35
2015-09-02,133.55
2015-09-03,142.85
2015-09-04,136.05
2015-09-07,140.3
2015-09-08,141.0
2015-09-09,142.85
2015-09-10,139.7
2015-09-11,137.1
2015-09-14,164.2
2015-09-15,159.4
2015-09-16,143.65
2015-09-18,172.35
2015-09-21,182.3
2015-09-22,217.75
2015-09-23,198.5
2015-09-24,199.8
2015-09-28,209.65
2015-09-29,172.0
2015-09-30,171.1
2015-10-01,168.9
2015-10-05,194.45
2015-10-06,213.4
2015-10-07,198.1
2015-10-08,229.1
2015-10-09,232.05
2015-10-12,228.1
2015-10-13,211.1
2015-10-14,205.05
2015-10-15,215.0
2015-10-16,230.15
2015-10-19,250.55
2015-10-20,244.55
2015-10-21,269.6
2015-10-23,270.8
2015-10-26,264.15
2015-10-27,291.55
2015-10-28,291.9
2015-10-29,296.6
2015-10-30,292.5
2015-11-02,283.15
2015-11-03,277.85
2015-11-04,253.75
2015-11-05,258.5
2015-11-06,246.95
2015-11-09,246.95
2015-11-10,258.25
2015-11-11,263.5
2015-11-13,256.4
2015-11-16,252.6
2015-11-17,272.75
2015-11-18,274.6
2015-11-19,269.8
2015-11-20,266.6
2015-11-23,259.0
2015-11-24,262.6
2015-11-26,280.5
2015-11-27,277.4
2015-11-30,277.85
2015-12-01,272.4
2015-12-02,268.15
2015-12-03,263.4
2015-12-04,259.5
2015-12-07,261.55
2015-12-08,260.75
2015-12-09,263.6
2015-12-10,269.6
2015-12-11,269.7
2015-12-14,271.6
2015-12-15,277.4
2015-12-16,277.2
2015-12-17,277.4
2015-12-18,279.25
2015-12-21,280.55
2015-12-22,296.65
2015-12-23,290.8
2015-12-24,315.3
2015-12-28,336.6
2015-12-29,303.9
2015-12-30,305.25
2015-12-31,285.5
