Date,ASIANHOTNR
2015-01-01,127.4
2015-01-02,132.3
2015-01-05,133.05
2015-01-06,129.0
2015-01-07,129.0
2015-01-08,130.1
2015-01-09,131.7
2015-01-12,129.5
2015-01-13,128.05
2015-01-14,128.85
2015-01-15,130.0
2015-01-16,127.2
2015-01-19,125.8
2015-01-20,127.4
2015-01-21,129.6
2015-01-22,125.75
2015-01-23,127.45
2015-01-27,128.1
2015-01-28,125.7
2015-01-29,123.0
2015-01-30,122.9
2015-02-02,126.2
2015-02-03,125.3
2015-02-04,124.05
2015-02-05,123.25
2015-02-06,122.3
2015-02-09,120.45
2015-02-10,122.5
2015-02-11,115.65
2015-02-12,114.5
2015-02-13,112.45
2015-02-16,110.0
2015-02-18,110.0
2015-02-19,110.95
2015-02-20,109.7
2015-02-23,108.9
2015-02-24,110.0
2015-02-25,108.05
2015-02-26,110.1
2015-02-27,111.5
2015-02-28,110.0
2015-03-02,110.35
2015-03-03,109.15
2015-03-04,108.0
2015-03-05,105.9
2015-03-09,106.0
2015-03-10,107.95
2015-03-11,104.65
2015-03-12,105.0
2015-03-13,104.85
2015-03-16,102.8
2015-03-17,102.05
2015-03-18,101.5
2015-03-19,102.05
2015-03-20,102.65
2015-03-23,105.35
2015-03-24,103.0
2015-03-25,103.4
2015-03-26,101.2
2015-03-27,100.0
2015-03-30,100.0
2015-03-31,100.65
2015-04-01,105.15
2015-04-06,102.8
2015-04-07,102.3
2015-04-08,105.9
2015-04-09,108.7
2015-04-10,109.0
2015-04-13,109.2
2015-04-15,111.1
2015-04-16,107.1
2015-04-17,104.95
2015-04-20,105.65
2015-04-22,102.5
2015-04-23,101.65
2015-04-24,101.7
2015-04-27,99.6
2015-04-28,99.2
2015-04-29,100.6
2015-04-30,98.45
2015-05-04,101.75
2015-05-05,101.1
2015-05-06,98.1
2015-05-07,97.25
2015-05-08,96.25
2015-05-11,110.35
2015-05-12,105.0
2015-05-13,112.8
2015-05-14,110.0
2015-05-15,110.1
2015-05-18,105.75
2015-05-19,104.15
2015-05-20,102.1
2015-05-21,102.9
2015-05-22,102.6
2015-05-25,99.7
2015-05-26,101.95
2015-05-27,100.5
2015-05-28,99.9
2015-05-29,98.6
2015-06-01,99.0
2015-06-02,98.1
2015-06-03,99.5
2015-06-04,98.0
2015-06-05,100.0
2015-06-08,99.45
2015-06-09,101.25
2015-06-10,101.5
2015-06-11,102.55
2015-06-12,100.05
2015-06-15,100.0
2015-06-16,100.0
2015-06-17,98.55
2015-06-18,100.0
2015-06-19,100.05
2015-06-22,99.05
2015-06-23,100.1
2015-06-24,102.5
2015-06-25,103.0
2015-06-26,100.0
2015-06-29,102.35
2015-06-30,100.0
2015-07-01,100.0
2015-07-02,103.0
2015-07-03,102.7
2015-07-06,108.95
2015-07-07,112.3
2015-07-08,110.0
2015-07-09,110.0
2015-07-10,106.6
2015-07-13,107.0
2015-07-14,101.75
2015-07-15,100.85
2015-07-16,100.25
2015-07-17,101.4
2015-07-20,100.35
2015-07-21,100.95
2015-07-22,101.1
2015-07-23,101.0
2015-07-24,97.95
2015-07-27,100.9
2015-07-28,102.35
2015-07-29,102.25
2015-07-30,105.15
2015-07-31,107.0
2015-08-03,106.95
2015-08-04,105.1
2015-08-05,109.3
2015-08-06,109.1
2015-08-07,122.05
2015-08-10,123.15
2015-08-11,120.35
2015-08-12,119.1
2015-08-13,117.75
2015-08-14,119.65
2015-08-17,117.1
2015-08-18,119.0
2015-08-19,120.9
2015-08-20,119.45
2015-08-21,115.1
2015-08-24,108.9
2015-08-25,118.15
2015-08-26,112.5
2015-08-27,112.85
2015-08-28,113.75
2015-08-31,117.1
2015-09-01,114.2
2015-09-02,113.05
2015-09-03,115.95
2015-09-04,113.6
2015-09-07,111.45
2015-09-08,110.0
2015-09-09,110.65
2015-09-10,114.9
2015-09-11,114.15
2015-09-14,111.0
2015-09-15,110.55
2015-09-16,111.3
2015-09-18,113.1
2015-09-21,110.75
2015-09-22,114.75
2015-09-23,117.25
2015-09-24,117.85
2015-09-28,116.05
2015-09-29,121.0
2015-09-30,121.05
2015-10-01,121.3
2015-10-05,126.35
2015-10-06,119.8
2015-10-07,123.35
2015-10-08,120.05
2015-10-09,123.95
2015-10-12,124.2
2015-10-13,124.4
2015-10-14,122.0
2015-10-15,124.8
2015-10-16,125.0
2015-10-19,127.0
2015-10-20,125.0
2015-10-21,128.05
2015-10-23,125.15
2015-10-26,128.0
2015-10-27,127.0
2015-10-28,126.7
2015-10-29,128.0
2015-10-30,129.6
2015-11-02,134.7
2015-11-03,131.2
2015-11-04,128.3
2015-11-05,132.9
2015-11-06,131.65
2015-11-09,132.55
2015-11-10,132.0
2015-11-11,137.0
2015-11-13,131.0
2015-11-16,131.05
2015-11-17,128.5
2015-11-18,130.0
2015-11-19,130.05
2015-11-20,130.85
2015-11-23,133.1
2015-11-24,130.0
2015-11-26,131.5
2015-11-27,128.3
2015-11-30,127.85
2015-12-01,125.45
2015-12-02,133.85
2015-12-03,136.35
2015-12-04,132.65
2015-12-07,132.2
2015-12-08,132.0
2015-12-09,129.5
2015-12-10,131.65
2015-12-11,129.75
2015-12-14,126.2
2015-12-15,132.65
2015-12-16,129.4
2015-12-17,135.75
2015-12-18,139.05
2015-12-21,136.1
2015-12-22,138.45
2015-12-23,136.5
2015-12-24,132.15
2015-12-28,135.65
2015-12-29,132.3
2015-12-30,138.3
2015-12-31,136.3
