Date,HILTON
2015-01-01,17.7
2015-01-02,18.5
2015-01-05,18.85
2015-01-06,18.85
2015-01-07,18.75
2015-01-08,18.1
2015-01-09,18.75
2015-01-12,18.15
2015-01-13,18.3
2015-01-14,18.4
2015-01-15,18.35
2015-01-16,19.5
2015-01-19,19.6
2015-01-20,19.35
2015-01-21,18.55
2015-01-22,18.0
2015-01-23,17.85
2015-01-27,18.65
2015-01-28,18.15
2015-01-29,18.5
2015-01-30,17.8
2015-02-02,17.95
2015-02-03,17.75
2015-02-04,17.05
2015-02-05,17.45
2015-02-06,17.4
2015-02-09,17.5
2015-02-10,16.9
2015-02-11,16.75
2015-02-12,16.5
2015-02-13,17.45
2015-02-16,16.75
2015-02-18,17.05
2015-02-19,18.7
2015-02-20,18.2
2015-02-23,16.9
2015-02-24,17.8
2015-02-25,17.05
2015-02-26,17.1
2015-02-27,18.0
2015-02-28,17.95
2015-03-02,17.5
2015-03-03,17.9
2015-03-04,17.55
2015-03-05,17.0
2015-03-09,16.2
2015-03-10,16.5
2015-03-11,16.55
2015-03-12,17.4
2015-03-13,16.6
2015-03-16,16.55
2015-03-17,17.7
2015-03-18,17.85
2015-03-19,17.9
2015-03-20,16.9
2015-03-23,16.0
2015-03-24,15.3
2015-03-25,16.0
2015-03-26,16.0
2015-03-27,15.5
2015-03-30,17.05
2015-03-31,17.05
2015-04-01,19.25
2015-04-06,18.9
2015-04-07,18.25
2015-04-08,18.95
2015-04-09,18.85
2015-04-10,18.55
2015-04-13,19.35
2015-04-15,20.15
2015-04-16,19.6
2015-04-17,19.75
2015-04-20,19.45
2015-04-21,18.85
2015-04-22,19.3
2015-04-23,19.5
2015-04-24,18.8
2015-04-27,17.8
2015-04-28,18.2
2015-04-29,17.0
2015-04-30,18.45
2015-05-04,17.8
2015-05-05,17.75
2015-05-06,18.0
2015-05-07,17.3
2015-05-08,17.35
2015-05-11,18.05
2015-05-12,18.05
2015-05-13,17.75
2015-05-14,17.5
2015-05-15,17.5
2015-05-18,18.0
2015-05-19,17.2
2015-05-20,17.75
2015-05-21,17.9
2015-05-22,18.1
2015-05-25,18.55
2015-05-26,18.95
2015-05-27,17.7
2015-05-28,19.2
2015-05-29,19.1
2015-06-01,19.7
2015-06-02,19.15
2015-06-03,18.15
2015-06-04,17.1
2015-06-05,17.95
2015-06-08,17.25
2015-06-09,16.55
2015-06-10,15.85
2015-06-11,15.65
2015-06-12,14.85
2015-06-15,15.6
2015-06-16,14.75
2015-06-17,14.6
2015-06-18,15.9
2015-06-19,15.3
2015-06-22,16.7
2015-06-23,16.5
2015-06-24,16.35
2015-06-25,15.95
2015-06-26,15.4
2015-06-29,15.05
2015-06-30,15.55
2015-07-01,16.1
2015-07-02,15.7
2015-07-03,16.0
2015-07-06,16.0
2015-07-07,15.8
2015-07-08,16.55
2015-07-09,18.85
2015-07-10,17.65
2015-07-13,17.55
2015-07-14,16.65
2015-07-15,16.55
2015-07-16,17.8
2015-07-17,16.95
2015-07-20,17.75
2015-07-21,15.85
2015-07-22,15.8
2015-07-23,16.65
2015-07-24,16.7
2015-07-27,16.7
2015-07-28,16.7
2015-07-29,16.6
2015-07-30,16.8
2015-07-31,16.75
2015-08-03,16.8
2015-08-04,16.55
2015-08-05,16.85
2015-08-06,16.6
2015-08-07,16.6
2015-08-10,16.35
2015-08-11,16.2
2015-08-12,16.45
2015-08-13,17.1
2015-08-14,16.0
2015-08-17,16.15
2015-08-18,16.2
2015-08-19,16.0
2015-08-20,16.15
2015-08-21,16.05
2015-08-24,14.5
2015-08-25,15.2
2015-08-26,14.75
2015-08-27,15.85
2015-08-28,14.65
2015-08-31,14.7
2015-09-01,14.8
2015-09-02,14.65
2015-09-03,15.45
2015-09-04,16.7
2015-09-07,14.8
2015-09-08,13.9
2015-09-09,13.95
2015-09-10,13.5
2015-09-11,13.5
2015-09-14,13.55
2015-09-15,13.25
2015-09-16,13.5
2015-09-18,13.4
2015-09-21,13.8
2015-09-22,14.4
2015-09-24,12.9
2015-09-28,13.15
2015-09-29,13.25
2015-09-30,13.25
2015-10-01,13.25
2015-10-05,12.9
2015-10-06,13.15
2015-10-07,13.6
2015-10-08,13.55
2015-10-09,13.65
2015-10-12,13.2
2015-10-13,15.4
2015-10-14,14.5
2015-10-15,14.5
2015-10-16,15.65
2015-10-19,16.0
2015-10-20,16.1
2015-10-21,16.05
2015-10-23,16.1
2015-10-26,16.15
2015-10-27,16.5
2015-10-28,16.5
2015-10-29,16.75
2015-10-30,16.5
2015-11-02,16.3
2015-11-03,16.4
2015-11-04,16.4
2015-11-05,16.0
2015-11-06,16.1
2015-11-09,15.6
2015-11-10,17.0
2015-11-11,16.25
2015-11-13,16.95
2015-11-16,16.8
2015-11-17,16.5
2015-11-18,16.5
2015-11-19,16.7
2015-11-20,16.95
2015-11-23,17.0
2015-11-24,17.3
2015-11-26,17.65
2015-11-27,17.3
2015-11-30,17.85
2015-12-01,17.6
2015-12-02,18.0
2015-12-03,18.6
2015-12-04,18.9
2015-12-07,22.65
2015-12-08,23.55
2015-12-09,22.3
2015-12-10,21.4
2015-12-11,20.8
2015-12-14,20.55
2015-12-15,20.45
2015-12-16,20.5
2015-12-17,20.95
2015-12-18,21.05
2015-12-21,21.55
2015-12-22,21.55
2015-12-23,20.9
2015-12-24,21.25
2015-12-28,21.4
2015-12-29,20.45
2015-12-30,20.45
2015-12-31,20.7
