Date,SPECIALITY
2015-01-01,190.65
2015-01-02,195.6
2015-01-05,193.55
2015-01-06,185.7
2015-01-07,187.05
2015-01-08,192.5
2015-01-09,188.8
2015-01-12,187.8
2015-01-13,185.05
2015-01-14,189.25
2015-01-15,187.3
2015-01-16,186.55
2015-01-19,186.35
2015-01-20,187.9
2015-01-21,184.4
2015-01-22,185.25
2015-01-23,185.3
2015-01-27,191.5
2015-01-28,186.45
2015-01-29,184.65
2015-01-30,181.35
2015-02-02,183.7
2015-02-03,182.05
2015-02-04,179.25
2015-02-05,192.15
2015-02-06,192.05
2015-02-09,189.25
2015-02-10,188.25
2015-02-11,183.4
2015-02-12,181.8
2015-02-13,180.3
2015-02-16,180.05
2015-02-18,180.15
2015-02-19,180.35
2015-02-20,185.2
2015-02-23,180.25
2015-02-24,181.75
2015-02-25,180.25
2015-02-26,180.3
2015-02-27,180.2
2015-02-28,180.1
2015-03-02,180.05
2015-03-03,180.25
2015-03-04,182.9
2015-03-05,180.95
2015-03-09,183.15
2015-03-10,185.75
2015-03-11,187.25
2015-03-12,187.2
2015-03-13,185.3
2015-03-16,185.45
2015-03-17,192.45
2015-03-18,183.7
2015-03-19,183.15
2015-03-20,183.45
2015-03-23,180.0
2015-03-24,178.65
2015-03-25,178.35
2015-03-26,178.0
2015-03-27,178.85
2015-03-30,179.55
2015-03-31,175.8
2015-04-01,180.0
2015-04-06,181.2
2015-04-07,184.65
2015-04-08,185.85
2015-04-09,186.95
2015-04-10,191.4
2015-04-13,191.8
2015-04-15,199.5
2015-04-16,198.45
2015-04-17,196.3
2015-04-20,189.25
2015-04-21,189.2
2015-04-22,189.05
2015-04-23,190.5
2015-04-24,183.15
2015-04-27,176.05
2015-04-28,173.7
2015-04-29,173.95
2015-04-30,182.3
2015-05-04,180.25
2015-05-05,177.5
2015-05-06,173.8
2015-05-07,167.5
2015-05-08,164.5
2015-05-11,165.55
2015-05-12,163.65
2015-05-13,167.15
2015-05-14,167.55
2015-05-15,172.05
2015-05-18,172.8
2015-05-19,172.95
2015-05-20,175.0
2015-05-21,175.25
2015-05-22,175.5
2015-05-25,173.05
2015-05-26,170.45
2015-05-27,167.8
2015-05-28,169.95
2015-05-29,154.75
2015-06-01,157.4
2015-06-02,155.7
2015-06-03,153.65
2015-06-04,154.75
2015-06-05,153.35
2015-06-08,152.35
2015-06-09,149.95
2015-06-10,149.7
2015-06-11,143.5
2015-06-12,141.85
2015-06-15,136.75
2015-06-16,136.05
2015-06-17,137.7
2015-06-18,138.15
2015-06-19,142.35
2015-06-22,141.0
2015-06-23,139.9
2015-06-24,139.05
2015-06-25,142.0
2015-06-26,137.95
2015-06-29,140.6
2015-06-30,138.45
2015-07-01,139.45
2015-07-02,139.9
2015-07-03,139.85
2015-07-06,140.7
2015-07-07,144.45
2015-07-08,143.15
2015-07-09,139.35
2015-07-10,139.75
2015-07-13,141.75
2015-07-14,140.95
2015-07-15,141.45
2015-07-16,141.8
2015-07-17,139.9
2015-07-20,141.7
2015-07-21,146.55
2015-07-22,152.25
2015-07-23,148.7
2015-07-24,157.45
2015-07-27,158.45
2015-07-28,157.45
2015-07-29,157.35
2015-07-30,158.7
2015-07-31,159.25
2015-08-03,160.05
2015-08-04,161.7
2015-08-05,158.2
2015-08-06,159.25
2015-08-07,159.05
2015-08-10,164.05
2015-08-11,162.15
2015-08-12,156.95
2015-08-13,152.9
2015-08-14,152.95
2015-08-17,155.9
2015-08-18,163.95
2015-08-19,161.75
2015-08-20,157.8
2015-08-21,161.3
2015-08-24,149.45
2015-08-25,142.15
2015-08-26,146.75
2015-08-27,149.7
2015-08-28,148.75
2015-08-31,149.35
2015-09-01,142.85
2015-09-02,142.25
2015-09-03,144.8
2015-09-04,144.85
2015-09-07,145.3
2015-09-08,142.35
2015-09-09,146.55
2015-09-10,146.15
2015-09-11,144.35
2015-09-14,145.6
2015-09-15,148.85
2015-09-16,146.55
2015-09-18,150.45
2015-09-21,151.15
2015-09-22,150.4
2015-09-23,150.15
2015-09-24,156.65
2015-09-28,158.35
2015-09-29,155.8
2015-09-30,160.7
2015-10-01,159.1
2015-10-05,160.7
2015-10-06,158.3
2015-10-07,158.8
2015-10-08,159.75
2015-10-09,160.4
2015-10-12,158.3
2015-10-13,157.9
2015-10-14,157.6
2015-10-15,154.75
2015-10-16,154.0
2015-10-19,150.35
2015-10-20,148.85
2015-10-21,145.15
2015-10-23,145.95
2015-10-26,144.65
2015-10-27,143.2
2015-10-28,145.9
2015-10-29,142.3
2015-10-30,138.4
2015-11-02,135.9
2015-11-03,133.25
2015-11-04,135.1
2015-11-05,130.0
2015-11-06,126.5
2015-11-09,116.65
2015-11-10,116.2
2015-11-11,120.5
2015-11-13,120.75
2015-11-16,122.45
2015-11-17,125.15
2015-11-18,120.25
2015-11-19,122.25
2015-11-20,120.3
2015-11-23,119.8
2015-11-24,119.8
2015-11-26,119.95
2015-11-27,120.25
2015-11-30,120.35
2015-12-01,119.65
2015-12-02,119.05
2015-12-03,118.15
2015-12-04,123.15
2015-12-07,124.2
2015-12-08,124.05
2015-12-09,120.5
2015-12-10,123.1
2015-12-11,121.2
2015-12-14,120.45
2015-12-15,122.05
2015-12-16,122.3
2015-12-17,124.4
2015-12-18,132.3
2015-12-21,129.7
2015-12-22,134.75
2015-12-23,138.35
2015-12-24,139.35
2015-12-28,140.1
2015-12-29,140.9
2015-12-30,140.6
2015-12-31,139.65
