Date,STCINDIA
2015-01-01,191.5
2015-01-02,188.4
2015-01-05,188.95
2015-01-06,181.9
2015-01-07,180.55
2015-01-08,183.4
2015-01-09,180.6
2015-01-12,179.95
2015-01-13,186.1
2015-01-14,183.45
2015-01-15,184.85
2015-01-16,183.45
2015-01-19,184.35
2015-01-20,186.1
2015-01-21,184.6
2015-01-22,186.75
2015-01-23,186.65
2015-01-27,188.05
2015-01-28,185.95
2015-01-29,186.7
2015-01-30,185.6
2015-02-02,185.35
2015-02-03,182.3
2015-02-04,183.4
2015-02-05,180.85
2015-02-06,176.5
2015-02-09,169.35
2015-02-10,169.45
2015-02-11,171.45
2015-02-12,172.85
2015-02-13,172.05
2015-02-16,174.15
2015-02-18,173.45
2015-02-19,188.15
2015-02-20,185.25
2015-02-23,185.75
2015-02-24,181.95
2015-02-25,181.0
2015-02-26,176.95
2015-02-27,182.5
2015-02-28,179.45
2015-03-02,177.5
2015-03-03,182.3
2015-03-04,177.65
2015-03-05,177.8
2015-03-09,172.7
2015-03-10,171.85
2015-03-11,169.5
2015-03-12,170.7
2015-03-13,167.1
2015-03-16,163.8
2015-03-17,161.65
2015-03-18,166.7
2015-03-19,164.45
2015-03-20,158.15
2015-03-23,154.2
2015-03-24,154.0
2015-03-25,150.15
2015-03-26,143.55
2015-03-27,141.65
2015-03-30,145.45
2015-03-31,146.3
2015-04-01,151.5
2015-04-06,151.05
2015-04-07,155.45
2015-04-08,158.35
2015-04-09,159.8
2015-04-10,161.5
2015-04-13,161.3
2015-04-15,161.05
2015-04-16,156.8
2015-04-17,154.9
2015-04-20,152.45
2015-04-21,151.7
2015-04-22,153.3
2015-04-23,151.5
2015-04-24,149.05
2015-04-27,143.75
2015-04-28,143.6
2015-04-29,144.5
2015-04-30,142.85
2015-05-04,146.4
2015-05-05,151.7
2015-05-06,144.5
2015-05-07,140.85
2015-05-08,142.65
2015-05-11,146.65
2015-05-12,142.65
2015-05-13,154.7
2015-05-14,154.85
2015-05-15,155.35
2015-05-18,152.7
2015-05-19,153.2
2015-05-20,154.8
2015-05-21,155.0
2015-05-22,153.6
2015-05-25,153.05
2015-05-26,152.05
2015-05-27,154.25
2015-05-28,157.3
2015-05-29,155.6
2015-06-01,154.55
2015-06-02,150.55
2015-06-03,141.4
2015-06-04,137.8
2015-06-05,137.7
2015-06-08,137.15
2015-06-09,136.1
2015-06-10,137.5
2015-06-11,133.9
2015-06-12,132.95
2015-06-15,132.6
2015-06-16,132.8
2015-06-17,135.5
2015-06-18,137.65
2015-06-19,138.9
2015-06-22,140.75
2015-06-23,140.55
2015-06-24,141.6
2015-06-25,161.6
2015-06-26,154.4
2015-06-29,147.9
2015-06-30,148.7
2015-07-01,150.25
2015-07-02,153.6
2015-07-03,154.6
2015-07-06,154.2
2015-07-07,154.55
2015-07-08,151.1
2015-07-09,150.7
2015-07-10,149.2
2015-07-13,154.1
2015-07-14,153.65
2015-07-15,152.75
2015-07-16,154.35
2015-07-17,153.15
2015-07-20,154.1
2015-07-21,150.25
2015-07-22,150.85
2015-07-23,151.0
2015-07-24,151.1
2015-07-27,149.4
2015-07-28,147.75
2015-07-29,147.05
2015-07-30,148.35
2015-07-31,156.85
2015-08-03,162.75
2015-08-04,191.0
2015-08-05,215.1
2015-08-06,205.65
2015-08-07,206.45
2015-08-10,204.8
2015-08-11,201.35
2015-08-12,193.3
2015-08-13,183.0
2015-08-14,175.55
2015-08-17,178.15
2015-08-18,192.25
2015-08-19,186.4
2015-08-20,183.5
2015-08-21,177.85
2015-08-24,160.1
2015-08-25,151.75
2015-08-26,151.45
2015-08-27,159.35
2015-08-28,161.25
2015-08-31,162.35
2015-09-01,158.75
2015-09-02,160.0
2015-09-03,161.3
2015-09-04,152.8
2015-09-07,148.35
2015-09-08,149.7
2015-09-09,152.5
2015-09-10,151.1
2015-09-11,154.45
2015-09-14,155.8
2015-09-15,154.1
2015-09-16,155.45
2015-09-18,157.65
2015-09-21,158.2
2015-09-22,158.5
2015-09-23,158.2
2015-09-24,158.4
2015-09-28,158.95
2015-09-29,157.35
2015-09-30,158.5
2015-10-01,157.75
2015-10-05,160.25
2015-10-06,164.6
2015-10-07,164.45
2015-10-08,163.1
2015-10-09,162.9
2015-10-12,174.2
2015-10-13,182.85
2015-10-14,174.8
2015-10-15,168.75
2015-10-16,164.25
2015-10-19,164.75
2015-10-20,164.65
2015-10-21,164.85
2015-10-23,162.0
2015-10-26,161.0
2015-10-27,160.65
2015-10-28,165.55
2015-10-29,163.95
2015-10-30,159.65
2015-11-02,156.9
2015-11-03,160.55
2015-11-04,156.6
2015-11-05,156.05
2015-11-06,154.15
2015-11-09,152.75
2015-11-10,157.75
2015-11-11,160.25
2015-11-13,155.35
2015-11-16,160.1
2015-11-17,160.6
2015-11-18,156.3
2015-11-19,161.55
2015-11-20,159.2
2015-11-23,157.65
2015-11-24,158.25
2015-11-26,159.75
2015-11-27,163.15
2015-11-30,163.5
2015-12-01,163.75
2015-12-02,163.8
2015-12-03,163.2
2015-12-04,159.4
2015-12-07,157.05
2015-12-08,154.9
2015-12-09,151.95
2015-12-10,153.75
2015-12-11,151.3
2015-12-14,152.7
2015-12-15,153.7
2015-12-16,155.05
2015-12-17,157.15
2015-12-18,155.4
2015-12-21,156.9
2015-12-22,157.2
2015-12-23,158.1
2015-12-24,160.5
2015-12-28,161.7
2015-12-29,164.3
2015-12-30,161.75
2015-12-31,161.25
