Date,DHAMPURSUG
2015-01-01,43.0
2015-01-02,44.35
2015-01-05,43.95
2015-01-06,44.2
2015-01-07,43.7
2015-01-08,43.85
2015-01-09,44.0
2015-01-12,46.05
2015-01-13,44.95
2015-01-14,44.5
2015-01-15,44.05
2015-01-16,43.8
2015-01-19,43.45
2015-01-20,43.4
2015-01-21,43.9
2015-01-22,43.3
2015-01-23,43.1
2015-01-27,44.75
2015-01-28,44.9
2015-01-29,44.4
2015-01-30,43.8
2015-02-02,43.5
2015-02-03,42.9
2015-02-04,42.65
2015-02-05,42.4
2015-02-06,40.6
2015-02-09,39.55
2015-02-10,40.4
2015-02-11,38.6
2015-02-12,39.6
2015-02-13,39.9
2015-02-16,39.95
2015-02-18,42.2
2015-02-19,42.7
2015-02-20,42.95
2015-02-23,42.0
2015-02-24,41.1
2015-02-25,40.5
2015-02-26,39.95
2015-02-27,39.4
2015-02-28,40.0
2015-03-02,39.35
2015-03-03,39.4
2015-03-04,39.4
2015-03-05,39.35
2015-03-09,38.95
2015-03-10,39.15
2015-03-11,39.0
2015-03-12,39.0
2015-03-13,38.4
2015-03-16,37.6
2015-03-17,36.4
2015-03-18,37.55
2015-03-19,37.3
2015-03-20,35.55
2015-03-23,35.4
2015-03-24,35.05
2015-03-25,35.3
2015-03-26,35.6
2015-03-27,34.05
2015-03-30,36.05
2015-03-31,36.55
2015-04-01,36.35
2015-04-06,38.05
2015-04-07,37.1
2015-04-08,38.3
2015-04-09,37.7
2015-04-10,38.0
2015-04-13,38.2
2015-04-15,37.9
2015-04-16,37.1
2015-04-17,36.9
2015-04-20,36.95
2015-04-21,36.05
2015-04-22,36.55
2015-04-23,36.15
2015-04-24,35.1
2015-04-27,35.95
2015-04-28,36.25
2015-04-29,37.1
2015-04-30,36.0
2015-05-04,35.6
2015-05-05,34.15
2015-05-06,32.5
2015-05-07,32.25
2015-05-08,32.5
2015-05-11,32.6
2015-05-12,32.25
2015-05-13,32.3
2015-05-14,32.2
2015-05-15,31.95
2015-05-18,32.25
2015-05-19,32.15
2015-05-20,31.95
2015-05-21,32.1
2015-05-22,32.25
2015-05-25,31.75
2015-05-26,31.4
2015-05-27,31.5
2015-05-28,32.3
2015-05-29,32.55
2015-06-01,32.1
2015-06-02,31.75
2015-06-03,30.1
2015-06-04,30.25
2015-06-05,30.2
2015-06-08,29.85
2015-06-09,30.05
2015-06-10,31.4
2015-06-11,29.75
2015-06-12,29.55
2015-06-15,29.35
2015-06-16,29.2
2015-06-17,29.3
2015-06-18,29.15
2015-06-19,29.1
2015-06-22,29.55
2015-06-23,29.7
2015-06-24,29.4
2015-06-25,29.8
2015-06-26,29.55
2015-06-29,29.65
2015-06-30,29.8
2015-07-01,29.75
2015-07-02,29.55
2015-07-03,29.2
2015-07-06,31.35
2015-07-07,31.95
2015-07-08,31.15
2015-07-09,31.45
2015-07-10,32.35
2015-07-13,32.05
2015-07-14,31.55
2015-07-15,32.6
2015-07-16,32.45
2015-07-17,32.8
2015-07-20,32.15
2015-07-21,31.35
2015-07-22,31.1
2015-07-23,32.5
2015-07-24,32.0
2015-07-27,31.95
2015-07-28,31.15
2015-07-29,30.4
2015-07-30,31.3
2015-07-31,32.45
2015-08-03,32.95
2015-08-04,32.55
2015-08-05,33.95
2015-08-06,34.15
2015-08-07,34.15
2015-08-10,34.45
2015-08-11,34.7
2015-08-12,32.45
2015-08-13,33.6
2015-08-14,33.85
2015-08-17,34.0
2015-08-18,34.9
2015-08-19,35.05
2015-08-20,33.8
2015-08-21,33.15
2015-08-24,31.95
2015-08-25,31.0
2015-08-26,30.45
2015-08-27,29.2
2015-08-28,29.05
2015-08-31,30.0
2015-09-01,27.7
2015-09-02,28.75
2015-09-03,28.8
2015-09-04,27.9
2015-09-07,28.3
2015-09-08,28.35
2015-09-09,28.8
2015-09-10,28.6
2015-09-11,28.4
2015-09-14,28.8
2015-09-15,28.85
2015-09-16,28.75
2015-09-18,29.5
2015-09-21,31.0
2015-09-22,29.35
2015-09-23,29.85
2015-09-24,29.65
2015-09-28,29.75
2015-09-29,30.4
2015-09-30,31.45
2015-10-01,32.6
2015-10-05,33.95
2015-10-06,39.3
2015-10-07,42.45
2015-10-08,42.45
2015-10-09,48.0
2015-10-12,45.05
2015-10-13,47.9
2015-10-14,50.0
2015-10-15,54.15
2015-10-16,55.5
2015-10-19,54.35
2015-10-20,58.95
2015-10-21,59.15
2015-10-23,61.6
2015-10-26,58.9
2015-10-27,59.15
2015-10-28,58.5
2015-10-29,58.2
2015-10-30,57.2
2015-11-02,56.95
2015-11-03,59.0
2015-11-04,61.95
2015-11-05,58.25
2015-11-06,55.45
2015-11-09,60.95
2015-11-10,57.3
2015-11-11,60.8
2015-11-13,66.8
2015-11-16,71.25
2015-11-17,69.75
2015-11-18,72.5
2015-11-19,68.9
2015-11-20,65.85
2015-11-23,68.95
2015-11-24,69.3
2015-11-26,67.95
2015-11-27,66.05
2015-11-30,62.85
2015-12-01,61.25
2015-12-02,63.75
2015-12-03,62.7
2015-12-04,63.8
2015-12-07,61.9
2015-12-08,61.45
2015-12-09,57.1
2015-12-10,58.6
2015-12-11,61.0
2015-12-14,63.15
2015-12-15,65.25
2015-12-16,63.8
2015-12-17,63.75
2015-12-18,62.8
2015-12-21,63.25
2015-12-22,63.85
2015-12-23,63.85
2015-12-24,63.7
2015-12-28,62.3
2015-12-29,62.05
2015-12-30,62.9
2015-12-31,65.75
