Date,BARTRONICS
2015-01-01,11.8
2015-01-02,12.8
2015-01-05,12.75
2015-01-06,11.75
2015-01-07,11.8
2015-01-08,12.15
2015-01-09,12.1
2015-01-12,12.0
2015-01-13,12.55
2015-01-14,12.15
2015-01-15,12.15
2015-01-16,12.1
2015-01-19,14.5
2015-01-20,15.55
2015-01-21,13.8
2015-01-22,12.85
2015-01-23,12.8
2015-01-27,12.7
2015-01-28,14.35
2015-01-29,13.15
2015-01-30,13.0
2015-02-02,13.0
2015-02-03,12.75
2015-02-04,12.8
2015-02-05,12.5
2015-02-06,12.45
2015-02-09,12.4
2015-02-10,12.55
2015-02-11,12.3
2015-02-12,12.4
2015-02-13,12.55
2015-02-16,12.5
2015-02-18,12.55
2015-02-19,13.65
2015-02-20,13.15
2015-02-23,12.6
2015-02-24,12.15
2015-02-25,12.45
2015-02-26,13.25
2015-02-27,13.15
2015-02-28,13.0
2015-03-02,13.75
2015-03-03,14.5
2015-03-04,13.75
2015-03-05,13.3
2015-03-09,12.9
2015-03-10,12.8
2015-03-11,12.65
2015-03-12,12.85
2015-03-13,12.6
2015-03-16,12.5
2015-03-17,12.5
2015-03-18,12.45
2015-03-19,12.05
2015-03-20,11.15
2015-03-23,10.5
2015-03-24,10.15
2015-03-25,10.65
2015-03-26,10.95
2015-03-27,11.25
2015-03-30,11.15
2015-03-31,11.25
2015-04-01,11.6
2015-04-06,12.3
2015-04-07,12.0
2015-04-08,12.2
2015-04-09,12.15
2015-04-10,12.15
2015-04-13,12.1
2015-04-15,12.05
2015-04-16,11.7
2015-04-17,12.2
2015-04-20,11.75
2015-04-21,11.7
2015-04-22,11.8
2015-04-23,11.75
2015-04-24,11.15
2015-04-27,10.8
2015-04-28,11.0
2015-04-29,11.0
2015-04-30,10.8
2015-05-04,10.85
2015-05-05,10.85
2015-05-06,10.6
2015-05-07,10.3
2015-05-08,10.7
2015-05-11,10.95
2015-05-12,10.4
2015-05-13,10.55
2015-05-14,10.7
2015-05-15,10.75
2015-05-18,10.75
2015-05-19,10.6
2015-05-20,10.65
2015-05-21,10.2
2015-05-22,10.1
2015-05-25,10.1
2015-05-26,9.9
2015-05-27,9.95
2015-05-28,9.65
2015-05-29,9.55
2015-06-01,10.0
2015-06-02,9.7
2015-06-03,9.6
2015-06-04,9.3
2015-06-05,9.5
2015-06-08,9.15
2015-06-09,8.95
2015-06-10,9.1
2015-06-11,9.15
2015-06-12,9.1
2015-06-15,8.8
2015-06-16,8.3
2015-06-17,8.6
2015-06-18,8.85
2015-06-19,8.55
2015-06-22,9.6
2015-06-23,9.7
2015-06-24,9.3
2015-06-25,9.1
2015-06-26,9.2
2015-06-29,8.95
2015-06-30,9.2
2015-07-01,9.7
2015-07-02,10.0
2015-07-03,12.0
2015-07-06,11.9
2015-07-07,12.05
2015-07-08,11.8
2015-07-09,12.05
2015-07-10,11.55
2015-07-13,11.45
2015-07-14,11.15
2015-07-15,11.8
2015-07-16,11.75
2015-07-17,11.5
2015-07-20,11.9
2015-07-21,11.95
2015-07-22,12.95
2015-07-23,12.5
2015-07-24,12.25
2015-07-27,11.95
2015-07-28,11.9
2015-07-29,11.7
2015-07-30,12.25
2015-07-31,11.95
2015-08-03,12.15
2015-08-04,12.1
2015-08-05,12.1
2015-08-06,12.15
2015-08-07,12.0
2015-08-10,12.25
2015-08-11,11.65
2015-08-12,11.35
2015-08-13,11.2
2015-08-14,11.1
2015-08-17,10.8
2015-08-18,10.75
2015-08-19,10.0
2015-08-20,9.85
2015-08-21,9.5
2015-08-24,8.5
2015-08-25,9.0
2015-08-26,9.3
2015-08-27,9.75
2015-08-28,9.6
2015-08-31,9.35
2015-09-01,9.05
2015-09-02,9.1
2015-09-03,9.05
2015-09-04,8.85
2015-09-07,8.4
2015-09-08,8.3
2015-09-09,8.85
2015-09-10,8.85
2015-09-11,9.2
2015-09-14,9.3
2015-09-15,8.8
2015-09-16,8.85
2015-09-18,8.85
2015-09-21,8.8
2015-09-22,8.85
2015-09-23,8.75
2015-09-24,8.8
2015-09-28,8.85
2015-09-29,8.9
2015-09-30,8.75
2015-10-01,8.85
2015-10-05,8.85
2015-10-06,9.25
2015-10-07,9.55
2015-10-08,9.7
2015-10-09,9.6
2015-10-12,9.7
2015-10-13,9.65
2015-10-14,9.35
2015-10-15,9.55
2015-10-16,9.3
2015-10-19,9.25
2015-10-20,9.1
2015-10-21,9.6
2015-10-23,9.65
2015-10-26,9.35
2015-10-27,9.25
2015-10-28,9.3
2015-10-29,9.25
2015-10-30,9.2
2015-11-02,9.1
2015-11-03,9.0
2015-11-04,9.1
2015-11-05,8.85
2015-11-06,8.85
2015-11-09,8.7
2015-11-10,8.6
2015-11-11,8.9
2015-11-13,8.65
2015-11-16,8.75
2015-11-17,9.2
2015-11-18,10.05
2015-11-19,10.1
2015-11-20,9.5
2015-11-23,9.45
2015-11-24,9.3
2015-11-26,9.85
2015-11-27,9.75
2015-11-30,11.05
2015-12-01,11.9
2015-12-02,11.8
2015-12-03,11.35
2015-12-04,13.05
2015-12-07,12.5
2015-12-08,12.4
2015-12-09,11.7
2015-12-10,11.8
2015-12-11,12.15
2015-12-14,13.15
2015-12-15,13.35
2015-12-16,12.95
2015-12-17,13.6
2015-12-18,13.9
2015-12-21,14.5
2015-12-22,14.0
2015-12-23,13.75
2015-12-24,13.45
2015-12-28,13.1
2015-12-29,13.4
2015-12-30,13.35
2015-12-31,14.35
