Date,IBVENTURES
2015-01-01,23.5
2015-01-02,24.15
2015-01-05,24.3
2015-01-06,23.7
2015-01-07,23.8
2015-01-08,23.7
2015-01-09,23.55
2015-01-12,24.9
2015-01-13,24.9
2015-01-14,24.85
2015-01-15,25.1
2015-01-16,25.7
2015-01-19,25.65
2015-01-20,26.1
2015-01-21,28.1
2015-01-22,28.75
2015-01-23,30.7
2015-01-27,31.1
2015-01-28,31.55
2015-01-29,30.1
2015-01-30,29.05
2015-02-02,29.65
2015-02-03,31.55
2015-02-04,33.15
2015-02-05,32.55
2015-02-06,31.3
2015-02-09,30.55
2015-02-10,31.8
2015-02-11,33.05
2015-02-12,33.15
2015-02-13,32.65
2015-02-16,33.9
2015-02-18,38.15
2015-02-19,38.25
2015-02-20,39.75
2015-02-23,38.95
2015-02-24,36.7
2015-02-25,39.8
2015-02-26,39.95
2015-02-27,40.1
2015-02-28,39.6
2015-03-02,38.2
2015-03-03,37.75
2015-03-04,38.95
2015-03-05,38.3
2015-03-09,37.35
2015-03-10,37.05
2015-03-11,34.95
2015-03-12,36.9
2015-03-13,35.7
2015-03-16,34.8
2015-03-17,35.4
2015-03-18,35.55
2015-03-19,35.15
2015-03-20,34.4
2015-03-23,34.15
2015-03-24,33.55
2015-03-25,32.95
2015-03-26,33.45
2015-03-27,33.6
2015-03-30,34.25
2015-03-31,35.0
2015-04-01,37.3
2015-04-06,38.3
2015-04-07,37.85
2015-04-08,38.3
2015-04-09,37.85
2015-04-10,37.9
2015-04-13,39.5
2015-04-15,39.75
2015-04-16,39.8
2015-04-17,39.3
2015-04-20,38.15
2015-04-21,38.4
2015-04-22,38.7
2015-04-23,38.8
2015-04-24,38.35
2015-04-27,37.6
2015-04-28,38.2
2015-04-29,38.65
2015-04-30,39.1
2015-05-04,39.85
2015-05-05,39.25
2015-05-06,37.5
2015-05-07,35.65
2015-05-08,36.85
2015-05-11,37.45
2015-05-12,36.4
2015-05-13,37.05
2015-05-14,37.0
2015-05-15,36.5
2015-05-18,37.1
2015-05-19,36.9
2015-05-20,36.9
2015-05-21,36.55
2015-05-22,36.45
2015-05-25,36.35
2015-05-26,35.65
2015-05-27,36.1
2015-05-28,36.25
2015-05-29,35.85
2015-06-01,36.05
2015-06-02,35.9
2015-06-03,34.4
2015-06-04,34.45
2015-06-05,34.7
2015-06-08,34.3
2015-06-09,34.15
2015-06-10,34.65
2015-06-11,33.0
2015-06-12,32.55
2015-06-15,33.25
2015-06-16,33.05
2015-06-17,33.55
2015-06-18,34.3
2015-06-19,34.3
2015-06-22,36.8
2015-06-23,36.7
2015-06-24,36.1
2015-06-25,35.75
2015-06-26,35.6
2015-06-29,35.0
2015-06-30,35.4
2015-07-01,35.55
2015-07-02,36.5
2015-07-03,36.25
2015-07-06,36.45
2015-07-07,36.65
2015-07-08,36.4
2015-07-09,35.3
2015-07-10,35.5
2015-07-13,35.8
2015-07-14,37.7
2015-07-15,38.0
2015-07-16,37.9
2015-07-17,38.3
2015-07-20,38.55
2015-07-21,36.75
2015-07-22,36.75
2015-07-23,37.8
2015-07-24,37.55
2015-07-27,37.35
2015-07-28,37.55
2015-07-29,36.9
2015-07-30,35.75
2015-07-31,35.6
2015-08-03,35.2
2015-08-04,34.85
2015-08-05,34.25
2015-08-06,34.4
2015-08-07,33.95
2015-08-10,33.75
2015-08-11,33.6
2015-08-12,32.8
2015-08-13,32.7
2015-08-14,33.1
2015-08-17,32.9
2015-08-18,32.95
2015-08-19,33.15
2015-08-20,32.8
2015-08-21,32.45
2015-08-24,27.45
2015-08-25,29.5
2015-08-26,31.15
2015-08-27,31.6
2015-08-28,31.4
2015-08-31,31.6
2015-09-01,30.9
2015-09-02,29.95
2015-09-03,30.95
2015-09-04,29.75
2015-09-07,29.0
2015-09-08,29.95
2015-09-09,30.45
2015-09-10,29.8
2015-09-11,29.8
2015-09-14,30.2
2015-09-15,30.1
2015-09-16,29.85
2015-09-18,30.1
2015-09-21,31.0
2015-09-22,31.3
2015-09-23,31.95
2015-09-24,32.2
2015-09-28,32.2
2015-09-29,31.8
2015-09-30,31.65
2015-10-01,31.55
2015-10-05,32.25
2015-10-06,32.75
2015-10-07,32.5
2015-10-08,32.6
2015-10-09,32.75
2015-10-12,33.3
2015-10-13,33.4
2015-10-14,36.15
2015-10-15,36.1
2015-10-16,35.8
2015-10-19,35.65
2015-10-20,36.15
2015-10-21,35.35
2015-10-23,30.25
2015-10-26,29.8
2015-10-27,29.25
2015-10-28,28.45
2015-10-29,28.4
2015-10-30,27.4
2015-11-02,27.35
2015-11-03,27.6
2015-11-04,27.7
2015-11-05,26.95
2015-11-06,26.65
2015-11-09,26.8
2015-11-10,26.05
2015-11-11,26.7
2015-11-13,26.0
2015-11-16,25.6
2015-11-17,25.85
2015-11-18,25.85
2015-11-19,25.8
2015-11-20,25.9
2015-11-23,25.7
2015-11-24,26.15
2015-11-26,27.3
2015-11-27,27.05
2015-11-30,27.2
2015-12-01,27.5
2015-12-02,27.15
2015-12-03,26.95
2015-12-04,26.75
2015-12-07,26.8
2015-12-08,25.95
2015-12-09,24.9
2015-12-10,25.0
2015-12-11,24.75
2015-12-14,24.9
2015-12-15,25.05
2015-12-16,24.95
2015-12-17,25.45
2015-12-18,24.95
2015-12-21,25.9
2015-12-22,25.2
2015-12-23,25.05
2015-12-24,24.85
2015-12-28,24.8
2015-12-29,24.95
2015-12-30,25.0
2015-12-31,24.95
