Date,BHEL
2015-01-01,268.55
2015-01-02,275.3
2015-01-05,273.4
2015-01-06,260.95
2015-01-07,253.85
2015-01-08,257.55
2015-01-09,254.75
2015-01-12,257.65
2015-01-13,257.5
2015-01-14,268.75
2015-01-15,268.95
2015-01-16,273.85
2015-01-19,281.05
2015-01-20,281.25
2015-01-21,282.55
2015-01-22,284.45
2015-01-23,279.1
2015-01-27,281.9
2015-01-28,279.25
2015-01-29,287.9
2015-01-30,291.75
2015-02-02,293.85
2015-02-03,297.1
2015-02-04,285.0
2015-02-05,276.85
2015-02-06,264.15
2015-02-09,258.55
2015-02-10,261.5
2015-02-11,255.45
2015-02-12,267.7
2015-02-13,259.35
2015-02-16,259.55
2015-02-18,260.2
2015-02-19,261.8
2015-02-20,275.25
2015-02-23,272.55
2015-02-24,277.75
2015-02-25,274.2
2015-02-26,264.45
2015-02-27,270.9
2015-02-28,262.15
2015-03-02,273.75
2015-03-03,274.75
2015-03-04,270.9
2015-03-05,270.35
2015-03-09,258.6
2015-03-10,259.1
2015-03-11,257.9
2015-03-12,264.05
2015-03-13,254.75
2015-03-16,259.1
2015-03-17,264.8
2015-03-18,257.7
2015-03-19,255.6
2015-03-20,245.75
2015-03-23,236.8
2015-03-24,240.0
2015-03-25,236.65
2015-03-26,235.85
2015-03-27,232.8
2015-03-30,238.75
2015-03-31,235.35
2015-04-01,230.7
2015-04-06,235.1
2015-04-07,233.5
2015-04-08,235.9
2015-04-09,232.65
2015-04-10,234.6
2015-04-13,242.65
2015-04-15,232.4
2015-04-16,232.0
2015-04-17,234.85
2015-04-20,229.9
2015-04-21,227.0
2015-04-22,230.8
2015-04-23,233.3
2015-04-24,234.0
2015-04-27,226.3
2015-04-28,232.95
2015-04-29,232.15
2015-04-30,238.05
2015-05-04,245.15
2015-05-05,245.15
2015-05-06,229.7
2015-05-07,228.7
2015-05-08,231.35
2015-05-11,234.7
2015-05-12,222.6
2015-05-13,227.75
2015-05-14,230.0
2015-05-15,230.95
2015-05-18,234.55
2015-05-19,235.15
2015-05-20,231.15
2015-05-21,232.45
2015-05-22,234.0
2015-05-25,234.15
2015-05-26,241.45
2015-05-27,249.85
2015-05-28,252.7
2015-05-29,251.65
2015-06-01,254.05
2015-06-02,251.1
2015-06-03,245.85
2015-06-04,248.0
2015-06-05,246.75
2015-06-08,243.05
2015-06-09,241.35
2015-06-10,251.25
2015-06-11,243.75
2015-06-12,248.3
2015-06-15,247.8
2015-06-16,245.6
2015-06-17,240.8
2015-06-18,243.25
2015-06-19,241.25
2015-06-22,246.65
2015-06-23,243.8
2015-06-24,254.1
2015-06-25,256.0
2015-06-26,250.95
2015-06-29,247.25
2015-06-30,247.9
2015-07-01,257.7
2015-07-02,255.8
2015-07-03,259.1
2015-07-06,260.0
2015-07-07,259.0
2015-07-08,255.7
2015-07-09,264.3
2015-07-10,268.6
2015-07-13,269.35
2015-07-14,273.15
2015-07-15,273.55
2015-07-16,280.2
2015-07-17,286.55
2015-07-20,282.35
2015-07-21,283.65
2015-07-22,284.95
2015-07-23,284.65
2015-07-24,280.35
2015-07-27,272.0
2015-07-28,278.9
2015-07-29,283.6
2015-07-30,286.9
2015-07-31,278.35
2015-08-03,282.95
2015-08-04,281.8
2015-08-05,280.55
2015-08-06,282.45
2015-08-07,266.15
2015-08-10,272.45
2015-08-11,267.05
2015-08-12,259.9
2015-08-13,258.6
2015-08-14,261.5
2015-08-17,261.95
2015-08-18,261.5
2015-08-19,262.25
2015-08-20,252.95
2015-08-21,248.85
2015-08-24,229.55
2015-08-25,231.0
2015-08-26,240.15
2015-08-27,231.6
2015-08-28,234.6
2015-08-31,226.45
2015-09-01,217.75
2015-09-02,206.5
2015-09-03,211.6
2015-09-04,206.2
2015-09-07,200.8
2015-09-08,212.1
2015-09-09,212.75
2015-09-10,217.05
2015-09-11,210.7
2015-09-14,213.25
2015-09-15,211.9
2015-09-16,210.35
2015-09-18,208.25
2015-09-21,207.15
2015-09-22,201.7
2015-09-23,199.1
2015-09-24,198.15
2015-09-28,195.15
2015-09-29,197.2
2015-09-30,205.55
2015-10-01,199.35
2015-10-05,204.15
2015-10-06,197.75
2015-10-07,202.75
2015-10-08,203.8
2015-10-09,201.9
2015-10-12,205.5
2015-10-13,208.45
2015-10-14,205.3
2015-10-15,211.8
2015-10-16,213.5
2015-10-19,214.6
2015-10-20,212.55
2015-10-21,208.45
2015-10-23,209.95
2015-10-26,217.55
2015-10-27,214.4
2015-10-28,212.4
2015-10-29,203.25
2015-10-30,198.85
2015-11-02,200.2
2015-11-03,201.05
2015-11-04,201.05
2015-11-05,194.4
2015-11-06,191.45
2015-11-09,184.55
2015-11-10,178.4
2015-11-11,179.95
2015-11-13,177.95
2015-11-16,178.45
2015-11-17,178.8
2015-11-18,174.7
2015-11-19,175.8
2015-11-20,176.25
2015-11-23,175.2
2015-11-24,173.85
2015-11-26,173.35
2015-11-27,176.0
2015-11-30,175.05
2015-12-01,175.45
2015-12-02,173.1
2015-12-03,168.65
2015-12-04,168.35
2015-12-07,168.8
2015-12-08,164.7
2015-12-09,168.9
2015-12-10,167.55
2015-12-11,165.5
2015-12-14,167.15
2015-12-15,166.1
2015-12-16,168.2
2015-12-17,169.05
2015-12-18,166.5
2015-12-21,167.1
2015-12-22,165.95
2015-12-23,172.1
2015-12-24,172.7
2015-12-28,171.45
2015-12-29,168.55
2015-12-30,169.75
2015-12-31,169.15
