Date,NITINFIRE
2015-01-01,31.6
2015-01-02,32.2
2015-01-05,32.8
2015-01-06,31.95
2015-01-07,31.45
2015-01-08,31.45
2015-01-09,31.5
2015-01-12,32.4
2015-01-13,36.75
2015-01-14,38.55
2015-01-15,36.8
2015-01-16,36.45
2015-01-19,36.95
2015-01-20,36.3
2015-01-21,36.7
2015-01-22,36.3
2015-01-23,34.9
2015-01-27,34.2
2015-01-28,33.5
2015-01-29,33.85
2015-01-30,33.7
2015-02-02,35.2
2015-02-03,35.95
2015-02-04,34.7
2015-02-05,33.85
2015-02-06,34.9
2015-02-09,33.95
2015-02-10,33.25
2015-02-11,33.9
2015-02-12,40.45
2015-02-13,39.65
2015-02-16,38.7
2015-02-18,38.8
2015-02-19,38.05
2015-02-20,39.35
2015-02-23,43.5
2015-02-24,41.75
2015-02-25,42.45
2015-02-26,41.7
2015-02-27,41.25
2015-02-28,40.45
2015-03-02,40.05
2015-03-03,41.25
2015-03-04,40.2
2015-03-05,41.15
2015-03-09,41.2
2015-03-10,41.0
2015-03-11,40.3
2015-03-12,40.1
2015-03-13,38.85
2015-03-16,37.65
2015-03-17,37.0
2015-03-18,36.6
2015-03-19,35.95
2015-03-20,34.9
2015-03-23,34.4
2015-03-24,34.25
2015-03-25,33.8
2015-03-26,32.9
2015-03-27,31.8
2015-03-30,34.45
2015-03-31,35.25
2015-04-01,34.95
2015-04-06,35.65
2015-04-07,36.55
2015-04-08,36.45
2015-04-09,38.3
2015-04-10,37.85
2015-04-13,37.7
2015-04-15,36.7
2015-04-16,36.0
2015-04-17,35.9
2015-04-20,34.6
2015-04-21,33.9
2015-04-22,33.8
2015-04-23,34.5
2015-04-24,34.25
2015-04-27,32.8
2015-04-28,33.75
2015-04-29,33.35
2015-04-30,33.45
2015-05-04,35.1
2015-05-05,35.25
2015-05-06,34.15
2015-05-07,32.85
2015-05-08,33.45
2015-05-11,33.85
2015-05-12,33.3
2015-05-13,32.95
2015-05-14,33.2
2015-05-15,33.5
2015-05-18,33.6
2015-05-19,34.7
2015-05-20,35.6
2015-05-21,34.6
2015-05-22,34.3
2015-05-25,32.35
2015-05-26,32.5
2015-05-27,31.3
2015-05-28,31.15
2015-05-29,31.1
2015-06-01,31.55
2015-06-02,30.85
2015-06-03,29.45
2015-06-04,30.45
2015-06-05,29.75
2015-06-08,29.35
2015-06-09,28.75
2015-06-10,28.65
2015-06-11,28.15
2015-06-12,27.75
2015-06-15,27.9
2015-06-16,27.8
2015-06-17,27.65
2015-06-18,28.15
2015-06-19,28.35
2015-06-22,29.25
2015-06-23,29.75
2015-06-24,29.25
2015-06-25,29.7
2015-06-26,29.5
2015-06-29,28.1
2015-06-30,28.1
2015-07-01,28.45
2015-07-02,28.9
2015-07-03,28.5
2015-07-06,29.65
2015-07-07,29.7
2015-07-08,30.0
2015-07-09,31.5
2015-07-10,32.6
2015-07-13,33.15
2015-07-14,32.15
2015-07-15,31.7
2015-07-16,31.7
2015-07-17,31.4
2015-07-20,32.5
2015-07-21,32.55
2015-07-22,32.6
2015-07-23,32.45
2015-07-24,33.1
2015-07-27,30.55
2015-07-28,32.6
2015-07-29,31.95
2015-07-30,32.15
2015-07-31,31.5
2015-08-03,31.7
2015-08-04,38.0
2015-08-05,45.6
2015-08-06,47.65
2015-08-07,46.0
2015-08-10,45.75
2015-08-11,44.1
2015-08-12,43.2
2015-08-13,40.6
2015-08-14,42.9
2015-08-17,47.15
2015-08-18,51.45
2015-08-19,50.6
2015-08-20,48.5
2015-08-21,48.95
2015-08-24,44.1
2015-08-25,40.75
2015-08-26,40.0
2015-08-27,43.75
2015-08-28,44.6
2015-08-31,44.45
2015-09-01,41.75
2015-09-02,41.65
2015-09-03,41.7
2015-09-04,39.35
2015-09-07,36.05
2015-09-08,34.0
2015-09-09,40.8
2015-09-10,42.4
2015-09-11,43.8
2015-09-14,43.3
2015-09-15,46.45
2015-09-16,46.05
2015-09-18,46.05
2015-09-21,45.0
2015-09-22,44.8
2015-09-23,43.7
2015-09-24,42.85
2015-09-28,42.6
2015-09-29,41.55
2015-09-30,41.9
2015-10-01,40.9
2015-10-05,40.8
2015-10-06,40.2
2015-10-07,41.45
2015-10-08,42.7
2015-10-09,42.8
2015-10-12,43.0
2015-10-13,42.2
2015-10-14,41.85
2015-10-15,42.25
2015-10-16,41.35
2015-10-19,41.45
2015-10-20,41.75
2015-10-21,41.8
2015-10-23,41.2
2015-10-26,40.55
2015-10-27,40.45
2015-10-28,40.8
2015-10-29,40.5
2015-10-30,39.7
2015-11-02,38.95
2015-11-03,39.45
2015-11-04,39.15
2015-11-05,37.6
2015-11-06,36.95
2015-11-09,40.85
2015-11-10,42.5
2015-11-11,43.1
2015-11-13,42.25
2015-11-16,41.55
2015-11-17,40.95
2015-11-18,40.15
2015-11-19,40.25
2015-11-20,40.7
2015-11-23,40.75
2015-11-24,40.65
2015-11-26,40.75
2015-11-27,40.5
2015-11-30,45.25
2015-12-01,44.55
2015-12-02,45.5
2015-12-03,44.05
2015-12-04,48.05
2015-12-07,48.0
2015-12-08,45.5
2015-12-09,43.6
2015-12-10,44.75
2015-12-11,43.4
2015-12-14,43.7
2015-12-15,43.3
2015-12-16,42.7
2015-12-17,43.7
2015-12-18,42.8
2015-12-21,42.9
2015-12-22,42.45
2015-12-23,42.2
2015-12-24,43.15
2015-12-28,42.55
2015-12-29,41.8
2015-12-30,43.8
2015-12-31,44.65
