Date,PURVA
2015-01-01,83.7
2015-01-02,83.6
2015-01-05,84.25
2015-01-06,82.6
2015-01-07,81.65
2015-01-08,79.85
2015-01-09,79.5
2015-01-12,79.8
2015-01-13,77.8
2015-01-14,77.5
2015-01-15,81.5
2015-01-16,83.35
2015-01-19,84.1
2015-01-20,83.2
2015-01-21,82.85
2015-01-22,81.25
2015-01-23,82.85
2015-01-27,81.15
2015-01-28,81.1
2015-01-29,82.6
2015-01-30,82.4
2015-02-02,81.95
2015-02-03,81.7
2015-02-04,83.55
2015-02-05,82.9
2015-02-06,81.9
2015-02-09,78.25
2015-02-10,83.05
2015-02-11,84.3
2015-02-12,83.35
2015-02-13,81.8
2015-02-16,82.5
2015-02-18,83.85
2015-02-19,82.4
2015-02-20,80.8
2015-02-23,79.2
2015-02-24,81.4
2015-02-25,79.75
2015-02-26,78.0
2015-02-27,79.35
2015-02-28,79.75
2015-03-02,78.3
2015-03-03,80.05
2015-03-04,76.7
2015-03-05,76.6
2015-03-09,75.4
2015-03-10,72.7
2015-03-11,70.05
2015-03-12,70.8
2015-03-13,71.75
2015-03-16,69.1
2015-03-17,68.7
2015-03-18,66.8
2015-03-19,66.6
2015-03-20,67.0
2015-03-23,65.6
2015-03-24,65.8
2015-03-25,64.95
2015-03-26,64.85
2015-03-27,63.55
2015-03-30,62.95
2015-03-31,62.05
2015-04-01,64.1
2015-04-06,65.15
2015-04-07,66.6
2015-04-08,71.9
2015-04-09,71.95
2015-04-10,73.9
2015-04-13,75.15
2015-04-15,75.15
2015-04-16,73.8
2015-04-17,73.9
2015-04-20,70.6
2015-04-21,69.55
2015-04-22,68.6
2015-04-23,68.05
2015-04-24,65.3
2015-04-27,65.35
2015-04-28,64.75
2015-04-29,65.35
2015-04-30,65.7
2015-05-04,69.65
2015-05-05,70.65
2015-05-06,70.75
2015-05-07,69.8
2015-05-08,71.7
2015-05-11,72.5
2015-05-12,70.65
2015-05-13,71.45
2015-05-14,73.1
2015-05-15,72.85
2015-05-18,70.75
2015-05-19,70.3
2015-05-20,72.2
2015-05-21,72.2
2015-05-22,71.85
2015-05-25,71.5
2015-05-26,70.2
2015-05-27,70.7
2015-05-28,70.15
2015-05-29,69.65
2015-06-01,72.75
2015-06-02,69.65
2015-06-03,67.45
2015-06-04,66.55
2015-06-05,66.7
2015-06-08,63.85
2015-06-09,66.15
2015-06-10,66.7
2015-06-11,66.7
2015-06-12,64.35
2015-06-15,64.6
2015-06-16,64.45
2015-06-17,66.2
2015-06-18,66.6
2015-06-19,67.1
2015-06-22,71.1
2015-06-23,75.05
2015-06-24,77.4
2015-06-25,77.75
2015-06-26,79.15
2015-06-29,77.75
2015-06-30,79.35
2015-07-01,80.45
2015-07-02,77.7
2015-07-03,81.55
2015-07-06,80.0
2015-07-07,79.15
2015-07-08,77.15
2015-07-09,76.4
2015-07-10,77.0
2015-07-13,77.2
2015-07-14,77.35
2015-07-15,76.75
2015-07-16,76.45
2015-07-17,74.6
2015-07-20,73.85
2015-07-21,70.8
2015-07-22,69.7
2015-07-23,69.4
2015-07-24,67.65
2015-07-27,66.45
2015-07-28,66.2
2015-07-29,66.25
2015-07-30,70.15
2015-07-31,69.3
2015-08-03,69.1
2015-08-04,69.95
2015-08-05,72.5
2015-08-06,71.95
2015-08-07,71.05
2015-08-10,70.5
2015-08-11,68.4
2015-08-12,66.65
2015-08-13,67.85
2015-08-14,69.25
2015-08-17,71.1
2015-08-18,72.35
2015-08-19,74.6
2015-08-20,70.8
2015-08-21,69.25
2015-08-24,65.1
2015-08-25,61.95
2015-08-26,62.65
2015-08-27,64.55
2015-08-28,64.5
2015-08-31,65.7
2015-09-01,64.0
2015-09-02,63.5
2015-09-03,64.4
2015-09-04,61.5
2015-09-07,58.9
2015-09-08,62.5
2015-09-09,62.5
2015-09-10,62.3
2015-09-11,62.4
2015-09-14,62.6
2015-09-15,61.4
2015-09-16,61.4
2015-09-18,57.95
2015-09-21,60.75
2015-09-22,60.0
2015-09-23,61.35
2015-09-24,62.1
2015-09-28,62.15
2015-09-29,62.35
2015-09-30,62.1
2015-10-01,60.85
2015-10-05,61.7
2015-10-06,63.5
2015-10-07,63.95
2015-10-08,62.9
2015-10-09,63.35
2015-10-12,63.25
2015-10-13,62.9
2015-10-14,62.95
2015-10-15,66.25
2015-10-16,65.05
2015-10-19,64.15
2015-10-20,64.1
2015-10-21,63.7
2015-10-23,63.55
2015-10-26,64.65
2015-10-27,63.9
2015-10-28,63.7
2015-10-29,63.4
2015-10-30,63.0
2015-11-02,62.2
2015-11-03,61.75
2015-11-04,62.05
2015-11-05,60.9
2015-11-06,60.95
2015-11-09,58.9
2015-11-10,58.65
2015-11-11,60.4
2015-11-13,58.8
2015-11-16,59.45
2015-11-17,60.45
2015-11-18,59.5
2015-11-19,60.1
2015-11-20,60.45
2015-11-23,59.65
2015-11-24,61.7
2015-11-26,64.0
2015-11-27,63.55
2015-11-30,62.55
2015-12-01,62.4
2015-12-02,62.4
2015-12-03,61.9
2015-12-04,61.75
2015-12-07,61.3
2015-12-08,60.75
2015-12-09,58.85
2015-12-10,59.6
2015-12-11,57.8
2015-12-14,57.5
2015-12-15,58.55
2015-12-16,58.7
2015-12-17,59.4
2015-12-18,58.5
2015-12-21,59.5
2015-12-22,59.3
2015-12-23,59.2
2015-12-24,59.75
2015-12-28,61.1
2015-12-29,63.85
2015-12-30,62.9
2015-12-31,63.1
