Date,ZEELEARN
2015-01-01,30.0
2015-01-02,30.05
2015-01-05,31.05
2015-01-06,30.7
2015-01-07,30.5
2015-01-08,30.7
2015-01-09,30.7
2015-01-12,30.8
2015-01-13,30.55
2015-01-14,30.15
2015-01-15,30.0
2015-01-16,29.9
2015-01-19,30.3
2015-01-20,30.85
2015-01-21,31.25
2015-01-22,31.3
2015-01-23,31.6
2015-01-27,30.85
2015-01-28,31.0
2015-01-29,31.2
2015-01-30,30.4
2015-02-02,31.65
2015-02-03,32.15
2015-02-04,32.75
2015-02-05,32.95
2015-02-06,33.35
2015-02-09,33.5
2015-02-10,34.15
2015-02-11,34.05
2015-02-12,34.25
2015-02-13,34.25
2015-02-16,34.7
2015-02-18,35.0
2015-02-19,34.85
2015-02-20,34.95
2015-02-23,35.05
2015-02-24,35.2
2015-02-25,35.5
2015-02-26,35.7
2015-02-27,35.55
2015-02-28,35.5
2015-03-02,35.5
2015-03-03,35.65
2015-03-04,35.95
2015-03-05,35.2
2015-03-09,37.35
2015-03-10,36.05
2015-03-11,36.0
2015-03-12,36.05
2015-03-13,34.9
2015-03-16,35.3
2015-03-17,36.45
2015-03-18,36.15
2015-03-19,36.05
2015-03-20,36.75
2015-03-23,36.0
2015-03-24,36.1
2015-03-25,36.25
2015-03-26,36.45
2015-03-27,35.95
2015-03-30,35.9
2015-03-31,36.6
2015-04-01,37.0
2015-04-06,37.5
2015-04-07,37.5
2015-04-08,37.9
2015-04-09,37.8
2015-04-10,37.85
2015-04-13,35.9
2015-04-15,36.25
2015-04-16,36.25
2015-04-17,36.0
2015-04-20,35.55
2015-04-21,35.6
2015-04-22,35.85
2015-04-23,36.25
2015-04-24,35.8
2015-04-27,35.45
2015-04-28,35.85
2015-04-29,36.0
2015-04-30,35.8
2015-05-04,35.8
2015-05-05,35.75
2015-05-06,34.75
2015-05-07,35.15
2015-05-08,35.0
2015-05-11,35.1
2015-05-12,34.75
2015-05-13,34.85
2015-05-14,34.8
2015-05-15,35.25
2015-05-18,35.2
2015-05-19,35.0
2015-05-20,35.2
2015-05-21,35.3
2015-05-22,35.5
2015-05-25,35.5
2015-05-26,35.5
2015-05-27,35.95
2015-05-28,36.15
2015-05-29,35.7
2015-06-01,35.45
2015-06-02,35.45
2015-06-03,36.1
2015-06-04,35.6
2015-06-05,35.5
2015-06-08,35.5
2015-06-09,35.5
2015-06-10,36.0
2015-06-11,35.95
2015-06-12,35.85
2015-06-15,35.9
2015-06-16,35.95
2015-06-17,36.0
2015-06-18,35.95
2015-06-19,36.45
2015-06-22,36.25
2015-06-23,36.2
2015-06-24,35.9
2015-06-25,36.0
2015-06-26,36.0
2015-06-29,35.7
2015-06-30,35.95
2015-07-01,35.8
2015-07-02,36.1
2015-07-03,36.1
2015-07-06,35.75
2015-07-07,35.25
2015-07-08,35.2
2015-07-09,35.25
2015-07-10,35.3
2015-07-13,35.0
2015-07-14,35.15
2015-07-15,35.05
2015-07-16,35.15
2015-07-17,34.95
2015-07-20,35.1
2015-07-21,35.15
2015-07-22,35.0
2015-07-23,35.0
2015-07-24,34.9
2015-07-27,34.65
2015-07-28,34.75
2015-07-29,34.8
2015-07-30,35.1
2015-07-31,34.85
2015-08-03,34.5
2015-08-04,34.4
2015-08-05,34.3
2015-08-06,34.0
2015-08-07,33.95
2015-08-10,33.5
2015-08-11,33.45
2015-08-12,33.45
2015-08-13,33.05
2015-08-14,33.3
2015-08-17,33.55
2015-08-18,33.7
2015-08-19,33.85
2015-08-20,33.3
2015-08-21,33.4
2015-08-24,32.3
2015-08-25,31.85
2015-08-26,32.0
2015-08-27,32.2
2015-08-28,32.35
2015-08-31,32.05
2015-09-01,31.9
2015-09-02,31.8
2015-09-03,32.2
2015-09-04,31.85
2015-09-07,31.9
2015-09-08,31.15
2015-09-09,31.75
2015-09-10,31.15
2015-09-11,31.3
2015-09-14,31.45
2015-09-15,31.25
2015-09-16,31.5
2015-09-18,31.75
2015-09-21,31.95
2015-09-22,31.4
2015-09-23,31.75
2015-09-24,31.95
2015-09-28,32.05
2015-09-29,32.05
2015-09-30,31.7
2015-10-01,31.7
2015-10-05,31.65
2015-10-06,31.8
2015-10-07,31.6
2015-10-08,31.65
2015-10-09,31.55
2015-10-12,31.7
2015-10-13,31.85
2015-10-14,33.1
2015-10-15,33.15
2015-10-16,32.85
2015-10-19,33.1
2015-10-20,33.05
2015-10-21,32.95
2015-10-23,32.95
2015-10-26,31.85
2015-10-27,31.8
2015-10-28,32.15
2015-10-29,32.0
2015-10-30,32.2
2015-11-02,32.1
2015-11-03,32.2
2015-11-04,32.0
2015-11-05,31.7
2015-11-06,31.75
2015-11-09,31.85
2015-11-10,32.0
2015-11-11,33.0
2015-11-13,33.2
2015-11-16,33.35
2015-11-17,33.5
2015-11-18,33.5
2015-11-19,33.4
2015-11-20,33.1
2015-11-23,33.15
2015-11-24,33.45
2015-11-26,33.35
2015-11-27,33.75
2015-11-30,33.5
2015-12-01,33.45
2015-12-02,37.25
2015-12-03,42.5
2015-12-04,43.85
2015-12-07,42.55
2015-12-08,39.1
2015-12-09,36.0
2015-12-10,39.05
2015-12-11,39.45
2015-12-14,39.35
2015-12-15,40.15
2015-12-16,39.8
2015-12-17,41.4
2015-12-18,41.0
2015-12-21,40.85
2015-12-22,41.6
2015-12-23,41.2
2015-12-24,40.45
2015-12-28,39.7
2015-12-29,40.4
2015-12-30,40.15
2015-12-31,39.4
