Date,INFRABEES
2015-01-01,309.47
2015-01-02,313.5
2015-01-05,315.26
2015-01-06,311.95
2015-01-07,306.66
2015-01-08,306.44
2015-01-09,310.08
2015-01-12,308.55
2015-01-13,305.47
2015-01-14,306.94
2015-01-15,311.01
2015-01-16,308.21
2015-01-19,313.9
2015-01-20,316.98
2015-01-21,321.82
2015-01-22,322.52
2015-01-23,328.77
2015-01-27,331.91
2015-01-28,324.65
2015-01-29,335.4
2015-01-30,332.28
2015-02-02,332.01
2015-02-03,332.63
2015-02-04,330.65
2015-02-05,327.12
2015-02-06,331.72
2015-02-09,313.54
2015-02-10,313.83
2015-02-11,312.9
2015-02-12,319.72
2015-02-13,328.2
2015-02-16,324.99
2015-02-18,325.39
2015-02-19,329.74
2015-02-20,329.98
2015-02-23,328.98
2015-02-24,336.26
2015-02-25,332.55
2015-02-26,324.81
2015-02-27,336.41
2015-02-28,326.43
2015-03-02,330.44
2015-03-03,336.86
2015-03-04,337.97
2015-03-05,329.36
2015-03-09,334.73
2015-03-10,335.99
2015-03-11,332.98
2015-03-12,345.66
2015-03-13,341.84
2015-03-16,331.73
2015-03-17,328.88
2015-03-18,331.2
2015-03-19,331.88
2015-03-20,330.65
2015-03-23,326.08
2015-03-24,324.49
2015-03-25,327.49
2015-03-26,334.79
2015-03-27,327.22
2015-03-30,332.49
2015-03-31,339.0
2015-04-01,336.11
2015-04-06,335.65
2015-04-07,341.17
2015-04-08,342.0
2015-04-09,341.65
2015-04-10,339.69
2015-04-13,343.56
2015-04-15,342.87
2015-04-16,339.92
2015-04-17,336.54
2015-04-20,329.48
2015-04-21,336.82
2015-04-22,340.02
2015-04-23,336.5
2015-04-24,333.42
2015-04-27,322.44
2015-04-28,319.58
2015-04-29,322.39
2015-04-30,320.39
2015-05-04,323.75
2015-05-05,326.03
2015-05-06,316.05
2015-05-07,312.6
2015-05-08,315.55
2015-05-11,321.83
2015-05-12,319.5
2015-05-13,318.18
2015-05-14,316.9
2015-05-15,316.69
2015-05-18,316.41
2015-05-19,316.69
2015-05-20,318.0
2015-05-21,318.82
2015-05-22,320.0
2015-05-25,321.72
2015-05-26,322.4
2015-05-27,322.36
2015-05-28,318.44
2015-05-29,324.94
2015-06-01,333.2
2015-06-02,325.39
2015-06-03,320.96
2015-06-04,318.06
2015-06-05,325.4
2015-06-08,326.85
2015-06-09,329.44
2015-06-10,327.27
2015-06-11,322.0
2015-06-12,326.81
2015-06-15,324.9
2015-06-16,320.51
2015-06-17,323.72
2015-06-18,325.97
2015-06-19,323.55
2015-06-22,325.0
2015-06-23,329.0
2015-06-24,328.07
2015-06-25,325.0
2015-06-26,328.95
2015-06-29,328.88
2015-06-30,329.88
2015-07-01,335.16
2015-07-02,332.73
2015-07-03,330.15
2015-07-06,333.47
2015-07-07,336.76
2015-07-08,333.54
2015-07-09,338.1
2015-07-10,338.34
2015-07-13,339.15
2015-07-14,336.5
2015-07-15,340.35
2015-07-16,340.1
2015-07-17,342.83
2015-07-20,344.0
2015-07-21,343.7
2015-07-22,342.5
2015-07-23,347.5
2015-07-24,347.96
2015-07-27,329.07
2015-07-28,329.77
2015-07-29,329.0
2015-07-30,333.0
2015-07-31,334.0
2015-08-03,332.92
2015-08-04,328.98
2015-08-05,332.28
2015-08-06,335.32
2015-08-07,335.73
2015-08-10,333.86
2015-08-11,328.0
2015-08-12,322.13
2015-08-13,322.05
2015-08-14,329.27
2015-08-17,326.2
2015-08-18,326.61
2015-08-19,327.25
2015-08-20,323.13
2015-08-21,316.26
2015-08-24,295.62
2015-08-25,295.78
2015-08-26,290.4
2015-08-27,300.5
2015-08-28,302.1
2015-08-31,299.61
2015-09-01,289.84
2015-09-02,309.49
2015-09-03,291.25
2015-09-04,284.52
2015-09-07,278.88
2015-09-08,288.35
2015-09-09,290.41
2015-09-10,294.97
2015-09-11,294.12
2015-09-14,297.51
2015-09-15,294.47
2015-09-16,296.17
2015-09-18,293.7
2015-09-21,296.73
2015-09-22,287.12
2015-09-23,289.2
2015-09-24,286.13
2015-09-28,281.22
2015-09-29,280.24
2015-09-30,280.66
2015-10-01,288.41
2015-10-05,293.89
2015-10-06,298.99
2015-10-07,299.09
2015-10-08,298.45
2015-10-09,297.0
2015-10-12,300.84
2015-10-13,297.82
2015-10-14,299.73
2015-10-15,299.9
2015-10-16,306.0
2015-10-19,302.67
2015-10-20,305.4
2015-10-21,302.53
2015-10-23,300.0
2015-10-26,300.49
2015-10-27,298.44
2015-10-28,293.6
2015-10-29,293.0
2015-10-30,288.1
2015-11-02,286.5
2015-11-03,287.23
2015-11-04,286.31
2015-11-05,280.35
2015-11-06,281.15
2015-11-09,278.05
2015-11-10,273.47
2015-11-11,275.06
2015-11-13,273.67
2015-11-16,276.54
2015-11-17,288.9
2015-11-18,274.99
2015-11-19,276.66
2015-11-20,278.23
2015-11-23,278.15
2015-11-24,277.46
2015-11-26,279.44
2015-11-27,281.62
2015-11-30,280.9
2015-12-01,280.22
2015-12-02,278.41
2015-12-03,277.46
2015-12-04,278.97
2015-12-07,274.96
2015-12-08,271.49
2015-12-09,266.52
2015-12-10,268.0
2015-12-11,265.01
2015-12-14,264.05
2015-12-15,266.0
2015-12-16,269.56
2015-12-17,271.6
2015-12-18,270.75
2015-12-21,273.7
2015-12-22,273.4
2015-12-23,276.0
2015-12-24,273.02
2015-12-28,278.0
2015-12-29,276.94
2015-12-30,279.28
2015-12-31,280.21
