Date,SHANTIGEAR
2015-01-01,129.95
2015-01-02,127.35
2015-01-05,125.75
2015-01-06,120.4
2015-01-07,118.95
2015-01-08,123.05
2015-01-09,123.9
2015-01-12,125.15
2015-01-13,126.1
2015-01-14,127.1
2015-01-15,127.95
2015-01-16,130.0
2015-01-19,156.0
2015-01-20,166.8
2015-01-21,157.7
2015-01-22,149.55
2015-01-23,145.55
2015-01-27,142.7
2015-01-28,150.85
2015-01-29,149.3
2015-01-30,146.35
2015-02-02,142.5
2015-02-03,135.9
2015-02-04,134.8
2015-02-05,132.3
2015-02-06,126.6
2015-02-09,123.5
2015-02-10,132.35
2015-02-11,133.75
2015-02-12,132.55
2015-02-13,130.1
2015-02-16,129.2
2015-02-18,130.5
2015-02-19,128.5
2015-02-20,124.8
2015-02-23,126.25
2015-02-24,123.65
2015-02-25,122.65
2015-02-26,121.45
2015-02-27,121.8
2015-02-28,121.7
2015-03-02,127.85
2015-03-03,128.4
2015-03-04,125.6
2015-03-05,124.35
2015-03-09,123.1
2015-03-10,124.1
2015-03-11,124.35
2015-03-12,124.0
2015-03-13,124.05
2015-03-16,124.8
2015-03-17,122.85
2015-03-18,120.85
2015-03-19,120.2
2015-03-20,115.6
2015-03-23,113.15
2015-03-24,112.4
2015-03-25,108.1
2015-03-26,104.9
2015-03-27,105.8
2015-03-30,109.25
2015-03-31,108.95
2015-04-01,119.35
2015-04-06,126.65
2015-04-07,124.85
2015-04-08,123.75
2015-04-09,121.95
2015-04-10,123.9
2015-04-13,122.75
2015-04-15,122.85
2015-04-16,122.75
2015-04-17,123.1
2015-04-20,121.35
2015-04-21,120.5
2015-04-22,118.45
2015-04-23,117.4
2015-04-24,113.0
2015-04-27,108.45
2015-04-28,107.7
2015-04-29,110.8
2015-04-30,109.9
2015-05-04,110.15
2015-05-05,110.15
2015-05-06,106.65
2015-05-07,107.05
2015-05-08,106.85
2015-05-11,109.95
2015-05-12,107.1
2015-05-13,106.55
2015-05-14,108.85
2015-05-15,110.0
2015-05-18,112.45
2015-05-19,112.0
2015-05-20,112.55
2015-05-21,110.2
2015-05-22,107.85
2015-05-25,106.35
2015-05-26,105.7
2015-05-27,104.75
2015-05-28,103.3
2015-05-29,102.15
2015-06-01,102.05
2015-06-02,99.45
2015-06-03,101.0
2015-06-04,97.75
2015-06-05,98.0
2015-06-08,95.75
2015-06-09,95.5
2015-06-10,95.15
2015-06-11,93.7
2015-06-12,93.5
2015-06-15,94.55
2015-06-16,94.15
2015-06-17,96.2
2015-06-18,108.35
2015-06-19,105.6
2015-06-22,102.55
2015-06-23,99.25
2015-06-24,101.05
2015-06-25,98.8
2015-06-26,98.05
2015-06-29,94.4
2015-06-30,94.05
2015-07-01,96.65
2015-07-02,97.9
2015-07-03,102.9
2015-07-06,105.1
2015-07-07,108.55
2015-07-08,107.0
2015-07-09,104.55
2015-07-10,105.05
2015-07-13,106.9
2015-07-14,106.6
2015-07-15,112.7
2015-07-16,114.55
2015-07-17,112.15
2015-07-20,112.3
2015-07-21,110.3
2015-07-22,109.55
2015-07-23,109.45
2015-07-24,109.25
2015-07-27,106.95
2015-07-28,105.65
2015-07-29,105.35
2015-07-30,108.8
2015-07-31,107.8
2015-08-03,109.5
2015-08-04,122.35
2015-08-05,112.05
2015-08-06,111.2
2015-08-07,109.4
2015-08-10,107.15
2015-08-11,104.4
2015-08-12,102.2
2015-08-13,99.6
2015-08-14,101.95
2015-08-17,105.85
2015-08-18,113.95
2015-08-19,115.05
2015-08-20,107.0
2015-08-21,104.05
2015-08-24,91.85
2015-08-25,89.9
2015-08-26,93.25
2015-08-27,96.45
2015-08-28,94.3
2015-08-31,93.9
2015-09-01,90.4
2015-09-02,91.3
2015-09-03,92.75
2015-09-04,91.1
2015-09-07,90.5
2015-09-08,89.65
2015-09-09,91.5
2015-09-10,90.3
2015-09-11,91.85
2015-09-14,92.2
2015-09-15,92.8
2015-09-16,90.75
2015-09-18,89.95
2015-09-21,90.0
2015-09-22,89.1
2015-09-23,89.7
2015-09-24,89.9
2015-09-28,88.1
2015-09-29,88.7
2015-09-30,90.85
2015-10-01,90.75
2015-10-05,92.6
2015-10-06,92.95
2015-10-07,95.15
2015-10-08,92.75
2015-10-09,93.7
2015-10-12,93.2
2015-10-13,93.7
2015-10-14,93.45
2015-10-15,100.85
2015-10-16,99.4
2015-10-19,107.0
2015-10-20,116.2
2015-10-21,116.1
2015-10-23,109.5
2015-10-26,105.7
2015-10-27,107.25
2015-10-28,107.65
2015-10-29,111.25
2015-10-30,108.35
2015-11-02,104.95
2015-11-03,106.1
2015-11-04,103.75
2015-11-05,102.15
2015-11-06,101.8
2015-11-09,103.25
2015-11-10,102.7
2015-11-11,104.65
2015-11-13,102.3
2015-11-16,102.1
2015-11-17,103.5
2015-11-18,103.75
2015-11-19,102.25
2015-11-20,102.55
2015-11-23,105.5
2015-11-24,107.05
2015-11-26,105.7
2015-11-27,105.55
2015-11-30,106.1
2015-12-01,110.35
2015-12-02,109.85
2015-12-03,108.05
2015-12-04,106.4
2015-12-07,105.25
2015-12-08,108.55
2015-12-09,105.0
2015-12-10,105.6
2015-12-11,99.05
2015-12-14,98.8
2015-12-15,99.7
2015-12-16,99.45
2015-12-17,102.9
2015-12-18,103.05
2015-12-21,101.4
2015-12-22,100.5
2015-12-23,100.65
2015-12-24,106.15
2015-12-28,105.45
2015-12-29,104.25
2015-12-30,104.15
2015-12-31,104.4
