Date,IFBIND
2015-01-01,480.0
2015-01-02,485.35
2015-01-05,488.3
2015-01-06,478.35
2015-01-07,478.35
2015-01-08,477.85
2015-01-09,472.75
2015-01-12,469.2
2015-01-13,467.15
2015-01-14,460.0
2015-01-15,470.45
2015-01-16,468.55
2015-01-19,487.0
2015-01-20,504.0
2015-01-21,493.25
2015-01-22,495.6
2015-01-23,493.75
2015-01-27,498.45
2015-01-28,501.95
2015-01-29,496.75
2015-01-30,474.45
2015-02-02,468.65
2015-02-03,465.0
2015-02-04,471.4
2015-02-05,467.45
2015-02-06,460.2
2015-02-09,453.95
2015-02-10,452.55
2015-02-11,473.5
2015-02-12,493.35
2015-02-13,496.35
2015-02-16,500.85
2015-02-18,500.25
2015-02-19,492.15
2015-02-20,494.25
2015-02-23,496.25
2015-02-24,496.1
2015-02-25,494.55
2015-02-26,482.1
2015-02-27,509.75
2015-02-28,513.65
2015-03-02,506.05
2015-03-03,505.85
2015-03-04,508.45
2015-03-05,514.7
2015-03-09,512.05
2015-03-10,519.1
2015-03-11,616.55
2015-03-12,598.3
2015-03-13,568.65
2015-03-16,584.75
2015-03-17,585.2
2015-03-18,585.75
2015-03-19,595.35
2015-03-20,593.05
2015-03-23,571.0
2015-03-24,572.7
2015-03-25,579.9
2015-03-26,577.25
2015-03-27,570.7
2015-03-30,590.55
2015-03-31,585.9
2015-04-01,621.7
2015-04-06,645.0
2015-04-07,660.9
2015-04-08,680.65
2015-04-09,674.65
2015-04-10,672.4
2015-04-13,668.85
2015-04-15,648.25
2015-04-16,640.0
2015-04-17,621.2
2015-04-20,607.15
2015-04-21,624.7
2015-04-22,619.3
2015-04-23,623.15
2015-04-24,602.1
2015-04-27,592.0
2015-04-28,614.7
2015-04-29,617.9
2015-04-30,598.7
2015-05-04,595.25
2015-05-05,589.95
2015-05-06,585.05
2015-05-07,546.25
2015-05-08,583.2
2015-05-11,588.85
2015-05-12,553.45
2015-05-13,556.55
2015-05-14,576.75
2015-05-15,589.15
2015-05-18,605.85
2015-05-19,615.95
2015-05-20,655.85
2015-05-21,646.2
2015-05-22,643.1
2015-05-25,628.05
2015-05-26,632.3
2015-05-27,642.1
2015-05-28,659.75
2015-05-29,621.45
2015-06-01,546.4
2015-06-02,517.95
2015-06-03,509.8
2015-06-04,499.5
2015-06-05,516.15
2015-06-08,496.7
2015-06-09,502.55
2015-06-10,495.2
2015-06-11,451.3
2015-06-12,437.75
2015-06-15,435.75
2015-06-16,479.15
2015-06-17,485.5
2015-06-18,513.5
2015-06-19,510.95
2015-06-22,526.8
2015-06-23,540.6
2015-06-24,518.8
2015-06-25,527.55
2015-06-26,519.1
2015-06-29,513.95
2015-06-30,508.65
2015-07-01,512.5
2015-07-02,516.95
2015-07-03,512.85
2015-07-06,520.65
2015-07-07,505.65
2015-07-08,496.35
2015-07-09,481.35
2015-07-10,476.2
2015-07-13,472.45
2015-07-14,472.15
2015-07-15,469.2
2015-07-16,484.8
2015-07-17,495.6
2015-07-20,505.45
2015-07-21,497.35
2015-07-22,495.85
2015-07-23,486.7
2015-07-24,485.45
2015-07-27,480.15
2015-07-28,473.25
2015-07-29,475.1
2015-07-30,459.35
2015-07-31,478.85
2015-08-03,522.65
2015-08-04,551.4
2015-08-05,589.7
2015-08-06,574.55
2015-08-07,587.3
2015-08-10,570.2
2015-08-11,548.45
2015-08-12,537.45
2015-08-13,539.5
2015-08-14,538.5
2015-08-17,529.25
2015-08-18,535.85
2015-08-19,528.45
2015-08-20,551.2
2015-08-21,535.2
2015-08-24,479.45
2015-08-25,508.45
2015-08-26,528.95
2015-08-27,536.55
2015-08-28,526.85
2015-08-31,519.4
2015-09-01,492.65
2015-09-02,487.5
2015-09-03,472.5
2015-09-04,484.05
2015-09-07,481.4
2015-09-08,462.85
2015-09-09,463.75
2015-09-10,449.15
2015-09-11,447.95
2015-09-14,448.55
2015-09-15,446.9
2015-09-16,443.75
2015-09-18,451.35
2015-09-21,453.9
2015-09-22,449.8
2015-09-23,446.9
2015-09-24,439.9
2015-09-28,439.4
2015-09-29,446.8
2015-09-30,477.7
2015-10-01,483.4
2015-10-05,492.8
2015-10-06,485.65
2015-10-07,498.6
2015-10-08,502.15
2015-10-09,498.0
2015-10-12,505.0
2015-10-13,504.8
2015-10-14,530.15
2015-10-15,526.6
2015-10-16,520.8
2015-10-19,523.25
2015-10-20,520.0
2015-10-21,520.55
2015-10-23,520.6
2015-10-26,520.05
2015-10-27,515.1
2015-10-28,515.4
2015-10-29,526.05
2015-10-30,538.35
2015-11-02,487.8
2015-11-03,479.2
2015-11-04,480.3
2015-11-05,479.05
2015-11-06,475.0
2015-11-09,469.35
2015-11-10,474.45
2015-11-11,479.55
2015-11-13,462.85
2015-11-16,466.45
2015-11-17,465.0
2015-11-18,465.7
2015-11-19,466.15
2015-11-20,465.95
2015-11-23,466.15
2015-11-24,467.9
2015-11-26,465.05
2015-11-27,464.0
2015-11-30,454.4
2015-12-01,455.1
2015-12-02,454.6
2015-12-03,445.45
2015-12-04,444.6
2015-12-07,440.7
2015-12-08,436.2
2015-12-09,429.9
2015-12-10,426.25
2015-12-11,407.3
2015-12-14,405.15
2015-12-15,412.5
2015-12-16,403.15
2015-12-17,428.45
2015-12-18,451.2
2015-12-21,447.7
2015-12-22,450.3
2015-12-23,450.15
2015-12-24,458.9
2015-12-28,465.85
2015-12-29,474.9
2015-12-30,475.25
2015-12-31,475.1
