Date,CUMMINSIND
2015-01-01,871.7
2015-01-02,919.25
2015-01-05,937.9
2015-01-06,909.3
2015-01-07,900.05
2015-01-08,893.2
2015-01-09,876.95
2015-01-12,870.65
2015-01-13,878.35
2015-01-14,879.1
2015-01-15,887.8
2015-01-16,888.35
2015-01-19,893.0
2015-01-20,885.05
2015-01-21,892.4
2015-01-22,884.55
2015-01-23,883.0
2015-01-27,897.1
2015-01-28,907.45
2015-01-29,892.0
2015-01-30,891.7
2015-02-02,881.5
2015-02-03,903.3
2015-02-04,914.2
2015-02-05,902.75
2015-02-06,899.6
2015-02-09,890.3
2015-02-10,897.5
2015-02-11,899.35
2015-02-12,902.35
2015-02-13,909.75
2015-02-16,899.15
2015-02-18,908.3
2015-02-19,909.0
2015-02-20,907.05
2015-02-23,899.05
2015-02-24,899.95
2015-02-25,895.2
2015-02-26,876.2
2015-02-27,889.7
2015-02-28,896.55
2015-03-02,913.75
2015-03-03,914.2
2015-03-04,919.75
2015-03-05,907.1
2015-03-09,897.35
2015-03-10,897.2
2015-03-11,883.8
2015-03-12,908.4
2015-03-13,881.25
2015-03-16,880.15
2015-03-17,879.8
2015-03-18,863.95
2015-03-19,871.8
2015-03-20,875.05
2015-03-23,869.65
2015-03-24,856.85
2015-03-25,865.6
2015-03-26,834.0
2015-03-27,857.45
2015-03-30,860.35
2015-03-31,880.65
2015-04-01,889.9
2015-04-06,871.45
2015-04-07,871.95
2015-04-08,887.85
2015-04-09,873.0
2015-04-10,879.7
2015-04-13,876.85
2015-04-15,874.45
2015-04-16,869.85
2015-04-17,867.8
2015-04-20,850.25
2015-04-21,853.95
2015-04-22,863.85
2015-04-23,875.05
2015-04-24,853.85
2015-04-27,865.9
2015-04-28,865.7
2015-04-29,860.4
2015-04-30,862.1
2015-05-04,856.6
2015-05-05,861.4
2015-05-06,846.45
2015-05-07,846.65
2015-05-08,858.35
2015-05-11,857.8
2015-05-12,850.0
2015-05-13,848.85
2015-05-14,865.25
2015-05-15,854.3
2015-05-18,863.9
2015-05-19,863.25
2015-05-20,861.15
2015-05-21,860.2
2015-05-22,855.55
2015-05-25,845.95
2015-05-26,839.65
2015-05-27,848.85
2015-05-28,850.25
2015-05-29,918.35
2015-06-01,917.6
2015-06-02,898.5
2015-06-03,895.55
2015-06-04,901.1
2015-06-05,892.4
2015-06-08,913.6
2015-06-09,901.75
2015-06-10,899.35
2015-06-11,886.1
2015-06-12,895.0
2015-06-15,882.75
2015-06-16,876.4
2015-06-17,892.3
2015-06-18,904.85
2015-06-19,895.95
2015-06-22,896.05
2015-06-23,895.95
2015-06-24,899.55
2015-06-25,900.25
2015-06-26,905.3
2015-06-29,900.05
2015-06-30,896.55
2015-07-01,929.4
2015-07-02,920.8
2015-07-03,925.1
2015-07-06,928.2
2015-07-07,967.5
2015-07-08,972.05
2015-07-09,947.25
2015-07-10,949.75
2015-07-13,964.85
2015-07-14,962.7
2015-07-15,981.2
2015-07-16,983.1
2015-07-17,968.75
2015-07-20,985.65
2015-07-21,985.85
2015-07-22,988.95
2015-07-23,987.45
2015-07-24,993.65
2015-07-27,975.1
2015-07-28,954.85
2015-07-29,1005.8
2015-07-30,998.75
2015-07-31,998.15
2015-08-03,1015.35
2015-08-04,1019.7
2015-08-05,1024.7
2015-08-06,1155.5
2015-08-07,1187.3
2015-08-10,1187.3
2015-08-11,1157.0
2015-08-12,1128.4
2015-08-13,1151.65
2015-08-14,1191.8
2015-08-17,1166.8
2015-08-18,1161.9
2015-08-19,1180.1
2015-08-20,1143.9
2015-08-21,1141.9
2015-08-24,1041.6
2015-08-25,1115.1
2015-08-26,1101.0
2015-08-27,1080.45
2015-08-28,1110.85
2015-08-31,1099.0
2015-09-01,1071.85
2015-09-02,1065.95
2015-09-03,1070.0
2015-09-04,1079.45
2015-09-07,1061.0
2015-09-08,1055.45
2015-09-09,1117.6
2015-09-10,1110.25
2015-09-11,1108.85
2015-09-14,1108.35
2015-09-15,1097.95
2015-09-16,1089.45
2015-09-18,1116.55
2015-09-21,1118.55
2015-09-22,1102.65
2015-09-23,1089.75
2015-09-24,1100.75
2015-09-28,1094.8
2015-09-29,1074.3
2015-09-30,1095.4
2015-10-01,1088.5
2015-10-05,1104.0
2015-10-06,1078.45
2015-10-07,1064.2
2015-10-08,1049.65
2015-10-09,1064.55
2015-10-12,1063.5
2015-10-13,1033.95
2015-10-14,1050.65
2015-10-15,1054.2
2015-10-16,1059.3
2015-10-19,1062.4
2015-10-20,1074.7
2015-10-21,1075.55
2015-10-23,1062.85
2015-10-26,1062.4
2015-10-27,1062.5
2015-10-28,1060.25
2015-10-29,1063.4
2015-10-30,1073.7
2015-11-02,1077.1
2015-11-03,1070.35
2015-11-04,1082.85
2015-11-05,1059.05
2015-11-06,1045.45
2015-11-09,1048.6
2015-11-10,1014.7
2015-11-11,1033.2
2015-11-13,1011.7
2015-11-16,1007.45
2015-11-17,992.15
2015-11-18,987.95
2015-11-19,995.9
2015-11-20,1008.5
2015-11-23,1005.4
2015-11-24,1009.4
2015-11-26,996.5
2015-11-27,994.8
2015-11-30,991.45
2015-12-01,1027.0
2015-12-02,1013.15
2015-12-03,998.85
2015-12-04,994.8
2015-12-07,1003.8
2015-12-08,993.2
2015-12-09,993.55
2015-12-10,991.35
2015-12-11,990.75
2015-12-14,1023.45
2015-12-15,1015.7
2015-12-16,1011.2
2015-12-17,1021.35
2015-12-18,1025.15
2015-12-21,1036.6
2015-12-22,1023.5
2015-12-23,1024.85
2015-12-24,1029.85
2015-12-28,1021.75
2015-12-29,1026.15
2015-12-30,1022.85
2015-12-31,1030.3
