Date,PETRONENGG
2015-01-01,170.05
2015-01-02,168.7
2015-01-05,164.65
2015-01-06,154.95
2015-01-07,162.0
2015-01-08,164.65
2015-01-09,161.95
2015-01-12,158.25
2015-01-13,158.0
2015-01-14,158.1
2015-01-15,160.3
2015-01-16,158.0
2015-01-19,154.5
2015-01-20,165.05
2015-01-21,158.0
2015-01-22,161.45
2015-01-23,156.5
2015-01-27,155.05
2015-01-28,158.35
2015-01-29,159.45
2015-01-30,160.1
2015-02-02,158.25
2015-02-03,154.55
2015-02-04,156.6
2015-02-05,153.75
2015-02-06,147.55
2015-02-09,147.8
2015-02-10,143.4
2015-02-11,152.05
2015-02-12,157.15
2015-02-13,164.0
2015-02-16,196.8
2015-02-18,215.1
2015-02-19,218.0
2015-02-20,239.8
2015-02-23,228.95
2015-02-24,226.85
2015-02-25,230.1
2015-02-26,220.45
2015-02-27,211.55
2015-02-28,206.85
2015-03-02,221.35
2015-03-03,237.5
2015-03-04,235.35
2015-03-05,234.35
2015-03-09,219.3
2015-03-10,217.4
2015-03-11,241.05
2015-03-12,238.85
2015-03-13,229.55
2015-03-16,223.95
2015-03-17,228.95
2015-03-18,229.7
2015-03-19,229.15
2015-03-20,204.05
2015-03-23,204.65
2015-03-24,203.15
2015-03-25,207.8
2015-03-26,202.9
2015-03-27,205.25
2015-03-30,213.4
2015-03-31,256.05
2015-04-01,268.6
2015-04-06,264.65
2015-04-07,256.2
2015-04-08,258.95
2015-04-09,250.75
2015-04-10,251.65
2015-04-13,247.45
2015-04-15,249.6
2015-04-16,245.6
2015-04-17,246.15
2015-04-20,233.0
2015-04-21,252.75
2015-04-22,303.3
2015-04-23,277.5
2015-04-24,252.85
2015-04-27,234.1
2015-04-28,240.35
2015-04-29,255.1
2015-04-30,254.65
2015-05-04,266.6
2015-05-05,257.4
2015-05-06,239.9
2015-05-07,233.05
2015-05-08,258.9
2015-05-11,255.6
2015-05-12,249.35
2015-05-13,244.15
2015-05-14,247.4
2015-05-15,250.0
2015-05-18,257.35
2015-05-19,257.4
2015-05-20,259.05
2015-05-21,247.55
2015-05-22,246.2
2015-05-25,237.3
2015-05-26,235.5
2015-05-27,235.35
2015-05-28,238.85
2015-05-29,232.85
2015-06-01,238.35
2015-06-02,240.2
2015-06-03,220.7
2015-06-04,223.95
2015-06-05,229.65
2015-06-08,220.8
2015-06-09,218.15
2015-06-10,232.9
2015-06-11,225.3
2015-06-12,222.8
2015-06-15,213.25
2015-06-16,219.25
2015-06-17,229.5
2015-06-18,234.15
2015-06-19,278.75
2015-06-22,245.05
2015-06-23,242.65
2015-06-24,237.7
2015-06-25,235.6
2015-06-26,234.35
2015-06-29,222.7
2015-06-30,220.85
2015-07-01,232.9
2015-07-02,228.75
2015-07-03,236.25
2015-07-06,234.45
2015-07-07,234.6
2015-07-08,237.1
2015-07-09,231.2
2015-07-10,234.75
2015-07-13,241.0
2015-07-14,289.0
2015-07-15,266.4
2015-07-16,267.7
2015-07-17,260.4
2015-07-20,261.55
2015-07-21,251.9
2015-07-22,257.35
2015-07-23,249.6
2015-07-24,244.7
2015-07-27,239.95
2015-07-28,231.95
2015-07-29,237.15
2015-07-30,235.3
2015-07-31,235.45
2015-08-03,245.8
2015-08-04,240.15
2015-08-05,242.95
2015-08-06,241.65
2015-08-07,244.55
2015-08-10,249.65
2015-08-11,245.0
2015-08-12,246.35
2015-08-13,240.55
2015-08-14,244.8
2015-08-17,248.15
2015-08-18,242.75
2015-08-19,240.25
2015-08-20,234.4
2015-08-21,228.8
2015-08-24,200.0
2015-08-25,193.0
2015-08-26,198.15
2015-08-27,203.3
2015-08-28,214.25
2015-08-31,215.45
2015-09-01,203.4
2015-09-02,199.5
2015-09-03,200.1
2015-09-04,194.95
2015-09-07,183.6
2015-09-08,181.75
2015-09-09,188.35
2015-09-10,185.85
2015-09-11,188.1
2015-09-14,189.75
2015-09-15,188.1
2015-09-16,186.15
2015-09-18,191.3
2015-09-21,189.95
2015-09-22,187.05
2015-09-23,186.5
2015-09-24,185.2
2015-09-28,189.4
2015-09-29,186.0
2015-09-30,190.7
2015-10-01,193.45
2015-10-05,197.1
2015-10-06,196.3
2015-10-07,206.75
2015-10-08,201.5
2015-10-09,202.25
2015-10-12,209.7
2015-10-13,211.5
2015-10-14,212.15
2015-10-15,209.25
2015-10-16,205.55
2015-10-19,206.65
2015-10-20,207.5
2015-10-21,206.15
2015-10-23,200.85
2015-10-26,195.1
2015-10-27,190.9
2015-10-28,181.4
2015-10-29,188.7
2015-10-30,188.75
2015-11-02,189.2
2015-11-03,197.45
2015-11-04,197.1
2015-11-05,191.35
2015-11-06,189.65
2015-11-09,185.15
2015-11-10,188.25
2015-11-11,186.7
2015-11-13,185.0
2015-11-16,186.15
2015-11-17,186.8
2015-11-18,187.35
2015-11-19,184.85
2015-11-20,185.75
2015-11-23,184.3
2015-11-24,183.15
2015-11-26,183.15
2015-11-27,182.75
2015-11-30,183.95
2015-12-01,188.95
2015-12-02,187.95
2015-12-03,200.8
2015-12-04,197.5
2015-12-07,196.0
2015-12-08,193.65
2015-12-09,183.0
2015-12-10,191.25
2015-12-11,190.2
2015-12-14,185.95
2015-12-15,194.45
2015-12-16,199.55
2015-12-17,204.7
2015-12-18,209.7
2015-12-21,229.25
2015-12-22,224.8
2015-12-23,226.0
2015-12-24,224.85
2015-12-28,222.75
2015-12-29,222.85
2015-12-30,254.15
2015-12-31,244.7
