Date,SICAGEN
2015-01-01,15.05
2015-01-02,15.25
2015-01-05,14.8
2015-01-06,15.0
2015-01-07,15.0
2015-01-08,14.95
2015-01-09,15.0
2015-01-12,15.55
2015-01-13,15.25
2015-01-14,15.0
2015-01-15,15.05
2015-01-16,15.35
2015-01-19,15.65
2015-01-20,15.4
2015-01-21,15.9
2015-01-22,16.2
2015-01-23,16.05
2015-01-27,15.75
2015-01-28,15.35
2015-01-29,15.3
2015-01-30,15.05
2015-02-02,14.9
2015-02-03,15.8
2015-02-04,15.25
2015-02-05,15.2
2015-02-06,14.0
2015-02-09,13.2
2015-02-10,13.1
2015-02-11,12.95
2015-02-12,13.15
2015-02-13,13.35
2015-02-16,13.15
2015-02-18,13.1
2015-02-19,13.35
2015-02-20,13.8
2015-02-23,13.7
2015-02-24,13.65
2015-02-25,13.5
2015-02-26,13.25
2015-02-27,13.3
2015-02-28,13.15
2015-03-02,12.45
2015-03-03,12.8
2015-03-04,12.8
2015-03-05,12.9
2015-03-09,12.5
2015-03-10,12.7
2015-03-11,12.8
2015-03-12,12.85
2015-03-13,12.65
2015-03-16,12.65
2015-03-17,12.7
2015-03-18,12.75
2015-03-19,12.65
2015-03-20,12.3
2015-03-23,12.2
2015-03-24,12.35
2015-03-25,12.1
2015-03-26,12.3
2015-03-27,12.25
2015-03-30,12.2
2015-03-31,12.2
2015-04-01,12.15
2015-04-06,12.85
2015-04-07,13.3
2015-04-08,13.4
2015-04-09,13.4
2015-04-10,13.55
2015-04-13,13.55
2015-04-15,13.9
2015-04-16,13.5
2015-04-17,13.95
2015-04-20,14.0
2015-04-21,13.45
2015-04-22,13.2
2015-04-23,13.3
2015-04-24,13.25
2015-04-27,12.85
2015-04-28,12.95
2015-04-29,12.65
2015-04-30,12.65
2015-05-04,13.0
2015-05-05,13.4
2015-05-06,13.15
2015-05-07,13.0
2015-05-08,13.2
2015-05-11,13.55
2015-05-12,13.15
2015-05-13,13.6
2015-05-14,13.15
2015-05-15,13.15
2015-05-18,13.4
2015-05-19,13.7
2015-05-20,15.1
2015-05-21,18.1
2015-05-22,19.85
2015-05-25,17.9
2015-05-26,17.4
2015-05-27,16.2
2015-05-28,16.7
2015-05-29,16.1
2015-06-01,15.15
2015-06-02,14.1
2015-06-03,14.65
2015-06-04,14.3
2015-06-05,13.8
2015-06-08,13.7
2015-06-09,13.25
2015-06-10,13.85
2015-06-11,13.5
2015-06-12,13.45
2015-06-15,13.6
2015-06-16,13.2
2015-06-17,13.2
2015-06-18,13.4
2015-06-19,14.0
2015-06-22,14.05
2015-06-23,14.35
2015-06-24,15.05
2015-06-25,15.15
2015-06-26,14.9
2015-06-29,14.25
2015-06-30,14.15
2015-07-01,14.55
2015-07-02,14.35
2015-07-03,14.3
2015-07-06,14.8
2015-07-07,15.15
2015-07-08,15.1
2015-07-09,15.0
2015-07-10,16.5
2015-07-13,18.15
2015-07-14,19.45
2015-07-15,18.5
2015-07-16,17.6
2015-07-17,16.75
2015-07-20,16.35
2015-07-21,17.15
2015-07-22,18.0
2015-07-23,17.8
2015-07-24,17.05
2015-07-27,16.3
2015-07-28,16.8
2015-07-29,17.1
2015-07-30,17.1
2015-07-31,16.8
2015-08-03,16.0
2015-08-04,15.3
2015-08-05,16.05
2015-08-06,16.1
2015-08-07,16.0
2015-08-10,16.1
2015-08-11,15.8
2015-08-12,15.65
2015-08-13,15.3
2015-08-14,15.0
2015-08-17,14.5
2015-08-18,14.55
2015-08-19,15.2
2015-08-20,15.4
2015-08-21,14.95
2015-08-24,14.3
2015-08-25,14.0
2015-08-26,14.5
2015-08-27,14.55
2015-08-28,14.4
2015-08-31,13.9
2015-09-01,13.9
2015-09-02,14.15
2015-09-03,14.15
2015-09-04,14.15
2015-09-07,14.2
2015-09-08,14.3
2015-09-09,14.8
2015-09-10,14.0
2015-09-11,14.25
2015-09-14,13.95
2015-09-15,13.65
2015-09-16,13.6
2015-09-18,13.75
2015-09-21,13.5
2015-09-22,13.6
2015-09-23,14.0
2015-09-24,14.05
2015-09-28,13.7
2015-09-29,13.7
2015-09-30,13.65
2015-10-01,14.05
2015-10-05,14.0
2015-10-06,14.35
2015-10-07,14.2
2015-10-08,14.45
2015-10-09,14.2
2015-10-12,14.25
2015-10-13,14.4
2015-10-14,14.45
2015-10-15,14.6
2015-10-16,14.9
2015-10-19,15.9
2015-10-20,15.55
2015-10-21,16.1
2015-10-23,15.2
2015-10-26,14.85
2015-10-27,14.95
2015-10-28,15.15
2015-10-29,14.85
2015-10-30,16.0
2015-11-02,16.95
2015-11-03,17.15
2015-11-04,15.05
2015-11-05,15.1
2015-11-06,14.6
2015-11-09,14.65
2015-11-10,14.6
2015-11-11,15.15
2015-11-13,15.6
2015-11-16,15.65
2015-11-17,15.95
2015-11-18,15.25
2015-11-19,15.55
2015-11-20,15.4
2015-11-23,16.0
2015-11-24,16.3
2015-11-26,16.4
2015-11-27,16.35
2015-11-30,16.3
2015-12-01,16.55
2015-12-02,16.9
2015-12-03,16.3
2015-12-04,16.15
2015-12-07,16.8
2015-12-08,16.9
2015-12-09,15.75
2015-12-10,15.95
2015-12-11,15.75
2015-12-14,16.0
2015-12-15,16.45
2015-12-16,16.2
2015-12-17,16.45
2015-12-18,16.2
2015-12-21,16.85
2015-12-22,16.8
2015-12-23,16.9
2015-12-24,17.1
2015-12-28,16.6
2015-12-29,17.0
2015-12-30,17.9
2015-12-31,17.85
