Date,BALAJITELE
2015-01-01,70.6
2015-01-02,70.25
2015-01-05,71.45
2015-01-06,69.55
2015-01-07,71.25
2015-01-08,72.0
2015-01-09,75.05
2015-01-12,75.1
2015-01-13,75.0
2015-01-14,73.05
2015-01-15,74.0
2015-01-16,72.35
2015-01-19,72.6
2015-01-20,71.9
2015-01-21,69.55
2015-01-22,72.55
2015-01-23,71.7
2015-01-27,71.05
2015-01-28,71.7
2015-01-29,70.45
2015-01-30,69.5
2015-02-02,69.9
2015-02-03,69.2
2015-02-04,68.0
2015-02-05,68.6
2015-02-06,68.85
2015-02-09,67.45
2015-02-10,64.95
2015-02-11,64.75
2015-02-12,63.9
2015-02-13,66.0
2015-02-16,65.3
2015-02-18,64.35
2015-02-19,63.45
2015-02-20,64.0
2015-02-23,63.5
2015-02-24,63.5
2015-02-25,62.9
2015-02-26,64.4
2015-02-27,64.9
2015-02-28,65.1
2015-03-02,66.85
2015-03-03,71.5
2015-03-04,69.0
2015-03-05,67.2
2015-03-09,65.45
2015-03-10,66.45
2015-03-11,69.9
2015-03-12,71.85
2015-03-13,68.8
2015-03-16,68.45
2015-03-17,68.1
2015-03-18,66.65
2015-03-19,66.15
2015-03-20,63.3
2015-03-23,65.9
2015-03-24,64.9
2015-03-25,64.6
2015-03-26,64.4
2015-03-27,63.7
2015-03-30,66.8
2015-03-31,65.6
2015-04-01,67.5
2015-04-06,67.9
2015-04-07,67.65
2015-04-08,72.15
2015-04-09,74.45
2015-04-10,72.25
2015-04-13,73.7
2015-04-15,75.5
2015-04-16,75.3
2015-04-17,75.3
2015-04-20,70.05
2015-04-21,69.05
2015-04-22,69.9
2015-04-23,68.65
2015-04-24,66.5
2015-04-27,66.0
2015-04-28,67.1
2015-04-29,67.55
2015-04-30,68.85
2015-05-04,69.75
2015-05-05,72.5
2015-05-06,67.75
2015-05-07,66.7
2015-05-08,67.55
2015-05-11,68.5
2015-05-12,66.2
2015-05-13,67.6
2015-05-14,68.1
2015-05-15,68.55
2015-05-18,70.45
2015-05-19,71.95
2015-05-20,70.65
2015-05-21,75.05
2015-05-22,72.35
2015-05-25,70.4
2015-05-26,70.65
2015-05-27,70.9
2015-05-28,70.85
2015-05-29,70.55
2015-06-01,70.65
2015-06-02,69.95
2015-06-03,69.35
2015-06-04,68.55
2015-06-05,68.2
2015-06-08,66.35
2015-06-09,65.15
2015-06-10,66.0
2015-06-11,65.0
2015-06-12,66.8
2015-06-15,65.9
2015-06-16,66.4
2015-06-17,65.85
2015-06-18,66.3
2015-06-19,67.8
2015-06-22,67.45
2015-06-23,67.2
2015-06-24,66.65
2015-06-25,70.5
2015-06-26,69.55
2015-06-29,69.1
2015-06-30,67.95
2015-07-01,71.25
2015-07-02,71.75
2015-07-03,71.75
2015-07-06,73.5
2015-07-07,73.1
2015-07-08,71.6
2015-07-09,71.8
2015-07-10,73.45
2015-07-13,75.9
2015-07-14,80.4
2015-07-15,76.0
2015-07-16,80.9
2015-07-17,81.65
2015-07-20,82.2
2015-07-21,77.4
2015-07-22,77.5
2015-07-23,78.7
2015-07-24,76.7
2015-07-27,76.95
2015-07-28,76.6
2015-07-29,77.25
2015-07-30,77.6
2015-07-31,77.55
2015-08-03,82.0
2015-08-04,79.45
2015-08-05,95.3
2015-08-06,96.35
2015-08-07,92.75
2015-08-10,87.5
2015-08-11,87.45
2015-08-12,84.05
2015-08-13,82.65
2015-08-14,85.3
2015-08-17,85.65
2015-08-18,85.95
2015-08-19,86.4
2015-08-20,83.65
2015-08-21,82.9
2015-08-24,72.7
2015-08-25,74.8
2015-08-26,72.2
2015-08-27,78.7
2015-08-28,78.25
2015-08-31,78.7
2015-09-01,75.3
2015-09-02,75.15
2015-09-03,76.75
2015-09-04,74.35
2015-09-07,70.45
2015-09-08,73.75
2015-09-09,75.9
2015-09-10,78.0
2015-09-11,80.5
2015-09-14,83.15
2015-09-15,85.35
2015-09-16,86.85
2015-09-18,89.45
2015-09-21,91.05
2015-09-22,90.85
2015-09-23,92.8
2015-09-24,92.95
2015-09-28,91.95
2015-09-29,97.95
2015-09-30,103.15
2015-10-01,102.95
2015-10-05,100.0
2015-10-06,97.45
2015-10-07,96.45
2015-10-08,101.45
2015-10-09,98.7
2015-10-12,97.1
2015-10-13,100.8
2015-10-14,101.1
2015-10-15,106.0
2015-10-16,104.25
2015-10-19,107.85
2015-10-20,106.95
2015-10-21,104.8
2015-10-23,101.7
2015-10-26,102.45
2015-10-27,106.9
2015-10-28,105.25
2015-10-29,107.3
2015-10-30,107.1
2015-11-02,115.6
2015-11-03,116.2
2015-11-04,112.55
2015-11-05,113.05
2015-11-06,112.25
2015-11-09,115.6
2015-11-10,114.25
2015-11-11,115.85
2015-11-13,123.15
2015-11-16,121.1
2015-11-17,125.2
2015-11-18,126.35
2015-11-19,134.8
2015-11-20,130.0
2015-11-23,139.7
2015-11-24,138.6
2015-11-26,138.35
2015-11-27,142.6
2015-11-30,138.75
2015-12-01,143.95
2015-12-02,138.8
2015-12-03,140.85
2015-12-04,137.7
2015-12-07,143.4
2015-12-08,138.75
2015-12-09,128.55
2015-12-10,131.85
2015-12-11,128.75
2015-12-14,129.6
2015-12-15,133.2
2015-12-16,129.25
2015-12-17,131.85
2015-12-18,139.75
2015-12-21,140.05
2015-12-22,138.95
2015-12-23,138.75
2015-12-24,138.6
2015-12-28,140.6
2015-12-29,139.55
2015-12-30,137.8
2015-12-31,140.25
