Date,HDFC
2015-01-01,1124.0
2015-01-02,1171.9
2015-01-05,1156.4
2015-01-06,1101.95
2015-01-07,1099.25
2015-01-08,1123.35
2015-01-09,1113.3
2015-01-12,1128.55
2015-01-13,1122.2
2015-01-14,1120.3
2015-01-15,1202.55
2015-01-16,1194.55
2015-01-19,1181.7
2015-01-20,1251.55
2015-01-21,1287.2
2015-01-22,1279.65
2015-01-23,1290.1
2015-01-27,1315.85
2015-01-28,1344.6
2015-01-29,1315.55
2015-01-30,1262.5
2015-02-02,1269.3
2015-02-03,1230.15
2015-02-04,1232.45
2015-02-05,1246.45
2015-02-06,1280.55
2015-02-09,1271.95
2015-02-10,1246.15
2015-02-11,1245.8
2015-02-12,1253.25
2015-02-13,1268.65
2015-02-16,1288.0
2015-02-18,1328.6
2015-02-19,1353.45
2015-02-20,1333.15
2015-02-23,1311.25
2015-02-24,1310.4
2015-02-25,1340.55
2015-02-26,1345.7
2015-02-27,1347.4
2015-02-28,1335.15
2015-03-02,1339.95
2015-03-03,1368.05
2015-03-04,1367.7
2015-03-05,1394.8
2015-03-09,1368.35
2015-03-10,1312.4
2015-03-11,1322.75
2015-03-12,1332.85
2015-03-13,1328.05
2015-03-16,1305.7
2015-03-17,1339.45
2015-03-18,1322.05
2015-03-19,1327.7
2015-03-20,1338.45
2015-03-23,1345.7
2015-03-24,1358.85
2015-03-25,1354.55
2015-03-26,1283.7
2015-03-27,1262.7
2015-03-30,1306.2
2015-03-31,1315.7
2015-04-01,1337.05
2015-04-06,1330.6
2015-04-07,1328.7
2015-04-08,1299.7
2015-04-09,1303.05
2015-04-10,1290.35
2015-04-13,1305.25
2015-04-15,1290.45
2015-04-16,1306.8
2015-04-17,1306.7
2015-04-20,1268.65
2015-04-21,1258.15
2015-04-22,1277.2
2015-04-23,1276.05
2015-04-24,1245.15
2015-04-27,1211.75
2015-04-28,1228.25
2015-04-29,1201.15
2015-04-30,1170.0
2015-05-04,1202.2
2015-05-05,1180.35
2015-05-06,1163.6
2015-05-07,1154.25
2015-05-08,1185.35
2015-05-11,1226.1
2015-05-12,1191.35
2015-05-13,1219.4
2015-05-14,1209.7
2015-05-15,1234.3
2015-05-18,1264.3
2015-05-19,1240.55
2015-05-20,1270.05
2015-05-21,1255.95
2015-05-22,1288.05
2015-05-25,1252.65
2015-05-26,1240.45
2015-05-27,1239.9
2015-05-28,1229.25
2015-05-29,1236.05
2015-06-01,1247.75
2015-06-02,1203.1
2015-06-03,1202.85
2015-06-04,1216.0
2015-06-05,1201.35
2015-06-08,1176.75
2015-06-09,1188.8
2015-06-10,1190.55
2015-06-11,1164.3
2015-06-12,1190.4
2015-06-15,1214.55
2015-06-16,1199.05
2015-06-17,1200.9
2015-06-18,1213.3
2015-06-19,1236.85
2015-06-22,1271.55
2015-06-23,1285.2
2015-06-24,1283.9
2015-06-25,1308.85
2015-06-26,1287.85
2015-06-29,1285.5
2015-06-30,1296.45
2015-07-01,1292.7
2015-07-02,1285.2
2015-07-03,1316.05
2015-07-06,1317.6
2015-07-07,1337.3
2015-07-08,1290.05
2015-07-09,1285.3
2015-07-10,1283.35
2015-07-13,1323.75
2015-07-14,1318.4
2015-07-15,1340.15
2015-07-16,1359.7
2015-07-17,1326.65
2015-07-20,1315.35
2015-07-21,1311.6
2015-07-22,1345.75
2015-07-23,1350.55
2015-07-24,1358.75
2015-07-27,1336.0
2015-07-28,1304.4
2015-07-29,1312.05
2015-07-30,1335.8
2015-07-31,1340.4
2015-08-03,1324.35
2015-08-04,1302.45
2015-08-05,1302.45
2015-08-06,1303.85
2015-08-07,1298.45
2015-08-10,1305.5
2015-08-11,1290.65
2015-08-12,1261.95
2015-08-13,1256.95
2015-08-14,1299.95
2015-08-17,1279.6
2015-08-18,1266.1
2015-08-19,1256.3
2015-08-20,1249.9
2015-08-21,1228.35
2015-08-24,1167.75
2015-08-25,1145.55
2015-08-26,1102.35
2015-08-27,1193.9
2015-08-28,1201.9
2015-08-31,1186.15
2015-09-01,1157.4
2015-09-02,1123.15
2015-09-03,1172.05
2015-09-04,1141.6
2015-09-07,1155.05
2015-09-08,1171.05
2015-09-09,1186.65
2015-09-10,1162.75
2015-09-11,1176.35
2015-09-14,1184.7
2015-09-15,1179.85
2015-09-16,1196.35
2015-09-18,1207.05
2015-09-21,1207.3
2015-09-22,1168.6
2015-09-23,1165.95
2015-09-24,1181.85
2015-09-28,1172.15
2015-09-29,1216.8
2015-09-30,1212.75
2015-10-01,1196.6
2015-10-05,1256.95
2015-10-06,1265.2
2015-10-07,1277.45
2015-10-08,1278.1
2015-10-09,1291.7
2015-10-12,1270.25
2015-10-13,1278.7
2015-10-14,1294.15
2015-10-15,1294.7
2015-10-16,1311.6
2015-10-19,1315.35
2015-10-20,1312.5
2015-10-21,1315.75
2015-10-23,1337.9
2015-10-26,1312.7
2015-10-27,1275.1
2015-10-28,1266.6
2015-10-29,1264.65
2015-10-30,1256.85
2015-11-02,1221.05
2015-11-03,1221.4
2015-11-04,1220.15
2015-11-05,1205.85
2015-11-06,1205.4
2015-11-09,1190.75
2015-11-10,1171.35
2015-11-11,1177.4
2015-11-13,1178.75
2015-11-16,1178.4
2015-11-17,1200.75
2015-11-18,1178.7
2015-11-19,1214.2
2015-11-20,1205.75
2015-11-23,1191.15
2015-11-24,1218.95
2015-11-26,1222.65
2015-11-27,1230.6
2015-11-30,1211.2
2015-12-01,1224.7
2015-12-02,1211.75
2015-12-03,1200.2
2015-12-04,1171.6
2015-12-07,1184.6
2015-12-08,1171.55
2015-12-09,1153.25
2015-12-10,1182.3
2015-12-11,1174.75
2015-12-14,1188.05
2015-12-15,1206.55
2015-12-16,1219.3
2015-12-17,1240.95
2015-12-18,1224.85
2015-12-21,1232.35
2015-12-22,1228.25
2015-12-23,1239.2
2015-12-24,1229.55
2015-12-28,1227.65
2015-12-29,1234.3
2015-12-30,1233.7
2015-12-31,1263.75
