Date,WIPRO
2015-01-01,552.4
2015-01-02,557.3
2015-01-05,558.3
2015-01-06,545.25
2015-01-07,541.1
2015-01-08,545.0
2015-01-09,553.5
2015-01-12,556.05
2015-01-13,563.5
2015-01-14,551.95
2015-01-15,559.5
2015-01-16,555.05
2015-01-19,584.2
2015-01-20,590.4
2015-01-21,588.7
2015-01-22,594.55
2015-01-23,601.8
2015-01-27,598.55
2015-01-28,607.25
2015-01-29,602.7
2015-01-30,606.55
2015-02-02,625.1
2015-02-03,621.55
2015-02-04,619.2
2015-02-05,638.25
2015-02-06,643.25
2015-02-09,647.8
2015-02-10,642.6
2015-02-11,638.4
2015-02-12,646.8
2015-02-13,660.7
2015-02-16,661.5
2015-02-18,669.0
2015-02-19,659.5
2015-02-20,650.0
2015-02-23,649.75
2015-02-24,653.0
2015-02-25,663.8
2015-02-26,657.9
2015-02-27,654.3
2015-02-28,659.2
2015-03-02,664.5
2015-03-03,672.45
2015-03-04,659.5
2015-03-05,667.8
2015-03-09,660.1
2015-03-10,654.3
2015-03-11,654.75
2015-03-12,655.3
2015-03-13,639.25
2015-03-16,646.25
2015-03-17,643.4
2015-03-18,631.4
2015-03-19,635.05
2015-03-20,652.65
2015-03-23,645.1
2015-03-24,652.25
2015-03-25,661.1
2015-03-26,631.9
2015-03-27,612.15
2015-03-30,623.4
2015-03-31,628.85
2015-04-01,633.2
2015-04-06,621.15
2015-04-07,615.05
2015-04-08,616.3
2015-04-09,617.15
2015-04-10,617.7
2015-04-13,624.2
2015-04-15,606.65
2015-04-16,601.95
2015-04-17,586.85
2015-04-20,575.4
2015-04-21,578.15
2015-04-22,544.55
2015-04-23,534.25
2015-04-24,523.2
2015-04-27,533.8
2015-04-28,532.25
2015-04-29,541.65
2015-04-30,538.6
2015-05-04,541.15
2015-05-05,544.9
2015-05-06,532.35
2015-05-07,538.15
2015-05-08,540.5
2015-05-11,541.5
2015-05-12,533.85
2015-05-13,542.25
2015-05-14,536.5
2015-05-15,538.45
2015-05-18,544.25
2015-05-19,552.6
2015-05-20,564.0
2015-05-21,564.25
2015-05-22,560.5
2015-05-25,563.1
2015-05-26,558.25
2015-05-27,552.35
2015-05-28,554.55
2015-05-29,561.7
2015-06-01,563.55
2015-06-02,548.8
2015-06-03,545.6
2015-06-04,552.7
2015-06-05,555.8
2015-06-08,555.0
2015-06-09,543.55
2015-06-10,562.75
2015-06-11,546.05
2015-06-12,537.35
2015-06-15,540.9
2015-06-16,540.3
2015-06-17,546.55
2015-06-18,556.1
2015-06-19,561.55
2015-06-22,560.2
2015-06-23,557.4
2015-06-24,565.4
2015-06-25,552.15
2015-06-26,558.65
2015-06-29,552.4
2015-06-30,546.7
2015-07-01,552.75
2015-07-02,555.75
2015-07-03,549.55
2015-07-06,550.05
2015-07-07,553.8
2015-07-08,552.75
2015-07-09,544.9
2015-07-10,548.65
2015-07-13,559.65
2015-07-14,565.4
2015-07-15,577.75
2015-07-16,575.3
2015-07-17,568.35
2015-07-20,568.6
2015-07-21,576.6
2015-07-22,584.6
2015-07-23,589.05
2015-07-24,566.75
2015-07-27,561.65
2015-07-28,556.65
2015-07-29,564.85
2015-07-30,562.0
2015-07-31,569.85
2015-08-03,570.4
2015-08-04,559.85
2015-08-05,575.35
2015-08-06,571.6
2015-08-07,569.1
2015-08-10,563.45
2015-08-11,566.15
2015-08-12,577.75
2015-08-13,571.2
2015-08-14,575.25
2015-08-17,575.85
2015-08-18,571.15
2015-08-19,584.75
2015-08-20,576.75
2015-08-21,576.0
2015-08-24,544.35
2015-08-25,541.3
2015-08-26,550.95
2015-08-27,551.35
2015-08-28,563.6
2015-08-31,571.8
2015-09-01,564.15
2015-09-02,554.25
2015-09-03,567.15
2015-09-04,554.0
2015-09-07,552.1
2015-09-08,563.6
2015-09-09,561.1
2015-09-10,552.1
2015-09-11,559.1
2015-09-14,571.65
2015-09-15,569.9
2015-09-16,580.55
2015-09-18,592.0
2015-09-21,592.2
2015-09-22,595.9
2015-09-23,590.75
2015-09-24,603.05
2015-09-28,592.95
2015-09-29,588.3
2015-09-30,597.85
2015-10-01,599.75
2015-10-05,600.3
2015-10-06,599.35
2015-10-07,588.85
2015-10-08,589.8
2015-10-09,592.35
2015-10-12,583.95
2015-10-13,585.35
2015-10-14,582.9
2015-10-15,577.1
2015-10-16,577.35
2015-10-19,577.55
2015-10-20,571.8
2015-10-21,577.85
2015-10-23,567.75
2015-10-26,569.05
2015-10-27,575.1
2015-10-28,578.0
2015-10-29,574.6
2015-10-30,572.85
2015-11-02,575.15
2015-11-03,574.25
2015-11-04,573.05
2015-11-05,570.85
2015-11-06,569.95
2015-11-09,560.25
2015-11-10,556.05
2015-11-11,556.5
2015-11-13,551.5
2015-11-16,553.5
2015-11-17,555.85
2015-11-18,554.35
2015-11-19,556.75
2015-11-20,569.7
2015-11-23,570.1
2015-11-24,563.85
2015-11-26,569.5
2015-11-27,569.95
2015-11-30,573.3
2015-12-01,581.95
2015-12-02,577.75
2015-12-03,572.55
2015-12-04,569.3
2015-12-07,576.05
2015-12-08,566.7
2015-12-09,565.3
2015-12-10,565.1
2015-12-11,565.9
2015-12-14,567.05
2015-12-15,558.9
2015-12-16,554.95
2015-12-17,556.1
2015-12-18,554.2
2015-12-21,555.85
2015-12-22,555.45
2015-12-23,556.3
2015-12-24,557.2
2015-12-28,561.45
2015-12-29,564.05
2015-12-30,558.1
2015-12-31,559.9
