Date,INDIANHUME
2015-01-01,341.35
2015-01-02,342.6
2015-01-05,343.2
2015-01-06,332.65
2015-01-07,339.15
2015-01-08,344.5
2015-01-09,343.8
2015-01-12,357.1
2015-01-13,359.15
2015-01-14,363.2
2015-01-15,360.2
2015-01-16,354.6
2015-01-19,347.45
2015-01-20,343.85
2015-01-21,346.4
2015-01-22,343.75
2015-01-23,346.5
2015-01-27,352.8
2015-01-28,348.55
2015-01-29,355.5
2015-01-30,347.75
2015-02-02,349.9
2015-02-03,349.3
2015-02-04,333.55
2015-02-05,334.3
2015-02-06,322.05
2015-02-09,317.65
2015-02-10,316.4
2015-02-11,327.8
2015-02-12,334.2
2015-02-13,330.85
2015-02-16,327.05
2015-02-18,314.55
2015-02-19,311.25
2015-02-20,313.1
2015-02-23,304.7
2015-02-24,299.45
2015-02-25,291.8
2015-02-26,295.35
2015-02-27,298.2
2015-02-28,292.55
2015-03-02,293.2
2015-03-03,290.75
2015-03-04,295.15
2015-03-05,296.9
2015-03-09,288.05
2015-03-10,289.65
2015-03-11,283.65
2015-03-12,284.0
2015-03-13,283.95
2015-03-16,275.8
2015-03-17,275.6
2015-03-18,267.1
2015-03-19,268.0
2015-03-20,271.2
2015-03-23,279.45
2015-03-24,263.65
2015-03-25,253.35
2015-03-26,253.35
2015-03-27,250.95
2015-03-30,262.0
2015-03-31,262.2
2015-04-01,270.65
2015-04-06,288.7
2015-04-07,305.7
2015-04-08,319.1
2015-04-09,320.05
2015-04-10,314.8
2015-04-13,316.85
2015-04-15,315.75
2015-04-16,308.6
2015-04-17,306.5
2015-04-20,305.2
2015-04-21,297.6
2015-04-22,302.05
2015-04-23,296.1
2015-04-24,288.85
2015-04-27,277.95
2015-04-28,282.2
2015-04-29,288.2
2015-04-30,285.65
2015-05-04,309.15
2015-05-05,310.5
2015-05-06,302.25
2015-05-07,289.7
2015-05-08,295.5
2015-05-11,299.25
2015-05-12,291.1
2015-05-13,288.05
2015-05-14,291.05
2015-05-15,292.75
2015-05-18,291.2
2015-05-19,294.0
2015-05-20,300.0
2015-05-21,304.2
2015-05-22,301.45
2015-05-25,295.2
2015-05-26,293.55
2015-05-27,295.2
2015-05-28,302.65
2015-05-29,308.6
2015-06-01,308.65
2015-06-02,307.6
2015-06-03,296.0
2015-06-04,293.75
2015-06-05,290.45
2015-06-08,289.1
2015-06-09,284.9
2015-06-10,289.55
2015-06-11,288.0
2015-06-12,283.9
2015-06-15,281.1
2015-06-16,288.45
2015-06-17,285.65
2015-06-18,288.05
2015-06-19,287.5
2015-06-22,297.0
2015-06-23,306.8
2015-06-24,296.45
2015-06-25,290.5
2015-06-26,286.9
2015-06-29,287.7
2015-06-30,290.25
2015-07-01,294.7
2015-07-02,320.45
2015-07-03,323.05
2015-07-06,322.95
2015-07-07,332.95
2015-07-08,329.45
2015-07-09,333.45
2015-07-10,342.65
2015-07-13,364.0
2015-07-14,364.15
2015-07-15,362.5
2015-07-16,359.1
2015-07-17,363.2
2015-07-20,362.3
2015-07-21,364.55
2015-07-22,370.4
2015-07-23,394.3
2015-07-24,391.35
2015-07-27,398.9
2015-07-28,426.05
2015-07-29,414.1
2015-07-30,406.1
2015-07-31,413.7
2015-08-03,412.5
2015-08-04,429.15
2015-08-05,415.9
2015-08-06,397.5
2015-08-07,378.4
2015-08-10,399.95
2015-08-11,399.95
2015-08-12,381.35
2015-08-13,380.3
2015-08-14,377.25
2015-08-17,391.15
2015-08-18,402.35
2015-08-19,402.9
2015-08-20,389.2
2015-08-21,381.1
2015-08-24,369.0
2015-08-25,370.85
2015-08-26,371.05
2015-08-27,376.35
2015-08-28,385.0
2015-08-31,377.45
2015-09-01,374.05
2015-09-02,374.05
2015-09-03,366.8
2015-09-04,345.05
2015-09-07,331.9
2015-09-08,352.85
2015-09-09,345.2
2015-09-10,347.35
2015-09-11,350.1
2015-09-14,351.15
2015-09-15,341.05
2015-09-16,338.2
2015-09-18,344.3
2015-09-21,351.7
2015-09-22,337.95
2015-09-23,345.2
2015-09-24,346.5
2015-09-28,385.8
2015-09-29,379.6
2015-09-30,394.95
2015-10-01,403.6
2015-10-05,415.35
2015-10-06,412.1
2015-10-07,419.25
2015-10-08,427.65
2015-10-09,419.8
2015-10-12,417.75
2015-10-13,411.35
2015-10-14,421.35
2015-10-15,412.55
2015-10-16,416.25
2015-10-19,415.95
2015-10-20,418.25
2015-10-21,421.4
2015-10-23,421.45
2015-10-26,415.35
2015-10-27,417.3
2015-10-28,415.75
2015-10-29,391.55
2015-10-30,376.85
2015-11-02,368.5
2015-11-03,367.6
2015-11-04,369.9
2015-11-05,366.45
2015-11-06,368.95
2015-11-09,383.05
2015-11-10,380.95
2015-11-11,383.45
2015-11-13,381.8
2015-11-16,391.85
2015-11-17,400.0
2015-11-18,400.95
2015-11-19,408.2
2015-11-20,410.0
2015-11-23,407.3
2015-11-24,412.05
2015-11-26,419.3
2015-11-27,422.1
2015-11-30,429.2
2015-12-01,444.55
2015-12-02,432.25
2015-12-03,435.05
2015-12-04,433.75
2015-12-07,439.1
2015-12-08,427.0
2015-12-09,409.85
2015-12-10,428.0
2015-12-11,420.2
2015-12-14,420.15
2015-12-15,418.65
2015-12-16,418.45
2015-12-17,424.25
2015-12-18,421.7
2015-12-21,420.15
2015-12-22,425.3
2015-12-23,424.95
2015-12-24,427.15
2015-12-28,420.4
2015-12-29,422.95
2015-12-30,420.0
2015-12-31,421.85
