Date,COMPUSOFT
2015-01-01,11.7
2015-01-02,11.7
2015-01-05,11.6
2015-01-06,11.2
2015-01-07,11.15
2015-01-08,11.45
2015-01-09,11.45
2015-01-12,11.3
2015-01-13,11.35
2015-01-14,11.5
2015-01-15,11.5
2015-01-16,11.45
2015-01-19,11.6
2015-01-20,11.55
2015-01-21,11.5
2015-01-22,11.45
2015-01-23,11.55
2015-01-27,11.7
2015-01-28,11.6
2015-01-29,11.8
2015-01-30,11.55
2015-02-02,11.65
2015-02-03,11.45
2015-02-04,11.55
2015-02-05,11.55
2015-02-06,11.4
2015-02-09,11.3
2015-02-10,11.15
2015-02-11,11.3
2015-02-12,11.3
2015-02-13,11.1
2015-02-16,11.0
2015-02-18,11.05
2015-02-19,11.15
2015-02-20,11.1
2015-02-23,11.0
2015-02-24,10.85
2015-02-25,10.85
2015-02-26,10.8
2015-02-27,10.85
2015-02-28,10.75
2015-03-02,10.85
2015-03-03,10.75
2015-03-04,10.55
2015-03-05,10.4
2015-03-09,10.1
2015-03-10,10.2
2015-03-11,10.5
2015-03-12,10.35
2015-03-13,10.05
2015-03-16,10.0
2015-03-17,10.05
2015-03-18,9.9
2015-03-19,9.75
2015-03-20,10.0
2015-03-23,9.75
2015-03-24,9.55
2015-03-25,9.35
2015-03-26,9.1
2015-03-27,9.15
2015-03-30,9.3
2015-03-31,9.5
2015-04-01,9.7
2015-04-06,10.05
2015-04-07,9.95
2015-04-08,10.7
2015-04-09,10.85
2015-04-10,10.85
2015-04-13,10.6
2015-04-15,10.55
2015-04-16,10.2
2015-04-17,10.45
2015-04-20,10.5
2015-04-21,10.0
2015-04-22,9.8
2015-04-23,10.05
2015-04-24,10.0
2015-04-27,10.45
2015-04-28,10.2
2015-04-29,10.15
2015-04-30,9.9
2015-05-04,9.95
2015-05-05,10.05
2015-05-06,9.95
2015-05-07,9.35
2015-05-08,9.55
2015-05-11,9.7
2015-05-12,9.6
2015-05-13,9.4
2015-05-14,9.4
2015-05-15,9.6
2015-05-18,9.6
2015-05-19,9.45
2015-05-20,9.75
2015-05-21,9.7
2015-05-22,9.6
2015-05-25,9.85
2015-05-26,10.05
2015-05-27,10.0
2015-05-28,9.8
2015-05-29,9.2
2015-06-01,9.5
2015-06-02,9.2
2015-06-03,8.95
2015-06-04,8.8
2015-06-05,8.55
2015-06-08,8.35
2015-06-09,8.5
2015-06-10,8.5
2015-06-11,8.3
2015-06-12,8.35
2015-06-15,8.65
2015-06-16,9.2
2015-06-17,8.8
2015-06-18,8.5
2015-06-19,8.85
2015-06-22,8.65
2015-06-23,8.8
2015-06-24,8.75
2015-06-25,8.7
2015-06-26,8.8
2015-06-29,8.35
2015-06-30,8.65
2015-07-01,8.55
2015-07-02,8.7
2015-07-03,9.0
2015-07-06,9.0
2015-07-07,9.3
2015-07-08,9.05
2015-07-09,9.0
2015-07-10,9.3
2015-07-13,9.25
2015-07-14,9.15
2015-07-15,9.3
2015-07-16,9.4
2015-07-17,9.7
2015-07-20,9.75
2015-07-21,9.3
2015-07-22,9.2
2015-07-23,9.0
2015-07-24,9.2
2015-07-27,9.1
2015-07-28,9.15
2015-07-29,9.3
2015-07-30,9.6
2015-07-31,9.35
2015-08-03,9.1
2015-08-04,9.1
2015-08-05,9.15
2015-08-06,9.1
2015-08-07,9.0
2015-08-10,9.05
2015-08-11,8.95
2015-08-12,8.95
2015-08-13,8.8
2015-08-14,9.1
2015-08-17,9.0
2015-08-18,8.8
2015-08-19,9.0
2015-08-20,9.0
2015-08-21,9.0
2015-08-24,8.55
2015-08-25,8.15
2015-08-26,8.35
2015-08-27,8.7
2015-08-28,8.85
2015-08-31,8.65
2015-09-01,8.5
2015-09-02,8.45
2015-09-03,8.6
2015-09-04,8.3
2015-09-07,8.45
2015-09-08,8.6
2015-09-09,8.7
2015-09-10,8.5
2015-09-11,8.3
2015-09-14,8.7
2015-09-15,8.6
2015-09-16,8.35
2015-09-18,8.05
2015-09-21,8.15
2015-09-22,8.0
2015-09-23,7.9
2015-09-24,8.0
2015-09-28,7.95
2015-09-29,8.05
2015-09-30,7.95
2015-10-01,8.2
2015-10-05,8.5
2015-10-06,8.45
2015-10-07,8.65
2015-10-08,8.75
2015-10-09,8.7
2015-10-12,8.75
2015-10-13,8.95
2015-10-14,8.8
2015-10-15,8.95
2015-10-16,9.2
2015-10-19,9.1
2015-10-20,8.8
2015-10-21,8.95
2015-10-23,9.25
2015-10-26,9.05
2015-10-27,8.45
2015-10-28,9.6
2015-10-29,9.25
2015-10-30,8.8
2015-11-02,9.1
2015-11-03,8.95
2015-11-04,9.1
2015-11-05,9.1
2015-11-06,9.0
2015-11-09,9.25
2015-11-10,9.25
2015-11-11,9.2
2015-11-13,9.35
2015-11-16,9.15
2015-11-17,9.05
2015-11-18,9.3
2015-11-19,9.05
2015-11-20,9.15
2015-11-23,9.0
2015-11-24,10.8
2015-11-26,11.8
2015-11-27,11.65
2015-11-30,11.7
2015-12-01,12.65
2015-12-02,12.05
2015-12-03,12.15
2015-12-04,13.55
2015-12-07,13.8
2015-12-08,13.2
2015-12-09,12.05
2015-12-10,12.65
2015-12-11,12.6
2015-12-14,11.9
2015-12-15,12.0
2015-12-16,12.75
2015-12-17,12.6
2015-12-18,12.65
2015-12-21,13.75
2015-12-22,13.9
2015-12-23,13.0
2015-12-24,13.25
2015-12-28,12.9
2015-12-29,12.7
2015-12-30,12.7
2015-12-31,12.4
