Date,INOXLEISUR
2015-01-01,179.1
2015-01-02,177.25
2015-01-05,175.6
2015-01-06,173.2
2015-01-07,174.9
2015-01-08,178.85
2015-01-09,175.8
2015-01-12,178.0
2015-01-13,175.05
2015-01-14,175.5
2015-01-15,176.45
2015-01-16,181.45
2015-01-19,180.3
2015-01-20,177.15
2015-01-21,180.9
2015-01-22,182.5
2015-01-23,178.6
2015-01-27,179.7
2015-01-28,179.0
2015-01-29,182.95
2015-01-30,178.05
2015-02-02,184.0
2015-02-03,177.5
2015-02-04,175.35
2015-02-05,175.85
2015-02-06,174.95
2015-02-09,174.85
2015-02-10,176.85
2015-02-11,177.6
2015-02-12,177.3
2015-02-13,179.25
2015-02-16,176.8
2015-02-18,176.8
2015-02-19,179.75
2015-02-20,177.8
2015-02-23,175.35
2015-02-24,175.4
2015-02-25,174.75
2015-02-26,174.15
2015-02-27,176.65
2015-02-28,174.55
2015-03-02,175.4
2015-03-03,177.35
2015-03-04,181.15
2015-03-05,178.65
2015-03-09,174.6
2015-03-10,171.75
2015-03-11,172.55
2015-03-12,175.85
2015-03-13,176.7
2015-03-16,180.1
2015-03-17,178.75
2015-03-18,178.4
2015-03-19,170.85
2015-03-20,168.65
2015-03-23,165.85
2015-03-24,161.1
2015-03-25,168.05
2015-03-26,163.4
2015-03-27,164.05
2015-03-30,169.3
2015-03-31,168.65
2015-04-01,173.5
2015-04-06,178.7
2015-04-07,175.2
2015-04-08,174.45
2015-04-09,173.45
2015-04-10,175.25
2015-04-13,176.9
2015-04-15,177.75
2015-04-16,175.4
2015-04-17,176.1
2015-04-20,170.2
2015-04-21,172.05
2015-04-22,171.4
2015-04-23,169.6
2015-04-24,163.45
2015-04-27,155.05
2015-04-28,160.6
2015-04-29,159.9
2015-04-30,163.25
2015-05-04,164.45
2015-05-05,161.25
2015-05-06,154.75
2015-05-07,150.7
2015-05-08,152.3
2015-05-11,154.2
2015-05-12,148.65
2015-05-13,145.85
2015-05-14,148.5
2015-05-15,148.0
2015-05-18,154.05
2015-05-19,155.4
2015-05-20,156.3
2015-05-21,153.95
2015-05-22,153.65
2015-05-25,155.0
2015-05-26,149.25
2015-05-27,151.05
2015-05-28,152.85
2015-05-29,156.75
2015-06-01,160.8
2015-06-02,162.6
2015-06-03,161.6
2015-06-04,164.4
2015-06-05,168.35
2015-06-08,168.95
2015-06-09,166.75
2015-06-10,166.55
2015-06-11,160.05
2015-06-12,160.85
2015-06-15,168.85
2015-06-16,169.4
2015-06-17,173.45
2015-06-18,172.65
2015-06-19,170.85
2015-06-22,171.85
2015-06-23,176.6
2015-06-24,176.6
2015-06-25,176.2
2015-06-26,175.85
2015-06-29,175.0
2015-06-30,176.85
2015-07-01,177.2
2015-07-02,176.2
2015-07-03,177.95
2015-07-06,177.8
2015-07-07,176.0
2015-07-08,177.9
2015-07-09,176.15
2015-07-10,175.15
2015-07-13,187.85
2015-07-14,192.15
2015-07-15,198.95
2015-07-16,196.2
2015-07-17,207.1
2015-07-20,240.65
2015-07-21,226.15
2015-07-22,232.7
2015-07-23,229.3
2015-07-24,224.2
2015-07-27,231.35
2015-07-28,230.1
2015-07-29,232.45
2015-07-30,232.9
2015-07-31,231.5
2015-08-03,229.8
2015-08-04,231.3
2015-08-05,233.7
2015-08-06,233.65
2015-08-07,233.9
2015-08-10,247.85
2015-08-11,250.75
2015-08-12,237.9
2015-08-13,231.85
2015-08-14,243.4
2015-08-17,239.25
2015-08-18,250.55
2015-08-19,258.75
2015-08-20,246.25
2015-08-21,238.15
2015-08-24,214.15
2015-08-25,215.8
2015-08-26,227.15
2015-08-27,230.45
2015-08-28,233.75
2015-08-31,233.85
2015-09-01,227.75
2015-09-02,230.35
2015-09-03,231.0
2015-09-04,219.85
2015-09-07,223.5
2015-09-08,225.0
2015-09-09,227.0
2015-09-10,220.3
2015-09-11,225.15
2015-09-14,225.7
2015-09-15,224.9
2015-09-16,224.6
2015-09-18,221.8
2015-09-21,224.5
2015-09-22,220.2
2015-09-23,218.35
2015-09-24,218.55
2015-09-28,222.1
2015-09-29,222.95
2015-09-30,227.85
2015-10-01,235.5
2015-10-05,237.6
2015-10-06,247.3
2015-10-07,244.35
2015-10-08,244.55
2015-10-09,244.35
2015-10-12,251.65
2015-10-13,249.9
2015-10-14,253.9
2015-10-15,255.65
2015-10-16,254.75
2015-10-19,257.2
2015-10-20,262.55
2015-10-21,269.7
2015-10-23,243.25
2015-10-26,242.1
2015-10-27,243.2
2015-10-28,239.85
2015-10-29,233.4
2015-10-30,228.55
2015-11-02,224.6
2015-11-03,228.15
2015-11-04,230.7
2015-11-05,231.0
2015-11-06,231.0
2015-11-09,229.15
2015-11-10,225.45
2015-11-11,230.9
2015-11-13,223.7
2015-11-16,224.6
2015-11-17,224.4
2015-11-18,221.95
2015-11-19,223.45
2015-11-20,227.9
2015-11-23,231.4
2015-11-24,233.25
2015-11-26,234.75
2015-11-27,239.25
2015-11-30,244.65
2015-12-01,247.4
2015-12-02,247.85
2015-12-03,245.3
2015-12-04,247.45
2015-12-07,249.1
2015-12-08,241.0
2015-12-09,235.1
2015-12-10,240.5
2015-12-11,236.8
2015-12-14,234.0
2015-12-15,231.0
2015-12-16,235.65
2015-12-17,244.05
2015-12-18,243.45
2015-12-21,249.6
2015-12-22,245.65
2015-12-23,246.85
2015-12-24,243.7
2015-12-28,243.3
2015-12-29,239.75
2015-12-30,238.55
2015-12-31,238.8
