Date,LYKALABS
2015-01-01,27.1
2015-01-02,28.9
2015-01-05,31.75
2015-01-06,30.65
2015-01-07,29.7
2015-01-08,30.4
2015-01-09,30.6
2015-01-12,31.7
2015-01-13,30.95
2015-01-14,30.3
2015-01-15,30.55
2015-01-16,33.6
2015-01-19,36.95
2015-01-20,38.55
2015-01-21,36.4
2015-01-22,39.6
2015-01-23,37.85
2015-01-27,36.85
2015-01-28,35.2
2015-01-29,34.75
2015-01-30,35.05
2015-02-02,36.8
2015-02-03,38.6
2015-02-04,40.5
2015-02-05,38.5
2015-02-06,36.6
2015-02-09,38.1
2015-02-10,39.2
2015-02-11,41.15
2015-02-12,43.1
2015-02-13,43.35
2015-02-16,45.25
2015-02-18,44.7
2015-02-19,44.35
2015-02-20,44.25
2015-02-23,44.15
2015-02-24,43.05
2015-02-25,43.7
2015-02-26,44.1
2015-02-27,46.25
2015-02-28,46.35
2015-03-02,46.0
2015-03-03,45.9
2015-03-04,44.9
2015-03-05,47.0
2015-03-09,45.8
2015-03-10,44.75
2015-03-11,42.95
2015-03-12,43.8
2015-03-13,46.5
2015-03-16,44.65
2015-03-17,49.1
2015-03-18,54.0
2015-03-19,51.5
2015-03-20,50.0
2015-03-23,47.65
2015-03-24,47.15
2015-03-25,47.05
2015-03-26,45.2
2015-03-27,45.5
2015-03-30,47.75
2015-03-31,49.15
2015-04-01,51.25
2015-04-06,53.8
2015-04-07,54.4
2015-04-08,54.65
2015-04-09,54.45
2015-04-10,55.6
2015-04-13,59.5
2015-04-15,62.1
2015-04-16,63.4
2015-04-17,62.0
2015-04-20,57.2
2015-04-21,57.6
2015-04-22,57.65
2015-04-23,59.25
2015-04-24,56.7
2015-04-27,51.8
2015-04-28,54.25
2015-04-29,58.35
2015-04-30,58.15
2015-05-04,59.65
2015-05-05,58.25
2015-05-06,56.35
2015-05-07,57.35
2015-05-08,57.65
2015-05-11,58.15
2015-05-12,56.85
2015-05-13,57.0
2015-05-14,56.15
2015-05-15,56.85
2015-05-18,61.45
2015-05-19,62.7
2015-05-20,59.85
2015-05-21,58.75
2015-05-22,64.2
2015-05-25,61.75
2015-05-26,63.7
2015-05-27,62.4
2015-05-28,63.5
2015-05-29,63.05
2015-06-01,64.1
2015-06-02,68.05
2015-06-03,63.55
2015-06-04,62.9
2015-06-05,62.75
2015-06-08,63.35
2015-06-09,62.85
2015-06-10,63.05
2015-06-11,60.25
2015-06-12,58.15
2015-06-15,61.35
2015-06-16,61.75
2015-06-17,62.95
2015-06-18,65.15
2015-06-19,64.05
2015-06-22,65.15
2015-06-23,63.2
2015-06-24,63.75
2015-06-25,63.45
2015-06-26,62.9
2015-06-29,62.65
2015-06-30,63.55
2015-07-01,64.25
2015-07-02,64.65
2015-07-03,63.15
2015-07-06,66.65
2015-07-07,64.75
2015-07-08,63.5
2015-07-09,64.65
2015-07-10,63.35
2015-07-13,64.5
2015-07-14,69.5
2015-07-15,67.6
2015-07-16,70.85
2015-07-17,71.5
2015-07-20,75.95
2015-07-21,72.45
2015-07-22,73.75
2015-07-23,74.7
2015-07-24,81.3
2015-07-27,77.75
2015-07-28,87.75
2015-07-29,86.05
2015-07-30,93.7
2015-07-31,91.3
2015-08-03,89.8
2015-08-04,91.65
2015-08-05,89.1
2015-08-06,88.7
2015-08-07,89.35
2015-08-10,88.35
2015-08-11,81.75
2015-08-12,79.75
2015-08-13,77.55
2015-08-14,80.6
2015-08-17,81.2
2015-08-18,83.55
2015-08-19,88.3
2015-08-20,83.4
2015-08-21,80.7
2015-08-24,67.95
2015-08-25,71.6
2015-08-26,74.05
2015-08-27,76.7
2015-08-28,79.55
2015-08-31,78.25
2015-09-01,75.5
2015-09-02,75.7
2015-09-03,79.2
2015-09-04,73.5
2015-09-07,69.9
2015-09-08,68.25
2015-09-09,73.55
2015-09-10,72.95
2015-09-11,73.6
2015-09-14,73.7
2015-09-15,70.2
2015-09-16,71.4
2015-09-18,71.25
2015-09-21,73.6
2015-09-22,71.55
2015-09-23,73.95
2015-09-24,74.45
2015-09-28,72.95
2015-09-29,74.75
2015-09-30,74.45
2015-10-01,81.2
2015-10-05,82.65
2015-10-06,82.05
2015-10-07,81.75
2015-10-08,79.5
2015-10-09,87.15
2015-10-12,88.65
2015-10-13,90.95
2015-10-14,89.65
2015-10-15,87.95
2015-10-16,86.75
2015-10-19,91.45
2015-10-20,105.35
2015-10-21,117.0
2015-10-23,118.0
2015-10-26,109.5
2015-10-27,112.0
2015-10-28,116.6
2015-10-29,116.45
2015-10-30,111.85
2015-11-02,109.6
2015-11-03,115.8
2015-11-04,114.4
2015-11-05,115.3
2015-11-06,113.2
2015-11-09,117.05
2015-11-10,112.5
2015-11-11,114.95
2015-11-13,123.15
2015-11-16,127.3
2015-11-17,123.5
2015-11-18,128.15
2015-11-19,130.5
2015-11-20,128.9
2015-11-23,133.75
2015-11-24,138.55
2015-11-26,139.85
2015-11-27,135.55
2015-11-30,130.0
2015-12-01,131.2
2015-12-02,127.6
2015-12-03,123.4
2015-12-04,118.7
2015-12-07,118.7
2015-12-08,119.45
2015-12-09,110.9
2015-12-10,114.5
2015-12-11,110.6
2015-12-14,110.95
2015-12-15,112.4
2015-12-16,119.6
2015-12-17,120.75
2015-12-18,117.2
2015-12-21,126.95
2015-12-22,126.55
2015-12-23,125.95
2015-12-24,126.35
2015-12-28,128.75
2015-12-29,130.95
2015-12-30,129.15
2015-12-31,128.25
