Date,ATULAUTO
2015-01-01,691.25
2015-01-02,677.95
2015-01-05,660.15
2015-01-06,638.5
2015-01-07,647.9
2015-01-08,657.25
2015-01-09,650.85
2015-01-12,656.5
2015-01-13,653.5
2015-01-14,645.95
2015-01-15,672.3
2015-01-16,689.65
2015-01-19,706.05
2015-01-20,682.7
2015-01-21,667.65
2015-01-22,651.65
2015-01-23,634.2
2015-01-27,608.6
2015-01-28,616.85
2015-01-29,613.65
2015-01-30,612.6
2015-02-02,622.6
2015-02-03,611.15
2015-02-04,603.6
2015-02-05,594.55
2015-02-06,570.65
2015-02-09,550.5
2015-02-10,588.1
2015-02-11,601.3
2015-02-12,596.45
2015-02-13,593.5
2015-02-16,565.9
2015-02-18,582.95
2015-02-19,579.8
2015-02-20,576.95
2015-02-23,577.25
2015-02-24,565.0
2015-02-25,566.25
2015-02-26,556.65
2015-02-27,562.5
2015-02-28,568.6
2015-03-02,585.75
2015-03-03,590.95
2015-03-04,595.0
2015-03-05,579.7
2015-03-09,581.0
2015-03-10,572.55
2015-03-11,578.6
2015-03-12,586.05
2015-03-13,578.45
2015-03-16,583.0
2015-03-17,577.1
2015-03-18,581.15
2015-03-19,567.4
2015-03-20,564.75
2015-03-23,554.95
2015-03-24,552.2
2015-03-25,557.3
2015-03-26,545.3
2015-03-27,539.9
2015-03-30,555.25
2015-03-31,556.55
2015-04-01,566.25
2015-04-06,576.65
2015-04-07,569.85
2015-04-08,569.75
2015-04-09,549.85
2015-04-10,569.8
2015-04-13,568.7
2015-04-15,602.15
2015-04-16,626.2
2015-04-17,593.2
2015-04-20,570.4
2015-04-21,563.0
2015-04-22,564.8
2015-04-23,556.5
2015-04-24,528.3
2015-04-27,494.55
2015-04-28,511.45
2015-04-29,499.25
2015-04-30,487.4
2015-05-04,489.15
2015-05-05,486.9
2015-05-06,461.0
2015-05-07,420.55
2015-05-08,427.85
2015-05-11,453.95
2015-05-12,436.55
2015-05-13,435.95
2015-05-14,441.15
2015-05-15,441.6
2015-05-18,458.2
2015-05-19,458.45
2015-05-20,453.6
2015-05-21,461.05
2015-05-22,464.7
2015-05-25,463.05
2015-05-26,455.2
2015-05-27,448.9
2015-05-28,452.0
2015-05-29,458.7
2015-06-01,465.55
2015-06-02,440.5
2015-06-03,414.5
2015-06-04,410.3
2015-06-05,409.15
2015-06-08,399.8
2015-06-09,397.15
2015-06-10,400.35
2015-06-11,382.7
2015-06-12,378.65
2015-06-15,397.6
2015-06-16,439.6
2015-06-17,459.25
2015-06-18,458.2
2015-06-19,481.55
2015-06-22,502.3
2015-06-23,504.0
2015-06-24,495.55
2015-06-25,494.35
2015-06-26,481.7
2015-06-29,478.5
2015-06-30,484.6
2015-07-01,491.8
2015-07-02,488.45
2015-07-03,481.15
2015-07-06,471.05
2015-07-07,472.4
2015-07-08,464.0
2015-07-09,453.7
2015-07-10,455.1
2015-07-13,457.4
2015-07-14,467.35
2015-07-15,473.7
2015-07-16,469.8
2015-07-17,466.55
2015-07-20,479.55
2015-07-21,468.65
2015-07-22,461.95
2015-07-23,480.0
2015-07-24,465.9
2015-07-27,456.5
2015-07-28,462.05
2015-07-29,453.65
2015-07-30,457.85
2015-07-31,463.9
2015-08-03,456.85
2015-08-04,455.4
2015-08-05,454.55
2015-08-06,443.9
2015-08-07,450.15
2015-08-10,437.7
2015-08-11,427.95
2015-08-12,417.95
2015-08-13,404.05
2015-08-14,416.55
2015-08-17,428.05
2015-08-18,431.8
2015-08-19,449.35
2015-08-20,441.4
2015-08-21,428.7
2015-08-24,400.4
2015-08-25,387.65
2015-08-26,390.2
2015-08-27,406.7
2015-08-28,406.45
2015-08-31,413.05
2015-09-01,419.95
2015-09-02,422.9
2015-09-03,425.4
2015-09-04,407.3
2015-09-07,402.65
2015-09-08,391.6
2015-09-09,399.65
2015-09-10,395.7
2015-09-11,399.75
2015-09-14,417.15
2015-09-15,410.0
2015-09-16,411.15
2015-09-18,417.05
2015-09-21,441.7
2015-09-22,440.85
2015-09-23,445.1
2015-09-24,447.9
2015-09-28,452.5
2015-09-29,450.25
2015-09-30,460.95
2015-10-01,457.9
2015-10-05,456.5
2015-10-06,455.75
2015-10-07,448.3
2015-10-08,435.45
2015-10-09,452.05
2015-10-12,444.0
2015-10-13,454.65
2015-10-14,450.9
2015-10-15,456.8
2015-10-16,454.15
2015-10-19,464.25
2015-10-20,465.5
2015-10-21,465.85
2015-10-23,481.9
2015-10-26,475.35
2015-10-27,483.6
2015-10-28,488.35
2015-10-29,487.05
2015-10-30,487.05
2015-11-02,491.45
2015-11-03,475.1
2015-11-04,468.45
2015-11-05,448.65
2015-11-06,457.05
2015-11-09,458.55
2015-11-10,455.3
2015-11-11,464.0
2015-11-13,467.25
2015-11-16,467.4
2015-11-17,468.25
2015-11-18,463.85
2015-11-19,467.2
2015-11-20,471.45
2015-11-23,493.2
2015-11-24,519.6
2015-11-26,525.4
2015-11-27,513.25
2015-11-30,519.55
2015-12-01,524.55
2015-12-02,522.1
2015-12-03,530.3
2015-12-04,521.25
2015-12-07,522.25
2015-12-08,504.25
2015-12-09,500.75
2015-12-10,506.3
2015-12-11,510.05
2015-12-14,508.1
2015-12-15,512.35
2015-12-16,512.2
2015-12-17,521.2
2015-12-18,516.3
2015-12-21,512.15
2015-12-22,530.3
2015-12-23,541.5
2015-12-24,554.65
2015-12-28,550.05
2015-12-29,541.4
2015-12-30,543.25
2015-12-31,549.3
