Date,ALPHAGEO
2015-01-01,539.25
2015-01-02,540.75
2015-01-05,556.35
2015-01-06,527.0
2015-01-07,528.65
2015-01-08,618.75
2015-01-09,588.7
2015-01-12,584.5
2015-01-13,573.45
2015-01-14,584.95
2015-01-15,588.8
2015-01-16,585.3
2015-01-19,575.35
2015-01-20,569.35
2015-01-21,553.05
2015-01-22,568.5
2015-01-23,543.9
2015-01-27,511.4
2015-01-28,551.3
2015-01-29,562.0
2015-01-30,526.2
2015-02-02,516.85
2015-02-03,515.75
2015-02-04,510.15
2015-02-05,499.2
2015-02-06,473.35
2015-02-09,450.45
2015-02-10,452.65
2015-02-11,469.2
2015-02-12,511.6
2015-02-13,495.1
2015-02-16,481.5
2015-02-18,529.55
2015-02-19,513.85
2015-02-20,504.85
2015-02-23,516.05
2015-02-24,494.8
2015-02-25,510.15
2015-02-26,490.1
2015-02-27,495.2
2015-02-28,500.75
2015-03-02,497.4
2015-03-03,494.4
2015-03-04,490.1
2015-03-05,481.8
2015-03-09,471.0
2015-03-10,466.3
2015-03-11,470.0
2015-03-12,465.8
2015-03-13,455.15
2015-03-16,437.55
2015-03-17,435.15
2015-03-18,422.85
2015-03-19,424.4
2015-03-20,394.6
2015-03-23,399.7
2015-03-24,386.2
2015-03-25,382.1
2015-03-26,374.85
2015-03-27,354.95
2015-03-30,386.1
2015-03-31,384.3
2015-04-01,419.75
2015-04-06,502.7
2015-04-07,478.85
2015-04-08,489.25
2015-04-09,477.2
2015-04-10,477.35
2015-04-13,494.4
2015-04-15,481.1
2015-04-16,472.45
2015-04-17,470.05
2015-04-20,462.25
2015-04-21,458.0
2015-04-22,453.6
2015-04-23,454.75
2015-04-24,427.3
2015-04-27,417.6
2015-04-28,431.2
2015-04-29,460.0
2015-04-30,462.7
2015-05-04,472.15
2015-05-05,460.45
2015-05-06,429.2
2015-05-07,436.0
2015-05-08,454.1
2015-05-11,475.65
2015-05-12,452.95
2015-05-13,468.7
2015-05-14,487.6
2015-05-15,468.15
2015-05-18,467.1
2015-05-19,472.55
2015-05-20,460.95
2015-05-21,443.6
2015-05-22,441.95
2015-05-25,441.6
2015-05-26,429.95
2015-05-27,424.6
2015-05-28,422.85
2015-05-29,433.35
2015-06-01,432.15
2015-06-02,417.15
2015-06-03,408.2
2015-06-04,403.95
2015-06-05,411.55
2015-06-08,399.15
2015-06-09,388.75
2015-06-10,397.8
2015-06-11,387.75
2015-06-12,399.9
2015-06-15,391.25
2015-06-16,401.3
2015-06-17,392.65
2015-06-18,390.6
2015-06-19,391.0
2015-06-22,393.2
2015-06-23,386.4
2015-06-24,398.6
2015-06-25,402.95
2015-06-26,393.5
2015-06-29,379.15
2015-06-30,382.35
2015-07-01,385.05
2015-07-02,384.4
2015-07-03,425.75
2015-07-06,438.55
2015-07-07,425.9
2015-07-08,408.05
2015-07-09,405.8
2015-07-10,410.65
2015-07-13,417.65
2015-07-14,427.45
2015-07-15,415.7
2015-07-16,412.8
2015-07-17,427.5
2015-07-20,428.45
2015-07-21,423.35
2015-07-22,425.85
2015-07-23,420.0
2015-07-24,425.75
2015-07-27,415.85
2015-07-28,418.75
2015-07-29,411.65
2015-07-30,409.95
2015-07-31,414.45
2015-08-03,396.35
2015-08-04,393.7
2015-08-05,396.8
2015-08-06,386.7
2015-08-07,387.4
2015-08-10,384.9
2015-08-11,358.45
2015-08-12,344.65
2015-08-13,336.25
2015-08-14,339.6
2015-08-17,334.5
2015-08-18,339.7
2015-08-19,338.55
2015-08-20,304.7
2015-08-21,300.85
2015-08-24,273.95
2015-08-25,284.05
2015-08-26,298.75
2015-08-27,310.15
2015-08-28,334.5
2015-08-31,401.4
2015-09-01,390.4
2015-09-02,410.35
2015-09-03,408.5
2015-09-04,390.5
2015-09-07,384.8
2015-09-08,393.95
2015-09-09,420.75
2015-09-10,425.55
2015-09-11,441.65
2015-09-14,442.5
2015-09-15,433.65
2015-09-16,424.85
2015-09-18,432.15
2015-09-21,473.4
2015-09-22,462.65
2015-09-23,478.9
2015-09-24,480.7
2015-09-28,474.55
2015-09-29,467.9
2015-09-30,471.2
2015-10-01,516.25
2015-10-05,522.7
2015-10-06,519.25
2015-10-07,535.35
2015-10-08,528.75
2015-10-09,562.2
2015-10-12,563.45
2015-10-13,544.5
2015-10-14,526.45
2015-10-15,522.1
2015-10-16,528.2
2015-10-19,521.95
2015-10-20,520.55
2015-10-21,523.75
2015-10-23,553.95
2015-10-26,546.1
2015-10-27,541.4
2015-10-28,548.95
2015-10-29,547.35
2015-10-30,541.7
2015-11-02,541.1
2015-11-03,545.85
2015-11-04,557.3
2015-11-05,537.5
2015-11-06,536.45
2015-11-09,551.45
2015-11-10,535.05
2015-11-11,540.3
2015-11-13,532.1
2015-11-16,541.5
2015-11-17,539.9
2015-11-18,537.85
2015-11-19,550.8
2015-11-20,616.0
2015-11-23,617.45
2015-11-24,636.95
2015-11-26,668.75
2015-11-27,687.95
2015-11-30,703.65
2015-12-01,676.6
2015-12-02,665.45
2015-12-03,663.3
2015-12-04,659.6
2015-12-07,669.9
2015-12-08,687.5
2015-12-09,651.7
2015-12-10,660.1
2015-12-11,647.8
2015-12-14,613.15
2015-12-15,606.85
2015-12-16,603.25
2015-12-17,591.1
2015-12-18,582.65
2015-12-21,567.5
2015-12-22,552.7
2015-12-23,532.35
2015-12-24,555.1
2015-12-28,582.8
2015-12-29,588.95
2015-12-30,605.65
2015-12-31,583.25
