Date,CCL
2015-01-01,170.85
2015-01-02,174.3
2015-01-05,174.7
2015-01-06,169.1
2015-01-07,170.1
2015-01-08,172.75
2015-01-09,175.05
2015-01-12,173.55
2015-01-13,173.8
2015-01-14,172.15
2015-01-15,174.85
2015-01-16,174.0
2015-01-19,174.05
2015-01-20,183.55
2015-01-21,180.8
2015-01-22,184.55
2015-01-23,188.4
2015-01-27,186.5
2015-01-28,186.75
2015-01-29,192.35
2015-01-30,190.8
2015-02-02,188.1
2015-02-03,187.4
2015-02-04,184.45
2015-02-05,180.2
2015-02-06,169.35
2015-02-09,175.0
2015-02-10,174.5
2015-02-11,170.85
2015-02-12,170.7
2015-02-13,168.2
2015-02-16,167.0
2015-02-18,166.35
2015-02-19,157.75
2015-02-20,162.15
2015-02-23,165.1
2015-02-24,166.65
2015-02-25,162.75
2015-02-26,165.6
2015-02-27,169.75
2015-02-28,168.05
2015-03-02,174.35
2015-03-03,183.6
2015-03-04,181.85
2015-03-05,174.8
2015-03-09,174.05
2015-03-10,174.35
2015-03-11,174.35
2015-03-12,178.1
2015-03-13,180.75
2015-03-16,173.2
2015-03-17,176.3
2015-03-18,174.75
2015-03-19,176.3
2015-03-20,168.05
2015-03-23,163.05
2015-03-24,163.8
2015-03-25,165.55
2015-03-26,164.95
2015-03-27,167.5
2015-03-30,171.5
2015-03-31,178.8
2015-04-01,184.3
2015-04-06,180.75
2015-04-07,182.0
2015-04-08,201.8
2015-04-09,204.05
2015-04-10,213.8
2015-04-13,215.45
2015-04-15,210.95
2015-04-16,203.9
2015-04-17,197.8
2015-04-20,187.25
2015-04-21,191.75
2015-04-22,194.5
2015-04-23,204.1
2015-04-24,191.2
2015-04-27,185.1
2015-04-28,190.5
2015-04-29,194.3
2015-04-30,190.75
2015-05-04,195.9
2015-05-05,191.15
2015-05-06,181.3
2015-05-07,170.4
2015-05-08,173.8
2015-05-11,178.75
2015-05-12,173.65
2015-05-13,173.75
2015-05-14,176.4
2015-05-15,182.9
2015-05-18,188.75
2015-05-19,194.25
2015-05-20,191.7
2015-05-21,188.85
2015-05-22,185.0
2015-05-25,187.9
2015-05-26,187.3
2015-05-27,184.85
2015-05-28,181.95
2015-05-29,180.1
2015-06-01,179.85
2015-06-02,178.5
2015-06-03,178.85
2015-06-04,177.2
2015-06-05,181.55
2015-06-08,181.05
2015-06-09,179.2
2015-06-10,183.25
2015-06-11,183.0
2015-06-12,183.7
2015-06-15,183.15
2015-06-16,181.1
2015-06-17,185.3
2015-06-18,188.8
2015-06-19,194.0
2015-06-22,193.95
2015-06-23,190.25
2015-06-24,183.8
2015-06-25,181.5
2015-06-26,182.65
2015-06-29,180.1
2015-06-30,181.0
2015-07-01,183.15
2015-07-02,181.05
2015-07-03,181.5
2015-07-06,182.45
2015-07-07,191.0
2015-07-08,189.05
2015-07-09,184.5
2015-07-10,184.9
2015-07-13,189.85
2015-07-14,195.75
2015-07-15,193.35
2015-07-16,191.7
2015-07-17,192.5
2015-07-20,194.3
2015-07-21,206.55
2015-07-22,215.05
2015-07-23,238.8
2015-07-24,235.2
2015-07-27,235.65
2015-07-28,231.55
2015-07-29,242.6
2015-07-30,244.9
2015-07-31,243.05
2015-08-03,235.15
2015-08-04,238.9
2015-08-05,241.35
2015-08-06,236.1
2015-08-07,236.45
2015-08-10,237.1
2015-08-11,230.0
2015-08-12,224.15
2015-08-13,227.2
2015-08-14,233.7
2015-08-17,231.85
2015-08-18,240.0
2015-08-19,238.25
2015-08-20,233.85
2015-08-21,230.35
2015-08-24,217.35
2015-08-25,213.2
2015-08-26,211.15
2015-08-27,222.4
2015-08-28,220.35
2015-08-31,221.7
2015-09-01,217.55
2015-09-02,217.05
2015-09-03,218.5
2015-09-04,211.85
2015-09-07,209.75
2015-09-08,210.3
2015-09-09,215.4
2015-09-10,216.8
2015-09-11,214.05
2015-09-14,214.1
2015-09-15,213.45
2015-09-16,209.95
2015-09-18,210.0
2015-09-21,211.4
2015-09-22,210.1
2015-09-23,217.0
2015-09-24,224.6
2015-09-28,233.85
2015-09-29,236.6
2015-09-30,235.2
2015-10-01,240.2
2015-10-05,239.4
2015-10-06,235.25
2015-10-07,238.2
2015-10-08,239.95
2015-10-09,241.9
2015-10-12,242.9
2015-10-13,243.6
2015-10-14,240.85
2015-10-15,224.4
2015-10-16,219.4
2015-10-19,224.55
2015-10-20,232.05
2015-10-21,229.7
2015-10-23,225.1
2015-10-26,226.65
2015-10-27,228.15
2015-10-28,225.35
2015-10-29,219.7
2015-10-30,216.7
2015-11-02,213.2
2015-11-03,214.55
2015-11-04,211.5
2015-11-05,205.7
2015-11-06,209.05
2015-11-09,211.55
2015-11-10,213.0
2015-11-11,209.45
2015-11-13,207.05
2015-11-16,209.0
2015-11-17,212.25
2015-11-18,210.0
2015-11-19,214.45
2015-11-20,216.25
2015-11-23,219.45
2015-11-24,221.85
2015-11-26,222.6
2015-11-27,218.25
2015-11-30,218.1
2015-12-01,216.5
2015-12-02,216.9
2015-12-03,213.25
2015-12-04,211.3
2015-12-07,209.45
2015-12-08,208.9
2015-12-09,209.55
2015-12-10,210.2
2015-12-11,209.2
2015-12-14,209.15
2015-12-15,212.5
2015-12-16,214.35
2015-12-17,213.3
2015-12-18,214.65
2015-12-21,215.55
2015-12-22,210.95
2015-12-23,210.8
2015-12-24,209.95
2015-12-28,214.15
2015-12-29,217.05
2015-12-30,217.15
2015-12-31,218.25
