Date,MERCK
2015-01-01,802.35
2015-01-02,805.95
2015-01-05,836.15
2015-01-06,814.8
2015-01-07,835.45
2015-01-08,839.75
2015-01-09,843.55
2015-01-12,851.6
2015-01-13,862.8
2015-01-14,841.4
2015-01-15,857.95
2015-01-16,859.35
2015-01-19,925.15
2015-01-20,919.35
2015-01-21,910.85
2015-01-22,918.35
2015-01-23,909.75
2015-01-27,932.9
2015-01-28,944.35
2015-01-29,945.0
2015-01-30,949.95
2015-02-02,964.5
2015-02-03,976.35
2015-02-04,968.8
2015-02-05,928.15
2015-02-06,856.5
2015-02-09,849.05
2015-02-10,851.15
2015-02-11,856.3
2015-02-12,862.2
2015-02-13,859.65
2015-02-16,838.55
2015-02-18,836.95
2015-02-19,831.2
2015-02-20,842.8
2015-02-23,818.85
2015-02-24,821.65
2015-02-25,823.2
2015-02-26,810.7
2015-02-27,821.15
2015-02-28,833.6
2015-03-02,834.4
2015-03-03,840.55
2015-03-04,852.1
2015-03-05,877.8
2015-03-09,862.8
2015-03-10,888.35
2015-03-11,914.35
2015-03-12,911.55
2015-03-13,898.15
2015-03-16,899.45
2015-03-17,901.15
2015-03-18,929.6
2015-03-19,932.35
2015-03-20,901.65
2015-03-23,901.4
2015-03-24,896.05
2015-03-25,901.05
2015-03-26,889.55
2015-03-27,884.4
2015-03-30,891.0
2015-03-31,910.25
2015-04-01,913.3
2015-04-06,934.75
2015-04-07,939.15
2015-04-08,987.45
2015-04-09,955.95
2015-04-10,955.35
2015-04-13,954.05
2015-04-15,938.65
2015-04-16,920.6
2015-04-17,906.65
2015-04-20,880.45
2015-04-21,871.2
2015-04-22,877.8
2015-04-23,876.45
2015-04-24,838.15
2015-04-27,806.5
2015-04-28,810.8
2015-04-29,829.9
2015-04-30,835.85
2015-05-04,846.95
2015-05-05,859.0
2015-05-06,827.4
2015-05-07,798.95
2015-05-08,814.5
2015-05-11,817.45
2015-05-12,818.65
2015-05-13,826.55
2015-05-14,820.7
2015-05-15,818.9
2015-05-18,823.35
2015-05-19,832.9
2015-05-20,838.15
2015-05-21,837.9
2015-05-22,840.55
2015-05-25,828.7
2015-05-26,824.5
2015-05-27,817.8
2015-05-28,819.1
2015-05-29,817.0
2015-06-01,814.75
2015-06-02,796.05
2015-06-03,782.4
2015-06-04,780.85
2015-06-05,792.4
2015-06-08,772.3
2015-06-09,781.85
2015-06-10,809.1
2015-06-11,831.35
2015-06-12,826.95
2015-06-15,837.15
2015-06-16,820.05
2015-06-17,815.15
2015-06-18,814.9
2015-06-19,824.05
2015-06-22,816.1
2015-06-23,811.1
2015-06-24,807.15
2015-06-25,810.85
2015-06-26,804.95
2015-06-29,800.4
2015-06-30,801.15
2015-07-01,804.7
2015-07-02,797.5
2015-07-03,807.8
2015-07-06,811.3
2015-07-07,810.45
2015-07-08,804.55
2015-07-09,803.9
2015-07-10,806.4
2015-07-13,809.65
2015-07-14,811.1
2015-07-15,821.7
2015-07-16,819.1
2015-07-17,819.8
2015-07-20,825.35
2015-07-21,813.55
2015-07-22,810.8
2015-07-23,804.95
2015-07-24,798.55
2015-07-27,796.05
2015-07-28,781.3
2015-07-29,782.7
2015-07-30,794.95
2015-07-31,819.3
2015-08-03,818.5
2015-08-04,818.9
2015-08-05,861.65
2015-08-06,875.35
2015-08-07,879.7
2015-08-10,879.8
2015-08-11,867.3
2015-08-12,849.5
2015-08-13,820.75
2015-08-14,827.8
2015-08-17,819.15
2015-08-18,818.7
2015-08-19,843.85
2015-08-20,836.05
2015-08-21,821.6
2015-08-24,763.15
2015-08-25,746.25
2015-08-26,745.15
2015-08-27,772.35
2015-08-28,760.8
2015-08-31,767.05
2015-09-01,753.2
2015-09-02,764.0
2015-09-03,767.65
2015-09-04,753.7
2015-09-07,736.2
2015-09-08,740.15
2015-09-09,754.65
2015-09-10,751.25
2015-09-11,746.45
2015-09-14,744.7
2015-09-15,742.7
2015-09-16,740.05
2015-09-18,755.95
2015-09-21,756.25
2015-09-22,767.9
2015-09-23,755.95
2015-09-24,756.4
2015-09-28,767.85
2015-09-29,757.6
2015-09-30,783.4
2015-10-01,772.45
2015-10-05,790.5
2015-10-06,787.8
2015-10-07,794.7
2015-10-08,787.5
2015-10-09,777.6
2015-10-12,785.1
2015-10-13,775.9
2015-10-14,772.45
2015-10-15,781.1
2015-10-16,791.45
2015-10-19,799.25
2015-10-20,801.6
2015-10-21,802.9
2015-10-23,802.55
2015-10-26,795.95
2015-10-27,791.1
2015-10-28,786.7
2015-10-29,782.4
2015-10-30,772.75
2015-11-02,755.55
2015-11-03,758.2
2015-11-04,760.25
2015-11-05,753.0
2015-11-06,753.8
2015-11-09,755.15
2015-11-10,750.05
2015-11-11,753.05
2015-11-13,750.35
2015-11-16,749.8
2015-11-17,749.25
2015-11-18,747.95
2015-11-19,746.2
2015-11-20,740.35
2015-11-23,735.0
2015-11-24,736.4
2015-11-26,734.75
2015-11-27,735.15
2015-11-30,740.2
2015-12-01,761.0
2015-12-02,775.15
2015-12-03,785.8
2015-12-04,779.75
2015-12-07,768.2
2015-12-08,768.55
2015-12-09,750.95
2015-12-10,753.0
2015-12-11,751.25
2015-12-14,753.45
2015-12-15,762.05
2015-12-16,754.35
2015-12-17,759.0
2015-12-18,756.8
2015-12-21,784.6
2015-12-22,795.7
2015-12-23,792.95
2015-12-24,793.9
2015-12-28,789.95
2015-12-29,780.5
2015-12-30,780.8
2015-12-31,776.6
