Date,ITC
2012-01-02,198.65
2012-01-03,200.35
2012-01-04,199.55
2012-01-05,199.8
2012-01-06,202.1
2012-01-07,201.65
2012-01-09,202.0
2012-01-10,205.15
2012-01-11,203.3
2012-01-12,204.95
2012-01-13,207.05
2012-01-16,209.1
2012-01-17,208.4
2012-01-18,209.8
2012-01-19,209.2
2012-01-20,201.3
2012-01-23,204.6
2012-01-24,205.95
2012-01-25,206.05
2012-01-27,201.8
2012-01-30,200.85
2012-01-31,203.95
2012-02-01,201.6
2012-02-02,199.05
2012-02-03,200.65
2012-02-06,202.4
2012-02-07,205.55
2012-02-08,204.45
2012-02-09,203.9
2012-02-10,203.8
2012-02-13,202.8
2012-02-14,202.55
2012-02-15,203.15
2012-02-16,203.95
2012-02-17,205.45
2012-02-21,207.4
2012-02-22,208.55
2012-02-23,208.6
2012-02-24,209.4
2012-02-27,212.3
2012-02-28,210.7
2012-02-29,207.65
2012-03-01,206.85
2012-03-02,205.25
2012-03-03,205.0
2012-03-05,207.0
2012-03-06,210.4
2012-03-07,209.95
2012-03-09,208.25
2012-03-12,206.8
2012-03-13,209.05
2012-03-14,212.5
2012-03-15,208.9
2012-03-16,216.15
2012-03-19,220.5
2012-03-20,223.6
2012-03-21,223.85
2012-03-22,219.7
2012-03-23,222.45
2012-03-26,222.7
2012-03-27,226.05
2012-03-28,226.8
2012-03-29,224.55
2012-03-30,226.9
2012-04-02,226.95
2012-04-03,227.1
2012-04-04,227.4
2012-04-09,224.05
2012-04-10,229.35
2012-04-11,229.75
2012-04-12,234.75
2012-04-13,236.25
2012-04-16,241.05
2012-04-17,246.2
2012-04-18,241.75
2012-04-19,244.05
2012-04-20,245.2
2012-04-23,244.75
2012-04-24,245.05
2012-04-25,245.95
2012-04-26,249.05
2012-04-27,245.8
2012-04-28,246.9
2012-04-30,245.5
2012-05-02,244.6
2012-05-03,241.7
2012-05-04,238.15
2012-05-07,236.35
2012-05-08,226.9
2012-05-09,239.9
2012-05-10,239.25
2012-05-11,234.25
2012-05-14,234.5
2012-05-15,230.85
2012-05-16,227.3
2012-05-17,234.75
2012-05-18,239.55
2012-05-21,234.85
2012-05-22,232.75
2012-05-23,231.7
2012-05-24,233.35
2012-05-25,231.85
2012-05-28,235.05
2012-05-29,230.9
2012-05-30,231.9
2012-05-31,229.35
2012-06-01,233.85
2012-06-04,230.1
2012-06-05,225.9
2012-06-06,234.55
2012-06-07,236.35
2012-06-08,239.2
2012-06-11,239.75
2012-06-12,243.05
2012-06-13,244.05
2012-06-14,244.7
2012-06-15,248.0
2012-06-18,243.2
2012-06-19,249.4
2012-06-20,246.05
2012-06-21,251.4
2012-06-22,250.5
2012-06-25,250.05
2012-06-26,247.05
2012-06-27,247.8
2012-06-28,251.3
2012-06-29,258.9
2012-07-02,250.05
2012-07-03,246.5
2012-07-04,246.15
2012-07-05,250.6
2012-07-06,252.75
2012-07-09,251.65
2012-07-09,251.65
2012-07-10,258.4
2012-07-11,253.3
2012-07-12,251.7
2012-07-13,253.55
2012-07-16,252.05
2012-07-17,255.5
2012-07-18,254.95
2012-07-19,254.1
2012-07-20,252.85
2012-07-23,249.55
2012-07-24,250.3
2012-07-25,254.75
2012-07-26,249.45
2012-07-27,254.95
2012-07-30,258.2
2012-07-31,258.15
2012-08-01,259.05
2012-08-02,261.45
2012-08-03,259.35
2012-08-06,258.4
2012-08-07,261.3
2012-08-08,261.55
2012-08-09,265.6
2012-08-10,267.75
2012-08-13,266.9
2012-08-14,267.8
2012-08-16,258.35
2012-08-17,262.1
2012-08-21,260.75
2012-08-22,261.65
2012-08-23,264.25
2012-08-24,265.15
2012-08-27,265.35
2012-08-28,268.15
2012-08-29,269.35
2012-08-30,270.6
2012-08-31,267.65
2012-09-03,267.6
2012-09-04,266.5
2012-09-05,267.75
2012-09-06,260.45
2012-09-07,262.75
2012-09-08,263.35
2012-09-10,264.65
2012-09-11,267.3
2012-09-12,269.3
2012-09-13,269.65
2012-09-14,268.25
2012-09-17,253.5
2012-09-18,254.2
2012-09-20,256.45
2012-09-21,261.6
2012-09-24,255.85
2012-09-25,260.8
2012-09-26,263.8
2012-09-27,266.95
2012-09-28,272.4
2012-10-01,273.25
2012-10-03,270.25
2012-10-04,275.3
2012-10-05,275.65
2012-10-08,277.75
2012-10-09,280.05
2012-10-10,281.0
2012-10-11,283.5
2012-10-12,283.5
2012-10-15,286.75
2012-10-16,286.45
2012-10-17,288.25
2012-10-18,291.6
2012-10-19,297.5
2012-10-22,294.0
2012-10-23,290.0
2012-10-25,292.05
2012-10-26,285.85
2012-10-29,288.25
2012-10-30,284.1
2012-10-31,282.55
2012-11-01,279.3
2012-11-02,283.2
2012-11-05,288.65
2012-11-06,289.15
2012-11-07,289.95
2012-11-08,289.0
2012-11-09,288.15
2012-11-12,283.8
2012-11-13,283.9
2012-11-15,276.45
2012-11-16,274.65
2012-11-19,281.7
2012-11-20,280.55
2012-11-21,286.1
2012-11-22,289.0
2012-11-23,286.6
2012-11-26,287.1
2012-11-27,294.25
2012-11-29,298.0
2012-11-30,298.5
2012-12-03,296.15
2012-12-04,295.15
2012-12-05,297.9
2012-12-06,301.35
2012-12-07,301.5
2012-12-10,301.95
2012-12-11,303.3
2012-12-12,305.95
2012-12-13,295.25
2012-12-14,295.95
2012-12-17,293.05
2012-12-18,293.1
2012-12-19,290.1
2012-12-20,287.1
2012-12-21,287.05
2012-12-24,287.05
2012-12-26,290.5
2012-12-27,288.4
2012-12-28,289.4
2012-12-31,286.8
