Date,SYNDIBANK
2012-01-02,69.25
2012-01-03,73.85
2012-01-04,76.35
2012-01-05,75.85
2012-01-06,77.0
2012-01-07,76.6
2012-01-09,77.95
2012-01-10,81.8
2012-01-11,82.3
2012-01-12,82.95
2012-01-13,83.8
2012-01-16,84.05
2012-01-17,86.55
2012-01-18,83.05
2012-01-19,84.0
2012-01-20,86.65
2012-01-23,90.5
2012-01-24,96.5
2012-01-25,96.95
2012-01-27,95.95
2012-01-30,92.85
2012-01-31,96.45
2012-02-01,97.8
2012-02-02,99.1
2012-02-03,101.1
2012-02-06,102.1
2012-02-07,106.7
2012-02-08,109.7
2012-02-09,111.25
2012-02-10,111.8
2012-02-13,115.45
2012-02-14,118.05
2012-02-15,116.7
2012-02-16,116.45
2012-02-17,116.4
2012-02-21,117.3
2012-02-22,106.75
2012-02-23,108.45
2012-02-24,111.35
2012-02-27,106.15
2012-02-28,110.65
2012-02-29,110.1
2012-03-01,109.3
2012-03-02,109.65
2012-03-03,109.05
2012-03-05,110.75
2012-03-06,107.75
2012-03-07,110.45
2012-03-09,115.55
2012-03-12,118.7
2012-03-13,119.15
2012-03-14,119.75
2012-03-15,112.75
2012-03-16,112.75
2012-03-19,110.55
2012-03-20,112.4
2012-03-21,115.15
2012-03-22,109.8
2012-03-23,110.95
2012-03-26,108.3
2012-03-27,108.95
2012-03-28,106.8
2012-03-29,105.9
2012-03-30,111.05
2012-04-02,112.25
2012-04-03,112.85
2012-04-04,112.45
2012-04-09,108.25
2012-04-10,111.6
2012-04-11,112.0
2012-04-12,113.7
2012-04-13,109.6
2012-04-16,113.15
2012-04-17,111.95
2012-04-18,110.8
2012-04-19,110.3
2012-04-20,109.4
2012-04-23,106.15
2012-04-24,106.95
2012-04-25,102.25
2012-04-26,98.0
2012-04-27,98.8
2012-04-28,100.7
2012-04-30,104.1
2012-05-02,105.2
2012-05-03,103.3
2012-05-04,96.8
2012-05-07,98.55
2012-05-08,94.65
2012-05-09,91.3
2012-05-10,90.8
2012-05-11,90.45
2012-05-14,90.0
2012-05-15,90.5
2012-05-16,87.5
2012-05-17,86.8
2012-05-18,88.65
2012-05-21,88.75
2012-05-22,86.05
2012-05-23,85.8
2012-05-24,87.85
2012-05-25,89.1
2012-05-28,92.9
2012-05-29,92.1
2012-05-30,88.35
2012-05-31,92.7
2012-06-01,89.25
2012-06-04,91.7
2012-06-05,92.65
2012-06-06,95.7
2012-06-07,95.95
2012-06-08,97.0
2012-06-11,100.1
2012-06-12,102.25
2012-06-13,102.4
2012-06-14,101.3
2012-06-15,103.4
2012-06-18,99.05
2012-06-19,100.1
2012-06-20,100.7
2012-06-21,102.8
2012-06-22,103.1
2012-06-25,103.1
2012-06-26,103.6
2012-06-27,104.95
2012-06-28,104.75
2012-06-29,106.95
2012-07-02,106.4
2012-07-03,107.3
2012-07-04,108.3
2012-07-05,110.15
2012-07-06,109.15
2012-07-09,108.15
2012-07-10,110.25
2012-07-11,106.0
2012-07-12,104.0
2012-07-13,104.05
2012-07-16,103.05
2012-07-17,102.4
2012-07-18,101.6
2012-07-19,101.5
2012-07-20,100.2
2012-07-23,98.3
2012-07-24,98.75
2012-07-25,97.95
2012-07-26,94.65
2012-07-27,92.2
2012-07-30,97.7
2012-07-31,98.1
2012-08-01,99.25
2012-08-02,98.4
2012-08-03,96.6
2012-08-06,96.85
2012-08-07,97.6
2012-08-08,96.05
2012-08-09,94.75
2012-08-10,93.9
2012-08-13,94.45
2012-08-14,97.2
2012-08-16,97.6
2012-08-17,96.15
2012-08-21,97.5
2012-08-22,96.0
2012-08-23,95.3
2012-08-24,94.75
2012-08-27,93.3
2012-08-28,92.35
2012-08-29,92.55
2012-08-30,94.15
2012-08-31,93.05
2012-09-03,93.6
2012-09-04,96.3
2012-09-05,94.35
2012-09-06,94.0
2012-09-07,94.55
2012-09-08,95.25
2012-09-10,94.65
2012-09-11,93.95
2012-09-12,93.6
2012-09-13,92.65
2012-09-14,95.55
2012-09-17,98.8
2012-09-18,102.55
2012-09-20,102.1
2012-09-21,105.2
2012-09-24,103.4
2012-09-25,103.4
2012-09-26,106.6
2012-09-27,107.05
2012-09-28,108.75
2012-10-01,112.75
2012-10-03,111.65
2012-10-04,113.45
2012-10-05,113.1
2012-10-08,111.4
2012-10-09,115.85
2012-10-10,114.0
2012-10-11,114.8
2012-10-12,115.45
2012-10-15,120.25
2012-10-16,120.4
2012-10-17,118.55
2012-10-18,123.85
2012-10-19,123.55
2012-10-22,121.8
2012-10-23,122.1
2012-10-25,121.8
2012-10-26,118.75
2012-10-29,120.0
2012-10-30,115.65
2012-10-31,117.65
2012-11-01,118.1
2012-11-02,120.9
2012-11-05,119.75
2012-11-06,119.75
2012-11-07,121.3
2012-11-08,125.75
2012-11-09,124.15
2012-11-12,123.35
2012-11-13,122.8
2012-11-15,123.25
2012-11-16,119.3
2012-11-19,117.8
2012-11-20,116.4
2012-11-21,118.55
2012-11-22,118.5
2012-11-23,119.2
2012-11-26,120.2
2012-11-27,121.1
2012-11-29,122.95
2012-11-30,127.6
2012-12-03,126.8
2012-12-04,125.25
2012-12-05,127.6
2012-12-06,132.8
2012-12-07,130.6
2012-12-10,135.35
2012-12-11,130.7
2012-12-12,132.15
2012-12-13,127.85
2012-12-14,131.2
2012-12-17,131.6
2012-12-18,133.65
2012-12-19,132.1
2012-12-20,131.95
2012-12-21,127.9
2012-12-24,127.9
2012-12-26,127.75
2012-12-27,127.75
2012-12-28,127.95
2012-12-31,128.2
