Date,GARDENSILK
2012-01-02,52.6
2012-01-03,54.4
2012-01-04,55.5
2012-01-05,54.25
2012-01-06,55.0
2012-01-07,55.85
2012-01-09,55.65
2012-01-10,57.45
2012-01-11,59.0
2012-01-12,59.35
2012-01-13,59.85
2012-01-16,59.35
2012-01-17,62.6
2012-01-18,60.95
2012-01-19,61.5
2012-01-20,61.7
2012-01-23,61.3
2012-01-24,62.25
2012-01-25,62.9
2012-01-27,64.95
2012-01-30,63.5
2012-01-31,65.7
2012-02-01,66.55
2012-02-02,66.3
2012-02-03,68.3
2012-02-06,70.45
2012-02-07,69.85
2012-02-08,69.35
2012-02-09,70.1
2012-02-10,69.65
2012-02-13,62.7
2012-02-14,61.9
2012-02-15,63.05
2012-02-16,67.95
2012-02-17,66.3
2012-02-21,64.5
2012-02-22,62.15
2012-02-23,61.1
2012-02-24,60.55
2012-02-27,58.5
2012-02-28,59.05
2012-02-29,60.45
2012-03-01,60.45
2012-03-02,59.75
2012-03-03,60.0
2012-03-05,59.0
2012-03-06,57.9
2012-03-07,58.0
2012-03-09,58.5
2012-03-12,58.2
2012-03-13,59.0
2012-03-14,58.25
2012-03-15,57.1
2012-03-16,56.25
2012-03-19,55.85
2012-03-20,55.25
2012-03-21,57.05
2012-03-22,55.15
2012-03-23,55.15
2012-03-26,54.6
2012-03-27,54.75
2012-03-28,54.25
2012-03-29,54.25
2012-03-30,58.25
2012-04-02,61.85
2012-04-03,62.15
2012-04-04,62.5
2012-04-09,61.7
2012-04-10,60.5
2012-04-11,60.7
2012-04-12,60.25
2012-04-13,58.8
2012-04-16,59.85
2012-04-17,59.0
2012-04-18,58.15
2012-04-19,58.15
2012-04-20,57.0
2012-04-23,56.05
2012-04-24,55.45
2012-04-25,55.7
2012-04-26,54.35
2012-04-27,53.15
2012-04-28,53.25
2012-04-30,53.45
2012-05-02,54.8
2012-05-03,54.0
2012-05-04,52.05
2012-05-07,53.45
2012-05-08,51.65
2012-05-09,51.6
2012-05-10,50.05
2012-05-11,49.15
2012-05-14,47.85
2012-05-15,48.65
2012-05-16,47.95
2012-05-17,46.95
2012-05-18,45.65
2012-05-21,44.1
2012-05-22,42.9
2012-05-23,41.5
2012-05-24,42.35
2012-05-25,43.2
2012-05-28,44.6
2012-05-29,44.55
2012-05-30,42.55
2012-05-31,42.2
2012-06-01,41.6
2012-06-04,40.6
2012-06-05,42.0
2012-06-06,42.8
2012-06-07,42.65
2012-06-08,42.7
2012-06-11,43.0
2012-06-12,42.5
2012-06-13,43.0
2012-06-14,42.7
2012-06-15,43.05
2012-06-18,42.05
2012-06-19,42.4
2012-06-20,42.65
2012-06-21,43.05
2012-06-22,42.9
2012-06-25,43.55
2012-06-26,44.0
2012-06-27,43.95
2012-06-28,44.5
2012-06-29,45.8
2012-07-02,50.9
2012-07-03,52.9
2012-07-04,50.75
2012-07-05,51.1
2012-07-06,50.3
2012-07-09,50.3
2012-07-09,50.3
2012-07-10,50.9
2012-07-11,50.6
2012-07-12,50.1
2012-07-13,49.65
2012-07-16,48.85
2012-07-17,54.3
2012-07-18,56.45
2012-07-19,58.5
2012-07-20,53.65
2012-07-23,54.8
2012-07-24,56.85
2012-07-25,51.75
2012-07-26,49.95
2012-07-27,48.25
2012-07-30,47.5
2012-07-31,46.65
2012-08-01,46.6
2012-08-02,48.2
2012-08-03,47.25
2012-08-06,48.0
2012-08-07,47.85
2012-08-08,46.9
2012-08-09,46.75
2012-08-10,46.3
2012-08-13,46.5
2012-08-14,45.85
2012-08-16,46.15
2012-08-17,46.4
2012-08-21,47.25
2012-08-22,46.9
2012-08-23,46.3
2012-08-24,45.25
2012-08-27,44.45
2012-08-28,45.0
2012-08-29,43.45
2012-08-30,44.2
2012-08-31,45.15
2012-09-03,45.9
2012-09-04,46.1
2012-09-05,47.15
2012-09-06,47.0
2012-09-07,48.0
2012-09-08,47.9
2012-09-10,48.15
2012-09-11,48.05
2012-09-12,53.6
2012-09-13,50.1
2012-09-14,50.95
2012-09-17,51.65
2012-09-18,51.8
2012-09-20,51.2
2012-09-21,52.45
2012-09-24,52.0
2012-09-25,52.7
2012-09-26,53.35
2012-09-27,53.95
2012-09-28,53.45
2012-10-01,55.2
2012-10-03,55.3
2012-10-04,56.0
2012-10-05,55.0
2012-10-08,54.85
2012-10-09,55.2
2012-10-10,54.15
2012-10-11,54.3
2012-10-12,54.95
2012-10-15,55.25
2012-10-16,55.0
2012-10-17,55.6
2012-10-18,58.0
2012-10-19,59.25
2012-10-22,59.95
2012-10-23,58.6
2012-10-25,58.55
2012-10-26,58.55
2012-10-29,58.5
2012-10-30,67.1
2012-10-31,65.8
2012-11-01,63.45
2012-11-02,62.25
2012-11-05,62.4
2012-11-06,62.2
2012-11-07,61.65
2012-11-08,60.0
2012-11-09,58.45
2012-11-12,58.2
2012-11-13,58.5
2012-11-15,57.1
2012-11-16,57.45
2012-11-19,57.5
2012-11-20,57.05
2012-11-21,57.45
2012-11-22,57.1
2012-11-23,57.3
2012-11-26,56.55
2012-11-27,59.85
2012-11-29,58.25
2012-11-30,59.45
2012-12-03,59.0
2012-12-04,58.25
2012-12-05,58.8
2012-12-06,58.95
2012-12-07,58.5
2012-12-10,58.55
2012-12-11,58.15
2012-12-12,58.0
2012-12-13,57.0
2012-12-14,58.0
2012-12-17,58.0
2012-12-18,58.3
2012-12-19,59.25
2012-12-20,59.15
2012-12-21,59.5
2012-12-24,59.65
2012-12-26,59.95
2012-12-27,60.05
2012-12-28,60.3
2012-12-31,61.1
