Date,BOMDYEING
2012-01-02,343.9
2012-01-03,359.35
2012-01-04,355.6
2012-01-05,362.4
2012-01-06,377.55
2012-01-07,379.95
2012-01-09,382.25
2012-01-10,390.4
2012-01-11,401.15
2012-01-12,397.7
2012-01-13,398.45
2012-01-16,389.1
2012-01-17,398.6
2012-01-18,435.65
2012-01-19,450.85
2012-01-20,445.6
2012-01-23,423.9
2012-01-24,423.75
2012-01-25,424.8
2012-01-27,411.0
2012-01-30,405.4
2012-01-31,418.65
2012-02-01,425.65
2012-02-02,418.2
2012-02-03,426.6
2012-02-06,431.15
2012-02-07,441.25
2012-02-08,446.6
2012-02-09,447.5
2012-02-10,447.2
2012-02-13,430.7
2012-02-14,431.2
2012-02-15,440.9
2012-02-16,458.55
2012-02-17,464.3
2012-02-21,474.4
2012-02-22,458.65
2012-02-23,467.75
2012-02-24,454.6
2012-02-27,426.85
2012-02-28,451.8
2012-02-29,459.45
2012-03-01,465.25
2012-03-02,460.25
2012-03-03,457.25
2012-03-05,449.6
2012-03-06,434.8
2012-03-07,426.95
2012-03-09,434.15
2012-03-12,462.35
2012-03-13,531.0
2012-03-14,520.3
2012-03-15,512.6
2012-03-16,521.75
2012-03-19,504.95
2012-03-20,509.05
2012-03-21,538.6
2012-03-22,529.6
2012-03-23,535.6
2012-03-26,523.1
2012-03-27,563.9
2012-03-28,565.75
2012-03-29,562.95
2012-03-30,580.2
2012-04-02,582.15
2012-04-03,585.2
2012-04-04,580.15
2012-04-09,564.3
2012-04-10,569.6
2012-04-11,562.85
2012-04-12,558.35
2012-04-13,551.0
2012-04-16,555.55
2012-04-17,569.05
2012-04-18,564.95
2012-04-19,568.3
2012-04-20,548.3
2012-04-23,517.45
2012-04-24,512.05
2012-04-25,516.35
2012-04-26,517.6
2012-04-27,522.55
2012-04-28,522.55
2012-04-30,522.0
2012-05-02,514.0
2012-05-03,513.0
2012-05-04,498.05
2012-05-07,499.1
2012-05-08,478.75
2012-05-09,457.2
2012-05-10,446.7
2012-05-11,446.7
2012-05-14,401.85
2012-05-15,423.95
2012-05-16,420.95
2012-05-17,414.15
2012-05-18,415.0
2012-05-21,447.1
2012-05-22,432.6
2012-05-23,431.25
2012-05-24,442.6
2012-05-25,444.55
2012-05-28,475.35
2012-05-29,478.35
2012-05-30,475.65
2012-05-31,481.1
2012-06-01,459.35
2012-06-04,450.8
2012-06-05,449.85
2012-06-06,466.9
2012-06-07,481.1
2012-06-08,478.65
2012-06-11,496.15
2012-06-12,502.85
2012-06-13,504.7
2012-06-14,492.0
2012-06-15,496.25
2012-06-18,480.5
2012-06-19,498.7
2012-06-20,494.45
2012-06-21,505.2
2012-06-22,512.6
2012-06-25,518.1
2012-06-26,523.9
2012-06-27,520.85
2012-06-28,519.6
2012-06-29,537.6
2012-07-02,539.4
2012-07-03,543.5
2012-07-04,538.8
2012-07-05,559.25
2012-07-06,548.7
2012-07-09,549.2
2012-07-09,549.2
2012-07-10,551.1
2012-07-11,550.85
2012-07-12,542.0
2012-07-13,535.75
2012-07-16,524.05
2012-07-17,516.2
2012-07-18,531.25
2012-07-19,524.7
2012-07-20,529.8
2012-07-23,517.65
2012-07-24,518.45
2012-07-25,507.95
2012-07-26,488.85
2012-07-27,481.35
2012-07-30,494.85
2012-07-31,502.85
2012-08-01,504.1
2012-08-02,505.7
2012-08-03,500.1
2012-08-06,528.25
2012-08-07,524.45
2012-08-08,506.75
2012-08-09,507.9
2012-08-10,494.85
2012-08-13,495.8
2012-08-14,501.1
2012-08-16,504.05
2012-08-17,497.05
2012-08-21,500.5
2012-08-22,494.5
2012-08-23,489.85
2012-08-24,481.95
2012-08-27,471.7
2012-08-28,455.6
2012-08-29,442.9
2012-08-30,441.4
2012-08-31,434.55
2012-09-03,427.8
2012-09-04,421.75
2012-09-05,427.35
2012-09-06,428.6
2012-09-07,441.15
2012-09-08,439.45
2012-09-10,443.65
2012-09-11,441.1
2012-09-12,434.15
2012-09-13,435.8
2012-09-14,451.45
2012-09-17,472.3
2012-09-18,473.75
2012-09-20,454.5
2012-09-21,455.8
2012-09-24,466.15
2012-09-25,504.45
2012-09-26,494.8
2012-09-27,491.5
2012-09-28,492.95
2012-10-01,491.05
2012-10-03,485.0
2012-10-04,509.8
2012-10-05,538.75
2012-10-08,553.9
2012-10-09,552.75
2012-10-10,524.35
2012-10-11,534.45
2012-10-12,570.85
2012-10-15,542.0
2012-10-16,541.45
2012-10-17,540.3
2012-10-18,548.9
2012-10-19,537.7
2012-10-22,539.95
2012-10-23,546.9
2012-10-25,541.95
2012-10-26,534.1
2012-10-29,532.5
2012-10-30,110.2
2012-10-31,112.1
2012-11-01,111.6
2012-11-02,111.0
2012-11-05,110.85
2012-11-06,113.25
2012-11-07,115.0
2012-11-08,116.75
2012-11-09,114.55
2012-11-12,113.05
2012-11-13,113.75
2012-11-15,114.75
2012-11-16,113.1
2012-11-19,112.2
2012-11-20,111.2
2012-11-21,111.3
2012-11-22,111.0
2012-11-23,109.85
2012-11-26,111.65
2012-11-27,116.05
2012-11-29,125.45
2012-11-30,126.9
2012-12-03,131.95
2012-12-04,131.3
2012-12-05,132.05
2012-12-06,133.15
2012-12-07,131.25
2012-12-10,129.55
2012-12-11,125.4
2012-12-12,126.35
2012-12-13,123.85
2012-12-14,124.15
2012-12-17,122.9
2012-12-18,131.25
2012-12-19,130.05
2012-12-20,134.95
2012-12-21,135.2
2012-12-24,132.35
2012-12-26,133.9
2012-12-27,132.65
2012-12-28,133.15
2012-12-31,135.8
