Date,HANUNG
2012-01-02,101.45
2012-01-03,106.2
2012-01-04,103.05
2012-01-05,102.95
2012-01-06,109.4
2012-01-07,108.4
2012-01-09,110.2
2012-01-10,116.65
2012-01-11,113.45
2012-01-12,114.1
2012-01-13,120.2
2012-01-16,124.35
2012-01-17,128.2
2012-01-18,124.35
2012-01-19,124.7
2012-01-20,122.25
2012-01-23,124.8
2012-01-24,124.55
2012-01-25,123.8
2012-01-27,124.85
2012-01-30,120.5
2012-01-31,123.7
2012-02-01,125.15
2012-02-02,125.35
2012-02-03,125.0
2012-02-06,129.05
2012-02-07,126.05
2012-02-08,126.2
2012-02-09,126.85
2012-02-10,128.45
2012-02-13,130.25
2012-02-14,143.05
2012-02-15,146.1
2012-02-16,142.05
2012-02-17,140.65
2012-02-21,144.25
2012-02-22,137.3
2012-02-23,133.4
2012-02-24,131.5
2012-02-27,120.8
2012-02-28,134.25
2012-02-29,134.4
2012-03-01,133.15
2012-03-02,132.6
2012-03-03,132.65
2012-03-05,129.1
2012-03-06,127.8
2012-03-07,126.35
2012-03-09,128.75
2012-03-12,127.35
2012-03-13,132.4
2012-03-14,132.75
2012-03-15,131.4
2012-03-16,127.6
2012-03-19,125.5
2012-03-20,127.4
2012-03-21,128.9
2012-03-22,125.6
2012-03-23,127.25
2012-03-26,124.5
2012-03-27,127.15
2012-03-28,124.1
2012-03-29,124.05
2012-03-30,126.85
2012-04-02,128.9
2012-04-03,128.6
2012-04-04,127.9
2012-04-09,149.5
2012-04-10,148.1
2012-04-11,146.5
2012-04-12,150.4
2012-04-13,144.45
2012-04-16,148.15
2012-04-17,147.7
2012-04-18,146.7
2012-04-19,146.6
2012-04-20,142.65
2012-04-23,134.85
2012-04-24,135.1
2012-04-25,139.45
2012-04-26,138.25
2012-04-27,135.3
2012-04-28,134.65
2012-04-30,139.5
2012-05-02,137.0
2012-05-03,134.2
2012-05-04,130.0
2012-05-07,128.35
2012-05-08,126.6
2012-05-09,131.05
2012-05-10,128.1
2012-05-11,122.1
2012-05-14,121.4
2012-05-15,122.7
2012-05-16,116.85
2012-05-17,116.5
2012-05-18,115.1
2012-05-21,116.55
2012-05-22,118.2
2012-05-23,116.1
2012-05-24,118.15
2012-05-25,118.25
2012-05-28,119.65
2012-05-29,120.5
2012-05-30,117.1
2012-05-31,116.15
2012-06-01,113.35
2012-06-04,112.5
2012-06-05,116.45
2012-06-06,119.75
2012-06-07,119.7
2012-06-08,117.85
2012-06-11,118.7
2012-06-12,118.9
2012-06-13,119.8
2012-06-14,118.35
2012-06-15,118.45
2012-06-18,116.85
2012-06-19,116.55
2012-06-20,117.4
2012-06-21,118.65
2012-06-22,121.35
2012-06-25,120.5
2012-06-26,119.35
2012-06-27,121.4
2012-06-28,120.95
2012-06-29,122.2
2012-07-02,124.65
2012-07-03,124.7
2012-07-04,130.0
2012-07-05,131.95
2012-07-06,130.0
2012-07-09,127.5
2012-07-09,127.5
2012-07-10,129.85
2012-07-11,127.1
2012-07-12,124.85
2012-07-13,125.4
2012-07-16,124.5
2012-07-17,123.2
2012-07-18,125.15
2012-07-19,128.6
2012-07-20,133.05
2012-07-23,126.85
2012-07-24,126.55
2012-07-25,122.9
2012-07-26,117.4
2012-07-27,115.95
2012-07-30,117.7
2012-07-31,118.15
2012-08-01,119.65
2012-08-02,121.6
2012-08-03,119.45
2012-08-06,121.55
2012-08-07,122.5
2012-08-08,123.8
2012-08-09,121.45
2012-08-10,118.3
2012-08-13,117.65
2012-08-14,118.0
2012-08-16,117.9
2012-08-17,117.85
2012-08-21,117.8
2012-08-22,115.85
2012-08-23,116.65
2012-08-24,114.65
2012-08-27,114.1
2012-08-28,111.5
2012-08-29,110.1
2012-08-30,108.9
2012-08-31,106.9
2012-09-03,108.85
2012-09-04,108.2
2012-09-05,107.25
2012-09-06,107.2
2012-09-07,120.45
2012-09-08,120.25
2012-09-10,118.15
2012-09-11,115.8
2012-09-12,117.2
2012-09-13,118.3
2012-09-14,117.6
2012-09-17,118.8
2012-09-18,120.3
2012-09-20,120.9
2012-09-21,122.2
2012-09-24,120.6
2012-09-25,123.85
2012-09-26,122.65
2012-09-27,121.7
2012-09-28,122.1
2012-10-01,123.2
2012-10-03,124.7
2012-10-04,126.25
2012-10-05,123.7
2012-10-08,124.1
2012-10-09,126.7
2012-10-10,124.8
2012-10-11,124.3
2012-10-12,123.15
2012-10-15,122.2
2012-10-16,121.2
2012-10-17,120.95
2012-10-18,122.15
2012-10-19,120.3
2012-10-22,121.7
2012-10-23,120.65
2012-10-25,132.0
2012-10-26,128.95
2012-10-29,132.5
2012-10-30,132.55
2012-10-31,135.9
2012-11-01,135.15
2012-11-02,139.1
2012-11-05,140.55
2012-11-06,138.85
2012-11-07,141.05
2012-11-08,146.95
2012-11-09,152.95
2012-11-12,148.9
2012-11-13,158.75
2012-11-15,154.65
2012-11-16,147.35
2012-11-19,145.2
2012-11-20,139.0
2012-11-21,139.65
2012-11-22,144.1
2012-11-23,142.35
2012-11-26,144.6
2012-11-27,163.65
2012-11-29,161.6
2012-11-30,165.85
2012-12-03,165.9
2012-12-04,167.6
2012-12-05,170.75
2012-12-06,174.7
2012-12-07,170.6
2012-12-10,170.95
2012-12-11,170.25
2012-12-12,173.2
2012-12-13,166.65
2012-12-14,164.7
2012-12-17,164.3
2012-12-18,164.6
2012-12-19,170.75
2012-12-20,171.1
2012-12-21,164.2
2012-12-24,163.55
2012-12-26,160.8
2012-12-27,159.9
2012-12-28,160.35
2012-12-31,160.05
