Date,ROHLTD
2012-01-02,45.25
2012-01-03,46.2
2012-01-04,46.4
2012-01-05,45.8
2012-01-06,46.7
2012-01-07,45.5
2012-01-09,46.45
2012-01-10,47.6
2012-01-11,48.0
2012-01-12,50.25
2012-01-13,50.2
2012-01-16,50.0
2012-01-17,49.8
2012-01-18,49.3
2012-01-19,49.6
2012-01-20,49.1
2012-01-23,49.75
2012-01-24,49.25
2012-01-25,50.5
2012-01-27,49.95
2012-01-30,49.3
2012-01-31,49.2
2012-02-01,49.85
2012-02-02,50.75
2012-02-03,50.65
2012-02-06,52.95
2012-02-07,51.55
2012-02-08,51.75
2012-02-09,51.95
2012-02-10,52.4
2012-02-13,53.0
2012-02-14,49.9
2012-02-15,52.2
2012-02-16,52.85
2012-02-17,53.5
2012-02-21,53.55
2012-02-22,51.85
2012-02-23,50.45
2012-02-24,50.55
2012-02-27,49.0
2012-02-28,49.55
2012-02-29,49.6
2012-03-01,49.9
2012-03-02,49.5
2012-03-03,55.8
2012-03-05,53.65
2012-03-06,52.9
2012-03-07,50.0
2012-03-09,50.7
2012-03-12,50.6
2012-03-13,51.25
2012-03-14,50.6
2012-03-15,49.5
2012-03-16,48.8
2012-03-19,49.4
2012-03-20,48.85
2012-03-21,49.55
2012-03-22,49.15
2012-03-23,48.65
2012-03-26,48.65
2012-03-27,48.65
2012-03-28,47.4
2012-03-29,46.8
2012-03-30,48.7
2012-04-02,49.3
2012-04-03,49.75
2012-04-04,50.15
2012-04-09,49.65
2012-04-10,48.8
2012-04-11,49.05
2012-04-12,48.95
2012-04-13,48.35
2012-04-16,49.15
2012-04-17,50.4
2012-04-18,53.1
2012-04-19,53.25
2012-04-20,52.3
2012-04-23,50.65
2012-04-24,50.25
2012-04-25,47.85
2012-04-26,47.85
2012-04-27,47.85
2012-04-28,47.3
2012-04-30,45.95
2012-05-02,47.0
2012-05-03,46.95
2012-05-04,46.1
2012-05-07,45.9
2012-05-08,44.7
2012-05-09,43.95
2012-05-10,44.25
2012-05-11,44.05
2012-05-14,44.2
2012-05-15,44.0
2012-05-16,43.4
2012-05-17,44.45
2012-05-18,44.45
2012-05-21,43.75
2012-05-22,44.15
2012-05-23,43.0
2012-05-24,43.6
2012-05-25,43.4
2012-05-28,44.35
2012-05-29,44.25
2012-05-30,42.9
2012-05-31,42.3
2012-06-01,42.25
2012-06-04,42.25
2012-06-05,42.4
2012-06-06,42.5
2012-06-07,42.85
2012-06-08,42.75
2012-06-11,43.3
2012-06-12,43.45
2012-06-13,43.05
2012-06-14,42.6
2012-06-15,42.65
2012-06-18,42.65
2012-06-19,42.4
2012-06-20,43.0
2012-06-21,43.05
2012-06-22,43.0
2012-06-25,43.45
2012-06-26,44.55
2012-06-27,43.8
2012-06-28,44.0
2012-06-29,44.1
2012-07-02,44.65
2012-07-03,44.05
2012-07-04,45.45
2012-07-05,46.5
2012-07-06,46.05
2012-07-09,45.25
2012-07-10,44.85
2012-07-11,45.3
2012-07-12,44.95
2012-07-13,46.55
2012-07-16,45.95
2012-07-17,45.95
2012-07-18,44.95
2012-07-19,45.05
2012-07-20,45.7
2012-07-23,44.45
2012-07-24,44.1
2012-07-25,44.75
2012-07-26,44.0
2012-07-27,43.05
2012-07-30,43.55
2012-07-31,44.8
2012-08-01,44.2
2012-08-02,43.75
2012-08-03,42.85
2012-08-06,43.1
2012-08-07,44.95
2012-08-08,45.35
2012-08-09,45.15
2012-08-10,45.8
2012-08-13,45.15
2012-08-14,44.9
2012-08-16,44.8
2012-08-17,44.55
2012-08-21,45.0
2012-08-22,45.55
2012-08-23,45.15
2012-08-24,45.2
2012-08-27,45.0
2012-08-28,44.1
2012-08-29,44.1
2012-08-30,43.85
2012-08-31,43.85
2012-09-03,43.4
2012-09-04,43.35
2012-09-05,44.0
2012-09-06,45.1
2012-09-07,44.65
2012-09-08,45.0
2012-09-10,44.6
2012-09-11,44.35
2012-09-12,44.2
2012-09-13,47.4
2012-09-14,47.85
2012-09-17,46.25
2012-09-18,46.35
2012-09-20,45.9
2012-09-21,46.1
2012-09-24,45.65
2012-09-25,46.45
2012-09-26,47.8
2012-09-27,50.9
2012-09-28,48.8
2012-10-01,49.0
2012-10-03,49.25
2012-10-04,49.5
2012-10-05,47.9
2012-10-08,49.9
2012-10-09,49.25
2012-10-10,48.1
2012-10-11,48.15
2012-10-12,48.7
2012-10-15,48.65
2012-10-16,47.95
2012-10-17,48.0
2012-10-18,48.1
2012-10-19,48.3
2012-10-22,47.35
2012-10-23,47.2
2012-10-25,47.05
2012-10-26,46.85
2012-10-29,46.65
2012-10-30,45.8
2012-10-31,46.0
2012-11-01,45.55
2012-11-02,45.6
2012-11-05,45.15
2012-11-06,44.75
2012-11-07,45.2
2012-11-08,44.85
2012-11-09,44.2
2012-11-12,44.7
2012-11-13,44.3
2012-11-15,44.15
2012-11-16,44.3
2012-11-19,44.7
2012-11-20,43.65
2012-11-21,43.15
2012-11-22,43.0
2012-11-23,43.1
2012-11-26,43.2
2012-11-27,43.75
2012-11-29,44.4
2012-11-30,44.55
2012-12-03,46.0
2012-12-04,46.35
2012-12-05,46.45
2012-12-06,46.45
2012-12-07,45.25
2012-12-10,45.5
2012-12-11,45.45
2012-12-12,45.2
2012-12-13,44.15
2012-12-14,44.0
2012-12-17,44.4
2012-12-18,44.45
2012-12-19,43.95
2012-12-20,44.1
2012-12-21,43.35
2012-12-24,43.8
2012-12-26,44.0
2012-12-27,44.2
2012-12-28,43.85
2012-12-31,43.3
