Date,GOENKA
2012-01-02,31.2
2012-01-03,32.9
2012-01-04,32.85
2012-01-05,33.25
2012-01-06,33.85
2012-01-07,33.7
2012-01-09,33.65
2012-01-10,39.1
2012-01-11,35.95
2012-01-12,36.4
2012-01-13,39.9
2012-01-16,46.85
2012-01-17,46.6
2012-01-18,46.5
2012-01-19,44.7
2012-01-20,44.5
2012-01-23,51.65
2012-01-24,54.85
2012-01-25,53.85
2012-01-27,56.1
2012-01-30,53.6
2012-01-31,55.55
2012-02-01,55.8
2012-02-02,56.95
2012-02-03,54.95
2012-02-06,55.05
2012-02-07,57.5
2012-02-08,58.3
2012-02-09,58.9
2012-02-10,57.25
2012-02-13,57.1
2012-02-14,57.2
2012-02-15,56.75
2012-02-16,54.0
2012-02-17,53.2
2012-02-21,55.4
2012-02-22,53.55
2012-02-23,53.15
2012-02-24,52.15
2012-02-27,49.45
2012-02-28,50.85
2012-02-29,55.75
2012-03-01,59.85
2012-03-02,65.8
2012-03-03,67.5
2012-03-05,66.8
2012-03-06,63.5
2012-03-07,60.45
2012-03-09,59.95
2012-03-12,61.0
2012-03-13,63.9
2012-03-14,67.05
2012-03-15,67.1
2012-03-16,64.25
2012-03-19,65.9
2012-03-20,66.65
2012-03-21,68.45
2012-03-22,67.6
2012-03-23,70.65
2012-03-26,74.15
2012-03-27,76.5
2012-03-28,76.85
2012-03-29,76.6
2012-03-30,78.6
2012-04-02,82.45
2012-04-03,86.55
2012-04-04,85.3
2012-04-09,88.0
2012-04-10,92.15
2012-04-11,93.05
2012-04-12,97.7
2012-04-13,102.0
2012-04-16,101.9
2012-04-17,101.3
2012-04-18,100.25
2012-04-19,99.25
2012-04-20,104.05
2012-04-23,109.25
2012-04-24,110.05
2012-04-25,110.3
2012-04-26,108.55
2012-04-27,107.15
2012-04-28,107.95
2012-04-30,111.8
2012-05-02,116.25
2012-05-03,115.65
2012-05-04,118.9
2012-05-07,124.8
2012-05-08,130.55
2012-05-09,130.25
2012-05-10,136.15
2012-05-11,133.4
2012-05-14,131.85
2012-05-15,130.0
2012-05-16,127.8
2012-05-17,127.75
2012-05-18,127.75
2012-05-21,136.05
2012-05-22,136.25
2012-05-23,133.85
2012-05-24,137.15
2012-05-25,138.45
2012-05-28,136.9
2012-05-29,138.8
2012-05-30,139.0
2012-05-31,138.95
2012-06-01,134.05
2012-06-04,141.35
2012-06-05,144.05
2012-06-06,147.35
2012-06-07,150.55
2012-06-08,156.55
2012-06-11,158.1
2012-06-12,163.3
2012-06-13,174.05
2012-06-14,171.3
2012-06-15,171.5
2012-06-18,173.8
2012-06-19,177.95
2012-06-20,177.45
2012-06-21,175.25
2012-06-22,172.85
2012-06-25,170.5
2012-06-26,176.95
2012-06-27,176.3
2012-06-28,182.35
2012-06-29,182.3
2012-07-02,182.35
2012-07-03,184.25
2012-07-04,189.3
2012-07-05,192.75
2012-07-06,200.35
2012-07-09,160.9
2012-07-09,160.9
2012-07-10,173.75
2012-07-11,173.3
2012-07-12,182.95
2012-07-13,187.35
2012-07-16,193.6
2012-07-17,191.9
2012-07-18,192.75
2012-07-19,193.7
2012-07-20,189.05
2012-07-23,187.95
2012-07-24,187.15
2012-07-25,193.35
2012-07-26,181.0
2012-07-27,179.6
2012-07-30,189.5
2012-07-31,194.2
2012-08-01,203.95
2012-08-02,204.0
2012-08-03,206.35
2012-08-06,208.5
2012-08-07,208.35
2012-08-08,208.0
2012-08-09,209.05
2012-08-10,209.85
2012-08-13,208.7
2012-08-14,211.7
2012-08-16,216.2
2012-08-17,214.1
2012-08-21,220.1
2012-08-22,219.7
2012-08-23,220.8
2012-08-24,222.35
2012-08-27,221.1
2012-08-28,214.25
2012-08-29,213.7
2012-08-30,212.05
2012-08-31,210.25
2012-09-03,205.15
2012-09-04,205.25
2012-09-05,206.4
2012-09-06,210.35
2012-09-07,209.1
2012-09-08,207.8
2012-09-10,205.7
2012-09-11,205.3
2012-09-12,206.45
2012-09-13,207.95
2012-09-14,209.2
2012-09-17,216.05
2012-09-18,216.35
2012-09-20,212.95
2012-09-21,212.0
2012-09-24,208.35
2012-09-25,205.3
2012-09-26,205.45
2012-09-27,205.2
2012-09-28,205.4
2012-10-01,220.65
2012-10-03,218.25
2012-10-04,228.4
2012-10-05,227.1
2012-10-08,228.85
2012-10-09,230.05
2012-10-10,229.85
2012-10-11,237.05
2012-10-12,239.3
2012-10-15,241.45
2012-10-16,240.25
2012-10-17,242.25
2012-10-18,243.25
2012-10-19,236.2
2012-10-22,280.95
2012-10-23,280.95
2012-10-25,28.8
2012-10-26,27.5
2012-10-29,27.25
2012-10-30,27.25
2012-10-31,27.6
2012-11-01,27.2
2012-11-02,26.1
2012-11-05,28.05
2012-11-06,27.95
2012-11-07,28.4
2012-11-08,28.3
2012-11-09,28.0
2012-11-12,27.95
2012-11-13,28.6
2012-11-15,29.05
2012-11-16,28.6
2012-11-19,29.0
2012-11-20,30.45
2012-11-21,30.7
2012-11-22,30.3
2012-11-23,30.85
2012-11-26,30.7
2012-11-27,30.8
2012-11-29,30.05
2012-11-30,30.25
2012-12-03,29.45
2012-12-04,28.4
2012-12-05,28.0
2012-12-06,28.0
2012-12-07,28.25
2012-12-10,28.5
2012-12-11,28.85
2012-12-12,28.5
2012-12-13,27.7
2012-12-14,27.65
2012-12-17,27.5
2012-12-18,28.25
2012-12-19,28.05
2012-12-20,28.2
2012-12-21,27.2
2012-12-24,27.15
2012-12-26,27.65
2012-12-27,27.05
2012-12-28,27.3
2012-12-31,27.15
