Date,CANBK
2012-01-02,366.2
2012-01-03,384.3
2012-01-04,387.3
2012-01-05,381.6
2012-01-06,378.6
2012-01-07,378.25
2012-01-09,395.5
2012-01-10,412.6
2012-01-11,408.15
2012-01-12,412.9
2012-01-13,408.1
2012-01-16,411.95
2012-01-17,421.25
2012-01-18,406.95
2012-01-19,421.25
2012-01-20,430.2
2012-01-23,431.85
2012-01-24,474.15
2012-01-25,479.15
2012-01-27,465.05
2012-01-30,457.3
2012-01-31,470.1
2012-02-01,470.05
2012-02-02,483.15
2012-02-03,483.95
2012-02-06,511.1
2012-02-07,510.2
2012-02-08,523.45
2012-02-09,525.95
2012-02-10,526.25
2012-02-13,528.7
2012-02-14,536.65
2012-02-15,550.25
2012-02-16,549.35
2012-02-17,560.65
2012-02-21,554.05
2012-02-22,524.3
2012-02-23,508.95
2012-02-24,503.15
2012-02-27,474.5
2012-02-28,513.0
2012-02-29,510.9
2012-03-01,500.7
2012-03-02,504.4
2012-03-03,508.55
2012-03-05,492.7
2012-03-06,477.45
2012-03-07,487.7
2012-03-09,514.05
2012-03-12,518.15
2012-03-13,516.9
2012-03-14,526.8
2012-03-15,505.9
2012-03-16,489.3
2012-03-19,460.7
2012-03-20,467.95
2012-03-21,475.5
2012-03-22,460.6
2012-03-23,463.75
2012-03-26,445.4
2012-03-27,453.1
2012-03-28,456.2
2012-03-29,454.55
2012-03-30,475.8
2012-04-02,469.7
2012-04-03,471.55
2012-04-04,472.8
2012-04-09,457.0
2012-04-10,459.7
2012-04-11,454.8
2012-04-12,471.8
2012-04-13,464.85
2012-04-16,472.95
2012-04-17,483.1
2012-04-18,477.6
2012-04-19,474.85
2012-04-20,473.0
2012-04-23,471.25
2012-04-24,471.6
2012-04-25,459.85
2012-04-26,440.05
2012-04-27,425.75
2012-04-28,432.15
2012-04-30,436.6
2012-05-02,435.0
2012-05-03,429.2
2012-05-04,427.7
2012-05-07,433.85
2012-05-08,424.85
2012-05-09,405.6
2012-05-10,418.85
2012-05-11,418.9
2012-05-14,408.75
2012-05-15,404.15
2012-05-16,394.95
2012-05-17,398.1
2012-05-18,397.6
2012-05-21,391.6
2012-05-22,392.15
2012-05-23,385.85
2012-05-24,389.5
2012-05-25,396.85
2012-05-28,405.0
2012-05-29,402.6
2012-05-30,388.15
2012-05-31,402.1
2012-06-01,395.45
2012-06-04,396.95
2012-06-05,409.35
2012-06-06,415.0
2012-06-07,416.0
2012-06-08,422.25
2012-06-11,418.65
2012-06-12,433.2
2012-06-13,432.55
2012-06-14,412.65
2012-06-15,423.35
2012-06-18,405.65
2012-06-19,404.5
2012-06-20,408.85
2012-06-21,413.35
2012-06-22,415.5
2012-06-25,411.7
2012-06-26,415.2
2012-06-27,410.15
2012-06-28,405.4
2012-06-29,412.65
2012-07-02,414.2
2012-07-03,419.9
2012-07-04,424.0
2012-07-05,430.65
2012-07-06,425.8
2012-07-09,427.1
2012-07-09,427.1
2012-07-10,430.7
2012-07-11,429.85
2012-07-12,426.85
2012-07-13,425.95
2012-07-16,419.4
2012-07-17,414.45
2012-07-18,405.9
2012-07-19,403.95
2012-07-20,402.4
2012-07-23,388.55
2012-07-24,384.3
2012-07-25,374.65
2012-07-26,361.05
2012-07-27,348.3
2012-07-30,357.9
2012-07-31,366.2
2012-08-01,368.9
2012-08-02,364.35
2012-08-03,360.9
2012-08-06,362.1
2012-08-07,363.4
2012-08-08,360.9
2012-08-09,352.0
2012-08-10,349.5
2012-08-13,354.0
2012-08-14,357.45
2012-08-16,357.4
2012-08-17,358.1
2012-08-21,343.15
2012-08-22,340.5
2012-08-23,338.2
2012-08-24,332.65
2012-08-27,323.6
2012-08-28,320.4
2012-08-29,312.4
2012-08-30,315.85
2012-08-31,318.1
2012-09-03,319.65
2012-09-04,320.9
2012-09-05,317.25
2012-09-06,311.1
2012-09-07,322.55
2012-09-08,322.55
2012-09-10,326.35
2012-09-11,327.1
2012-09-12,329.5
2012-09-13,323.6
2012-09-14,340.95
2012-09-17,360.15
2012-09-18,393.65
2012-09-20,404.9
2012-09-21,429.75
2012-09-24,427.65
2012-09-25,434.35
2012-09-26,438.8
2012-09-27,430.9
2012-09-28,431.45
2012-10-01,436.8
2012-10-03,436.15
2012-10-04,436.2
2012-10-05,425.25
2012-10-08,436.5
2012-10-09,436.5
2012-10-10,427.95
2012-10-11,426.7
2012-10-12,427.95
2012-10-15,430.85
2012-10-16,423.15
2012-10-17,425.4
2012-10-18,437.75
2012-10-19,447.05
2012-10-22,449.8
2012-10-23,443.1
2012-10-25,441.5
2012-10-26,423.7
2012-10-29,420.85
2012-10-30,397.45
2012-10-31,400.9
2012-11-01,408.9
2012-11-02,427.9
2012-11-05,418.25
2012-11-06,419.75
2012-11-07,435.15
2012-11-08,443.3
2012-11-09,435.6
2012-11-12,440.35
2012-11-13,436.5
2012-11-15,433.65
2012-11-16,427.6
2012-11-19,424.4
2012-11-20,414.45
2012-11-21,427.45
2012-11-22,430.45
2012-11-23,435.35
2012-11-26,429.6
2012-11-27,437.6
2012-11-29,443.8
2012-11-30,464.55
2012-12-03,462.35
2012-12-04,472.9
2012-12-05,471.5
2012-12-06,480.75
2012-12-07,480.4
2012-12-10,485.65
2012-12-11,482.0
2012-12-12,477.35
2012-12-13,463.85
2012-12-14,463.05
2012-12-17,470.65
2012-12-18,472.15
2012-12-19,476.15
2012-12-20,486.9
2012-12-21,475.55
2012-12-24,472.95
2012-12-26,483.0
2012-12-27,487.5
2012-12-28,493.3
2012-12-31,496.9
