Date,TV18BRDCST
2012-01-02,28.05
2012-01-03,33.65
2012-01-04,36.05
2012-01-05,31.5
2012-01-06,30.95
2012-01-07,31.95
2012-01-09,31.15
2012-01-10,31.45
2012-01-11,31.7
2012-01-12,30.6
2012-01-13,30.85
2012-01-16,32.1
2012-01-17,30.9
2012-01-18,30.35
2012-01-19,31.0
2012-01-20,30.5
2012-01-23,30.65
2012-01-24,30.4
2012-01-25,31.3
2012-01-27,32.15
2012-01-30,31.3
2012-01-31,31.3
2012-02-01,31.6
2012-02-02,31.0
2012-02-03,30.8
2012-02-06,32.25
2012-02-07,31.8
2012-02-08,31.95
2012-02-09,31.25
2012-02-10,31.05
2012-02-13,30.75
2012-02-14,30.6
2012-02-15,31.4
2012-02-16,35.6
2012-02-17,33.45
2012-02-21,34.15
2012-02-22,32.15
2012-02-23,31.75
2012-02-24,31.95
2012-02-27,30.15
2012-02-28,30.95
2012-02-29,30.4
2012-03-01,29.7
2012-03-02,28.85
2012-03-03,29.95
2012-03-05,28.4
2012-03-06,28.6
2012-03-07,28.75
2012-03-09,28.9
2012-03-12,28.5
2012-03-13,28.45
2012-03-14,28.55
2012-03-15,27.6
2012-03-16,26.25
2012-03-19,27.7
2012-03-20,28.85
2012-03-21,29.1
2012-03-22,27.25
2012-03-23,26.9
2012-03-26,27.7
2012-03-27,26.95
2012-03-28,27.75
2012-03-29,28.0
2012-03-30,27.55
2012-04-02,29.65
2012-04-03,31.25
2012-04-04,30.0
2012-04-09,30.6
2012-04-10,29.8
2012-04-11,29.95
2012-04-12,29.9
2012-04-13,29.05
2012-04-16,28.85
2012-04-17,28.95
2012-04-18,29.15
2012-04-19,29.05
2012-04-20,28.35
2012-04-23,27.6
2012-04-24,27.65
2012-04-25,27.65
2012-04-26,27.0
2012-04-27,26.8
2012-04-28,26.75
2012-04-30,26.8
2012-05-02,27.3
2012-05-03,26.65
2012-05-04,25.45
2012-05-07,25.9
2012-05-08,25.25
2012-05-09,25.55
2012-05-10,23.95
2012-05-11,23.25
2012-05-14,23.25
2012-05-15,23.45
2012-05-16,23.0
2012-05-17,22.65
2012-05-18,22.65
2012-05-21,22.75
2012-05-22,22.2
2012-05-23,21.25
2012-05-24,21.5
2012-05-25,21.2
2012-05-28,21.8
2012-05-29,20.95
2012-05-30,19.7
2012-05-31,18.1
2012-06-01,17.95
2012-06-04,18.85
2012-06-05,18.85
2012-06-06,21.95
2012-06-07,22.85
2012-06-08,22.95
2012-06-11,23.9
2012-06-12,23.5
2012-06-13,22.85
2012-06-14,22.0
2012-06-15,21.65
2012-06-18,20.8
2012-06-19,20.45
2012-06-20,21.15
2012-06-21,21.65
2012-06-22,21.85
2012-06-25,21.9
2012-06-26,23.0
2012-06-27,26.3
2012-06-28,25.15
2012-06-29,25.25
2012-07-02,24.75
2012-07-03,24.35
2012-07-04,24.6
2012-07-05,25.15
2012-07-06,24.45
2012-07-09,24.0
2012-07-10,23.95
2012-07-11,23.45
2012-07-12,22.65
2012-07-13,23.5
2012-07-16,22.95
2012-07-17,22.3
2012-07-18,22.5
2012-07-19,22.8
2012-07-20,22.75
2012-07-23,22.25
2012-07-24,22.3
2012-07-25,21.3
2012-07-26,20.1
2012-07-27,19.85
2012-07-30,21.0
2012-07-31,21.95
2012-08-01,21.5
2012-08-02,21.0
2012-08-03,20.95
2012-08-06,21.05
2012-08-07,21.4
2012-08-08,21.15
2012-08-09,21.0
2012-08-10,20.9
2012-08-13,20.9
2012-08-14,21.95
2012-08-16,21.85
2012-08-17,21.8
2012-08-21,21.9
2012-08-22,21.65
2012-08-23,21.65
2012-08-24,21.65
2012-08-27,21.2
2012-08-28,20.7
2012-08-29,20.2
2012-08-30,21.9
2012-08-31,21.1
2012-09-03,20.25
2012-09-04,20.05
2012-09-05,19.65
2012-09-06,20.2
2012-09-07,21.2
2012-09-08,21.45
2012-09-10,20.65
2012-09-11,20.4
2012-09-12,21.6
2012-09-13,24.4
2012-09-14,22.45
2012-09-17,25.15
2012-09-18,23.75
2012-09-20,22.8
2012-09-21,24.25
2012-09-24,23.4
2012-09-25,23.3
2012-09-26,22.5
2012-09-27,23.15
2012-09-28,23.95
2012-10-01,25.1
2012-10-03,26.4
2012-10-04,26.15
2012-10-05,26.3
2012-10-08,24.6
2012-10-09,24.0
2012-10-10,23.55
2012-10-11,24.65
2012-10-12,25.05
2012-10-15,25.8
2012-10-16,26.7
2012-10-17,30.0
2012-10-18,31.2
2012-10-19,32.4
2012-10-22,30.35
2012-10-23,28.2
2012-10-25,28.35
2012-10-26,26.35
2012-10-29,25.55
2012-10-30,25.95
2012-10-31,28.25
2012-11-01,28.1
2012-11-02,28.2
2012-11-05,29.0
2012-11-06,29.15
2012-11-07,29.65
2012-11-08,29.1
2012-11-09,28.25
2012-11-12,29.25
2012-11-13,31.35
2012-11-15,35.6
2012-11-16,32.05
2012-11-19,31.45
2012-11-20,30.65
2012-11-21,31.6
2012-11-22,32.35
2012-11-23,32.45
2012-11-26,33.5
2012-11-27,34.85
2012-11-29,34.4
2012-11-30,35.75
2012-12-03,35.1
2012-12-04,34.9
2012-12-05,33.65
2012-12-06,33.65
2012-12-07,34.5
2012-12-10,34.3
2012-12-11,32.3
2012-12-12,32.55
2012-12-13,33.3
2012-12-14,33.3
2012-12-17,34.1
2012-12-18,33.85
2012-12-19,34.0
2012-12-20,33.7
2012-12-21,32.05
2012-12-24,33.05
2012-12-26,34.0
2012-12-27,32.85
2012-12-28,32.9
2012-12-31,32.5
