Date,TIDEWATER
2012-01-02,5763.4
2012-01-03,5926.3
2012-01-04,6187.05
2012-01-05,6185.45
2012-01-06,6221.75
2012-01-07,6405.3
2012-01-09,6393.15
2012-01-10,6425.55
2012-01-11,6509.25
2012-01-12,6351.5
2012-01-13,6355.25
2012-01-16,6339.75
2012-01-17,6390.25
2012-01-18,6438.4
2012-01-19,6611.55
2012-01-20,6840.3
2012-01-23,6927.7
2012-01-24,6791.55
2012-01-25,6745.85
2012-01-27,6742.25
2012-01-30,6561.75
2012-01-31,6631.0
2012-02-01,6699.7
2012-02-02,6734.95
2012-02-03,8052.25
2012-02-06,7917.75
2012-02-07,7807.05
2012-02-08,7747.0
2012-02-09,7720.6
2012-02-10,7715.9
2012-02-13,8091.55
2012-02-14,7970.75
2012-02-15,7991.4
2012-02-16,7984.45
2012-02-17,7792.4
2012-02-21,7710.85
2012-02-22,7572.1
2012-02-23,7616.85
2012-02-24,7542.65
2012-02-27,7217.75
2012-02-28,7399.25
2012-02-29,7447.25
2012-03-01,7381.15
2012-03-02,7330.45
2012-03-03,7408.6
2012-03-05,7311.85
2012-03-06,7268.05
2012-03-07,7280.4
2012-03-09,7356.95
2012-03-12,7293.0
2012-03-13,7604.85
2012-03-14,7557.55
2012-03-15,7403.95
2012-03-16,7296.55
2012-03-19,7290.95
2012-03-20,7328.4
2012-03-21,7383.3
2012-03-22,7354.55
2012-03-23,7346.85
2012-03-26,7258.65
2012-03-27,7294.05
2012-03-28,7255.05
2012-03-29,7234.95
2012-03-30,7437.2
2012-04-02,7590.3
2012-04-03,7569.15
2012-04-04,7502.85
2012-04-09,7526.7
2012-04-10,7852.85
2012-04-11,7926.8
2012-04-12,7893.8
2012-04-13,7925.35
2012-04-16,7887.15
2012-04-17,7898.95
2012-04-18,7880.2
2012-04-19,7939.05
2012-04-20,7805.9
2012-04-23,7653.55
2012-04-24,7543.7
2012-04-25,7443.1
2012-04-26,7407.8
2012-04-27,7370.75
2012-04-28,7546.6
2012-04-30,7513.4
2012-05-02,7477.8
2012-05-03,7427.35
2012-05-04,7209.65
2012-05-07,7235.2
2012-05-08,7088.65
2012-05-09,7011.15
2012-05-10,6991.95
2012-05-11,6848.0
2012-05-14,6841.45
2012-05-15,6858.7
2012-05-16,6806.3
2012-05-17,6786.95
2012-05-18,6801.3
2012-05-21,6903.2
2012-05-22,6870.4
2012-05-23,6769.4
2012-05-24,6752.65
2012-05-25,6930.45
2012-05-28,7049.7
2012-05-29,6993.4
2012-05-30,6978.05
2012-05-31,6796.05
2012-06-01,6738.75
2012-06-04,6639.6
2012-06-05,6680.85
2012-06-06,6790.35
2012-06-07,6911.05
2012-06-08,6850.05
2012-06-11,6941.0
2012-06-12,6913.0
2012-06-13,6990.1
2012-06-14,6991.2
2012-06-15,7047.4
2012-06-18,7002.2
2012-06-19,7014.1
2012-06-20,7048.0
2012-06-21,7149.55
2012-06-22,7063.6
2012-06-25,7084.8
2012-06-26,7110.55
2012-06-27,7115.8
2012-06-28,7111.45
2012-06-29,7307.0
2012-07-02,7393.3
2012-07-03,7409.5
2012-07-04,7426.05
2012-07-05,7645.95
2012-07-06,7581.45
2012-07-09,7479.55
2012-07-10,7524.65
2012-07-11,7511.0
2012-07-12,7425.4
2012-07-13,7442.0
2012-07-16,7452.75
2012-07-17,7455.0
2012-07-18,7452.35
2012-07-19,7491.1
2012-07-20,7575.65
2012-07-23,7600.9
2012-07-24,7586.8
2012-07-25,8039.65
2012-07-26,7586.1
2012-07-27,7602.8
2012-07-30,7658.9
2012-07-31,7604.6
2012-08-01,7716.6
2012-08-02,7683.4
2012-08-03,8044.25
2012-08-06,8124.85
2012-08-07,8041.85
2012-08-08,7941.3
2012-08-09,7861.4
2012-08-10,7718.4
2012-08-13,7726.85
2012-08-14,7681.45
2012-08-16,7714.5
2012-08-17,7837.1
2012-08-21,7795.75
2012-08-22,8060.15
2012-08-23,7931.3
2012-08-24,7977.7
2012-08-27,7826.15
2012-08-28,7895.05
2012-08-29,7761.7
2012-08-30,7792.65
2012-08-31,7756.3
2012-09-03,7734.7
2012-09-04,7785.95
2012-09-05,7798.75
2012-09-06,7773.6
2012-09-07,7845.55
2012-09-08,7842.45
2012-09-10,7857.45
2012-09-11,7872.15
2012-09-12,7904.0
2012-09-13,7937.6
2012-09-14,7882.5
2012-09-17,7997.3
2012-09-18,7954.25
2012-09-20,7999.45
2012-09-21,8023.2
2012-09-24,8097.25
2012-09-25,7973.15
2012-09-26,7961.95
2012-09-27,7964.5
2012-09-28,7961.35
2012-10-01,7937.15
2012-10-03,7937.45
2012-10-04,7987.0
2012-10-05,7920.95
2012-10-08,7942.05
2012-10-09,8009.0
2012-10-10,7945.05
2012-10-11,7953.65
2012-10-12,7906.1
2012-10-15,7938.4
2012-10-16,7921.15
2012-10-17,7918.5
2012-10-18,7937.7
2012-10-19,7880.4
2012-10-22,7905.75
2012-10-23,7872.2
2012-10-25,7857.5
2012-10-26,7803.2
2012-10-29,7775.4
2012-10-30,7740.9
2012-10-31,7731.15
2012-11-01,7799.25
2012-11-02,7703.1
2012-11-05,7801.75
2012-11-06,7758.6
2012-11-07,7822.55
2012-11-08,7971.0
2012-11-09,7827.25
2012-11-12,7760.2
2012-11-13,7979.85
2012-11-15,7864.0
2012-11-16,7798.7
2012-11-19,7738.9
2012-11-20,7704.75
2012-11-21,7693.1
2012-11-22,7754.25
2012-11-23,7719.3
2012-11-26,7712.05
2012-11-27,7712.3
2012-11-29,7734.75
2012-11-30,7816.1
2012-12-03,7826.95
2012-12-04,7799.35
2012-12-05,7921.95
2012-12-06,7909.7
2012-12-07,7869.95
2012-12-10,7845.55
2012-12-11,7758.25
2012-12-12,7752.35
2012-12-13,7721.6
2012-12-14,7734.05
2012-12-17,7723.9
2012-12-18,7726.7
2012-12-19,7701.65
2012-12-20,7892.0
2012-12-21,7870.15
2012-12-24,7805.75
2012-12-26,7817.0
2012-12-27,7835.45
2012-12-28,7845.55
2012-12-31,7806.45
