Date,HCC
2012-01-02,16.55
2012-01-03,17.9
2012-01-04,17.55
2012-01-05,17.5
2012-01-06,17.5
2012-01-07,17.5
2012-01-09,18.15
2012-01-10,18.8
2012-01-11,19.7
2012-01-12,19.85
2012-01-13,21.25
2012-01-16,21.15
2012-01-17,21.75
2012-01-18,20.65
2012-01-19,21.65
2012-01-20,21.1
2012-01-23,21.55
2012-01-24,22.7
2012-01-25,23.95
2012-01-27,23.5
2012-01-30,22.45
2012-01-31,23.6
2012-02-01,24.95
2012-02-02,24.4
2012-02-03,24.35
2012-02-06,24.65
2012-02-07,23.55
2012-02-08,24.15
2012-02-09,27.05
2012-02-10,27.15
2012-02-13,26.85
2012-02-14,29.15
2012-02-15,30.3
2012-02-16,30.8
2012-02-17,31.35
2012-02-21,32.1
2012-02-22,28.85
2012-02-23,27.7
2012-02-24,27.5
2012-02-27,25.5
2012-02-28,28.5
2012-02-29,28.6
2012-03-01,29.75
2012-03-02,28.65
2012-03-03,28.55
2012-03-05,27.0
2012-03-06,25.95
2012-03-07,26.6
2012-03-09,27.6
2012-03-12,28.1
2012-03-13,29.25
2012-03-14,28.65
2012-03-15,27.4
2012-03-16,26.45
2012-03-19,25.9
2012-03-20,26.45
2012-03-21,27.0
2012-03-22,25.35
2012-03-23,26.35
2012-03-26,25.15
2012-03-27,25.8
2012-03-28,24.4
2012-03-29,24.6
2012-03-30,25.7
2012-04-02,26.2
2012-04-03,27.15
2012-04-04,26.6
2012-04-09,25.95
2012-04-10,25.65
2012-04-11,25.25
2012-04-12,25.55
2012-04-13,25.3
2012-04-16,25.15
2012-04-17,25.55
2012-04-18,25.65
2012-04-19,25.0
2012-04-20,24.45
2012-04-23,23.25
2012-04-24,22.5
2012-04-25,21.55
2012-04-26,21.4
2012-04-27,20.15
2012-04-28,20.25
2012-04-30,21.1
2012-05-02,21.1
2012-05-03,20.45
2012-05-04,19.95
2012-05-07,20.05
2012-05-08,19.1
2012-05-09,18.8
2012-05-10,18.4
2012-05-11,18.7
2012-05-14,18.1
2012-05-15,19.15
2012-05-16,18.45
2012-05-17,18.35
2012-05-18,18.3
2012-05-21,18.65
2012-05-22,18.05
2012-05-23,18.2
2012-05-24,18.35
2012-05-25,18.35
2012-05-28,18.15
2012-05-29,18.3
2012-05-30,17.4
2012-05-31,17.65
2012-06-01,17.25
2012-06-04,17.65
2012-06-05,17.4
2012-06-06,18.5
2012-06-07,18.55
2012-06-08,19.05
2012-06-11,19.55
2012-06-12,19.6
2012-06-13,19.7
2012-06-14,19.0
2012-06-15,19.15
2012-06-18,18.45
2012-06-19,18.7
2012-06-20,19.2
2012-06-21,19.9
2012-06-22,19.5
2012-06-25,19.8
2012-06-26,19.6
2012-06-27,19.65
2012-06-28,19.45
2012-06-29,20.45
2012-07-02,21.35
2012-07-03,21.2
2012-07-04,21.4
2012-07-05,21.9
2012-07-06,21.35
2012-07-09,20.35
2012-07-09,20.35
2012-07-10,21.1
2012-07-11,20.85
2012-07-12,20.1
2012-07-13,19.9
2012-07-16,19.5
2012-07-17,19.05
2012-07-18,19.55
2012-07-19,19.3
2012-07-20,19.2
2012-07-23,18.3
2012-07-24,18.35
2012-07-25,17.45
2012-07-26,16.75
2012-07-27,16.7
2012-07-30,17.6
2012-07-31,17.55
2012-08-01,17.85
2012-08-02,18.05
2012-08-03,17.65
2012-08-06,17.8
2012-08-07,17.95
2012-08-08,17.4
2012-08-09,17.25
2012-08-10,17.25
2012-08-13,17.25
2012-08-14,17.35
2012-08-16,17.15
2012-08-17,17.0
2012-08-21,16.95
2012-08-22,16.8
2012-08-23,16.7
2012-08-24,16.55
2012-08-27,15.95
2012-08-28,15.6
2012-08-29,15.2
2012-08-30,15.4
2012-08-31,15.25
2012-09-03,15.85
2012-09-04,15.9
2012-09-05,15.65
2012-09-06,15.75
2012-09-07,15.95
2012-09-08,16.0
2012-09-10,15.75
2012-09-11,16.1
2012-09-12,16.1
2012-09-13,16.0
2012-09-14,16.4
2012-09-17,18.5
2012-09-18,17.9
2012-09-20,17.2
2012-09-21,17.85
2012-09-24,18.75
2012-09-25,18.4
2012-09-26,18.4
2012-09-27,17.85
2012-09-28,17.95
2012-10-01,18.2
2012-10-03,18.35
2012-10-04,19.15
2012-10-05,18.85
2012-10-08,19.05
2012-10-09,18.95
2012-10-10,18.3
2012-10-11,18.35
2012-10-12,18.3
2012-10-15,18.35
2012-10-16,18.1
2012-10-17,17.9
2012-10-18,17.95
2012-10-19,17.35
2012-10-22,17.05
2012-10-23,17.0
2012-10-25,17.2
2012-10-26,17.6
2012-10-29,17.45
2012-10-30,16.95
2012-10-31,17.0
2012-11-01,17.2
2012-11-02,17.05
2012-11-05,16.95
2012-11-06,17.05
2012-11-07,17.35
2012-11-08,17.9
2012-11-09,17.4
2012-11-12,17.3
2012-11-13,17.5
2012-11-15,17.5
2012-11-16,17.4
2012-11-19,17.15
2012-11-20,17.05
2012-11-21,17.0
2012-11-22,17.0
2012-11-23,16.8
2012-11-26,16.8
2012-11-27,17.1
2012-11-29,17.8
2012-11-30,18.25
2012-12-03,18.35
2012-12-04,18.4
2012-12-05,18.5
2012-12-06,19.15
2012-12-07,18.85
2012-12-10,18.55
2012-12-11,17.95
2012-12-12,17.9
2012-12-13,17.35
2012-12-14,17.95
2012-12-17,17.85
2012-12-18,18.25
2012-12-19,18.3
2012-12-20,18.1
2012-12-21,17.85
2012-12-24,18.05
2012-12-26,18.1
2012-12-27,17.85
2012-12-28,17.9
2012-12-31,18.05
