Date,INDOWIND
2012-01-02,5.75
2012-01-03,5.55
2012-01-04,5.6
2012-01-05,5.55
2012-01-06,5.4
2012-01-07,5.5
2012-01-09,5.6
2012-01-10,5.75
2012-01-11,6.0
2012-01-12,6.3
2012-01-13,6.6
2012-01-16,6.3
2012-01-17,6.0
2012-01-18,5.7
2012-01-19,5.55
2012-01-20,5.45
2012-01-23,5.25
2012-01-24,5.45
2012-01-25,5.7
2012-01-27,5.95
2012-01-30,6.25
2012-01-31,6.3
2012-02-01,6.45
2012-02-02,6.3
2012-02-03,6.3
2012-02-06,6.55
2012-02-07,6.25
2012-02-08,6.25
2012-02-09,6.55
2012-02-10,6.7
2012-02-13,6.4
2012-02-14,6.3
2012-02-15,6.6
2012-02-16,6.9
2012-02-17,7.2
2012-02-21,7.55
2012-02-22,7.25
2012-02-23,7.1
2012-02-24,7.0
2012-02-27,6.65
2012-02-28,6.75
2012-02-29,6.75
2012-03-01,7.0
2012-03-02,6.85
2012-03-03,7.0
2012-03-05,6.75
2012-03-06,6.5
2012-03-07,6.25
2012-03-09,6.6
2012-03-12,6.6
2012-03-13,6.75
2012-03-14,6.8
2012-03-15,6.65
2012-03-16,6.55
2012-03-19,6.25
2012-03-20,6.15
2012-03-21,6.45
2012-03-22,6.2
2012-03-23,6.3
2012-03-26,6.1
2012-03-27,6.05
2012-03-28,5.65
2012-03-29,5.8
2012-03-30,6.0
2012-04-02,6.15
2012-04-03,6.2
2012-04-04,6.05
2012-04-09,6.0
2012-04-10,5.95
2012-04-11,5.8
2012-04-12,5.9
2012-04-13,5.85
2012-04-16,5.9
2012-04-17,5.9
2012-04-18,5.85
2012-04-19,5.95
2012-04-20,5.85
2012-04-23,5.7
2012-04-24,5.7
2012-04-25,5.6
2012-04-26,5.6
2012-04-27,5.5
2012-04-28,5.55
2012-04-30,5.6
2012-05-02,5.45
2012-05-03,5.6
2012-05-04,5.4
2012-05-07,5.5
2012-05-08,5.4
2012-05-09,5.25
2012-05-10,5.2
2012-05-11,5.15
2012-05-14,4.95
2012-05-15,5.15
2012-05-16,5.1
2012-05-17,4.95
2012-05-18,4.85
2012-05-21,4.95
2012-05-22,4.9
2012-05-23,4.85
2012-05-24,4.85
2012-05-25,4.85
2012-05-28,4.85
2012-05-29,5.0
2012-05-30,4.85
2012-05-31,4.8
2012-06-01,4.85
2012-06-04,4.8
2012-06-05,4.85
2012-06-06,4.9
2012-06-07,4.9
2012-06-08,4.9
2012-06-11,5.05
2012-06-12,5.0
2012-06-13,5.0
2012-06-14,5.0
2012-06-15,4.95
2012-06-18,4.85
2012-06-19,4.85
2012-06-20,4.85
2012-06-21,4.9
2012-06-22,4.9
2012-06-25,4.85
2012-06-26,4.9
2012-06-27,4.95
2012-06-28,5.2
2012-06-29,6.2
2012-07-02,5.55
2012-07-03,5.25
2012-07-04,4.85
2012-07-05,4.8
2012-07-06,5.2
2012-07-09,4.6
2012-07-09,4.6
2012-07-10,4.45
2012-07-11,4.1
2012-07-12,4.1
2012-07-13,4.05
2012-07-16,4.0
2012-07-17,3.95
2012-07-18,3.95
2012-07-19,4.0
2012-07-20,3.95
2012-07-23,3.85
2012-07-24,4.05
2012-07-25,3.95
2012-07-26,3.55
2012-07-27,3.6
2012-07-30,3.5
2012-07-31,3.5
2012-08-01,3.5
2012-08-02,3.5
2012-08-03,3.5
2012-08-06,3.6
2012-08-07,3.8
2012-08-08,3.85
2012-08-09,3.65
2012-08-10,3.6
2012-08-13,3.75
2012-08-14,3.75
2012-08-16,3.8
2012-08-17,3.85
2012-08-21,3.95
2012-08-22,3.8
2012-08-23,3.85
2012-08-24,3.75
2012-08-27,3.6
2012-08-28,3.55
2012-08-29,3.5
2012-08-30,3.5
2012-08-31,3.65
2012-09-03,3.75
2012-09-04,3.7
2012-09-05,3.7
2012-09-06,3.75
2012-09-07,3.8
2012-09-08,3.75
2012-09-10,3.7
2012-09-11,3.8
2012-09-12,3.7
2012-09-13,3.65
2012-09-14,3.75
2012-09-17,3.95
2012-09-18,4.15
2012-09-20,4.05
2012-09-21,4.05
2012-09-24,4.1
2012-09-25,4.1
2012-09-26,4.1
2012-09-27,4.05
2012-09-28,4.1
2012-10-01,4.1
2012-10-03,4.05
2012-10-04,4.15
2012-10-05,4.1
2012-10-08,4.15
2012-10-09,4.05
2012-10-10,3.95
2012-10-11,3.95
2012-10-12,4.0
2012-10-15,4.0
2012-10-16,4.05
2012-10-17,4.05
2012-10-18,4.05
2012-10-19,4.0
2012-10-22,4.0
2012-10-23,4.0
2012-10-25,4.05
2012-10-26,3.9
2012-10-29,3.95
2012-10-30,3.8
2012-10-31,3.85
2012-11-01,3.75
2012-11-02,3.8
2012-11-05,3.8
2012-11-06,3.8
2012-11-07,3.9
2012-11-08,3.85
2012-11-09,3.85
2012-11-12,3.8
2012-11-13,3.9
2012-11-15,3.85
2012-11-16,3.85
2012-11-19,3.7
2012-11-20,3.65
2012-11-21,3.7
2012-11-22,3.7
2012-11-23,3.65
2012-11-26,3.6
2012-11-27,3.75
2012-11-29,3.85
2012-11-30,3.95
2012-12-03,4.7
2012-12-04,5.3
2012-12-05,5.05
2012-12-06,4.95
2012-12-07,4.7
2012-12-10,4.75
2012-12-11,4.45
2012-12-12,4.4
2012-12-13,4.3
2012-12-14,4.1
2012-12-17,4.5
2012-12-18,4.4
2012-12-19,4.5
2012-12-20,4.4
2012-12-21,4.4
2012-12-24,4.5
2012-12-26,4.5
2012-12-27,4.45
2012-12-28,4.35
2012-12-31,4.3
