Date,TFCILTD
2012-01-02,19.45
2012-01-03,19.8
2012-01-04,20.1
2012-01-05,20.05
2012-01-06,20.05
2012-01-07,20.65
2012-01-09,21.1
2012-01-10,21.25
2012-01-11,22.25
2012-01-12,22.6
2012-01-13,23.5
2012-01-16,23.25
2012-01-17,23.45
2012-01-18,23.2
2012-01-19,23.35
2012-01-20,23.1
2012-01-23,23.45
2012-01-24,23.85
2012-01-25,24.15
2012-01-27,24.55
2012-01-30,24.1
2012-01-31,24.3
2012-02-01,25.3
2012-02-02,25.05
2012-02-03,24.7
2012-02-06,25.65
2012-02-07,25.35
2012-02-08,25.9
2012-02-09,25.9
2012-02-10,25.95
2012-02-13,26.2
2012-02-14,26.25
2012-02-15,26.55
2012-02-16,27.65
2012-02-17,27.2
2012-02-21,27.0
2012-02-22,26.0
2012-02-23,25.1
2012-02-24,24.85
2012-02-27,24.75
2012-02-28,25.4
2012-02-29,25.7
2012-03-01,25.9
2012-03-02,25.9
2012-03-03,25.85
2012-03-05,25.25
2012-03-06,25.15
2012-03-07,24.9
2012-03-09,25.2
2012-03-12,25.05
2012-03-13,25.15
2012-03-14,25.25
2012-03-15,25.1
2012-03-16,24.75
2012-03-19,24.45
2012-03-20,24.25
2012-03-21,24.4
2012-03-22,24.15
2012-03-23,24.3
2012-03-26,24.0
2012-03-27,23.85
2012-03-28,23.45
2012-03-29,24.05
2012-03-30,24.25
2012-04-02,25.9
2012-04-03,27.2
2012-04-04,26.4
2012-04-09,25.85
2012-04-10,25.4
2012-04-11,25.15
2012-04-12,26.05
2012-04-13,25.45
2012-04-16,25.65
2012-04-17,26.0
2012-04-18,26.4
2012-04-19,26.5
2012-04-20,26.55
2012-04-23,25.95
2012-04-24,25.5
2012-04-25,25.35
2012-04-26,25.25
2012-04-27,25.05
2012-04-28,25.1
2012-04-30,25.25
2012-05-02,24.85
2012-05-03,24.75
2012-05-04,24.5
2012-05-07,24.3
2012-05-08,24.35
2012-05-09,24.15
2012-05-10,24.15
2012-05-11,23.6
2012-05-14,23.45
2012-05-15,23.5
2012-05-16,23.3
2012-05-17,23.4
2012-05-18,23.3
2012-05-21,23.6
2012-05-22,23.7
2012-05-23,23.45
2012-05-24,23.55
2012-05-25,23.75
2012-05-28,24.45
2012-05-29,24.5
2012-05-30,23.9
2012-05-31,23.5
2012-06-01,23.55
2012-06-04,23.7
2012-06-05,23.6
2012-06-06,23.9
2012-06-07,24.05
2012-06-08,24.15
2012-06-11,24.1
2012-06-12,24.45
2012-06-13,24.3
2012-06-14,24.25
2012-06-15,24.35
2012-06-18,23.85
2012-06-19,24.2
2012-06-20,24.0
2012-06-21,24.2
2012-06-22,24.45
2012-06-25,23.95
2012-06-26,24.45
2012-06-27,24.65
2012-06-28,24.75
2012-06-29,25.1
2012-07-02,25.65
2012-07-03,25.6
2012-07-04,26.15
2012-07-05,26.65
2012-07-06,26.65
2012-07-09,26.6
2012-07-10,26.6
2012-07-11,26.55
2012-07-12,24.85
2012-07-13,24.65
2012-07-16,24.2
2012-07-17,23.85
2012-07-18,23.8
2012-07-19,23.45
2012-07-20,23.35
2012-07-23,22.95
2012-07-24,22.8
2012-07-25,22.8
2012-07-26,22.3
2012-07-27,22.15
2012-07-30,22.05
2012-07-31,21.9
2012-08-01,22.15
2012-08-02,22.3
2012-08-03,22.65
2012-08-06,22.7
2012-08-07,22.7
2012-08-08,22.7
2012-08-09,23.25
2012-08-10,24.9
2012-08-13,24.2
2012-08-14,23.65
2012-08-16,23.35
2012-08-17,23.15
2012-08-21,23.1
2012-08-22,23.0
2012-08-23,23.05
2012-08-24,22.95
2012-08-27,22.8
2012-08-28,22.4
2012-08-29,22.15
2012-08-30,22.05
2012-08-31,22.1
2012-09-03,22.2
2012-09-04,22.35
2012-09-05,21.9
2012-09-06,22.2
2012-09-07,22.5
2012-09-08,22.25
2012-09-10,22.5
2012-09-11,22.65
2012-09-12,22.9
2012-09-13,22.6
2012-09-14,22.85
2012-09-17,22.9
2012-09-18,23.55
2012-09-20,23.3
2012-09-21,23.25
2012-09-24,23.3
2012-09-25,23.3
2012-09-26,23.25
2012-09-27,23.5
2012-09-28,23.35
2012-10-01,23.75
2012-10-03,23.7
2012-10-04,24.8
2012-10-05,23.9
2012-10-08,24.1
2012-10-09,24.15
2012-10-10,23.55
2012-10-11,23.9
2012-10-12,23.8
2012-10-15,23.8
2012-10-16,23.7
2012-10-17,23.95
2012-10-18,24.9
2012-10-19,24.6
2012-10-22,24.65
2012-10-23,24.1
2012-10-25,23.9
2012-10-26,23.6
2012-10-29,23.5
2012-10-30,23.6
2012-10-31,23.45
2012-11-01,23.6
2012-11-02,23.55
2012-11-05,23.4
2012-11-06,23.3
2012-11-07,23.55
2012-11-08,23.45
2012-11-09,23.45
2012-11-12,23.85
2012-11-13,23.9
2012-11-15,23.9
2012-11-16,23.7
2012-11-19,23.35
2012-11-20,23.15
2012-11-21,23.75
2012-11-22,23.4
2012-11-23,23.3
2012-11-26,23.35
2012-11-27,23.45
2012-11-29,23.6
2012-11-30,24.65
2012-12-03,24.75
2012-12-04,25.25
2012-12-05,25.25
2012-12-06,25.15
2012-12-07,25.0
2012-12-10,24.85
2012-12-11,24.9
2012-12-12,24.9
2012-12-13,24.4
2012-12-14,24.5
2012-12-17,24.5
2012-12-18,24.7
2012-12-19,24.7
2012-12-20,24.7
2012-12-21,24.75
2012-12-24,24.55
2012-12-26,24.5
2012-12-27,24.2
2012-12-28,24.0
2012-12-31,24.15
